モバP,以下P表記
P,よーし、じゃあ発表しますねー。テーマは最高の癒しをあなたに
ちひろ,テーマとかあるんですか……
P,前提として、俺は大きめのソファに座りながら仕事をしているとします
ちひろ,ええ
P,まずは雪美を足と足の間にいて、俺にもたれる感じにしてもらいます
ちひろ,ふむ
P,んで、こずえに左膝を枕にして寝てもらうでしょ
ちひろ,はい
P,そんで、右側に小梅にいてもらって、服の端っこをきゅっと握ってもらってて
ちひろ,ほうほう
P,んで、背後で芳乃にずっとぶおおーって法螺貝を吹いてもらっていて
ちひろ,…ん？
P,最後ですが、俺の仕事が終わるのを待ちきれないライラに俺の周りをウロウロしてほしい
ちひろ,……
P,どうです！？これ完璧な布陣でしょ！
ちひろ,……いろいろツッコみたいところですが、まずは一つ一つ、じゃなくて一人一人詳細を教えてもらっていいですか？
P,いいでしょう。まずは雪美ですね。雪美はですねー。あああああああああっ、なんて癒されるんだぁぁぁぁぁ！
ちひろ,うわっ、なんですかいきなり！気持ち悪いですよ？
P,心外です！ちひろさんには分からないんですかこの癒し効果が！
ちひろ,いやまぁ、分からないといえば嘘になりますよ？いいなぁとは思いましたし
P,そうでしょう？雪美は可愛いしああ見えて人懐っこいですから。それにただ乗ってるだけじゃなくて、気配りもできる。……今思えばなんていい子なんだ雪美は！
ちひろ,それは否定しません
P,俺が疲れているのを察して、不意に振り向いてぎゅっと抱きしめてくれる。これで癒されないやつがいるだろうか
ちひろ,いやいない
P,それを考えても……うん、やはりこの布陣に雪美は必要不可欠だな、うん
ちひろ,……
P,ちひろさん、なんですかその呆れたような眼は
ちひろ,いえ、またいつものスイッチが入っちゃったなと思いまして
P,スイッチ？なんのことですか？
ちひろ,なんでもないです。普段は真面目で素敵なのに……よくこうやって暴走するんですよねこの人。こうなったら手が付けられないし、付き合うしかないですかね……そうと決まれば早く話を進めましょう、うん。プロデューサーさん、雪美ちゃんの理由は分かりましたから、次の子の話を聞かせてもらってもいいですか？
P,あぁ、失礼しました。次はじゃあ、こずえですね
ちひろ,確か左の膝で、膝枕してるんでしたっけ？
P,そうですそうです。こずえはですね……。お昼寝するぅぅぅぅぅぅぅ！
ちひろ,うわぁ
P,いやもうね、こずえはそこに存在するだけで癒しなわけですよ
ちひろ,はい
P,特になにかしてほしいわけじゃないんです。そこにいてくれれば！そこでこずえの温もりを感じさえできれば！。そう思いませんか、ちひろさん！？
ちひろ,んー…大げさな気もしますが……でも言いたいことは分かりますよ。こずえちゃん、不思議な魅力がありますもんね
P,ああ、そうか。ちひろさんはこずえの毒牙にかかったことがありましたもんね
ちひろ,毒牙って言わない。こずえちゃんに膝枕してあげただけですよ
P,でも……よかったでしょ？
ちひろ,……はい
P,っし！
ちひろ,なんですかねーあれ。なんだかほんとに自分の娘を愛でてるような気分になるんですよね……娘なんていないのでなんとなくですが
P,わかりますわかります。だからよーし、パパ頑張ってお仕事早く終わらせるぞー！って気持ちになるんですよ。これは捗る
ちひろ,捗りますねー
P,あー、子供欲しくなりますねー
ちひろ,欲しくなりますねー。……プロデューサーさんとの間にほしいなぁ
P,なんです？
ちひろ,……なんでもないです
P,？。じゃあ…次に行きますよ？
ちひろ,はい
P,次は小梅ですねー
ちひろ,お願いします。確か小梅ちゃんは、右側で服の端っこを掴んでて欲しいんでしたっけ？
P,そうですね。ぎゅっとつまむ感じでいてほしいですねー。早く終わらせて映画見るぅぅぅぅぅぅぅ！
ちひろ,だめみたいですね
P,小梅は…なんでしょうね、なんというか癒しでもあるんですが……
ちひろ,応援してくれる感じですかね？
P,そうそう、そういう感じですね！あくまで早く映画がみたいという理由なんですが、小梅に急かされると自然と仕事が捗りそうなんですよね。これが小梅流の応援なのかもしれない
ちひろ,捗ってるのは妄想の方ですけどね。というか、前にあんな感じで催促されてた時ありませんでしたっけ？
P,えぇ。前は映画じゃなくテレビで特集がやるからーという理由でしたが……えぇ、仕事の捗ったこと捗ったこと
ちひろ,たしかにあの時のプロデューサーさんは鬼気迫るものがありましたね。つまりさっきの妄想は実体験によるものだったと
P,そういうことです
ちひろ,……全然関係ないですけど、この頃あぁいう心霊とかUFOとか、そういうのの特別番組、やらなくなりましたよね
P,あ、ちひろさんも思います？俺、けっこうホラー番組の好きなんですけどね……子供のころより少なくなってる気がしますよ
ちひろ,ネットで、どれだけでも見れるからですかねぇ。ガセとか偽物とかも多いですし
P,あーありますよね。いやこれ絶対CGだろ！ってやつ
ちひろ,ありますねー
P,……この話題、もうやめときますか
ちひろ,……そうですね。なんとなくツッコんではいけない気がします
P,えっと次は、芳乃ですね
ちひろ,はい。確か、背後で法螺貝を吹いていてほしいでしたっけ……なんですかこれ。あれですか、法螺貝の音をBGMに仕事をしたいってことですか？
P,そんな酔狂な人間ではないです。法螺貝はこう使ってもらうんですよ。……
ちひろ,…プロデューサーさん？
P,……尊い
ちひろ,さすがに泣き出すのはドン引きです
P,なんでしょうねあの芳乃の魅力は……。俺の全てを包み込んでくれる気がするんです
ちひろ,はぁ
P,あれはまるで母親の愛、いや違う。もはや世界を見守る神様の愛に近いものを感じるんです。あの温もりに包まれることができたら、どれだけの癒し効果があるか……考えただけでも恐ろしい
ちひろ,神様は……言い過ぎと言えないところが怖いですね
P,神様というより、芳乃の立場的には仏様なのかもしれませんが
ちひろ,あと法螺貝は、端的に言ってしまえば目覚ましだったわけですね
P,そうですそうです。あの法螺貝だったら一発で目も覚めることでしょう。法螺貝の音ではっと目を覚ますと、芳乃の柔らかい微笑みがある……あぁなんと幸せなことか
ちひろ,まぁ法螺貝が耳元でなったら起きざるを得ないですよね
P,もう、芳乃を枕元に置いときたいくらいですもん。さっそく芳乃に連絡して――
ちひろ,さすがに家に連れ帰るのはダメですよ？
P,ダメですか？
ちひろ,ダメに決まってるでしょ！なにアイドルに手を出そうとしてるんですか！
P,手は出しませんよ！……手は出しませんよ、手はね
ちひろ,なにを出すつもりなんですか
P,なにって……まだ夜じゃないのにそんなこと言えませんよ
ちひろ,千枝ちゃん呼びますね
P,ああやめて！この頃の千枝は、ゲスい話をふっても赤面するだけじゃなくて受け入れOKみたいなすごくいやらしい顔をこっちに向けてきて逆に怖くなってきたやつなんですから！
ちひろ,これ早苗さん呼ぶより効果あるな……
P,あぁもうそんな話はいいんです。今は癒しの話ですよ癒しの話！まったく、ちひろさんが下ネタなんて言うから……
ちひろ,志乃さん呼びますね
P,ああやめて！この頃の志乃さんは、日に日に妖艶さが増してきてただただエロくなってくるしボディタッチと誘惑されることが多くなってきて下ネタなんざ振ろうものなら合意ということでって無理やり襲われちゃう感じで逆に怖くなってきたやつなんですから！
ちひろ,これからは千枝ちゃんと志乃さんを呼ぶことにしよう
P,プロデューサーは日夜戦いの日々を送っているのだ……聖戦ならぬ、性戦を
ちひろ,お疲れ様です、頑張ってくださいねー
P,全然心がこもってないんですがそれは
ちひろ,自業自得です。……そうですよ、プロデューサーさんが私たちの気持ちに気づいてくれないのが悪いんです
P,すみません、今なにか――
ちひろ,なんでもないです。ささ、最後のライラちゃんの話をしましょう
P,あぁ、そうですね。えっとライラはー
ちひろ,プロデューサーさんの周りをウロウロでしたっけ
P,そうですね。ライラの場合は…。いじわるしてごめんよおおおおお！アイスもナデナデも両方ライラにあげるうううう！
ちひろ,そろそろドン引きメーターが振り切れそうです
P,ただただ、ただただライラと一緒にアイスが食べたいだけの人生でした
ちひろ,人生とまで言いますか
P,俺ライラのこと大好きなんで
ちひろ,プロデューサーとしてあるまじき発言ですね
P,もちろん、他の担当の子のことも大好きですから何の問題もないっす
ちひろ,…はぁ、プロデューサーさん。あんまり好きーとか、言わない方が良いですよ？多感な時期の子だっていますし、勘違いしちゃう子もいるかもしれませんから
P,ははっ、俺なんかに言われて勘違いしちゃうような子はウチの担当にはいませんよ
ちひろ,……はぁ、ほんとにこの人は
P,？
ちひろ,ともかく、アイドルの子たちに、そう言う事言うのは控えてください。分かりましたね？
P,はぁ
ちひろ,……アイドル以外には、言ってもらってもかまいませんけど
P,なんですって？
ちひろ,なんでもないですー
P,なんですかいったい……まぁでも、ライラは恋人とかっていうより、娘、なんですよね
ちひろ,娘、ですか
P,もちろん、ライラの歳……16歳の娘を持つような年齢ではないんですけど、なぜか妙に父性をくすぐられるといいますか、なんでもしてあげたくなっちゃうんですよね
ちひろ,あー、それはなんとなく分かる気が
P,毎日アイスを買ってきてあげたいし
ちひろ,うんうん
P,オシャレな服もたくさん買ってあげたい
ちひろ,そうですね
P,おいしいご飯もいっぱい食べさせてあげたいし
ちひろ,いいですね
P,家賃も俺が払ってあげたいくらいです
ちひろ,それはダメですね
P,ええっ！？
ちひろ,金銭問題にはトラブルはつきものですから。アパート代なんていう大金ならなおさらです。プロデューサーなんですからそこら辺は慎重にお願いします。いいですね？
P,そんなマジレスしなくても……ちょっとした冗談――
ちひろ,い・い・で・す・ね？
P,……はい。気を付けます。お金関係の話になると目の色が変わるなこの人は……ちひろさんに怒られてしまった。だがちひろさんの言う通りだ。少々軽率すぎたな…
ちひろ,……まぁご飯をおごるくらいなら、問題ないでしょうし
P,！
ちひろ,ライラちゃんにおいしいもの、いっぱい食べさせてあげてくださいね
P,……はい！。あ、メールだ
ちひろ,今のメールの着信音だったんですか……
P,ふむふむ
ちひろ,なんでした？仕事の連絡ですか？
P,いえ、あいさんからでした。ジュニアの子たちの仕事が終わって、今送り迎えも終わったそうです
ちひろ,あぁ、そうだったんですか。……確かに、もう夕方ですもんね。今日はもう事務所に帰ってくる子もいない予定ですし、あとは私たちですね
P,ですね。仕事も大成功だったみたいで、みんな早く俺に話したいってうずうずしてたそうです
ちひろ,ふふっ、そうですか
P,いっぱい褒めてあげないとなぁ
ちひろ,ぜひそうしてあげてください。ジュニアの子たち、プロデューサーさんに褒められるとすごく嬉しそうにしてますから
P,ですねー。撫でてやった時のあの、えへへーって顔ほんと癒されますからねぇ
ちひろ,あぁでも、ジュニアの子たちだけじゃなくて中高生の子たちとか、大人組の人たちもちゃんと褒めてあげてくださいね？
P,ええ、ちゃんとお礼は言っておきますよ
ちひろ,それもそうですが……プロデューサーさん、最近、彼女たちの事ちゃんと褒めてあげてます？
P,んー……そうですねー。言われてみれば、感謝や労いこそすれど褒めるってことはあまりしてないと思います。仕事にも慣れてくれてみんなしっかりしてきてますし。なにより褒めるって馴れ馴れしい感じがして、あれぐらいの大きい子たちだと煙たがられそうで……
ちひろ,ダメですよー、ちゃんと褒めてあげないと。プロデューサーさんだったら嫌がる子なんていないと思いますから
P,そうですかね…
ちひろ,そうですよ！いいですかプロデューサーさん。何歳になっても、親しい相手から褒められると嬉しくなっちゃうものなんです！プロデューサーさんだってそうでしょう？
P,それは……そうですね。恥ずかしいとは思いますが
ちひろ,私だってそうです。だから、時にはちゃーんと頑張ったなって褒めて、頭とか撫でてあげてくださいね？。恥ずかしがる子が多いでしょうけど……内心絶対嬉しいはずです。……私だって
P,……
ちひろ,……プロデューサーさん？
P,あぁ、すみません。いや、ちひろさんの言う通りだなと思ってたところです
ちひろ,フフーン、私だっていいこと言うでしょう？
P,ははっ、幸子の真似でですか？
ちひろ,似てました？
P,うーん、50点？
ちひろ,思ったより厳しいですね！
P,はははっ
ちひろ,もうっ！……ふふっ
P,……よっし、終わったー！
ちひろ,ええ？終わったって……仕事がですか！？
P,はい
ちひろ,雑談しかしてなかったのに
P,実は、さっきあの最強の布陣を考えているついでに、終わらせてたんですよ
ちひろ,ええっ、あの間に
P,フフーン！すごいでしょ！
ちひろ,もう物真似で返さないでくださいよ！
P,はははっ。まぁもともとそこまで量が多かったわけじゃないので……よし。じゃ、そういう事なんで
ちひろ,はい、お疲れ様でした。今日は直帰なんですか？
P,いえ。ちひろさん、一緒に食事でも行きませんか？
ちひろ,――え？
P,いえ、だから……一緒に食事にでも行きませんか？
ちひろ,……
P,ちひろさん？
ちひろ,…はっ！すみません、ちょっと予想外すぎたもので……
P,予想外ですか…？まぁ確かに最近はこうやってお誘いすることもほとんどなくなっちゃいましたもんね。だから久しぶりに、と思ったんですが。急すぎましたかね、すみません…
ちひろ,い、いえ！プロデューサーさんが謝ることでは！
P,…ダメですかね？
ちひろ,そんな！ダメだなんてことないです！すっごく嬉しいし行きたいですけど……その、私、まだ仕事が
P,あぁそれなら終わらせましたよ
ちひろ,……はい？
P,ちひろさんの仕事って、あとはこのデータの書類作成だけですよね？
ちひろ,あ、はい。そうです
P,それならほら、もうやって送信も終わってますから
ちひろ,ほんとだ、終わってる……
P,でしょ？これならちひろさんも上がっていいですよね
ちひろ,それはそうですけど……でもいつの間に？第一、なんで私の仕事のこと把握してるんですか？
P,なんでって…言ったじゃないですか。俺、ちひろさんの事ずっと見てましたから
ちひろ,……
P,って、なんかこう言うと変態みたいですね！あははっ、すみません忘れてください
ちひろ,……
P,ちひろさん？顔赤いですけど……大丈夫ですか？
ちひろ,……今のは、卑怯です
P,はい？
ちひろ,なんでもないです！……ありがとうございます。食事、行かせていただきます
P,そんなにかしこまらなくても。でも断られなくてよかったです。これで断られてたら俺、変に頑張ったみたいで空しくなってと思うんで
ちひろ,そんな、プロデューサーさんのお誘いを断ることなんてありえませんから！
P,はははっ、それなら嬉しいです。それじゃあ行きますか
ちひろ,はい！
P,どこ行きましょうか？
ちひろ,あ、じゃあ、前に言ってたレストラン！あそこ行きませんか？夜もやってるみたいですし
P,あの雰囲気よさそうだって言ってたとこでしたっけ？
ちひろ,そう、そこです！
P,いいですね。じゃあ、そこにしましょうか。俺、運転しますね
ちひろ,はい♪
P,あ、そうだ。その前に
ちひろ,……？どうしたんですか、振り向いたりして。あ、忘れものですか？
P,まぁ忘れ物と言えば忘れものですね
ちひろ,？
P,ちひろさん。いつもお疲れ様です。俺達のために遅くまでありがとうございます。頑張ってるのちゃんと見てますから……これからも、よろしくお願いしますね
ちひろ,……
P,……
ちひろ,……
P,……えっと、さっき、ちひろさんも頭を撫でて褒められたい……みたいなことを言ってたので、やってみたんですが……
ちひろ,……
P,ちひろさん…？
ちひろ,……もー
P,もー？
ちひろ,もー！もー！
P,いててっ、いてててっ！な、なんですか！？
ちひろ,不意打ちすぎなんですよー！もー！
P,不意打ちって、なんのこと……
ちひろ,ふーんだ！もうプロデューサーなんて知りません！
P,ええっ！？なんでですか！？
ちひろ,べーっ！
P,わわっ、ちょっと！先行かないでくださいよ、ちひろさーん！
ちひろ,もう！プロデューサーさんは……ほんとにずるいです人です！。……ふふっ♪
P,そばに置いておきたいアイドル第二弾、考えてみました
ちひろ,聞きましょう
P,テーマは最高の柔らかさをあなたに
ちひろ,…うん？
P,まず、俺は膝の上に里美を乗せてます。里美はおどおどしつつも落ち着きますぅとか言いながらこちらに身を寄せてきます
ちひろ,はい
P,そして右側では、酔った早苗さんが俺の腕を抱きしめるようにして絡んできます
ちひろ,すでに酔ってるのか…
P,そして左側では、俺の肩を枕にして雫が寝ています。枕とはいえ、結構体重をかけてきていてすごく密着しています。
ちひろ,ふむ
P,そして拓海がまだ仕事終わんねぇのかよーとか言いつつ背後からヘッドロックをしてきます
ちひろ,……
P,そして最後に、時々雪乃が様子を見に来てくれて、疲れているようなら紅茶を淹れてくれつつ体を寄せてきます
ちひろ,……なるほど
P,どうですこの布陣は！
ちひろ,…プロデューサーさん
P,なんでしょう
ちひろ,その布陣を、超簡潔に、一言で言ってしまうと？
P,おっぱい
ちひろ,やはり
P,柔らかい雰囲気で包み込むとかじゃないです。物理的柔らかさで、すべてを支配します
ちひろ,とんでもないユニットができそうですね
P,ユニット名は合計475センチメートルにしましょう
ちひろ,ゲスすぎます
P,第三弾です
ちひろ,はい
P,今回は、俺の個人的趣味を前面に押し出しました
ちひろ,聞きましょう
P,ではいきます。テーマは最高のドバイをあなたに
ちひろ,……うん？
P,まず、膝の上にスーパーカップを頬張るライラさん
ちひろ,知ってた
P,そんで、右側でピノを頬張るライラさん
ちひろ,知ってた
P,ほんで、左側でジャイアントコーンを頬張るライラさん
ちひろ,知ってた
P,そんで背後からの、ライラさんがガリガリ君を食べる時のｼｬｸｼｬｸという咀嚼音をBGMに仕事がしたい
ちひろ,それは知りたくなった
P,どうですこの完璧な布陣は！
ちひろ,ただのライラちゃん大好きな人じゃないですか！
P,そうだよ！！！！
ちひろ,もうやだこの人！
上位をとったアイドルには,おめでとう
そしてライラには,お疲れさま
