モバＰ,なにをしてるんだ、愛海
Ｐ,おお、みちるか。なにをしてるんだ――食べてるんだな
みちる,あははー、その通りですよ。プロデューサーもどうですか。味は保障しますよ！
Ｐ,それなら、一つ貰おうかな。……その紙袋の中身、それ全部食べるのか
みちる,もちろん！と、言いたいところですが、私が食べるのは半分くらいですね
Ｐ,あれ、そうなのか。半分でも、充分多いけど
みちる,はい。あとの半分は、プロデューサーや皆に分けてあげるためのパンですから
Ｐ,ん、いつもありがとな
みちる,べつにいいですよ、私はプロデューサーと食べることも好きだし！
Ｐ,嬉しいことを言ってくれるなぁ
みちる,ちょっと恥ずかしいですね。――あれ、パンがもうなくなっちゃった
Ｐ,半分以上食べてるじゃねえか
及川雫,Ｐさん、Ｐさん。見てくださいー
Ｐ,どうした、雫
雫,テレビに牛さんが出てるんですよー。とっても可愛いです
Ｐ,か、可愛い……のか
雫,もぉー、可愛いじゃないですか。――牧場の牛さんが恋しくなりますねー
Ｐ,ふむ、やっぱり、牛の世話なんかもしてたのか
雫,いろいろしてましたよー。その中でも一番好きなのは、やっぱりお乳を搾るときです
Ｐ,乳搾りねぇ。一度はしてみたいもんだ
雫,なら、今度一緒にしてみましょー！牛さんの可愛さに、気づくはずですよー
Ｐ,はっはっは、休みが合えばな。……ところで、乳搾り以外にも好きな世話ってあるの？
雫,もちろんです。たとえば、種牛さんから人工膣でせいえ
Ｐ,ストップ
佐々木千枝,Ｐさん、シャツのボタンが取れかかってますよ
Ｐ,む、本当か
千枝,良かったら、千枝が縫いましょうか
Ｐ,んー、すまん、頼む
千枝,はい。それじゃあ、その、シャツを脱いでもらって……
Ｐ,おう、頼むぞ。千枝
千枝,……やっぱり、Ｐさんって大きいんですね
Ｐ,そこまでじゃないと思うが
千枝,こんなに大きいと、千枝、ちょっと困っちゃいます。初めてですから……こんなに大きいのをするの
Ｐ,ボタン付けの話だよな！？
千枝,え、え、そうですけど？
Ｐ,……なにをしてるんだ
藤本里奈,あり、プロデューサーじゃん。なんか、おこな感じ？
Ｐ,怒ってはないが、なんで立ち読みなんてしてるんだ？
里奈,そんなの、暇つぶしにきまってるっしょ
Ｐ,あのなぁ、アイドルがそんなことをするんじゃない
里奈,だいじょぶ、だいじょぶっ。スイーツも買うし！
Ｐ,イメージの問題だっての
里奈,んー、アタシのイメージなら、意外とイケる系じゃない？
Ｐ,むぐぐ、そりゃそうだが
里奈,ほらほら、まぢで会えるアイドルってことで、よろー
Ｐ,会える場所がコンビニのアイドルって……
キャシー・グラハム,Ｐサーン、ワタシ、テイアン、アリマス
Ｐ,なんで片言なんだ
キャシー,もう、ジョークに決まってるじゃん！それでさ、次のライブでしたいことがあるんだ
Ｐ,オレンジの着ぐるみでも、着るのか
キャシー,そんなわけないでしょー。それに、私が推してるのはミカンだし
Ｐ,分かった、分かった。言ってみなさい
キャシー,オッケー！私さ、インラインスケート出来るんだよ
Ｐ,アメリカっぽいな
キャシー,私の数あるアメリカ要素の一つだね
Ｐ,……もしかして、ライブで？
キャシー,イエス、その通り！ライブでスケートしたいなってね。あと、鉢巻もしようかな
Ｐ,少年隊じゃねえか
キャシー,バレちゃった？
ヘレン,Ｐ、こっちに来なさい。特別に私の横を空けてあげるわ
Ｐ,もともと空いてるでしょうに
ヘレン,座るの、座らないの？決断を鈍らせると、遅れるわよ
Ｐ,いったいなにに？
ヘレン,私という波によ。……ほら、始まった
Ｐ,ああ、ＤＶＤを見てたのか
ヘレン,私から言わせれば、見始めた、ね
Ｐ,揚げ足をとっただけだろうに。……世界の風景？
ヘレン,外に思いをはせるのは、私の特権だから
Ｐ,平等な権利だぞ
ヘレン,――Ｐ、ここの仕事なら……私を魅せることができるんじゃないかしら
Ｐ,……北極で輝く魅力ってなんだ？。お、幸子。また勉強か
輿水幸子,正確にはノートの清書ですけどね
Ｐ,似たようなものだろ。……どれどれ
幸子,ボクのノートがそんなに気になりますか。ふふん、まあ、ボクのノートだから、仕方ないですね！
Ｐ,……なあ、幸子。この清書する前のノートって、日本語なのか
幸子,ええ、そうですよ。ボク以外には読めませんけど
Ｐ,確かに、読めないな。なんで清書前と後でこんなに差が
幸子,あ、勘違いしないでください！清書する前は、速記法で書いてるだけなんですから！
Ｐ,いや、授業中も普通に書けば良いだろ
幸子,ボクなりの工夫なんです。良いでしょう、もう！
堀裕子,いきますよ、プロデューサー
Ｐ,……ああ
裕子,いっせーのーっで、むぐぐ……
Ｐ,ふんっ
裕子,あ、力技で曲げないでくださいよ！
Ｐ,スプーンなんて、こうすれば曲がるんだぞ
裕子,知ってますよ！それを念動力で曲げるから、トレーニングなんじゃないですかっ
Ｐ,俺は裕子に、さいきっく力技の素晴らしさを知ってほしくてだな
裕子,あれは最終手段なんです。どうしても失敗したときに、披露するものなんです
Ｐ,いや、もっと上手い誤魔化し方があると思うが
裕子,ともかく、もう一回ですよ！いっせーのーっで――
Ｐ,ふんっ
裕子,プロデューサー！
松尾千鶴,なんですか。見られてると、集中できないんだけど
Ｐ,ん、ああ、すまん
千鶴,ふんっ……もう少し、粘っても
Ｐ,……千鶴は字が綺麗だな
千鶴,習ってるんだから、当然です。……見るなって、言ってるのに、嬉しいけど
Ｐ,見たらいいのか、悪いのか、どっちなんだ
千鶴,え、も、もしかして聞いてたんですか！
Ｐ,むしろ聞かされたというか
千鶴,言い分けはいいです！……もう、恥ずかしいのに
Ｐ,どうしろっていうんだよ。なあ、杏
双葉杏,あー、なにー？
Ｐ,趣味がないってどうなんだ
杏,趣味……ああ、プロフィールの？
Ｐ,そうだ。なんかないのか。寝る、とかでも良いから
杏,じゃあそれで
Ｐ,お前な……
杏,だって、考えるのめんどいし
Ｐ,ほら、飴やるから考えてくれ
杏,最初からそうすれば良いんだよ。――ほい、これでどう？
Ｐ,まったく……プロデューサーから餌付けされること
杏,もう趣味の領域だよね
Ｐ,却下
メアリー・コクラン,どう、Ｐ、とってもセクシーでしょ？
Ｐ,あー、うん、確かに扇情的だな
メアリー,そうネ、センジョー的だワ！
Ｐ,だから、もっとサイズの合った服を着ような
メアリー,もう、分かってないわネ。これは着崩してるのよ？
Ｐ,ふむ、胸が半分見えかけてるのも、わざとか
メアリー,フフンッ、ダーリンになら、見られても平気だワ
Ｐ,へそが丸見えなのも
メアリー,セクシーでしょ？
Ｐ,パンツが丸見えなのも
メアリー,え、わ、わ――もっと先に言って欲しかったワ……
Ｐ,セクシーだったからな。泰葉、なにをしてるんだ？
岡崎泰葉,昔作ったドールハウスに……少しだけ手を加えてるんです
Ｐ,へぇ、どれどれ。家具を幾つか加えてるな。椅子や食器を、二人分にしているようだ
泰葉,――これはもともと、一人用の家という設定で作りました
Ｐ,ふむ、設定を変えたのか
泰葉,はい。……一人から、二人に
Ｐ,どんどん増えていきそうだな
泰葉,ふふっ、そうかもしれません
Ｐ,百人くらいに
泰葉,……それはちょっと
ちひろ,プロデューサーさん、突然ですが、あなたはアイドルをちゃんと知っていますか
Ｐ,藪から棒に、いったいなんですか
ちひろ,例えば、杏ちゃんの趣味はなんでしょうか！
Ｐ,え、杏の趣味……えっと、ゲームとか、だらけるとかですかね
ちひろ,違います！正解は――ない、でした
Ｐ,……ひっかけじゃないですか
ちひろ,プロフィールにちゃんと目を通していれば、分かったはずですよ？
Ｐ,むぐぐ、それを言われると……
ちひろ,プロデューサーさん、アイドルの趣味くらいは把握しておいてくださいね
Ｐ,……はい。よし、みんなの趣味を覗いてみるか！
