①晴ちんに対しての非合法的な行為,例・ラ○ホに連れてく
早苗,よくもまぁ、ぬけぬけとそんなこと言えたものね！今まで君がどれだけ晴ちゃんをラブホに連れ込んだと思ってるのよ！！
Ｐ,ま、待ってください！！そもそもさっきからラブホラブホって、俺が何回もしたみたいに言ってますけど。そもそも俺がいつそんなことしたんですか！？
ちひろ,いつってそりゃ――――。あ、あれ……？。え、えっと………い、いつだったかしら……でも、この前も連れ込んだじゃ―――えっ、でもそれって……いつのこと……？
早苗,ど、どういうこと！？記憶にない……？
Ｐ,当たり前ですよ！だって俺はそんなことしていませんし。仮に一回でもそんなことしたら今頃俺は刑務所で臭い飯を食べてますよ
早苗,そ、それもそうよね……
ちひろ,そ、そうだ！別の世界線のことですよ！！こことは違う世界でプロデューサーさんは晴ちゃんに対しエロ同人的な展開を―――
Ｐ,……別の世界線って……何ですかそれ…？中二病ですか？
ちひろ,えっ
Ｐ,ちひろさん、ここは現実なんですよ！アニメや漫画の世界ではないんです！読者などは存在いたしません！！
ちひろ,あっ……うっ……あああっ………
Ｐ,二人ともおかしいですよ！！いい加減目を覚ましてください！！
早苗,た、確かにＰくんの言う通りよね………どうしちゃったのかしら私達……？
ちひろ,でも、何かおぼろげにフラッシュバックするんです……プロデューサーさんは何度も晴ちゃんを……うっ、頭がッ！！
Ｐ,だ、大丈夫ですか！？
ちひろ,す、すいませんプロデューサーさん……どうやら、何か勘違いしてたみたいです……
Ｐ,今日は仕事をしないでじっくりと休んだ方が………
早苗,そ、そうね……きっと疲れてたのよ……。ごめんねＰくん……いきなりわけのわからないこと言ってシメちゃって……
Ｐ,いえ、どうかお気になさらずに
ちひろ,そ、それでは仮眠室で休んでますね……
Ｐ,は、はい。二人とも、どうかお大事に……
晴,なぁ、ちひろさんと早苗さんはどうしちゃったんだ？
Ｐ,仕事のし過ぎでちょっとおかしくなっちゃったんだろう。俺も経験があるからわかる。少し休めば元に戻るから心配はいらないさ。それじゃあ、気を取り直して、早速出かけるとしようか
晴,なぁ、Ｐ。一体どこに連れてってくれるんだ？
Ｐ,さぁ、どこかな～？
晴,なんだよもったいつけて……もしかし、サッカー観戦か！？
Ｐ,いや、残念がら今日やってる試合はなかったんだ
晴,そっか……じゃあどこに向かってるんだ？
Ｐ,フフフッ、それは着いてからのお楽しみだ～♪
晴,む～、なんだよ……いい加減教えろよな。ったく………。ん？あれは………？
Ｐ,どうした晴？
晴,なぁＰ。あそこに見えるあの建物ってなんなんだ？
Ｐ,ん、どこだ？どの建物だ？
晴,あの奥にあるアレだよ。あの―――。お城みたいな建物のやつ
Ｐ,あー……あのお城みたいなのか……うん、晴にはまだ早いな
晴,オレには早いって……どんな場所だよ？
Ｐ,興味があるならちょっと寄ってみるか？まだ時間には余裕があるから、休憩がてらに行ってみてもいいかもな
晴,休憩って、そんなことできるような場所なのか？
Ｐ,ああ、そうだな。うん。休憩と言えば休憩だな。うん。嘘はついてないな。それにこれは晴から誘ってきたことだから、俺に非はまったくないな。うん、俺はまったく悪くない
晴,な、なんだよ……その言い方？あ、あの建物って何かヤバいとこなのか！？
Ｐ,まぁ、とりあえず行ってみようぜ。別に恐い場所じゃ……ないからさ
晴,んっ……あっ……あっ……！
Ｐ,こら、静かにしてないとダメだろ？
晴,で、でもオレ……こういうとこ初めてで……んっ！
Ｐ,だから我慢しろって。ほかの人も利用してるんだから
晴,で、でも―――ッ！
Ｐ,だからおとなしくしろって。さもないと……罰を受けるかもしれないぞ？
晴,うっ…あっ……うぅ………。あ～もう！我慢できねぇ―――！！
Ｐ,こらこら、騒ぐなっての。ここは教会なんだからさ。やれやれ、こらえ性のないやつだ。教会では静かにするのは基本マナーなんだぞ？まぁ、幸いにも俺たち以外に人はあまりいないからいいけれど
晴,わ、悪かったよ………でも、このお城みたいな建物が教会だったなんてな。この固っ苦しくて、何か壮大な感じの雰囲気、何か落ち着かねぇぜ
Ｐ,ここは日本国内でも一二を争う大きなカトリックの教会でな。本場外国の教会にひけをとらない造りとなっていて、本当に中世にあった城みたいに立派なところだよな。ほら、あそこにあるステンドガラスなんて、すごく綺麗だろう？
晴,う～ん。正直よくわかんねぇな
Ｐ,ここは結婚式の会場としても人気でな。予約も一年先まで埋まってるらしい
晴,へぇ、そりゃすげぇな
Ｐ,晴もいつか……こういう場所で結婚するのかな……
晴,ば、バカッ！///急に何言ってんだよ！///
Ｐ,ハハハッ、すまんすまん。それじゃあもういい頃合いだし。そろそろ出るとするか
晴,ん―。なぁ、いい加減どこ行くのか教えろよ
Ｐ,だから着いてからのお楽しみだって言ってるだろう？
晴,いや、もういい加減気になるからさ
Ｐ,しょうがないなぁ～。それじゃ、ヒントだけ教えておこう。俺達が向かっている場所は、一番上にラで始まって一番下にルで終わる単語の場所さ
晴,一番上がラで一番下がル……？えっ、何だ？全然わかんねぇ
Ｐ,まぁ、楽しい場所なのは保障しよう。そして気持ちよくなる所かな
晴,気持ちよくなる？
Ｐ,ああ。天国にまでイッテしまいそうになるぐらいに……な
晴,あっ、あっ……すごい……こんなの…初めて……///
Ｐ,そうだろそうだろ？中々イイモノだろう？
晴,すげぇ……本当にすごく気持ちいい……///
Ｐ,そんなに気持ちいいか？
晴,うん……それに何だか身体も火照って来て……///
Ｐ,フフフッ、そうかそうか。ここでは声を我慢する必要はないから、思いっきり声を上げていいぞ
晴,で、でもよ……な、なんだか…恥ずかしい……///
Ｐ,クククッ、何も恥ずかしがることはないんやで。なぜなら―――。ここはL'Arc～en～Cielラルクアンシエル
晴,すげぇ……この熱気！
Ｐ,流石ラルクのライブだな。この国立競技場で満杯になっている観客全員の心を鷲掴みしている。チケットがあっという間に売れ切れになるのも納得ってもんだ
晴,流石だな。ってかよくそんな状況でチケットを手に入れられたな
Ｐ,765のプロデューサーさんからもらってね。なんでも所属アイドルの中にラルクの熱狂的なファンがいるらしい
晴,へぇ、そうなんだ……誰だろ？
Ｐ,まぁ、正確には所属アイドルでなく、所属アイドルの中の人だがな
晴,中の人？
Ｐ,いつか晴にも中の人がつくといいなぁ……
晴,？？？。あっ、この曲聞いたことある！
Ｐ,ハガレンのテーマソングだったな。俺もこの曲が大好きで、今でも作業用で聞いてるなぁ
晴,すげぇ……本当にカッコイイ……！オレも将来あんなカッコイイアイドルになりたいなぁ～！
Ｐ,ハハハッ、確かに。案外晴にもああいうの似合うかかもな
晴,だったら次は、ああいう感じにしてくれよな
Ｐ,…………
晴,おい、なんで目を逸らすんだよ！。いや～、楽しかったぜ！
Ｐ,喜んでくれたようで何よりだよ
晴,正直、ああいうのにまったく興味なかったけど、行ってよかったぜ！
Ｐ,今後のアイドル活動に置いても、参考になったりしたかな？
晴,ああ！そうだなｒ。うっ…///
Ｐ,おっ、腹が減っちまったか？確かにもうそんな時間か。よし、なら俺の家に寄ろうか。この日のために料理を作って置いたからな
晴,えっ、Ｐの手料理？ってかあんた料理できたのかよ？
Ｐ,まぁな。お前に食べさせてやろう。俺のとっておきの、白くてドロッとしたものをな
晴,白くて、ドロッとした………料理？
Ｐ,ああ。そしてタンパク質が豊富な………やつをな
晴,んっ……あっ……や、やめろよぉＰ……///
Ｐ,おらおらっ！抵抗しないでおとなしく咥えろ！
晴,んんっ！！げほぉげほぉ！
Ｐ,こら！吐き出さないでちゃんと飲み込むんだ！
晴,む、無理……苦くて……///
Ｐ,苦い？そんな訳あるか。ほら、もう一度俺のソーセージを咥えるんだ！
晴,や、やめっ………んんんんっっ！！///。やめろって言ってんだろ！本当に苦いんだよ！！。Ｐの作ったシチュー！！
Ｐ,そんなはずないだろう。ちゃんと手順通りに作ったクリームシチューだぞ
晴,いや、本当に苦いんだよ。まるで風邪薬みたいにさ
Ｐ,どれどれ……ﾓｸﾞﾓｸﾞ……ブホォ！な、なんじゃこりゃ！？本当に苦い！
晴,だろ？
Ｐ,おっかしーな。なんでこんな味になっちまったんだ……？
晴,間違えて変な物でも入れちまったんじゃねぇの？
Ｐ,ＯＨ……。すまんな晴。折角の誕生日だったのに、最後の最後でヘマをやらかしちゃって……
晴,別に気にしてねェからいいよ。それにＰの手料理って時点で、何か嫌な予感はしてたしな
Ｐ,ぐぬぬぬ………悔しいが、この体たらくでは反論できない……
晴,でもよ。それ以外の事では、オレは十分に楽しめたぜ。教会にしろ、ラルクのライブにしろ、Ｐが連れてきてくれなかったら、行くことなんてなかったろうしさ。Ｐが色々としてくれたおかげで、今日はオレにとって凄く楽しい誕生日だったよ
Ｐ,は、晴……。ありがとうな、晴。お前がそう思ってくれたのなら、俺は嬉しいよ
晴,な、なんだよそれ……何か調子狂うな……///
Ｐ,―――よし。キリもいいし。そろそろお開きとしますか
晴,そうか……もうそんな時間か……
Ｐ,最後に晴、これを受け取ってくれないか？
晴,えっ、これって誕生日プレゼントか？こんなのまで用意してくれたのか？
Ｐ,当たり前だろ
晴,何か悪ぃな……こんなことまでしてくれて………
Ｐ,何言ってるんだよ。大切な担当アイドルの誕生日なんだ。プロデューサーとして当然のことをしたまでさ
晴,Ｐ………///
Ｐ,ほら、開けてごらん
晴,あ、ああ！へへっ、何が入ってんのかなぁ……///。…………。フリフリの衣装………。しかも、何だか露出度が高い………
Ｐ,どうだ？中々いいセレクトだろう？可愛らしいと同時にエロさも加わっている！。最近、お前にはカッコイイ系の仕事が多かったけど、やっり俺としては、エロ可愛い系の路線で攻めていきたいと思うんだよねぇ～♪。そういう俺の意思も込めて選んだけれど、どうだ？気に入ってくれたか？。早速着てくれたりしてくれると、俺としては嬉しいんだけどなぁ～♪ほれほれ、着てみてよぉ～。な、な、なぁ？
晴,…………
Ｐ,ん？晴？
晴,この…………ヘンタイがッ！
Ｐ,ぐほぉぁ！
晴,ったくよぉ………あんたはすぐそうやって調乗りやがって……ロリコン野郎が
Ｐ,わ、悪かったよ晴………機嫌直してくれよ
晴,フンッ……！
Ｐ,ほ、本当に反省しているからさ………なぁ？
晴,………しゃーねーな。これから一緒にサッカーに付き合ってくれたら許してやるよ
Ｐ,えええぇぇぇ！？今からか！？
晴,だいたい、俺はパーティをしてもらうよりも、こうやって体を動かす方が好きなんだからよ
Ｐ,ちょ、ま、マジで今からサッカー？！
晴,ほら、行くぞＰ！早くしろっ！
Ｐ,うわちょ、お待ちください！
晴,……へへっ♪
Ｐ,さて……そろそろ人の気配が少なったかな
晴,ん？何か言ったかＰ？
Ｐ,いや、なんでもないよ
晴,そうか？だったらサッカーの続き―――んっ？。あ、あれ……なんだか身体が熱い……
Ｐ,どうした晴？大丈夫か？
晴,あ、ああ……。でも、なんだか身体が火照って……ハァ…ハァ……///
Ｐ,…………シチューに入れてたものがそろそろ効果が出始めたか
晴,Ｐ……？い、今何て………？
Ｐ,何も言ってないよ。それよりも大丈夫か？どこか痛いところはあるか？
晴,ハァ……ハァ……///い、痛くはない……で、でも……心臓が……ドキドキしてるような……///
Ｐ,むむっ、それはもしかしたら変な病気にかかってるのかもしれないな―。おっ、ちょうどよく。近くにお城みたいな建物があるぞ―――
晴,ハァ……あ、あれ……きょ。教会じゃ……ない……ハァハァ……///
Ｐ,それじゃあ晴。体調悪いみたいだし、とりあえずあのお城みたいな建物に入ろうかー？
晴,えっ……あっ……ああっ……
Ｐ,おいおいどうした？大丈夫だよー？別に痛いことをしようって言ってるわけじゃないんだからさー。ただ、あの建物に入って―――。俺と二人だけで―――――。―――――――休憩するだけだからさ
