神崎蘭子,これより第三回円卓会議を執り行う！
晶葉,しかしそうなると私にも下準備が必要となるな・・・時間は足りるだろうか
蘭子,悪魔との取引ならば、あるいは
晶葉,そうか、そう言えば彼女もそういうのが好きだと聞いたことがある。よし、そうと決まれば行動開始だ！
蘭子,うむ、頼りにしているぞ。盟友よ！
早苗,絶望・・・おまけに悪魔との取引ねえ
拓海,あそこだけ聞くと、なんつーか、誰かを陥れてやろうって感じに聞こえたんすけど
早苗,私もそう聞こえたわ
拓海,悪巧み・・・してるのかねぇ
早苗,まあ前後の言葉が理解出来ないだけに断言は出来ないけど、そんな感じねー
拓海,アタシはアイツらと仲良いってわけじゃないんで、直接問い質しても口を割らねーだろうなぁ
早苗,私も元警察って肩書きがあるから、悪巧みしてるなら避けられるでしょうね
拓海,うーん、こうなったら・・・
早苗,翻訳してみるしかないか。とは言え、さすがに私達だけじゃ手も足も出ないから助っ人を呼んだわ
荒木比奈,アタシで力になれるんなら
拓海,忙しいところ悪いね
早苗,ごめんね、こういうのが理解できそうな人の心当たりが貴女しかいなかったのよ
比奈,まあアタシも大人の端くれなんで、子供が非行に走るのは見逃せないっス。そしたらまずはどんな話だったのか、出来るだけ詳しく教えてもらえないっスかね
拓海,アタシが最初に聞いたのはこんな感じ・・・だったかな？
蘭子,彼の者の堕天せし日が近い
晶葉,む？ああ、そうだな。それがどうかしたかな？
蘭子,来たるべき日に捧ぐ供物に関してだ。伝え聞くところによれば、彼の者は太陽の申し子との邂逅において、英雄譚にまつわる議論で大いに白熱したそうだ。分けても鋼の巨人に対する情熱は並みならぬものがあったそうな。我らと対なす者はやはりそういったものを好む傾向にあるらしい。そこで貴公の智恵を賜りたく馳せ参じた次第である
晶葉,なるほど、事情はわかった。しかしすまないが力になれそうもない、実は私も同じ事で悩んでいてな
蘭子,そうか・・・孤高も過ぎれば迷宮を彷徨うが如し。ここは一つ、同盟を組まぬか？
晶葉,それは良い案だ。自分とは違った考えに触れれば新しいインスピレーションが湧くかもしれないしな
蘭子,では第一回円卓会議の幕開けをここに宣言する！
比奈,まあ、こんな感じの会話だったのかなーと
早苗,ダメだわ、初っぱなからわかんない
拓海,まず彼の者って誰だよ！？
早苗,ていうか、何で晶葉ちゃんはわかるの！？
比奈,まあまあ、分かりそうなとこから手を着けましょう。取り敢えず最初のは置いといて、太陽の申し子との邂逅。太陽の申し子は誰か明るい人物の比喩だと思うっス
拓海,太陽、明るい、眩しい、光・・・あ、南条光か！？
比奈,お、それっぽいっスね。南ってワードも太陽と符号しますし
早苗,あの子ヒーローとか特撮が好きだから、その後の英雄譚云々っていう言葉とも辻褄が合うわね
比奈,光ちゃんで間違い無さそうっスね。で、彼の者さんは光ちゃんとのヒーロー談義で盛り上がって、特に鋼の巨人・・・まあ、特撮とかに出て来る巨大ロボットあたりがスゴい好きってところでしょうか
拓海,光の他にそういうのが好きな奴っていたか？
早苗,うーん、思い浮かばないわね
比奈,この事務所の人間じゃなかったらお手上げっスね。次、我らと対なす者
早苗,対なす・・・二つで一組とか正反対的な意味よね。その片方が彼の者さん
比奈,しかも我らと括ってますから晶葉ちゃんと蘭子ちゃんは同じ側ってことになるっス
拓海,アイツらが同じ？ぶっちゃけアイツらに女である以外共通点が見当たらねえ
比奈,あ、それっス！女の対、つまり男！
早苗,つまり男の子ってこういうの好きよね～みたいなニュアンスなのね
拓海,そんでもってこの事務所で男と言えば・・・
比奈,プロデューサーとわかったのは良いっスけど、それがどう堕天に繋がるのか・・・
早苗,まあ良い年して不良デビューなんてことはないわよね。もう年少組のアイドルくらいの子供が居てもおかしくない・・・あ！
拓海,何かわかったのか？
早苗,そう言えば年少組の子が何か工作してたわ。彼の誕生日にあげるんだって
拓海,おー！そうそう、チビッ子どもが主催で誕生パーティーやるんだって息巻いてたぜ
比奈,なるほど誕生日っスか！堕天は神様のところからこの世に生まれ落ちる、みたいな意味だったんスね！。まあ、総括しますと・・・。蘭子ちゃんはプロデューサーの誕生日プレゼントを何にするか悩んでて
拓海,光との会話からプロデューサーはロボット好きだとわかったから
早苗,そういうのに詳しそうな晶葉ちゃんに相談しに来ました
比奈,でも晶葉ちゃんも同じように悩んでるから、それなら一緒に考えましょう・・・と
拓海,普通だな！！！。たったそれだけのことをなんでこんな小難しく言うんだ！？
比奈,まあまあ、そういう子なんっスよ
早苗,拓海ちゃんだって昔は夜露死苦とか仏恥義理とか言ってたでしょ？それと同じことよ
拓海,ぐっ・・・それを言われると何にも言い返せねえ・・・
比奈,でもこの調子なら悪巧みの線は無さそうっスね
早苗,そうね、どっちかと言うとサプライズかしら？。ただまあ、絶望だとか悪魔との取引だとかちょっと気になる部分がねー
比奈,それじゃあ引き続き翻訳してみましょー
拓海,えーっと、第三回円卓会議だっけか？
比奈,偽りの衣・・・うーん、早速わかんないんで次行きましょ次
早苗,そうね、さっきみたいに他のところから芋づる式にわかるかもしれないし
拓海,日出ずる処、これはわかるな。日本のことだろ？
早苗,で、その古き装い・・・和服、かな？
比奈,あー多分そうっスね、ってことは偽りの衣はコスプレのことかと
拓海,つまり誕生パーティーの時にコスプレでキャバクラの真似事でもしようってとこか？
比奈,おそらく第二回の会議でプロデューサーが好きそうなものを考えた結果、そういう結論に至ったんじゃないっスか？
拓海,あーたしかにあいつがライブ衣装考えてる時なんか、目ぇキラッキラしてるもんな
早苗,うーん、あんまり健全とは言えないけど・・・御酌するくらいならセーフかしら？
比奈,それにしても蘭子ちゃんが和服って意外っスね
早苗,まあ、そこはサプライズってヤツじゃない？
比奈,ギャップ萌え狙い・・・中々あざとい・・・
拓海,だけど蘭子はそれだけじゃ面白くないってんで、もう一丁仕掛けを考えた。そんなところか？
早苗,玉座って王様の椅子のことよね？そこへ至る道・・・プロデューサーはトップアイドルを育てるのが生き甲斐、みたいな意味だと思うわ
比奈,お、二人とも中々わかってきたっスね
拓海,で、問題は次なんだよなぁ
比奈,自らを生け贄に捧げる・・・これは・・・
早苗,プレゼントはワ・タ・シ♪
拓海,って意味にしか取れねえよな
比奈,別の意味でヤバくなってきたっス！。しかも続いて、迷える幼子にあらず・・・もう子供じゃないんです！的な！？
早苗,初夜の宴・・・いや初夜って！？
拓海,技巧を凝らした・・・おまけに初めての時よりテクニックが上がってやがるだと！？
比奈,ひ、ひ、日毎に増す輝き・・・成長した自分を見せるのが最高のプレゼント・・・
早苗,偽りの衣を脱ぎ捨て真なる姿を・・・コスプレの次は生まれたままの姿で！？
拓海,同じ道を共に・・・って二人がかりか！！
比奈,そりゃプロデューサーも絶望するっスわ！てか干からびるわ！！
早苗,トドメに悪魔との取引ぃ！？悪魔と言えばぁ！？。ちひろちゃんね
拓海,ちひろさんだな
比奈,ちひろさんっスね
拓海,うわぁ、あの人も一枚噛んでんのかぁ・・・
比奈,ち、ちょっと一旦落ち着きましょう、皆テンションがおかしくなってるっス
早苗,ええ、そうね。ハイ深呼吸！
拓海,ふうー・・・さて、どうすっかなー
比奈,はぁー・・・いやまあ、翻訳が間違ってる可能性もあるわけでスし
早苗,そうよねぇ、あの子たちがそんなことするなんて・・・
拓海,こうなりゃ直接乗り込むしかねえか、誕生パーティーに
早苗,ええ、子供たちの面倒見るとか、料理を手伝うとか、何か理由付けて参加してみましょう
比奈,そうっスね、判断はその辺の様子を見てからでも遅くはないはずっス
Ｐ,みんな、ありがとうな！。いやあ、この歳でこんな盛大に祝ってもらえるとは思ってもみなかったよ
晶葉,さあ、主賓の席はこちらだ
蘭子,憂いなく寛ぐと良い
Ｐ,・・・・・・あ、晶葉と蘭子か！？
晶葉,フフッ、想定通りのリアクションをありがとう
蘭子,今宵ばかりは見紛うのも致し方なし
Ｐ,そりゃ、晶葉はともかく蘭子が和服を着るなんて予想外も良いところだ。晶葉も髪を下ろして眼鏡も違うから一瞬分からなかったよ。和服に合わせたコーディネートか？
晶葉,当然、やるからには徹底的にだ
蘭子,然り。さあ、宴は始まっている。存分に酔い浮かれよ
Ｐ,そうさせてもらうよ
拓海,よーし、ケーキ切り分けるからな！
比奈,この一番おっきいのはプロデューサーに持っていってあげてください
早苗,プロデューサーくん、楽しんでるー？
Ｐ,はい、早苗さんたちが子供の面倒見てくれてるおかげで楽させてもらってますよ
早苗,こんな可愛い子を二人も侍らせて、良いご身分じゃなーい
晶葉,ハハハッ、誉めても今はお酒くらいしか出せないぞ？
蘭子,祝いの一献、如何かな？
早苗,あ、お姉さんはそれが一番嬉しい！
Ｐ,じゃあ早苗さんにも注いでやってくれ
早苗,ありがとー！じゃあプロデューサーくん、おめでとうの乾杯！
Ｐ,ありがとうございます、乾杯！
ちひろ,準備できたわよ
晶葉,了解だ。さあ蘭子、始めようか。助手よ、すまないがここを持ってくれないか？
蘭子,こちらもだ
Ｐ,ん？帯の端なんて持たせてどうするんだ？
晶葉,こうするのさ！
蘭子,いざ参らん！
拓海,え、ちょっ！アイツら何やってんだ！？。と見せかけてゴスロリかよぉ！！？
Ｐ,おおっ？和服の下にそんなもの着てたのか！
晶葉,ではしばしご静聴を
蘭子,そして酔いしれるがよい
Ｐ,ああ、楽しみにしてる。頑張ってこい！
早苗,あらあら、見事な変身ね
比奈,いやーまさか二人とも下にゴスロリを着てたとは
Ｐ,そう言う割にはあんまり驚いてなさそうですね
早苗,まあね。プロデューサーくんこそ妙に冷静じゃない、帯をほどく時も止めなかったし
Ｐ,着物のシルエットからして下に何か着てるだろうとは思ってたんで
比奈,へえー、よく見てるんっスねー
Ｐ,まあプロデューサーですから・・・さあ、静かに。始まりますよ
蘭子,皆の者、問おう！今宵は誰が為の宴か？
晶葉,然り！故に、この歌は。この歌を以って、君への誕生日プレゼントとさせてもらうぞ
蘭子,わ、私・・・アイドルとして成長した姿を見せるのが、一番の恩返しになると思って・・・それで！
Ｐ,ああ・・・蘭子の和服という正反対なイメージから来るギャップ萌えでの掴みは強烈だった！。歌とダンスもデビューしたての頃よりも遥かに良くなってる、成長したな！。晶葉もまた、ゴスロリという正反対なイメージの物を着こなす器量に驚かされた。蘭子の歌さえも違和感なく仕上げている辺り、演じるということに対して理解が深まっているのが窺える。さらに変身というサプライズからのライブは、エンターテイメントとしても素晴らしい！。最高のプレゼントだったぞ！！。今日、改めて確信したよ・・・お前たちならトップアイドルになれるって！
晶葉,フッ、私にかかれば・・・いや・・・蘭子？
蘭子,うむ！
Ｐ,ハハハッ、頼もしいな
晶葉,では助手よ、これからもプロデュース、よろしく頼むぞ
蘭子,我らを玉座へと導いてくれ
Ｐ,ああ、任せとけ！
拓海,なあ・・・早苗さん、比奈さん。良い・・・ライブだったなぁ
早苗,そうね
比奈,そうっスね
拓海,正直、音楽の趣味はあんまり合わねーけど、アイツらがすっげぇ努力したってのはビンビン伝わってきたぜ・・・。生け贄だか真の姿を見せるだとか言うのは。要するに、アイドルとして成長した自分のライブをプレゼントする・・・って意味だったんだな・・・
早苗,プロデューサーくんの性格なら下手に高い物を贈るよりも、ずっと喜ぶでしょうね
拓海,疑っちまった自分が、恥ずかしいぜ・・・
比奈,いやまあ、実は九分九厘そういうことだろうとは思ってたんっスけどね
早苗,右に同じく
拓海,はぁ！？予想が外れたからって負け惜しみ言ってんじゃねーよ！。だったらなんで教えてくれなかった！？
早苗,悪ノリにキレイに騙されてくれる拓海ちゃんが可愛くて、つい・・・
比奈,左に同じくっス
拓海,んだとコラァ！？ざけんじゃねー！！
比奈,いやーん！おそわれるー！
早苗,はーい、どうどう
拓海,テメェこの！離しやがれ！
早苗,まあまあ、拓海ちゃんが真剣に人のこと心配できる良い子だってわかってお姉さん嬉しいなー
比奈,なんだかんだで面倒見はいいっスもんね、拓海おねーちゃんは
拓海,うるっせぇ！どこから目線だよ？アンタはアタシの母親か！？
早苗,あら、失礼しちゃうわー！まだそんな歳じゃないわよ
拓海,いっってえぇぇー！！ちょっ！ギブギブ！！
早苗,おっとと、ちょっとやりすぎたかしら？
拓海,ふう・・・ったくよう、とんだ骨折り損だ・・・。あーあぁ、大人組の連中が酒を飲みたがる気持ち、ちょっとわかった気がするぜ
早苗,ごめんごめん、そんなに拗ねないでよー
比奈,申し訳ないっス、何か埋め合わせするから機嫌直してくださいよー
拓海,わーったよ、もう・・・なあ、早苗さん、比奈さん。アタシがハタチになったらさ、一杯おごってくれよ。それで手打ちだ
早苗,まっかせなさい！それはもう嫌と言うほど飲ませてあげるわ！
比奈,そういうことならいくらでも付き合うっスよ！
拓海,ああ、約束だぜ！先輩がた！。っしゃ！辛気臭えのはここまでだ！こんだけ恥かいたらもう怖いもんはねえ！！。アイツらに負けねえように、アタシも頑張らねーとな！。アイドル・向井拓海！明日からもブッ込んで行くんで！！。夜露死苦！！！
