亀井塔一郎,４９
亀井,それどころか、私の身体は前よりも体力と気力に満ち溢れているんです！
喪黒,どうです？絶倫ニンニクの効果は本物だったでしょう？
亀井,はい！絶倫ニンニクは、男として私を立ち直らせてくれました！
喪黒,ほう……。そのご様子からすると、あなたは女遊びを再開したように見えますねぇ
亀井,もちろんですよ。女遊びは、私のライフワークと言っても過言じゃありません
喪黒,ですが、性欲に溺れて人生を狂わせてはいけませんよ。何事も、ほどほどが大事なのですから……
亀井,それは、私も承知していますよ。あなたに言われるまでもありません
喪黒,絶倫ニンニクに頼るのもいいですが……。肝心なのは、男としての自信と、人間としての理性を持つことですよ
亀井,ええ……。そりゃあ、もう……
朝美,こんなところに私を呼び出して、何のつもりなんですか？
亀井,教えてあげましょうか？俺の男の機能が、めでたく回復したんですよ
朝美,その話、本当ですよね？
亀井,今までの女遊びは、絶倫ニンニクのおかげで何とか乗り切ってきた。これだけ飲めば、俺のアソコは間違いなく立ってくれるだろう……
朝美,も、もうダメっ……！！
秘書,社長。喪黒福造という方がご面会です……
喪黒,あれから、お身体の具合はどうなっていますか？
亀井,男の機能が戻ったのはいいんですけど……。それが……
喪黒,おや？何か問題でも？
亀井,はい……。今の私は、心と身体を性欲に支配されてしまいました……
喪黒,ほう……
亀井,この状態を放っておいたら、私は強姦魔になってしまいますよ！！何とかならないんですか！？
喪黒,亀井社長……。どうやらあなた、私との約束を破ったようですね！
亀井,わ、私はその……！！
喪黒,私は言ったはずですよ。絶倫ニンニクの服用は1日に1錠が限度だと……
亀井,だ、だって……。本命の女性との性行為を控えていたから、自信が持てなくて……
喪黒,もう手遅れです。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
亀井,ギャアアアアアアアアア！！！。ハア……、ハア……、ハア……、ハア……。ウオオオオオオオオッ！！！
女性秘書,社長の声がする……。一体、何が起きたんだろう？。あっ……！！。い、嫌……！！来ないで……！！。キャアアアアアアアアアッ！！！
喪黒,人間は誰もが皆、性欲を持ち合わせていますし……。大人たちの多くは、満足できる夜の営みを心の底で望んでいます
