亜美真美,ねーねー、おっちゃ→ん
やよい,ご、ごめんなさい…
Ｐ,謝りすぎやで…
雪歩,屋久島の杉ですぅ
Ｐ,それはヤクスギやで…
やよい,？
雪歩,じゃあ洗濯するときの洗いと脱水の間ですぅ
Ｐ,それはすすぎやで…
雪歩,じゃあおじさんの頭頂部ですぅ
Ｐ,それは薄すぎ…ってやかましいわ！
やよい,…くすっ
Ｐ,お、やっとわろたな！
やよい,あ、いえ別にプロデューサーの髪が薄いとかで笑ったんじゃありませんから！
Ｐ,弁明の内容がワシにすごいダメージや！
雪歩,止めてやよいちゃん！おじさんのライフと髪はとっくにゼロですぅ！
Ｐ,髪あるわボケェ！
伊織,ねぇ、最近やよいがよく笑うようになったんだけど心当たりはないかしら
Ｐ,あるで
伊織,そう？じゃあ聞かせて頂戴
Ｐ,それはやな…。…って感じのコントやったらワシ見るたび吹き出すねん
伊織,ああ…この間アンタの頭見て急に笑い出したのはそれね。てっきり薄い髪を見て笑ったんだと思ってたわ
Ｐ,この話はやめよか
千早,プロデューサー
Ｐ,ちょい待ちや、この書類やっつけてから聞いたる
千早,…
Ｐ,…なんや千早ちゃん。ワシの頭に何かついとるんか
千早,はっ！すみません、高槻さんの話を聞いてつい…
Ｐ,千早ちゃん駄目やで！そこは逆に髪が少なくてくらいのボケかまさな！
千早,いえ…その
Ｐ,なんや？
千早,無いことでいじられる辛さは私もよく知っているので、そういうのはちょっと…
Ｐ,無いとか言うなや…まだ結構残っとるわ…。おーい、あずさちゃん。そっち工事現場やで
あずさ,あ、プロデューサーさん。おはようございます
Ｐ,はいオハヨウサン…で、言うまでもなく迷子やね
あずさ,そうなんです。事務所に行く予定だったんですけどね～
Ｐ,しゃあないきにワシがつれてったるわ。手、離すなや
あずさ,あらあらあら～
律子,で、警察官に誘拐と間違われた…と
あずさ,そうなんですよ～
Ｐ,ホンマへこむわ…
亜美,ねーねーおっちゃ→ん
Ｐ,おっちゃん言うなや
亜美,この間、警官に連れてかれたってホント？
Ｐ,マジやで
亜美,とうとう殺っちまったんですかい…
Ｐ,ちゃうわ！
亜美,じゃあ何だったの？
Ｐ,誘拐の容疑や…
亜美,うあうあ～！やっぱりやっちゃってるじゃーん！
Ｐ,容疑や！よ・う・ぎ！
亜美,でもおっちゃんの見た目だったら疑われてもしょうがないっしょー
Ｐ,スーツと色眼鏡の何があかんのや
亜美,だから駄目なんだと思うよ
真美,ねーねーおっちゃ→ん
Ｐ,おっちゃん言うなや
真美,サングラスどうしたの？
Ｐ,亜美ちゃんに駄目だし喰ろうてな、コンタクトに挑戦中や
真美,でもその目つきは完っ全に誰か殺ってる目っしょー
Ｐ,え？なんで知っとるんや？
真美,ホントだったの！？
Ｐ,ハハハ、冗談やで
真美,うあうあ～！おっちゃん、その目つきで笑っても冗談にきこえないよー！
絵理,ここが、７６５プロ…？
涼,えっと、うん。確かここが７６５プロの事務所だったハズだよ
愛,おじゃましまーす！！
Ｐ,ん？どちらさんや？
涼,間違えました
愛,なんで閉めちゃうんですか！？
涼,だってあの人絶対カタギじゃないよ！
絵理,あの人、ヤ○ザ…？
Ｐ,まあ遠慮せんで入りや
涼,た、助けてー！
愛,大変です！涼さんがさらわれちゃいました！！
絵理,口封じ…？
律子,という訳で、この怖いおじさんがウチの新しいプロデューサーです
Ｐ,怖いおじさん言うなや…
涼,そうだったんですね…ヤ○ザとか言っちゃってごめんなさい
Ｐ,いや、気にせんでええよ
愛,その頬傷どうしたんですか！？
Ｐ,昔ドスでザクゥーってやられたんや。あとキミうるさいで
絵理,やっぱり、筋モノ…？
Ｐ,ちゃうて
愛,その髪の毛どうしたんですか！？
Ｐ,キミうるさいで。よし、今日はあのネタいくで
雪歩,ガッテン承知ですぅ！。あれ？おじさんどうしたんですか？
Ｐ,実は最近髪の事でいじられまくってて、へこんでんねん
雪歩,じゃあ、おじさんにこれあげますぅ
Ｐ,なんやこれ…。こんなんで治るかいっ！
雪歩,間違えました！こっちですぅ！
Ｐ,逆にワシのハートはボコボコやで！
雪歩,じゃあ心臓に植毛してもらえば解決ですぅ
Ｐ,ワシもキミみたいな図太い神経ほしかったわ！！
雪歩,図太いとは失礼ですぅ！私はそこまでちんちくりんじゃありません！
Ｐ,体型の話やしとらんやろが！
雪歩,あ、髪の話でしたね
Ｐ,そこまで掘り返すなドアホー！！
雪歩,だって掘るのは私の専売ですから！
涼,ぶふっｗ
愛,髪が無いって大変なんですねー！！
絵理,コメディアンにも転向可能…？
悪徳記者,ぐへへｗｗ貴音ちゃんのお尻ゲットやｗｗｗｗ
Ｐ,おう、そこのボクや
悪徳記者,あん？なんだおま…え…。どう見ても筋モノです
Ｐ,おお、そうや。まずはアイサツせなあかんかったな
悪徳記者,ふ…懐から何を出す気ですか…？
Ｐ,あん？懐に入っとるモンいうたらアレしかないやろ
悪徳記者,ししし失礼しましたーッ！
Ｐ,あ…逃げてしもた
貴音,あなた様、どうされました？
Ｐ,いや、道聞こうかと思た人に名刺渡そうとおもったら逃げられてん
貴音,これで今日１２人目ですね
Ｐ,絶賛記録更新中やで…。アイサツの仕方が悪いんやろか
貴音,そうですね。いまにも鉛玉が飛んできそうでしたから
Ｐ,ん？どういうこっちゃ？
貴音,言ったままの意味ですよ、あなた様
Ｐ,往生せいやあああああ。どや！ゾンビ共もワシにかかればイチコロやで！
真美,さすがおっちゃん！まこちんにできない事を平然とやってのけるッ！
亜美,そこにシビれる！憧れるゥ！
Ｐ,おっちゃん言うなや
真美,でもさー、おっちゃん堂にはいりすぎだよね→
Ｐ,堂にはいってどないするんや。堂にいらんかい
亜美,やっぱり本物とか撃ったことあるんじゃないの→？
Ｐ,おお、あるで
真美,えっ…亜美隊員、これは一体どういう意味でありますかな？
亜美,真美隊員、あまり知りすぎると我々も消されかねないであります
Ｐ,アホ、ハワイ行ったときに撃っただけや
真美,だよねー棒
亜美,亜美たちは信じてたよー棒
Ｐ,キミら声に気持ちがこもっとらんで。なに？任侠映画撮影するやて？
春香,そうなんです！だからプロデューサーさんを参考にしようと思いまして！
Ｐ,キミ何気に失礼やな…
春香,まぁまぁ、そう言わずに…。おう、ワレ！撮影いくで！
Ｐ,ほな行こか春香ちゃん
千早,春香に一体何が…
Ｐ,あ、そこ箱置いとるから転ぶなや
春香,ぐわあああああああああ！？
千早,ほっ。いつもの春香ね
真,えっ？そこで判断するんだ
Ｐ,前から思いよったけど、貴音ちゃんタッパあるなー
貴音,ええ、他の方より大きいせいで注目を引いてしまうのです。アイドルとしては恵まれているのでしょうが…
Ｐ,ええやん。ワシなんか男のクセして美希ちゃんくらいしかタッパないんやで
貴音,美希と同じくらい…なるほど
Ｐ,ちょ、なんで撫でんねや
貴音,いえ、美希ほどの身長と考えたら、急にあなた様が可愛いと感じ始めまして
Ｐ,やめーやー
小鳥,こ…これは異様な光景ね…
律子,小鳥さんは仕事をさっさと片付けてください
小鳥,あ～れ～
高木,どうだね、私の自慢のアイドル達と社員達は！
善澤,いやぁ、実に。うん、実に…個性的だね。特に頬傷の彼と銀髪の彼女が
高木,そうだろう！いやあ、ここまで集めるのには苦労したよ！
架空のプロデューサー作ってアイドル候補生釣ろうぜｗｗｗｗｗ,72
＞＞６背が低い,シークレットブーツ着用
モバＰ,こんなの釣れる訳ないだろ…
きらり,Ｐチャン！そろそろお時間だにぃ！
モバＰ,お、もうそんな時間か。今日は７６５さんとお仕事だったな
Ｐ,お、モバプロさんでっか？今日はよろしゅう
きらり,７６５のおじちゃん、今日はおにゃーしゃー☆
Ｐ,おじちゃんちゃうわ
モバＰ,
Ｐ,見てくれたのはごっつ嬉しいけどちょい恥ずいで・・・
ヅラ,・・・おおきに
Ｐ、Ｐ、Ｐ、Ｐ、ヅラ、雪歩,皆さんほんまおおきに！
