塩見周子,お疲れ様～。文香ちゃんいる？
周子,文字打つの今日でめっちゃ早くなる気がするわ……
文香,犬を飼う場合、しつけというのは避けては通れません。食事や排泄はもちろん、芸を覚えさせる際や、他人に吠えたり噛んだりしないようにする必要もあります
茜,ふむふむ！
文香,さて、しつけの際には大切なことがあります。何だかわかりますか……？
茜,うーん……
周子,これちょっと難しいね。なんだろ
文香,ヒント……というわけではありませんが、茜さんもレッスンを受けることがあると思います。その時、どのようなことがあれば意欲が湧きますか……？
茜,わ、私は……文香ちゃんがいるだけで嬉しいです……
文香,……
周子,し、しんで……いやこの流れ多いな！！！！！
文香,こ、こほん。正解は、”褒めてあげること”です。犬も、モチベーションが大切なのですね……
茜,そうなんですね……！
文香,褒め方の基本は、撫でてあげることです
茜,撫でる！
文香,はい、このように……
茜,わっ、く、くすぐったいです……！
文香,……
茜,わわわ……
文香,……
茜,ふみゅう……
周子,あたしは何を見せられてるんだろう
文香,ふう、これで向こう一週間は耐えられますね……
周子,何を
茜,これが……ワンちゃんの気持ち……！
文香,ちなみに、犬以外にも気になる動物はいますか……？
茜,そうですね……やっぱりネコちゃんも気になります！！！
文香,猫ですか……。猫は、犬とは違って頭よりも首の下を撫でると喜ぶそうです……このように……
茜,んんっ……
周子,さっきからいちゃいちゃばっかりやんけ！！！
文香,猫は犬のように散歩させる必要はありませんが、そのぶん、檻などで囲わず、ある程度の自由を担保しなくてはいけません。高さのある家具に登ろうとすることも多いので、注意が必要ですね。むしろ地上にいるのは稀かもしれません
茜,でも、みくちゃんは地面を歩いてます！！！
周子,言わんといてあげて
文香,その程度……ということですね
周子,言わんといてあげて
文香,また、ネコに食べさせてはいけない食品にも注意しましょう。チョコレートなどが代表格ですね
茜,でも、みくちゃんはこの前チョコ食べてました！！！
文香,その程度……ということですね
周子,言わんといてあげて！！！
文香,他に気になる動物は……？
茜,うさぎさんもカワイイと思います！！！
文香,うさぎさん……ですか、寿命は野生だと平均して3年、飼う場合は平均8年、ウサミン星だと17年と言われています
周子,それだと菜々ちゃんが近いウチに死んじゃうからやめたげて。……いや、ずっと17ならセーフなのかな……？。いやいや、深く考えるとこじゃないって！
文香,ちなみに、うさぎは寂しいと死んでしまうという言説がありますが、あれは科学的根拠に乏しく、つまりはウソということになります……
茜,え！そうなんですか！
文香,はい。ただ、私は茜さんがいなくなってしまったら寂しくて死んでしまいます
周子,重っも……
茜,じゃあずっと一緒にいましょうね！
文香,天使では？
周子,天使では？
文香,では、他のペットについては……
茜,うーん……、じゃあ、文香ちゃんは何か飼いたい動物はいるんですか？
文香,私……ですか？
茜,はい！
文香,そう……ですね……、私は、あまり活発な動物の世話をできるような人間ではないという自負があるので……観賞魚の類が向いているのではないかと……
茜,お魚さん！いいですね！！
文香,水槽に泳ぐ様々な魚を見ているだけで、きっと癒されると思うのです……
茜,わかります！！！お寿司屋さんとかでお魚さんがよく泳いでます！！！
文香,……はい
周子,あれ食べるやつ……
文香,……さて、ここまでお話をして、どうですか？
茜,うーん……やっぱり、私にはまだペットは早いかもしれません……！
文香,そうですか……
茜,でも、今度から飼ってる人とかにたくさん話を聞こうと思いました！そうしていつか、ペットを飼う自信がついたら、その時はまた言いますね！
文香,はい……！とても聡明で、素晴らしい判断です。敬意を表します……
周子,ま、いい着地点だね
茜,えへへ……あっ！
文香,？
周子,？
茜,周子ちゃん！いたんですね！！！
周子,ありゃ。ま、もう話は終わってるし、混ざっても平気かな？。ごめんごめん、雑誌読んでてさ。何の話してたの？
茜,はい！みくちゃんがチョコを食べてたら良くないって話をしてました！！！
周子,ホントにそのまとめ方で大丈夫？ホントに？
文香,ええと……ペットの話を……
周子,へぇ、そうなんだ～
茜,周子ちゃんは何か、飼ってみたい動物はいますか！？
周子,んー？そうだねぇ。やっぱキツネさんかな？コーンコンッ！なんちゃって♪
茜,おお！ぴったりです！文香ちゃん！キツネさんの飼い方は！
文香,そうですね……あ……
周子,？
文香,以前にどこを撫でれば喜ぶのか、調べたのですが……失念してしまいました……
茜,そうなんですね……
文香,なので、調べてみましょう……！
茜,！
周子,……はい？
文香,ちょうど私たちの目の前に……
茜,あ！キツネさん！ですね！
周子,え？え？
文香,茜さんは後ろから……
茜,はいっ！！！
周子,うわっ！？強っ！？
文香,では、ご無礼……！
茜,失礼します！！！
周子,わ！ちょっ！くすぐったっ！！！ち、ちょっと！！！助け……なんなの！！！！！
