モバP,あー…しんど…もう帰りたい…
杏,……プロデューサー？
P,ちっ、この手かっ！この手が曲がらないのがっ！ちくしょう！まだだちくしょう！！
杏,む、無理だよプロデューサー？、杏のじょーだん、じょーだんだよ！
P,おらああああああああっ！
杏,両手を思いっきり机にぶつけた！？。プッ、プロデューサー！血がっ、血がっ！手が変な方向にっ！
P,これでやっと…肘が顎につく…ぜ…
杏,もう！もういいから！杏をペロペロしてもいいから！だからちょっと落ち着いて！
P,…あれ、どうした……なんでそんなに泣いてるんだ杏…
杏,プロデューサー、腕がっ、バカッ！なんで、なんで…
P,…杏には、涙は似合わないな。……ふふ、でも、杏の涙は、なんだか甘いなぁ…。……
杏,………プロデューサー？
P,……
杏,プロデューサーあああああああああああああああ！
P,で、なんで俺は病院にいるんだ？
杏,知らないよバカプロデューサー、いいから口開けて
P,両腕共に複雑骨折て、全然記憶ないぞ
杏,はいあーん
P,…あーん。…ちひろさん一人で事務仕事って大丈夫かなぁ
杏,いいよ大丈夫、というかそれぐらいじゃ罰が足りない位だよ
P,？
杏,なんでもない
P,というかお前もどうした？、面倒くさがりのお前が毎日お見舞いに来てくれるなんて。いやまぁ来てもらってこの言い草は申し訳ないけど
杏,いいよ別に、らしくないのは杏でも分かってるし
P,…じゃあなんで？
杏,うるさいバカプロデューサー、早くあーんしろ、間に合わなくなっても知らんぞ
P,…
杏,……ペロペロ
P,？
杏,ペロペロしたければしてもいいよ
P,ゴホッ！な、なんだ急に、ゴファッ！
杏,でも、杏ペロペロしたかったら。責任とって一生杏の面倒みてもらうからね
P,またあの薬ですか！？
ちひろ,こ、今度は！今度こそは大丈夫です！ちゃんと審査に審査を重ねました！
P,いやです！絶対いやです！なんか赤くなってるじゃないですかそれ！
ちひろ,大丈夫ですから！マウスは五匹生き残りました！
P,何匹中ですか！？
ちひろ,百匹中です！
P,ひゃっ…あのですね！あの薬飲まされて記憶がなくなって以来杏の様子がおかしいんですよ！？。ペロペロさせるから休みよこせーって要求したり！ペロペロってこっそり呟いたり！飴をペロペロしたり！あまつさえ最近はレッスンもちゃんと来るようになりました！
ちひろ,さっ、最後の二つは別にいいことじゃないですか！
P,ええい、問題はそこじゃない！杏がペロペロペロペロ言うことですよ！なんなんですか！？俺は記憶のない時に杏ペロペロしたんですか！？なんでそんな重要なことを……なんで……！。……なんで……！
ちひろ,………プロデューサーさん？
P,…この辛さが分かりますか、杏をペロペロしたかもしれない、そんな大切な思い出が俺の中にあるのかもしれない。あの柔らかくて白い肌を、ミルクの香りのする体を、たとえ小さくても魅力的なあの杏を、ペロペロしたのかもしれない。だけど俺は…何一つ思い出せないんだ…
ちひろ,プロデューサーさん…
P,笑ってください、この俺を、ははっ…
ちひろ,…諦めるんですか？
P,！
ちひろ,諦めるんですか？
P,…っ！ちひろさんに何が分かるんですかっ！俺は！……俺はっ！。……くそっ！
ちひろ,…ここに！
P,！
ちひろ,あなたの記憶を奪ってしまったけれど、それでも杏ちゃんをペロペロさせてくれた薬があります
P,や…やっぱりおれは杏をペロリンヌしたんですか！？
ちひろ,ええ。してないけど
P,……やっぱり…思い出せない…！
ちひろ,重要なことはっ！、ここに、まだあの薬があるということです！。この薬を飲めば、もしかしたらあなたはなんやらこうやらして記憶が戻るかもしれない
P,……
ちひろ,男にはっ！やらなければならない時があるっ！そうなんじゃあないですか！？
P,ちひろさん……
ちひろ,……どうなんですか？
P,…へへっ、俺は目が覚めましたよちひろさん
ちひろ,！…じゃ、じゃあ！
P,飲みます、飲みますよ俺…！
ちひろ,ちょろい。どうぞっ！占めて二百モバコインになります！
P,……
ちひろ,じょ、冗談ですよ冗談、ははは、どうぞどうぞ
P,…ありがとうございます。俺は…俺はまだマイナスなんだ…。ゼロに向かって行きた…！
ちひろ,はよ飲め
P,ガボゴボガボ
輝子,キノコー…キノコー…ぼっちのこー…ふひひ。今日はプロデューサーが一緒にお昼食べようって言ってくれたしぼっちのこじゃない…。ヒャッハアアアアアアテンション上がってきたぜえええええ！
杏,おわっ、びっくりした
輝子,あっ…杏さんっ、ごっ、ごめんなさい…
杏,いいよ別に、でも外じゃ急に叫ぶのやめときなよ？
輝子,フヒッ…そ、そうする…
杏,ほんじゃー杏は家帰るとこだから、レッスン頑張ってねー
輝子,う、うん…バイバイ…。……気をつけよう。……テンション下げて、ゆっくり、落ち着いてプロデューサーのとこ行こう。しょーこー、しょーこー、ぼっちのこー…。ヒャッハアアアアアア会いたかったぜええ親ゆ…
P,風が今…語りかけている…この俺に…俺に…
ちひろ,ああっ、プロデューサーさんっ！やめてっ！テレビには入れないですよっ！
輝子,…。……。…あれだ、きっとプロデューサーは最高にハイって奴だったんだ、プロデューサーがハイなら私だって…。ヒャッハアアアアアア親友！なんて最高なプレイしてんだああああ混ぜやがれえええ…え…
P,あっ…ああっ…いいっ、これはいいっ…これからこいつを！タスクと名付けるっ！
ちひろ,いやあああああああ！なんで脱ぐんですかっ！？それしまって！しまってくださいよ！
輝子,
P,んっんー、鼻歌でも歌いたい気分だ…ってどうした？輝子？なに突っ立ってるんだ？
輝子,フヒッ……プロデューサー…キノコ…見えてる……キ…キノコ…
P,キノコは友達…そうだろ？
輝子,ノォ…ノォフレンズ…ノットフレンズ…
P,キノコはっ！
輝子,フヒッ！？
P,まさか俺のキノコは…友達じゃあないなんて言うのか…？
輝子,な、なんかだんだん大きく…なって…。ち、ちひろさ…
P,ちひろさんならさっき外回り行ってきますって言って出て行ったぞ
輝子,
P,二人っきりだな…輝子
輝子,
P,いや、俺の友達、ビッグマグナム三郎もいるから三人だな
輝子,プ、プロデューサー…は、はやく、はやくそれしまって…
P,…輝子、さっきもいったが、俺のキノコは友達じゃあないのか？
輝子,で、でも、でもそれは…その…
P,…三郎はいい奴だぞ？
輝子,そ、そういう…ことじゃなくて
P,ほらっ三郎もはやく挨拶しな
輝子,や、やめて、プロデューサーっ！やめてっ、なんでもっ、な、なんでもするからやめてっ！
P,ああ…輝子の慌てる声は、いいなぁ…心にくるなぁ
輝子,こ、こないで、近付いて来ないで…
P,ほうらそろそろ挨拶するぞ…準備はいいか？
輝子,来ないでええええ！！
P,ふぐうっ！
輝子,…フヒッ？
P,お…おおう…うああ…
輝子,…プ、プロデューサーっ、ごめん…ごめんなさい！大丈夫…？
P,…っ、なぁに…女の子に殴られて…滅するなら…三郎の、本望、さ…
輝子,つい、ど、どうしても、怖くてっ
P,いいんだ…いいんだよ輝子…成長したな…
輝子,…プ、プロデューサー、だめ、だめだよ
P,あぁ、なんだか…眠くなってきた…
輝子,プロデューサーっ！ダメっ！なんでもっなんでもいうこと聞くから寝ちゃダメっ！
P,。…言ったな？
輝子,フヒッ？
P,なんでも、すると、そう言ったな？
輝子,プ、プロデューサー？
P,……
輝子,あのっ、えとっ、そのっ。ヒャッ、ヒャッハアアアアアア！！
P,逃さんっ！
輝子,ひゃっ
P,ふっふっふ捕まえたぞ…さぁ何してくれようか
輝子,は…離して…
P,いーや離さない
輝子,に、逃げないから、逃げないから離してっ……恥ずかしいっ…
P,それでも離さない
輝子,…うああ…
P,なぁ輝子、なんでもするって言ったよな？
輝子,……なっ…何？、なに、させるの？
P,…俺の話をちょっと聞いてくれよ
輝子,…はなし？
P,そうだよ、くだらない愚痴みたいなもんだ、聞いてくれるか？
輝子,…わ、わかった
P,…俺なぁ、大切な、本当に大切なものを手に入れられなかったんだ
輝子,大切な、物……？
P,俺は夢を達成出来るなら、俺は何だってする、どれだけ自分が傷付いても、そのためなら喜んで頑張れる…。だけど…だけどな輝子…俺は、届いた筈の夢を、逃しちまった…。情けない、今俺は本当に情けない気持ちでいっぱいなんだ…
輝子,……。……。…プロデューサー、重要なお仕事失敗しちゃったのかも。だから、あんな風に自暴自棄になって…、き、キノコも…///。それなら、私が、助けてあげないと…、親友を…プロデューサーを助けるのは親友である私の義務なんだから。…フヒッ
P,…輝子？
輝子,ヒャッハアアアアアア情けねえぜ親友！そんなことで落ち込んでじゃねぜえ！！
P,し、輝子！？
輝子,知ってるぜ！親友がどれだけ夢に真っ直ぐか！だからへこたれてんじゃねえええええ！
P,……
輝子,だからな！…だから…一人でかかえこまないで、親友の私が、夢を…い、一緒に、叶えてあげるから…
P,！
輝子,…頑張る…から…
P,輝子…それは、本当、本当にか…？
輝子,…う、うん、プロデューサーの夢は私の夢、だから…
P,よっしゃあああああああああペロペロタイムじゃあああああああっ
輝子,。プ、プロデューサー…？
P,なあ！？首筋、首筋から舐めていい！？やっぱ輝子は首筋だよな！
輝子,ひっ、プロデューサーっ！ちょっ、ひゃうっ
P,ああっ、あれだな輝子は、こう、なんだろう、とにかく素敵、もうやみつきだわこれ
輝子,っ！いくら親友でもっだめっ、そこはっ！
P,いやあもうなんというかね、舐めれば舐めるほど味が出るというかね、輝子エキスと名付けよう
杏,…
輝子,あっそこはっ、そこはっ！
P,ははは可愛い反応するな輝子。…
杏,…
P,…なんでいるの？
杏,ゲーム忘れちゃったから
輝子,あっ、あっ、ひいっ
P,…
杏,…
P,…おこなの？
杏,…。プロデューサー、ちょっと杏仕事休みたいんだけどさ
P,えーと、その、ごめんなー、杏は今結構重要なスケジュール多くてなぁ
杏,うん、知ってる、でも誰かの葬式に行かないといけないーとかになったら休みもらえるかもでしょ？
P,…杏、急にテレビなんか持ってどうしたんだ？
輝子,ふっ、ああっ、…っ
杏,うぅ…重い…杏としては、なんでこんなご時世にブラウン管のテレビがあるのか文句言いたいとこだけど。まぁ結構ブラウン管も使えそうだね、ほら、プロデューサーちょっとよってくれない？、輝子に当たらないように
P,ちょっ、杏っ、落ち着けっ、なっ
杏,…飴百袋もらっても許さない、絶対にだ
輝子,あっ、もう、ダメっ、あっーーーーーー
P,あっーーーーー。んで…例によって記憶がないわけだが
輝子,だ、大丈夫…？
P,ああ、大丈夫だよ、何故かテレビ最初から壊れて中身あんまりなかったらしいから。何故か杏にやられたらしいが、なんだかんだそれを考慮してはいたんだろうな
輝子,フヒッ…よ、よかった…
P,…ところで輝子？
輝子,？
P,…いや、なんでもない。記憶がなくなって以来、輝子がいつも抱きついて来る。しかも、なんか凄いうっとりした目で三郎…って呟いてきてなんかエロい、意味わからんけれども
輝子,プロデューサー？…わ、わたし…なんかした…？
P,なんでもないなんでもない
輝子,あっ…
P,…ん？どうした？
輝子,親友…撫でられるのも、いいけど…。た、たまには…ペロペロ…も…
P,
輝子,ふ、ふひひ、親友だから！特別になあああああ！！
P,
杏,なんだかんだやりすぎたかもなー。…。でも、あれはないな、うん、杏は怒っていい！。…でも、殴っちゃったのはなぁ。…。…あ、死んだ。…。メール送るくらいは…まぁ…。えーと………あ、め、よ、こ、せ…と。…漫画でも読んで寝よう
