カメラマン,はい、OK！二人とも、いい表情だったよ！
文香,邪魔しないでください
美波,は、はい
早苗,おー、文香ちゃんいい飲みっぷり～！
楓,将来有望ですねえ
美波,笑ってないで、お二人とも止めるの手伝ってくださいっ
早苗,んー、まあいきなり飲み過ぎると身体がびっくりしちゃうか。ほら文香ちゃん、そろそろやめときなさーい
文香,嫌です
早苗,……どうしよう。お姉さん、文香ちゃんのあんな怖い顔初めて見た。ガーンときた
楓,ガンを飛ばされガーン……ふふっ
文香,35点
楓,しょぼーん
早苗,今のは妥当な採点ね
美波,65点くらいだと思った……。と、とにかく、なんとか文香ちゃんからお酒を取り上げないと――
文香,………
美波,って、なんでおもむろに服のボタンに手をかけてるの！？
文香,暑いので
美波,それはさすがにダメーっ！！
文香,何故です
美波,なんでも何もダメに決まってるよ！
早苗,そうよ！それは愛梨ちゃんの持ち芸なのよ！
美波,今ツッコむ余裕がないです！
早苗,えーっ！？
文香,暑いんです邪魔しないでください
美波,な、なんて力なの……！
早苗,いくらあたしが酔って力が出ないといっても、これは……
美波,そういえば、文香ちゃんは本屋のお手伝いで重い荷物を運ぶ機会が多いとか……
早苗,なるほど……てか楓ちゃんも手伝いなさいよ！
楓,35点……35点……
美波,落ちこまないでください！私は65点だと思いましたから！
早苗,励ますにしても微妙な数字ね……
美波,――結局脱ぐことは阻止できたけど、疲れたわ
奏,あなたって、どこに行ってもまとめ役かフォロー役やってるわね
美波,あはは……そうかも
奏,なんにせよご愁傷様。にしても、文香はアルコール入ると強気になるのね
美波,綺麗な目をしてるから、あれで睨まれるとすごく怖いの。しゃべり方もいつもと違うし
奏,セリフから三点リーダ消えてたしね
店員,お待たせいたしました！
奏,さて。ラーメンもきたことだし
美波,食べようか
美波・奏,いただきます
美波,……うん、おいしい！
奏,気に入ってもらえてよかったわ
美波,近くにこんなおいしいラーメン屋があったんだ……
奏,ちょっと入り組んだ場所にあるから見つけづらいのよね。私も周子に教えられるまで知らなかったし
美波,周子ちゃんに？
奏,そ。あの子、そういうものに関しての嗅覚は鋭いから。おいしいお菓子が売ってる場所とか、穴場のアクセサリーショップとか、ほいほい見つけてこっちに情報流してくれるの。いったいいつの間にそんなことしてるのか……不思議だわ
美波,なんというか、周子ちゃんらしいわね
奏,そうね。ふらっと歩いてふらっと成果を上げるあたりはさすが。……ところで美波。ひとつ言いたいことがあるんだけど
美波,なに？
奏,あなた今、周子のことをなんて呼んだ？
美波,周子ちゃん
奏,文香のことは？
美波,文香ちゃん
奏,私のことは？
美波,奏さん
奏,なにかおかしくないかしら
美波,え？
奏,さっきも言ったけど、私はまだ18なの。つまり未成年。そしてあなたは20歳。つまり私はあなたより年下なの。ここまで言えばわかるわね
美波,あはは……やっぱり気になっちゃう？
奏,ずっと指摘しようと思ってしないままだったけど、いい機会だから聞かせてもらうわ
美波,ええと……実はね。最初にあなたを見た時、すごく大人の雰囲気を持った人だなと思ったの。だから、まさか年下だなんて思ってもみなくて……17歳だって自己紹介された時は本当にびっくりして。それで、結局初見のイメージが抜けなくて、さん付けで呼ぶのが自然になっているの
奏,なるほど……その手の反応には慣れてるけど。でも私、あなたより大人の雰囲気あるかしら
美波,あるよ、あるある！なんていうか、色気が半端じゃないというか。私にはとても真似できないよ
奏,……それ、本気で言ってる？
美波,え？
奏,まあいいわ。あなたの場合、自覚していないほうがファンの受けもいいだろうし
美波,はあ……えっと、呼び方は変えたほうがいい？
奏,別に？私は理由が聞きたかっただけだから。あなたが呼びたいように呼べばいいわ
美波,奏さんは、もうすぐ高校卒業よね
奏,ええ
美波,大学はどうするの？
奏,一応、行くつもりで勉強はしているわ
美波,そっか。私も大学通ってるから、同じだね
奏,……正直、私はそこまで意義を見出せていないのよね。ただ、周りの人に行った方がいいんじゃないかって勧められて、じゃあ一応準備だけはしておこうかなって。だから、まだ決めきれてない。迷ってる
美波,……周りの人は、なんて？
奏,あたしは行かなかったから、チミは行った方がいいんじゃない？と周子に言われたり。あとは文香も、やんわりとだけど大学の講義の楽しさを語ってくれたわ。フレちゃんには……好きにすればーとしか言われてないわね。ありすちゃんは、タブレットでアイドルの大学進学状況を調べてくれたなぁ。たまたま気になっただけですからとか言ってたけど。ふふっ
美波,そう……やっぱりみんな、それぞれの考えがあるのね
奏,……美波は、どう思う？
美波,うーん……。こういうことは、最後の最後は自分で決めなくちゃいけない。そのことを前提にしたうえで、私なりの答えを言うなら……行ってほしい、かな。時間は限られちゃうけど、いろんなことを学べるのはプラスになるだろうから。新しいことに挑戦するのは、いつだってわくわくするから。楽しい冒険みたいな感じ
奏,挑戦か……そういえば、あなたはいろんな資格とるのが趣味だったっけ
美波,うん、そうなの。新しいことに挑戦するたび、今まで見えなかった自分が見えてくる気がして……それがうれしいから。その中でも、やっぱりアイドルの仕事が一番刺激的だけどね
奏,……そう。あなたのそのチャレンジ精神には、素直に感心するわ。私も、もう少し考えてみる
美波,頑張ってね。相談事があったら、いつでも聞くから
奏,……ありがとう。そっちはどう？何か、変わったこととかあったかしら
美波,そうね……変わったことは特にないかな。変わらないな、と思ったことならあるけど
奏,ふうん？
美波,この前、サマーフェスがあったでしょ？あの時、久しぶりにシンデレラプロジェクトのみんなで集まれたんだけど
奏,クローネのほうもそんな感じだったわ
美波,それでね。しばらく会ってなかったのに、自然とみんなが私を中心まで持って行くの。あ、まだ私はリーダーなんだなーって、なんとなく再確認
奏,……私も似たようなものね。面倒を押しつけられているとも捉えられるけど
美波,あ、そういう言い方しちゃうんだ？
奏,冗談よ。ふふっ。それで？自分がリーダーだと再確認した新田リーダーは、何を思ったのかしら
美波,言葉にするのは難しいけど……ちょっと驚いて、それから。……うれしかった、かな
奏,……そう
美波,奏さんはどうだったの？
奏,私？私は……まあ、同じような感じなんじゃない？
美波,む、なんか投げやりな返事ね。目も逸らしてるし
奏,こういうことは、口に出して言うものじゃないのよ。形にしないほうが、美しいものもあるのよ
美波,ああ、なるほど。……あれ？でも奏さん、普通に私に言わせようとしなかった？
奏,他人が言う分には別にかまわないわ。私が言いたくないだけだから
美波,えーっ？それはちょっとずるいよー
奏,うふふ。最近、ありすちゃんの背が伸びてきた気がするわ
美波,もう中学生だもんね。制服姿もかわいいし。どんどん大きくなって、そのうち私達を抜かしちゃうかも
奏,あの子に上から見下ろされる、か……。……ぷっ
美波,どうしたの？
奏,ううん。あんまり変わらなそうだな、と思って。でも、今のところはまだ、とときら学園の制服が似合うくらいの背丈よね
美波,あれ、幼稚園の子が着るやつだけどね
奏,あら？そんなこと言って、あなたこの前生徒役で出演していたじゃない
美波,うっ
奏,録画で見たけど、すごくかわいくて色気があったわよ。みなみちゃん♪
美波,あ、あれは、プロデューサーさんが持ってきたお仕事で……シンデレラプロジェクトのメンバーは結局全員ゲスト出演してるし。プロデューサーさんがギャップ萌え、というものだそうです。どうでしょうかって言うし……
奏,あの真面目な顔で言ってきたの？
美波,うん。いつものあの顔で。ちょっと頬緩んでた
奏,ふふっ。それはまた、チャーミングなところがあるのね
美波,チャーミング、なのかな？
奏,ええ。あまり会う機会はないけど、私はそう思うわ。ねえ、彼って今フリーなのかしら
美波,え？えっと、お付き合いしている人がいるって話は、聞いたことないけど
奏,そう。なら私が少しくらい仲良くしても問題ないわね
美波,。え、えええっ！？
奏,あら、どうしたの？もしかして、プロデューサーさんを盗られたくない、とか？
美波,そ、そういうのじゃありませんっ。だいたい、プロデューサーさんは私のものじゃなくて、みんなのプロデューサーさんだし。盗るとか盗られるとか、そういう話じゃないのよ。そもそも私たちはアイドルなんだから、特定の男の人と仲良くしすぎるのは……
奏,話をごまかすために、食べたり飲んだり忙しいわね……
美波,そもそも～、なーんで私が幼稚園の子の服を……恥ずかしがったんだからぁ～
奏,完全に酔ってるわね
美波,そこ、聞いてるのー！
奏,はいはい、聞いてるわよ
美波,新しいことに挑戦するのは好きだけど、あれは違うと思うのよ。むしろ昔の自分よ、心が原始に帰っちゃうのよ。久しぶりに小さい子の真似をして、楽しかった部分もあるけどぉ
奏,まあいいじゃない。あなたが出ていた回、視聴率高めだったみたいだし
美波,私なんかより、奏さんが出た方が絶対視聴率とれるって！
奏,私？私は無理よ。あなたほどチャイルドスモックで色気を出せないわ
美波,そんなことありません。絶対奏さんのほうがエッチです
奏,エッチって……
美波,そんなに言うんなら、実際に出て証明してくれないかな～。とときら学園に
奏,えっ……いえ、私はちょっとあれには
美波,じゃあ認めるのね？私よりエッチだって認めるのね？
奏,うっ
美波,私よりエッチだと認めるか、とときら学園に生徒役で出演するか！さあ、究極の二択よ～っ
奏,ぐいぐい来るわね……アルコールってそんなにすごいのかしら。その後も美波は顔を赤くしたままべらべらとしゃべり続け
美波,ヒック……私だってー、たまにはプロデューサーさんに甘えたいですよーだ。みりあちゃんや莉嘉ちゃんみたいにしたい時もありますよーだ。でも私がやっちゃダメだってわかってるから我慢してるんですー！。あーあ、もし若返れたら一度だけ、あの大きな背中に抱きつきたいかも……
奏,はいはい。キャラが崩壊してる……。よかったわね、美波。たった今、あなたはお酒に弱いと判明したわ
美波,奏さんも抱き着きたいでしょぉ？
奏,え？いえ、私は別に
美波,またまたー、そんなこと言ってぇ～♪
奏,はあ……もうそれでいいわよ
店員,ありがとうございましたー！
奏,ほら、ちゃんと歩ける？無理なら肩貸すけど
美波,うん……だいじょーぶ……
奏,家まで送るわ。ひとりで帰らせるのは心配だし
美波,ありがとー、奏ちゃん……
奏,いいわよ、別に。そこまで時間も遅くないし。私達がアイドルだってことも、会話の内容も知られてなかったようだし。……あなたの無防備な顔が見たいっていう、冗談が現実になったわね
美波,うみゅ……何か言った？
奏,いいえ、なにも
美波,そっかー。何かあったら頼ってくれていいからねー。えへへ
奏,ええ、また今度ね。――ほら、着いたわよ。ここでしょ、あなたの部屋
美波,うん……
奏,ちゃんと着替えてから寝るのよ。それじゃ、おやすみ
美波,またねー、奏ちゃん
奏,またね。………。リーダーにも、たまには羽目を外す場所が必要ってことかしらね……私にそれが務まるのかはわからないけれど。さっきの酔っ払い。キスでもしたら目が覚めたかしら……なんてね。私も帰ろう。………。……あら？。そういえば、さっき……ちゃん付けされてた？
言うて美波もデレステのストーリーコミュで,文香さん
