美城常務,ふむ、全員集まったようだな。前回から少し時間が空いてしまったが、プロジェクトクローネ会議を行う
フレデリカ,うん！アーニャちゃん、ロシアとか、北海道とか、行きたくても行けないでしょ？その分お手紙ならどこまでも行けるもんね～！
文香,思いの外、まともなものですね……
ありす,なんで口に出しちゃうんですか？
アーニャ,スパシーバ宮本！
フレデリカ,たまに距離を感じる！
加蓮,芸名みたいになっちゃった
アーニャ,最初に、フレデリカにお手紙、書きますね？
フレデリカ,おおっ！じゃ、読まずに食べちゃおー！
アーニャ,ヤギデリカは……売れませんね？
フレデリカ,……
奈緒,ボケを真面目な感じで否定されるのダメージ大きいな
凛,被害者しかいない
常務,橘はプレゼントは？
ありす,私は部屋に置いてあるので、後で渡します
アーニャ,私は、渡します……ふふっ。カエデの真似ですね？
ありす,違います
アーニャ,なんでやねん♪
ありす,誰かこの人止めてくれません！？
文香,お任せを
ありす,いつもは恐ろしいですけど今回は頼もし……やっぱ恐ろしいですね文香さん
常務,注目のカードだな
奈緒,カードとか言うな
常務,見たところトリャイアドも持ってきていないようだ。鷺沢でラストとなる
凛,噛んだね
周子,噛んだね
文香,私からはこの、現金3万円を……
ありす,ストップ！！！
アーニャ,スパシーバ！！！！！！
加蓮,今日イチの声出てる
文香,すみません……友人が少なく、祝う方法がわからなくて……
ありす,責めにくい感じにするのやめてください！それにしても現金はないです！
文香,ちゃんと折り目はつけてありますが……
ありす,それ香典の時にやるやつですよね！？
アーニャ,フミカ、気持ちだけで十分ですよ？
奈緒,めっちゃ3万見てる
文香,……わかりました。おめでとうございます
凛,ホントに気持ちだけで通す気だ！！！
文香,では、今度ランチをご馳走しましょう……
ありす,それくらいがいい着地点ですね
文香,ありすちゃんも、どうですか？
ありす,……………………
加蓮,すごい悩んでる
奏,ありすのあんな顔、初めて見たわね
ありす,行き……ます……
周子,誕生日補正で折れたね
フレデリカ,じゃ、フレちゃんも行こっかな～？
ありす,zzz……
奈緒,ヒトデのクッションで現実逃避するな！！！
常務,さて、プレゼントがないとはいえ、キミたち3人に触れないわけにはいかない
奈緒,ほっといてくれよ
アーニャ,？おきまりのコーナーですか？
凛,ほらもうアーニャのノリがバラエティだもん
常務,ああ、だが、もう呼び間違えるネタもない……
唯,じょーむ……
奏,悲しいことね……
フレデリカ,うん……
加蓮,この時だけ一斉に敵に回るのおかしくない？
アーニャ,どうして……間違えますか？
ありす,え？
アーニャ,リンも、ナオも、カレンも、大切な、大切な名前です。わざと間違える？どうしてですか？
凛,こ、ここにきて……
加蓮,まさかの……
奈緒,ド正論！！！！！
常務,面白いからだ
奈緒,ブレねえな
アーニャ,なるほど♪
凛,納得してほしくなかった！！！
常務,……とはいえ、一理ある。今回はこのくらいにしよう
加蓮,紙一重ね……
常務,ではそろそろ終わらせようか
アーニャ,寂しい……ですね？
ありす,早く帰りたいです
常務,あの偏屈だった橘がこんなにも素直に……
奈緒,感動するところじゃない
常務,ではアナスタシア。締めの言葉を頼む
アーニャ,ダー♪
周子,大丈夫？
アーニャ,今日はアーニャのために集まってくれてスパシーバ！ありがとうございます
凛,結果的にそうなってるのは否めないけども
アーニャ,あ……
奈緒,え？
アーニャ,……
唯,？
フレデリカ,どうかした？
アーニャ,えっ……と
常務,どうした？
アーニャ,あー、ジョウム、プレゼントくれてませんね……？
常務,ああ、すまない、すっかり忘れていた
アーニャ,イズヴィニーチェ……ごめんなさい、アーニャ、図々しいですね？
常務,いや、構わない。仕事は用意してあるが、他に欲しいものはあるか？
アーニャ,北方領土
奈緒,油断してたらこれか！！！！！
常務,……善処しよう、解散！！！
凛,無理やり終わらせた！！！
アーニャ,アー、次回も、来たいですね？
ありす,……そうですね
加蓮,開催はまた半年くらい空けてほしいけどね……
常務,次回は明後日だな
奈緒,馬鹿なのか！？
