石井芳彦,２０
石井,事前検診に協力しただけで、小遣いが貰えた……。飯代が少し浮いたな……。……はい。合格ですか？あ、ありがとうございます！。やった！治験の応募に合格したぞ！。いよいよ俺も入院か……
看護師,石井芳彦様ーー
石井,はーーい。うっ……。俺は遂に、新薬を飲んじまった……。果たして、どうなることやら……。自分の尿を看護師に渡すなんて、何だか恥ずかしいな……。そうか……。治験の入院食は、幕の内弁当が出されるのか。ここの本棚は、置いてある漫画の種類が豊富だな……。また採血が行われるのか……。それにしても、1日に何度も採血を行っているな……。全く、暇で暇で仕方がない……。身体を洗うことができるなんて、気持ちいいな……。運動禁止のせいで、身体がなまってきたな……
BAR,魔の巣
喪黒,治験のアルバイトはいかがでしたか？
石井,まあ、その……。思っていたような危ないものではありませんでしたね
喪黒,石井さん。治験に参加してよかったでしょう？
石井,はい……。俺にとっては、いい人生経験になりましたよ
喪黒,よかったですねぇ。石井さん
石井,何よりも……。4泊5日入院しただけで20万円貰えるってのは、本当においしいバイトですよ
喪黒,そうですか……。だったら、あなたには約束していただきたいことがあります
石井,約束！？
喪黒,はい。治験を終えた後、再び治験に参加できるまでには数ヶ月間かかります
石井,わ、分かりました……。喪黒さん。今までの俺は粗食だったからな……。金があるから、多少は栄養のあるものを食うべきだな……。学食で定食が食えるなんて、夢みたいだ……。さすが、20万円様様だよ……。ふうっ……。俺は風呂代もケチっていたんだから、このくらい自分へのご褒美のようなものだ。まだ金はたっぷり余っているから、もう少し贅沢をしてもいいだろう。さすがに、早いペースで金を使いすぎたかな……。あの20万円の大金、思ったよりも減ってやがる……。うわあ……。治験で手に入れた20万円どころか、親の仕送りも使い込んでしまった……。治験の申し込みがあった……。よぉし……。もう1度、治験のバイトに参加して金を稼ごう。構うもんか。豪遊を続けたせいで、今の俺は金がないんだ……。やむを得ん……
医者,今回の治験は、場合によっては重大な副作用を引き起こす恐れがあります
石井,何だって……！？
医者,ただし、副作用が起きる確率は極めて低いものです
石井,よかった……。副作用が起きる確率は極めて低い……か。それなら、まず大丈夫だろう。この漫画も読み終えてしまった……。新しい漫画を取りに行こう
喪黒,石井芳彦さん……。あなた約束を破りましたね
石井,も、喪黒さん……！！
喪黒,私は言ったはずですよ。治験のアルバイトを梯子してはいけない……と
石井,す、すみません……！！どうしても金が必要なので、つい……
喪黒,言い訳はよしてください。約束を破ったのだから、あなたにはペナルティーを受けて貰います！！。ドーーーーーーーーーーーン！！！
石井,ギャアアアアアアアアア！！！。うう……。頭が痛む……。漫画の内容が頭に入ってこない……。わああっ！！なんだ、こいつらは！？
女性看護師A,石井様、どうなされましたか！？
石井,あれを見ろ！！あの蛍光灯から、俺に向かって電波が発射されてるんだ！！
女性看護師A,そんなことはありません！！落ち着いてください！！
石井,嘘だ！！電波を使って俺に攻撃するのはやめろ！！お前は、俺を監視するために送り込まれた魔女なんだろう！！
女性看護師B,石井様！！しっかりしてください！！
石井,ここは水晶玉の中なんだ！！俺を水晶玉の中に閉じ込めて、洗脳電波で身体を乗っ取るつもりか！？。ハハハハハハハ！！！ハーーハハハハハハ……！！！
喪黒,学生がアルバイトを行うのは、勉学を疎かにしているように見られがちですが……。実はアルバイトにも大切な意味があるのです
