今日も頑張ってアイドルの原石を見つけに地獄へ赴く。,ｃｖ大塚明夫
P,それでな、その娘を一目見て思ったんだ。
櫂,ティンときたんやろ？それさっき聞いたけど…。
P,そっちもあるけどもうひとつあるの。その娘すごく辛そうな表情してたんだ。何かこう…なにか物事が上手く行ってないって顔でさ。そういう娘を見てるとついつい声をかけてどうにかしてあげたくなる性分で。
櫂,そして優しくしておいてあわよくばアイドルにスカウトしてやると？
P,まっまぁ平たく言えばそうかな。あははは～…。
櫂,ふーん…。
P,ど、どうかな？スカウト…良いかな？
櫂,そっかぁ～仕方ないねいいよ！あんたの根性に負けた。アタシが呼んできてあげる！さぁどの娘？
P,いや俺がスカウトしにきたのは君だよ。
櫂,え、アタシ？
P,うん、君。
櫂,え…えええええええ！！！？？？
P,今思えばおかしな話だよな～あんなに話してるのに最後の最後まで気付かなかったんだもんな。
櫂,だってまさかアタシがスカウトされるなんて考えてもみなかったんだからー。
P,さすがにわかると思ってたんだけどな…まぁでもそこが櫂のいいところでもあるんだけどな。
櫂,ふふ、なにそれ褒めてるの？
P,あぁい～っぱい褒めてるぞ！
櫂,そっか…ありがとう。ねぇプロデューサー…私ねアイドルになって本当に良かったと思ってるよ。
P,そりゃありがたいけどいきなりどうしたんだ？
櫂,昔の話してたら水泳してた頃のこと思い出してね。
P,水泳してたときか…やっぱりあの時の櫂は競泳水着を着てたからかなりエロかったなてん～どうだ今度の衣装は水着にしてみないか？
櫂,何言ってんのさ変態。だいたい競泳水着をそんな目で見ないで欲しいんだけど…やっぱりこの人にスカウトされたの間違ってたかな…。
P,なっ！俺はこう立派に櫂の未来を案じてだな…
櫂,あーはいはい分かってる分かってる。ねぇPさん？
P,ん？なんだ？
櫂,これからも一緒に頑張ろうねPさん！
P,おうもちろんだ！。なぁところで櫂、プールの入り口の前に居た警備員ってどこかで見たことがある面影というか似た顔を見たことがあるというか……なんて名前なんだあの警備員？
櫂,あの人？あの人は確か喜多…
日菜子,むふふ…おはようございます。今日も妄想日和ですね…むふふふ～
P,………あ～日菜子のお兄ちゃんだったか。そのうちCuPにでも紹介してやるか。
