闇の深いＰ(以降Ｐ表記),おー、ペイントボール頼むわ
ありす,そうですよ。別に昨日事務所の冷蔵庫に入れておいたイチゴを食べられた恨みって訳ではありますから
みく,それかいっ！バッチリ恨まれてるにゃあゴメンナサイ！
Ｐ,俺は単にみくおちょくるのが楽しいから
みく,お前は少しは誤魔化せぃ！
Ｐ,まあまあ、ほら。膝に乗せてやるから機嫌直せ。今度はもっと難易度の低いクエストでワイワイやろうや
みく,むぅぅ～…
ありす,プロデューサー、みくさんも子供じゃないんですから、そんな手で機嫌が直るとは…って言うか次は私を乗せてください
みく,仕方ないにゃあ。次やったら怒るからねっ
ありす,みくさん、次は私の番なんですけど。退いてほしいんですけど
みく,やっ
ありす,ですとろい
Ｐ,ほらほら、次のクエストどーする？橘さんのランク上げするか？
ありす,ありすです。あなたのお膝に乗れないありすです
Ｐ,じゃ、次は橘さんの為のシャガルマガラ狩りだ。ターゲット変わったからタイトル詐欺になりそうだな
芳乃,そなたー、メタいのでー
Ｐ,めんご
ありす,ありすです。ご協力感謝します。どうにもソロだと手に負えなくて…
みく,Ｐチャンもうちょっと後ろにいくにゃあ。やりにくいにゃあ
Ｐ,なら退けや。揉むぞ
芳乃,そなたー、そなたー、お膝成分が足りなくなってきましたのでー
ありす,クエスト行きますよ。イチャイチャするなら余所でするか私を混ぜてください
みく,我欲が垂れ流しにゃ、ありすチャン
Ｐ,じゃあ、コイツ狩ったらありすの番な
ありす,マッハで討伐しましょう
みく,流石に音速は超えられないにゃあ
芳乃,追跡、撲滅、いずれもー
Ｐ,マッハ
みく,ちょっ、みくが乗ってるんだから変身ポーズとか止めてにゃ！
ありす,クエスト立てたから早くしてくださいもしくは混ぜてください！
みく,シャガルマガラ討伐にゃあ！
ありす,ソロでは何度も敗北を喫しましたが…仲間達と一緒なら負けません！
芳乃,いざ、尋常にー
ありす,くっ…！動きが早くてハンマーだと捉え切れません…！
芳乃,あー、何やら、ビームのようなものをー
みく,空飛ばれたにゃあ！叩き落してやるにゃあ！
Ｐ,画面がよく見えねぇ
みく,うにゃっ！ちょっとＰチャンどこ触ってるにゃ！？
Ｐ,え、胸？
ありす,セクハラしてないで狩りに集中してください！
芳乃,ありす殿がー、おっかないのでしてー
Ｐ,いやだってみくが邪魔で…
ありす,だから私を乗せてくださいって言ったじゃないですか！
Ｐ,何なのなの？俺の膝は何なのなの？
みく,人にセクハラしといてその冷め切ったりアクションは何なのにゃあ！傷つくにゃあっ！色んなモノが傷つくにゃあ！？
芳乃,あー、またまた口からビームがー、痛いのでしてぇー…
Ｐ,ああもう、一旦退けみく。粉塵使うぞー
みく,えっ、あ、みくも今使ったのに…
ありす,モンハンあるあるですね
みく,よっしゃあ！叩き落したにゃあ！
Ｐ,よくやったみく。後でサバ寿司奢ってやるからな！
みく,うん！ありがとうＰチャンぶっ飛ばすにゃあ
ありす,頭部狙いますね
芳乃,私もー、叩きますのでー
Ｐ,ってこらこらまた膝に乗るな潜り込むなゲームやりにくいっつの
ありす,何でまた芳乃さんなんですか！次は私の番でしょう！？
芳乃,早い者勝ちでしてー
Ｐ,だからやりにくいっての…あーっ、ブレス喰らった！やっべまた来るやられるやられるっ
みく,にぎゃーっ！今みくのこと盾にしたにゃっ！盾にしたにゃっ！？
Ｐ,近くにいた、お前が悪い
芳乃,背後にー、回りこみましてー。…振り返られましてー。あーっ、ぺちこーんされましたー
ありす,回復しますっ。あとお膝替わって下さい
芳乃,やーん
Ｐ,お前らフザけてるとまたやられるぞ？ほらみく。早く回復しろって
みく,みくを盾にしたのは何処の誰にゃあ？
Ｐ,え、まゆ？
みく,いないにゃっ！
Ｐ,まゆー、いないのかー？。ホントだ、いない
みく,お、おぅ
シャガルマガラ,せやね
ありす,何とか倒せそうですね
芳乃,油断は禁物、なのでしてぇー
Ｐ,橘さん芳乃を引っ張るなそして芳乃は俺にしがみつくな痛い痛い。シャツが伸びる。微妙に肉まで掴んでる
ありす,ありすですっ。プロデューサーのお膝に乗りたいありすですっ
芳乃,私はー、ここに住むのでしてー
Ｐ,やめてくださいお仕事できなくなります。ほら、橘さん手を離せ、芳乃を脱がすな芳乃も俺を脱がすな
みく,おーい、お前ら大概にするにゃあ。みくさっきからシャガルとタイマン張ってるんだけどにゃあ。…あ
Ｐ,あーあ、１乙
ありす,１人だけ離れてるから回復できませんでしたよ
芳乃,尻尾でべちーん、ってされてましたー
みく,みんなが協力プレイしないからにゃあ！。もしもし幸子チャン？今から来れないかにゃっ！？みく１人じゃもう身が持たないのにゃ！
Ｐ,ってぇ…ヤロウ、やりやがったな…
みく,Ｐチャン１乙されてから急に本気になったにゃ…
ありす,普段温厚なのにゲームだと荒くなるタイプですね
芳乃,そなたー、そなたー、目が据わってましてー
みく,うっわ、怒涛の勢いにゃ…最初から本気出して欲しかったにゃあ…あ、勝ったにゃ
Ｐ,よし、ざまあみろ金ピカトカゲめ
芳乃,そなたはー、実は物凄く負けず嫌いなのでしてー
Ｐ,そんなことないだろ
みく,そう言えば事務所に移籍する前の幸子チャンとのライブバトルでもしこたまボッコボコにしてたよにゃあ…
ありす,良い大人が子供っぽいですね
Ｐ,人の膝の上を虎視眈々と狙っている現在進行形の子供に言われるとは
芳乃,あー、お膝にクッション置かれましたー…封印されてしまいましたのでー…
みく,次はどうするにゃ？別のモンスター狙うかにゃ？
ありす,そうですね…まだ見たことの無いモンスターをチャレンジしてみたいです
Ｐ,ならイビルジョーでもいってみるか？
芳乃,あれはー、恐いのでしてー
Ｐ,初めて遭遇したときは瞬殺されたから俺も若干トラウマだわ。じゃ、クエスト張るぞー
ありす,プロデューサー、天井見てください
Ｐ,んあ？
ありす,とうっ
Ｐ,ｸﾞｪｯ
みく,ああっ、ありすチャンがクッションの上からＰチャンのお膝に！
芳乃,クッションによってー、益々心地の良い空間になってしまっておりますー…
ありす,やっと座れました。さぁプロデューサー。狩りにいきましょう
Ｐ,子ども扱いされると怒るクセに…まぁいいや。みくと違って軽いし
みく,ちょっ！失礼にゃあ！
芳乃,私もー、これから成長するのでしてー。雫殿みたいなぼいんぼいんにー
Ｐ,…雫サイズの芳乃を想像することを脳が拒否してるんだが
ありす,…
みく,ってコッチは速攻で爆睡してるにゃ！？
Ｐ,うぉい橘さんっ起きろ。クエストやるんだろっ。おいっ、橘さんっ、ﾀﾞﾃﾞｧｰﾅｻﾞﾝｯ!ﾍｱｯ!
ありす,ありすです…マイハニーです……ふぇ？。…ｺﾎﾝ。失礼しました。プロデューサーの膝から与えられるＰラクゼーション効果によってついウトウトと…
みく,ヨダレ垂らしてスピーッて寝てたにゃ。なーにがウトウトにゃ
芳乃,ではー、クエスト開始ですー
みく,うにゃあ！ブレスきたにゃあ！ダメージすんごいにゃっ！
ありす,ああっ、また食べられましたっ！プロデューサー助けてください！
Ｐ,人の膝の上で暴れるなっ画面が見えねぇ
芳乃,ほわー、踏み潰されましたー
みく,うにゃあー！尻尾きたにゃー！
ありす,ああっ、起き上がりを狙われて…
Ｐ,おぉう、２人いっぺんに逝っちまうとは
芳乃,ふにゃー、食べられましたー
Ｐ,あっという間だったな…
みく,まあ、この面子誰一人ガチでプレイしてるメンバーじゃないもんね…
ありす,大きすぎます、恐いです。何なんですかアレ
Ｐ,ダレン・モーランもそうだけどデッカいモンスターって初見は本能的な恐怖感あるよな。アレだ、学校の天体図鑑で木星のページだけ恐かったりしなかったか？
ありす,言わんとすることは何となくわかりますが…
芳乃,どたばたしているうちに、みなやられてしまいましたー
みく,リベンジ、するにゃ？
Ｐ,無論。今度はボコる
みく,ほんっとゲームだと負けず嫌いで短気になるにゃあＰチャンは
Ｐ,…
みく,…
ありす,…
Ｐ,…なんというか、なぁ…？
ありす,冗談というか、ふざけ半分で全員ヘビィボウガンで行ったら…
みく,ただのイジメだったにゃ…最初のあの緊迫感は何だったのにゃ
芳乃,数の暴力、でしてー
Ｐ,まあ、モンハンはつまるところ武器性能や戦略より人手集めて手数でゴリ推し、で大体イケちまうからなあ
ありす,とりあえず、全員遠距離武器はもう禁止にしましょうか
みく,そうだにゃ。流石にちょっとつまんないにゃ
Ｐ,巨大モンスター相手に逃げ回りながら射撃攻撃って、何かウルトラマンの警備隊みたいな気分だったよ
芳乃,次はどうしますー？
Ｐ,もうちょい、ワイワイ楽しく面白おかしくやりたい気がするな
みく,それは決してみくを爆砕するプレイじゃないよね？
Ｐ,………それはもちろん
みく,長い間だにゃあ！どーしてそんなにイジワルばっかりするのにゃあ！
ありす,むぅ…
Ｐ,あいててっ、何で膝をつねる橘さん
ありす,ありすです。イチャついてないでクエスト張ってください
みく,これのどこがイチャついてるのにゃ…
芳乃,ではー、今の内にお茶を淹れてまいりますー
Ｐ,冷凍庫にピノ入ってるから持っておいでー
芳乃,お茶とピノを持ってまいりましたー
Ｐ,ありがとな芳乃。ほら、いい加減退きなさい橘さん
ありす,ありすです。…前々から聞きたかったのですが何でプロデューサーは私の事を頑なに名前で呼んでくれないんですか？
Ｐ,名前で呼ばれるの嫌だって言ってたクセに
ありす,あれは…事務所に入ったばかりで、まだ色々と…
みく,反抗期にゃ？
Ｐ,ある意味あれも中二病だったのかな
芳乃,闇にのまれましてー？
ありす,あれ、今度は私がターゲットなんですか？
Ｐ,まあまあ、ピノどうぞ
ありす,あむ…、ん…っ。こんな事で誤魔化されると
Ｐ,まあまあ、も一つ
ありす,あむっ
芳乃,お顔が蕩けてましてー
みく,おいおいチョロすぎにゃ。この子将来変な男に引っかからないか不安になるにゃあ
幸子,ふふーん！お待たせしました世界レベルのカワイイボクがやってきましたよ！
Ｐ,チェンジ
幸子,ちょっ！？。何ですかこの扱いはっ！折角ボクが来て上げたというのに！
Ｐ,ＰＳＰ片手に嬉しそうな顔してやってきたクセに
みく,幸子チャン、ほらほらピノあるにゃ。おいでおいで
芳乃,お茶をまたー、持ってまいりますー
Ｐ,芳乃ー、戸棚にアルフォートあるから持ってきてくれぃ
ありす,幸子さんも合流しましたし、次は何を狙いましょうか
Ｐ,一旦初心に戻ってリオレウスでもいくか？
幸子,あれ、そんな雑魚でいいんですか？ボクの操虫棍捌きならあっという間ですよ？
Ｐ,おー、自信満々だなぁ。これは期待できそうだ
ありす,では、芳乃さんが戻ってくるまでにこの４人で一度いってみましょうか
幸子,ボクが来たからには大船に乗った気になっていいですよ
Ｐ,タイタニック号か
みく,じゃあクエスト張るにゃあ
Ｐ,おっと、装備変えとかないと。ヘビィボウガンのままだったわ
ありす,あ、私もです
みく,みくもにゃ
幸子,どうして皆さんそろってヘビィボウガンなんですか？
Ｐ,色々あったんだよ
みく,装備直してきたにゃー
ありす,こちらも準備万端ですっ
Ｐ,おう、そう言いながら膝に乗ろうとするな
幸子,さあ、ボクの華麗なプレイを披露してあげますよ！
Ｐ,おう、見せてくれぃ
みく,リオレウスは久しぶりにゃあ。アイツ毒にしたり焼いたりしてくるからキライにゃ
ありす,きっとモンスターの方も定期的に全国のハンターから狙われて辟易してると思いますよ
Ｐ,いいんだよ、モンスターはそれが仕事だ
幸子,絶対に付きたくない仕事ですね
Ｐ,よーし行くぞ。プラグインッ！
みく,それ違うゲームにゃ。しかも古いし
幸子,よーし今がチャンス！飛び乗りますよぉってどうして大タル爆弾仕掛けてるんですかぁ！！
Ｐ,すげぇ吹っ飛んだな
みく,心なしかリオレウスもポカンとしてるにゃ
ありす,流石幸子さん。３４６プロで一番空を舞うのが得意なアイドルですね
幸子,爆風で吹き飛ばされた経験は流石にありません！
Ｐ,まあまあ幸子。取りあえずエリチェンして回復してこい
幸子,誰のせいで瀕死だと思ってるんですか
Ｐ,え、凛のせいか？
幸子,いませんよ！
Ｐ,りーん、いないのかー？。ほんとだ
みく,お、おぅ？
リオレウス,ソウダネ
幸子,フフーン！モンハン界でもカワイイボクが万全の状態で戻ってきましたよ！
ありす,設置しました
Ｐ,やれ
みく,うにゃっ
幸子,って何でエリチェンした瞬間爆砕されてるんですかぁ！？
Ｐ,おー、隣エリアに吹っ飛んでったわ
みく,Ｐチャン鬼畜だにゃあ
ありす,楽しそうに爆破した実行犯も大概ですよ
Ｐ,爆弾設置したのは橘さんだけどな
ありす,ありすです。タブレットとイチゴがトレードマークのありすです
幸子,何ですかっ何なんですかこの抜群の対人コンビネーションは！この連携をモンスター相手にやってくださいよ！
Ｐ,いやあ、モンスター相手だとどうも連係プレイできなくてなぁ
みく,幸子チャン相手だと心が一つになるにゃ
ありす,ついさっきまでみくさん相手にみんなの心が一つになってましたけどね
みく,おぅ思い出したにゃ。みくもこうして無残に吹き飛ばされまくってたにゃ
Ｐ,被害者が加害者に早変わりだな
幸子,ちゃんとモンスター討伐しましょうよ！ほらっ、レオレウスなんかもう爆睡してるじゃないですか！そりゃ目の前で自分放置されてハンター同士で殺しあってたら暇で眠くもなりますよね！？
Ｐ,お、ホントだ寝てる。よっしゃ今だ爆弾しかけようぜー
幸子,だからボクの足元に置かないでください！。仲間にやられるとかゲームの趣旨が違うでしょう！！
みく,ふっふっふ、ついさっきまでみくも同じ道を辿ってたのにゃ
幸子,なら加害者に回らないで下さい！ボクの気持ちを誰より分かる理解者に爆破されたんですかボクは！
Ｐ,レオレウスは失敗だったなー。またシャガルでもいくか？
芳乃,お茶とお菓子をーお持ちしましたのでー
ありす,ありがとうございます
みく,あちちっ。…あ、今度はほうじ茶なのにゃ？
幸子,ほのぼのしないでください！ボクのこのやるせない憤りはどこにぶつければいいんですかっ！？
Ｐ,モンスターにぶつけろよ
幸子,ぶつける前にあなた達に吹き飛ばされたんですけどっ！？
芳乃,幸子殿ー、落ち着いてくださいー
ありす,ピノありますよ、ピノ
みく,アルフォートもあるにゃあ、ほら。落ち着くにゃあ
幸子,むぐっ…んぐ、んぐ…。…仕方ないですね、ボクはカワイイ上に寛大ですからこのぐらいのイタズラは大目に見てあげます！
ありす,ちょろいです
Ｐ,橘さんに言われたらおしまいだな
幸子,それにしても…
Ｐ,ん？
幸子,晶葉さん作のこのモンスターハンター7ＤＸファントムペインゼスティリア
みく,思い切り悪ふざけされてるから色々ヒドい点もあるけどにゃあ
ありす,あのカキン・モーランは酷かったですね。ノーモーションで一撃死ブレス連発してきたり
Ｐ,あれ完全に倒させる気無いよな。500モバコイン課金するたびに弱体化しますよ
芳乃,緑と言えばー、このモンスターもユニークなのでしてー
Ｐ,ん？…ああ、ピニャコラタウスか。コレも無茶苦茶強かったなあ…
みく,口から編み棒吐くとかファンシーさの欠片も無いヤツだったけどにゃあ
ありす,またチャレンジしてみますか？
Ｐ,そうだな。今度はネタ半分で挑んでみるか
みく,なら装備もネタでいくにゃ！
Ｐ,芳乃どうする？俺と交代するか？
芳乃,いえいえー、私は見学しておりますー
Ｐ,当然のように俺の膝なのね
幸子,ちょっ！セクハラですよプロデューサーさんっ！
Ｐ,アイドルのほうから来るんだからセクハラちゃうやろ
幸子,そ、そういうものなんですか？
ありす,そういうものです
みく,そういうものにゃ
幸子,…なら、後でボクもお願いします
Ｐ,…よく考えるとコレって新手の逆セクハラじゃね？。最近ずっとガンランスばっかりだったからなぁ…どうするか
みく,みくも操虫棍ばっかだったにゃ
ありす,つい一つの武器ばかり使ってしまいますよね
幸子,たまに武器変えると新鮮で楽しいですよねっ。最初はちょっと感覚戻らなくて戸惑いますけど
Ｐ,あるある。ボウガンでガードしようとしたことあるわ
みく,それはヒドイにゃ…
芳乃,弓をー、研ごうとしたことがありますー
幸子,弓のどこを研ぐんですか、矢尻？
ありす,そう言えば刃物はともかく、ハンマーを研ぐ必要ってあるんでしょうか？
Ｐ,打撃武器の場合は砥石よりタオルとかのほうが良さそうだな
みく,汚れが綺麗になるだけにゃあ
幸子,準備完了ですっ。皆さんもういけますか？
Ｐ,おー、いつでもいいぞー
ありす,こちらも用意できてます
みく,バッチリにゃー
芳乃,おー、なのでしてー
Ｐ,芳乃は俺の膝から降りなさい。プレイしづらい
芳乃,やー
幸子,イチャついてないでクエスト始めますよっ！
Ｐ,うーむ、やっぱり投げナイフじゃ勝てないか…
幸子,口からラージャン吐くとか、晶葉さん悪ふざけしすぎでしょ…どうやって勝てと、アレに
ありす,せめてプロデューサーがまともに戦ってくれれば少しは違ったのかもしれませんけど
みく,ナイフ尽きたらその後ずっと踊ってたもんにゃ。何度爆破してやろうかと思ったことかにゃ
Ｐ,今度晶葉に新武器も実装してもらおうか
芳乃,法螺貝などー、欲しいのでー
ありす,吹く以外に使用方法あります？それ
みく,じゃあ、みくは肉球が欲しいにゃ！
Ｐ,訳すとミートボールだな
幸子,回復アイテムですか？
みく,猫ちゃんのお手手食べちゃダメにゃ！
ありす,飛び道具の種類をもう少し増やして欲しい気がしますね
Ｐ,ミサイルとかグレネードとかガトリングとかか？
みく,メタルギアにゃ、それじゃ
幸子,亜季さんが食いつきそうですね
ありす,後は、大型武器ばかりなのでもう少しスマートな武装なんていうのも
Ｐ,レーザーブレードとかリボルケインとか千本桜景厳とか？
みく,光チャンが食いつくにゃ。しかも最後のやつに至っては卍解しちゃってるにゃ
Ｐ,悪ふざけモンスターはやめておこう。勝てる気がしない。範馬勇次郎や悪魔将軍相手にするぐらい勝てる気がしない
ありす,またジンオウガにします？
芳乃,尻尾びたーん、はもう嫌なのでしてー
みく,幸子チャンいるし今度はマジメにシャガルマガラいくかにゃ？
Ｐ,人聞きの悪い。いつだって真面目にやってるだろ
みく,みく爆破を真面目にやってんならぶっ飛ばすぞにゃあ
幸子,そんなことやってたんですか…まったく、何してるんですか
Ｐ,安心しろ、幸子の事もちゃんと爆撃してやるから
幸子,モンスター狩りましょうよ！
芳乃,そなたー、そなたー、私も参加しますのでー
ありす,あ、では私と交代しましょうか芳乃さん
芳乃,はいー
ありす,なのでプロデューサーのお膝も交代してください
芳乃,やーん
ありす,おのれ
Ｐ,よーしシャガル狩りいくぞーだから服を引っ張るな橘さん芳乃ー
みく,大タル爆弾は禁止にするにゃ
幸子,あ、賛成です
Ｐ,え、なんで？
みく,自分の胸に聞けにゃ
Ｐ,じゃあ、どうやってお前らを爆破すればいいんだよ
幸子,モンハンっていうゲームの趣旨を思い出せばいいと思いますよ
みく,酷い、酷すぎるにゃ…
幸子,アレはないですよ…って言うか何なんですか、アレ
Ｐ,いやぁ～…
みく,何でエモーションにメルヘンデビューが入ってるのにゃ…技術力の使い道が完全に迷子にゃ…
幸子,ご丁寧にＢＧＭまで変わるとか販促…もとい反則ですよ。笑っちゃったじゃないですか
Ｐ,吹き出したところをまとめてブレスでやられたなぁ
芳乃,そなたもー、踊っていたので避けられなかったのでー
ありす,うわあ…
Ｐ,…とりあえずこのエモも禁止にしておくか
みく,それが賢明にゃ
Ｐ,他にも一斉風靡セピアもあるけど
幸子,それも禁止です！
みく,狩り中にいきなりｿｲﾔｿｲﾔｿｲﾔｯされたら絶対耐えられないにゃあ！
幸子,禁止ですからねっ！もしやったら噛みます。やや本気で噛みます！
Ｐ,分かったでごぜーますよ
芳乃,ではー、リベンジですー
みく,何でまた爆破されるにゃあ！
幸子,シャガルマガラも唖然としてましたよ！何ですかいきなり大タル爆弾も無いのにあの大爆発は！
Ｐ,ああ、自爆
みく,晶葉ちゃあん！
Ｐ,自爆スイッチはロマンだろ、助手！
幸子,ロボットアニメじゃないんですから！そう軽々しく自爆しないでください！タロウですかヒイロですか！
ありす,それにしても凄いダメージでしたね…ＨＰほぼフルだったのに一撃ですか…
Ｐ,自分のＨＰの倍のダメージを周囲に与えるらしいからな
みく,うっわ無駄に高性能にゃ！それ２人ぐらいモンスター相手に自爆させたら楽にクリア出来ちゃいそうにゃ！
Ｐ,２人ともそうカリカリするなよ。アルフォートあるぞ？
幸子,誰のせいですか！
Ｐ,えっ…楓さん？
みく,いないにゃ！
Ｐ,楓さーん、いますかー？
楓,居間に今、います…ﾝﾌｯ
みく,うにゃあ！
ありす,ひゃっ！
幸子,アワワッ！
Ｐ,ヒィッ！ホントにいた！
楓,こんばんは。お邪魔してます
芳乃,いらしたのでー、上がってもらいましたー
Ｐ,いつの間に…ビックリしたわ。ウサミンの寿命が４年縮んだわ…
楓,みんなでゲームしていると聞きまして…私もご一緒していいですか？
Ｐ,それはもちろん構いませんけど…って人の膝に乗ろうとしないで下さい。何なんですかみんなして。俺の膝に何があるんですか
ありす,イチャイチャしないでください。それとプロデューサーの膝には次は私が乗るんですから
Ｐ,そんな予約受け付けた覚えは無いんだが
芳乃,楓殿ー、お茶ですー
楓,あら、ありがとうございます。…はふぅ、梅昆布茶美味しい
みく,これで５人にゃ。なら次はみくが交代するにゃ？
幸子,ツッコミ疲れですか？
みく,後は幸子チャンに任せるにゃあ
幸子,フフーン、まっぴらゴメンです
楓,皆さん、何のゲームしていたんです？
Ｐ,モンハンですよ、晶葉が作った改造版ですけど。って膝がダメだからって肩に乗らないで下さい。あ、ちょっと飲んでますね？
楓,お猪口に、ちょこっとだけですよ？ﾌﾌｯ
Ｐ,…まあ、以前みたいに一升瓶抱えて来るよりはマシだと思いましょう
ありす,プロデューサー、早く続けましょう。シャガルマガラのリベンジです
Ｐ,はいはい。楓さんも参加します？
楓,はい、ちゃーんとこの通り用意してきましたから
Ｐ,おお、本当だ。でもそれバーコードバトラーですよ？
楓,あら、違いました？みんなで遊んでいると聞いて私も混ぜて欲しくなったので事務所から適当に持って来ちゃったんですけど
みく,紗南チャンの私物かにゃ？それにしては見たこと無いけどにゃ…こんな携帯ゲーム
