緒方智絵里,……あれは、3人でファーストフード店にお昼を食べに行った時の話です
ほたる,も、もちろんモデルガンですので……
店員,……騒ぎだけは起こさないでよね
智絵里,……
ほたる,……
智絵里,……はいっ
店員,なんで間が空くの？
ほたる,ではカフェオレを2つ……いえ、そろそろ朋さんも来る時間ですし、3つ頼んでしまいましょうか
智絵里,うんっ
店員,かしこまりました。……騒ぎだけは
ほたる,信頼されてないですね……
店員,お待たせしました、カフェオレ3つ……
藤居朋,あ、いたいた！ふたりとも、お待たせ～
ほたる,朋さん！
智絵里,朋さん！
店員,……いい笑顔ね
朋,あっ！先輩もこんにちは！
店員,別に藤居さんの先輩ではないですけど……
朋,あ、あたしの分も頼んでおいてくれたんだ！ありがと！
店員,ごゆっくりどうぞ
朋,ありがとうございます！
ほたる,……と、いうわけで……！
智絵里,いうわけで……！
ほたる智絵里,朋さん、お誕生日おめでとうございます！
朋,ありがとー！
ほたる,本来ならもっと大きくお祝いしたいところだったんですが……
智絵里,この後は3人別々のお仕事があるので、仕方ないですね……
朋,ま、でも、お仕事があるって素敵なことよ！こうやってちょっと会えただけでも嬉しいし！
ほたる,朋さん……
智絵里,朋さん……
店員,ちょろいわね……
ほたる,その代わり……と言うべきかはわかりませんが、プレゼントをたくさん持ってきました……！
朋,え！ホント！？そんな気を遣わなくていいのに～
智絵里,わたしたちの気持ちですからっ
朋,そう言われると無碍にはできないわね～
ほたる,ではまず……
朋,わくわく！
ほたる,レインボートカレフを……
店員,初手でいった！！！！！
朋,わー！欲しかったのよこれ！
店員,欲しかったのよこれ！？！？！？
朋,朝の占いでたまに拳銃って出てくるんだけど～
店員,物騒な占いもあったものね……
朋,赤い拳銃とかなかなか用意できなくて！これで捗るわ～
ほたる,よ、よかったです……
店員,なんでアンタが若干引いてるのよ
智絵里,ええと……続いてわたしからっ！
朋,お！楽しみね！
智絵里,わたしからはこの……
朋,何かしら？
智絵里,レインボー忍び装束ですっ
店員,忍べや！！！！！。悪目立ちの極みじゃないの！！！忍者に謝りなさい！！！
朋,わー！欲しかったのよこれ！
店員,嘘でしょ？？？？？
智絵里,もうなんか逆に忍びって感じですよねっ
店員,そんな適当な感想ある？
智絵里,わたしの出身は三重県で、伊賀の里があるんですよっ
店員,ああ……一応、ゆかりはあるのね……全然納得できないけど……
朋,いやー、今まで朝の占いで忍者のコスプレが吉って言われた時に対応できなくってねー
店員,その番組見るのやめなさいよ
智絵里,あ、あはは……
店員,だからアンタが引くならそもそも渡すな
ほたる,さらに、私からはまだあります……！
朋,え！豪華ね～！
ほたる,こちらの……
朋,うんうん！
ほたる,スターを取って無敵になったマリオのフィギュアです
店員,回りくどいけど単に虹色のマリオだ！！！
朋,わー！欲しかったのよこれ！
店員,それ以外のリアクション用意してないの！？
朋,やっぱりマ○オは虹色になってこそよね！
店員,いや通常状態でも大活躍してると思うけど……ってか伏せ字遅っ！手遅れでしょ！？
ほたる,さらに今なら、スターを取って無敵になったメタルマリオもプレゼント……！
店員,いや見た目変わんないし！！！そもそも銀になったのがメタルマリオなんだからそっから色変えたらアイデンティティ完全消失じゃないの！？
朋,欲しかったのよ～
店員,うるさいな！！！
智絵里,わたしからもまだありますっ！
朋,ホント！？
店員,どんだけ用意してるのよ……
智絵里,こちらの……
朋,こちらの……！
智絵里,レインボー奈緒ちゃんフィギュアですっ♪
店員,うっわ本当に全身虹色の神谷奈緒じゃない！！！何あれキモッ！！！
朋,こ、これは……
店員,そりゃ流石に藤居さんでも引くでしょ……
朋,伝説の奈緒ちゃんフィギュア、”虹色橋掛けちゃいました”バージョン！？
店員,そんな甘栗むいちゃいましたみたいなテンションでフィギュア虹色にする？？？
店長,あ、○○さん、これ、3番テーブルさんにお願い！
店員,今いいとこなんです！！！
店長,いや仕事してくれないかな？
店員,どんなノリで作ったのよアレ……
朋,本人すら持っていないこれをどこで……！？
店員,本人、普通にいらなかっただけじゃ？
智絵里,事務所の倉庫に1つだけ残っていたんですっ……！それをこっそり……いえ、しっかりと許可を取ったり取らなかったりしながら……！
店員,それでいいの？
朋,いやー！こんなにたくさんもらっちゃって、なんだか悪いわね！
ほたる,い、いえ、喜んでもらえて……なによりです……
智絵里,はい……
朋,？
ほたる,結局、全部喜んでくれましたね……
智絵里,そうだね……
朋,どうかした？
ほたる,い、いえ！そ、それにしても朋さんは本当に、虹色のものに目がないんですね……
朋,虹色？あ、確かに貰ったもの、全部レインボーね！運気上がっちゃうかも！
智絵里,……え？
ほたる,虹色だから喜んでたんじゃ……
朋,へ？そりゃ好きな色ではあるけど、あたしはほたるちゃんと智絵里ちゃんがくれたものなら、何でも嬉しいわよ？だってあたしのために選んでくれたんでしょ？それだけで十分よ！
店員,！！！
ほたる,……
智絵里,……
朋,？
ほたる智絵里,と゛も゛さ゛ん゛〜〜〜〜〜！！！
朋,なんで！？！？！？。もー！そういうことだったのね！
ほたる,すみません……
朋,いくらあたしだって、虹色のものなら何だって喜ぶわけじゃ……。……。……。……。……ないわよ
店員,声ちっちゃ
ほたる,で、でも、ちゃんとしたプレゼントも買ってあって……！
朋,え！そうなの？
智絵里,はいっ。ふたりで選んだんですっ
ほたる,はい、どうぞ……！
朋,何かしら！開けていい？
智絵里,もちろんですっ
朋,これは……メガネ……？
智絵里,はいっ！変装にも、オシャレにも使える伊達メガネですっ
ほたる,これから世界的に大人気になっていくことが予想される朋さんが少しでも静かな生活を送れるように……！
朋,期待が重い……。でもオシャレね！どう？どう？
ほたる,似合ってます……！
智絵里,とっても素敵ですっ……！
朋,えへへ……
ほたる,これからも、私たちをよろしくお願いしますね？
智絵里,ね？
朋,もちろん！お姉さんについてきなさい！
ほたる,わー
智絵里,わー
店員,……お待たせしました
朋,へ？何か頼んでたっけ？
ほたる,いいえ……
店員,こちら、サービスになります
朋,サービス……はっ！！！！これは……！！！！！！
ほたる,虹色の……
朋,この前食べ損ねた
智絵里,こ、これは……？
店員,だから、サービスです。お誕生日、おめでとうございます
ほたる,せ、せんぱい……！
智絵里,せ、せんぱい……！
朋,せ、せんぱい……！！！
店員,さっきも言ったけどそっちふたりの先輩じゃ……まあいいか……
朋,で、でもどうして……
店員,別に……そのふたりと活動するのは大変だと思うので、差し入れみたいなものです。お代は取らないので……。ほたるに良くしてくれてありがとうなんて、私が言う資格はない、わね
ほたる,はっ！まさか……
店員,な、なによ……
ほたる,先輩も朋さんを狙って……！？
店員,……はあ、そんなわけ
智絵里,ええっ！？先輩も朋さんを狙って……！？
店員,違うって言ってるでしょ！被せるな！
朋,ええっ！？あたしを！？
店員,藤居さんも乗んないで！！！
朋,いやー、ありがとうございます！……これは食べてもいいわよね？
ほたる,流石に好意を受け止めないのはよくないかと……
朋,やったー♪。んー！別に美味しくはないけど運気上がりそー！
店員,それ店員の前で言います……？
智絵里,そ、そのっ、悪気はなくてっ！
ほたる,ただ評価軸の頂点に”運気”があるので、全てを貶しても運気が上がりそうなら褒め言葉になるみたいで……
店員,めちゃくちゃ擁護するじゃない……
朋,時に先輩……！
店員,どうしたんですか……
朋,アイドル、もう一度やってみませんか……？
ほたる,！
智絵里,！
店員,……
朋,……
ほたる,……先輩
店員,現役アイドルにそう言ってもらえるのは嬉しいけど、遠慮しておきます
朋,そう……ですか
店員,私の分まで、頑張ってください。ほたるも、諦めたら承知しないわよ
ほたる,……はいっ！
朋,ま、ツッコミ上手の先輩が入ってくれればあたしとか未央ちゃんとかの負担が減りそうだなって思ったんだけど本人がそう言うなら
店員,含みがありませんでした？
ほたる,では、そろそろお仕事なので、失礼しますね
店員,はいはい。頑張んなさいよ
朋,ありがとうございましたー！お代は……
店員,ああ、飲み物の方も結構ですよ。お仕事、頑張ってください
朋,え！で、でも……
ほたる,流石に……
店員,その代わり、お店の宣伝、よろしくね。売り上げが上がれば給料も上がるわよ
ほたる,先輩……
智絵里,その場合は広告費をいただくことになりますが……
店員,人の心がないの？
朋,いやー、本当にありがとね！ふたりとも！
ほたる,喜んでいただけたならうれしいです……！
智絵里,はいっ！
朋,じゃ、あたしはここから歩いて行けるスタジオだから！行くわね！
ほたる,お気をつけて……
朋,じゃーね！
智絵里,いってらっしゃいですっ
ほたる,ふふっ、朋さん、あんなに手を振って……
智絵里,ね。かわいいなあ……
ほたる,……あれ？
智絵里,なんだか……話しかけられて……？
ファンA,も、もしかして、藤居さんですか？
朋,え？そ、そうですけど……
ファンA,ファンなんです！握手お願いできますか！？
朋,え！ホント！？もちろん！ありがとね！
ファンB,わ！朋ちゃんだ！
ファンC,本当だ！
ファンD,サインください！
朋,わ！お、落ち着いて！
ファンE,そう言えば朋ちゃん、今日誕生日じゃ……！？
ファンF,！
ファンG,こうしちゃいられねえ！
朋,え？え？
ファンH,胴上げだ！！！
ファン's,おう！！！！
朋,え？ええ？？？
ファン's,わーっしょい！！！わーっしょい！！！
朋,きゃぁぁぁぁ！？
ファンI,スタジオまで送るぞ！！！
ファン's,おう！！！
ほたる,……
智絵里,……
ほたる智絵里,朋さん！！！！！！
