大学選抜のときにぽつりと,行きたい
みほ,お母さんさ…わたしについてその…何か言ってなかった？
優花里,……似たもの親子ですねぇ
みほ,え？
優花里,なんでもないです
菊代,奥様、ただいま戻りました
しほ,ご苦労様。まったく…友達を呼んでおいて席を空けるような育て方をした覚えはありませんがね
菊代,やはり気まずかったんじゃないですか？帰りの車の中でも、ぬいぐるみのクマを抱いたまま黄昏てましたし
しほ,……そう
菊代,ご友人は不幸でしたね
しほ,どういう意味よ。でも、彼女はいい子ね。説教されちゃったわ
菊代,あら、肝が据わってますね。私が初めて奥様とお会いしたときは震えが止まらなかったのに
しほ,ちょっと
菊代,お説教の内容もなんとなく察しがつきます。奥様と気が合うということは、みほお嬢様のこと大切に想っているでしょうしね
しほ,……そうね。明日、みほと一緒に熊本を案内してあげるのもいいでしょう。あなたも来なさい
菊代,ありがとうございます。何時ごろ、ご友人を連れまわして二人っきりにすればよいでしょうか
しほ,菊代、よけいな気を遣わないの。みほとはちゃんと自分で話すから
菊代,左様ですか。ではそのように
みほ,ついてきてくれてありがとね優花里さん、今日はすごく楽しかった
優花里,いえ、わたしもお邪魔させていただいちゃって。さすがにタイマンでダウトは泥仕合にしかならないって早く気づくべきでしたが、それも思い出ですよね
みほ,あはは、じゃあ、そろそろ寝よっか。明日はこの家をいろいろ見てみたいって言ってたけど、それでいいの？
優花里,はい！戦車道本家ですから、戦車道に関わる者としては興味が尽きません！
みほ,ならよかった。わたしが大洗に帰るまで、よろしくね。優花里さん
優花里,もちろんです！
しほ,…………
菊代,なにドアの前に棒立ちしてんですか。ただ明日一緒に熊本見て回りましょうって言うだけでしょう
しほ,菊代、お給料上げてあげるからあなたが代わりに言いなさい
菊代,それじゃ意味ないでしょう奥様…それに今のままで十分お金には困っていませんので
しほ,菊代
菊代,それでは私は寝ます。おやすみなさいませ
しほ,菊代、女中が主人より先に眠るんじゃありません
菊代,ご息女のことに女中が深入りするのもよくないと思われますので。今度こそおやすみなさいませ奥様
しほ,…………
優花里,…あれ、ドアの隙間に何か挟まってます。…素直じゃないですねえ
みほ,優花里さんどうかしたの？
優花里,家元殿って可愛らしい方ですね
みほ,え
優花里,ふふ
みほ,ちょっと、なにがあったの！？教えてよ優花里さぁん！
柚子,会長、謎の荷物が生徒会宛に届いていますが、注文しました？
杏,いんや、何かが届くって報告はなかったけどなあ
桃,ああ、会長！そんなの開けて大丈夫ですか？
杏,大丈夫だってー。爆弾が出てくるわけじゃなし
コードがたくさんついたゴツイ時計,ﾁｯﾁｯﾁｯﾁｯﾁｯﾁｯﾁｯ
杏,え
おりょう,うーん、謎ぜよ
カエサル,どうしたんだおりょう
おりょう,いや、な。さっき生徒会室の近くを通ったら、会長たちがだらだら涙と鼻水垂らしながらのたうちまわっててな
エルヴィン,なんじゃそりゃ
左衛門佐,コショウの塊でもかぶったのか？
おりょう,さあ
蝶野,ふんふ～ん♪今日は合コン～♪
しほ,あら、随分とご機嫌ね
蝶野,ええ、そりゃあもう……って、え？
しほ,久しぶりね蝶野。それとも昔みたいに亜美ちゃんって呼ぶ？
蝶野,いえ、それは勘弁してください…あの、なぜここにいらっしゃるのでしょうか…
しほ,ちょっとあなたに用事があったのよ。ご機嫌なところ邪魔して悪かったわね
蝶野,いえそんな…家元も、なんだか機嫌が良いように見えますが
しほ,ん、区切りがついたってとこかしら
蝶野,？
しほ,こっちの話よ。ところで
蝶野,はい
しほ,あなた、大洗で戦車道を指導したときこーんなことを言ったらしいわねぇ。戦車なんてバーッと動かしてドーンと撃てばいいなんて
蝶野,
しほ,西住流というところはずいぶんと適当な指導をするのねえ。詳しく話を聞かないと
蝶野,やだあああああああああ！！！合コンがああああああ！！！
