馬渡速雄,４２
喪黒,そう、まさかですよ。社長、例の牧場で超良血馬が手に入りますよ
馬渡,もしも、その馬が手に入れば……
喪黒,G1レースの初制覇だって夢ではありません。どうです、私の話に乗りませんか？
馬渡,いいでしょう！あなたの話に乗ってみますよ！
喪黒,そうです！その調子！
馬渡,ここにいるのが、良血馬の集まりですか……
厩舎スタッフ,はい。活きのいいサラブレッドが、あちこちにいますよ
喪黒,この馬なんかどうです？これは特別な血統なんですよ。実は……
馬渡,そうなんですか？それほど優秀な血統なら、将来大きく化ける可能性がありますよ！
喪黒,馬渡社長。よろしかったら、この馬をただでプレゼントしてもいいですよ
馬渡,えっ、いいんですか！？こんな値打ちものを、ただで貰い受けるなんて……
喪黒,構いませんよ。社長が馬主として成功することを願う、私からの気持ちですから……
馬渡,約束！？
喪黒,そうです。良血馬の馬主となったからには、正々堂々とした勝負を心がけてください
馬渡,わ、分かりました……。喪黒さん。緊張しますよ。この間、貰った馬の初出走なのですから……
喪黒,大丈夫です。必ずいい成績を収めてくれるでしょう
馬渡,そうであって欲しいですよ……。今は祈るのみです。おおっ！俺の馬がトップにいるぞ！さすがは、超良血馬なだけのことはあるな……。よしっ、いいぞ……！このまま逃げ切ってくれ……！。ああっ！！。いやぁ、さっきのレースは本当に惜しかったですよ。全く、悔しくてたまらないです
喪黒,まあまあ……。それでも、初レースで2着でしょう？華麗なデビューを果たしたと言えますよ
馬渡,それは、そうなんですが……
喪黒,例の馬が超良血馬だったことは、今回のレースで証明済みなのです
馬渡,はい。そうするつもりですよ
喪黒,社長。あなたも馬のオーナーならお分かりでしょう？
馬渡,そりゃあ、もう……。どの馬にも個性がありますし、牧場で間近に馬を見ると可愛いと感じますからね
喪黒,馬が可愛いならば、成長が楽しみになりますし……。レースで勝った時の感慨は、何とも言えないでしょう
馬渡,ええ。当然ながら、馬の成長やレースの初勝利を望んでいますよ
喪黒,それならば……。やはり、正々堂々とした手段でレースに勝利してこそ、本物のうれしさを感じるはずです
馬渡,もちろん、そのことは承知していますよ……
喪黒,そうですか……。馬渡社長。私との約束、覚えていますよね？
馬渡,はい。例の馬の馬主になったなら、正々堂々とした勝負を心がけろ……ってことですよね
喪黒,その通りです。約束はちゃーんと守ってくださいよ
馬渡,ええ……
ソシャゲ会社関係者,なるほど……、馬の擬人化ですか
馬渡,これは絶対ヒットしますよ。ゲームだけでなく、アニメ化もしてメディア展開をしてみたらどうですか？
ソシャゲ会社関係者,面白そうですね。やってみましょう
馬渡,ゲームもアニメも順調にヒットしている。馬の擬人化ものの企画は、成功だったようだ。だが……。俺の馬は、いつもいつもあと一歩というところで1着を逃している……。今度のレースでは、私が所有する馬を1着にしてくださいよ
関係者A,いいでしょう、馬渡社長。ところで、例のものは持ってきましたか？
馬渡,もちろんです
関係者B,さすがは馬渡社長。ヒルズ族の一人と呼ばれているだけのことはありますね
馬渡,私の馬が1着になれば、競馬界にとってはいい宣伝になりますよ
関係者C,分かりました。馬渡社長が所有する馬を、必ず1着にして見せますよ
厩舎スタッフ,馬渡社長、G1初制覇おめでとうございます
馬渡,ありがとうございます。これも、みんなが私の馬に関わってくださったおかげですよ
喪黒,馬渡社長。これについては、どう思いますかねぇ
馬渡,ああっ！！
喪黒,馬渡社長……。あなた約束を破りましたね
馬渡,も、喪黒さん……！！
喪黒,私は社長に言ったはずですよ。良血馬の馬主となったならば、正々堂々とした勝負を心がけろ……と
馬渡,すみません……！！どうしても、G1レースで勝ちたかったもので……！！だから、つい……
喪黒,言い訳はよしてください。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
馬渡,ギャアアアアアアアアア！！！。競走馬になるなんて嫌だ！！俺を人間に戻してくれーーーっ！！
喪黒,競馬は、賭け事のイメージがつきものですが……。よく調べてみると、奥が深いスポーツであることに気づかされます
