モバマスより小日向美穂,たぬき
マカロン,うん！店長には伝えておくから、よろしくねっ♪
美穂,ぽこっ！あいたた……ここは？さっきまでお店の中にいた筈じゃ……
Ｐ,ﾐﾎ……ﾄﾞｲﾃ……ｲｷﾃﾞｷﾅｲ……ｵｼﾘ……
美穂,わああっごめんなさーい！？
Ｐ,けほっ、けほん。……ん？ここもお菓子工房なのか？
美穂,ほんとですね。結構広いし、立派な厨房があるし……それにあちこちにお菓子や材料がたくさん！
Ｐ,甘い匂いで満ちてるな。もう一つの店舗とか？けどいつの間に……
りす,……ここは、マカロンさんのお菓子箱の中です……
美穂,わあっ！りすちゃん？
りす,副店長のマカロンさんが管理してる空間で……お察しの通り、第二の厨房に使ったりとか、お菓子や材料の保管庫にしたり……。この中の方が、夜市のお店よりも……えと、魔女の本質に近い……と、言ってたような……
Ｐ,えっそんな空間に凡人が入っちゃって大丈夫なの
美穂,凡狸も入っていいのかな……！？
りす,あ、ちゃんと管理は行き届いてるみたいなので……。えっとあの、それで、たぶん何がなんだかわからないと思うので、わたしがアシスタントにつきます……はいぃ
Ｐ,お、手伝ってくれるのか！それは助かるな
りす,いえ、作り方とか、厨房の作り方をアドバイスするくらいで、それほど大したことはできないかと……
美穂,それでも嬉しいよっ。ありがとう、よろしくね！
りす,はぅあぅあぅ……そ、そんなに期待されてしまうと、りすくぼ、浮かれくぼになりかねません……。ここは、こうして……そうです、そんなかんじ……
Ｐ,しかしいざ作るとなるとマジで！？ってくらい砂糖入れるんだな、これ……
美穂,た、体力も使いますね……！泡立てとか肉体労働です……！
りす,なんといいますか、職人の世界なので……。こうして泡だて器を使うとか、文明の利器が必要になります……
美穂,あるんだ！？は、早く言ってよう！
りす,……あの
Ｐ,ん？
りす,いえ……なんでもないです
美穂,なに？何かおかしなこととかあったかな？
りす,そういう感じではなく、その、気になって…………やっぱりなんでもないです…………
Ｐ,いやいや、気にしないで言ってくれよ。逆に落ち着かないしさ
りす,はぁ、はい、ではその…………お二人は、どういうご関係なのでしょうか、的な……
美穂,どっ！？どどどどうって、それは……っ
りす,一緒にバースデーケーキを作る……そういえばこの前、たぬきさんはクロさんにクッキーを作りに……はっ。も、も、もしかして、らぶらぶなのでは……！？
美穂,らぶっ！？
Ｐ,いやそういう関係じゃねえよ！？俺プロデューサー！美穂は担当アイドル！
りす,ですけど、ちゅ、ちゅ、ちゅーとかも、さてはぁ…………！？
美穂,したことないよぉ～っ！
Ｐ,おーいりすさーん、出てこーい
りす,はうあうあ……青春のまぶしい光が、森のりすを焼きます……焼きりすです……
美穂,で、出ておいでー……？
りす,……し、失礼しました。いわゆるリア充みたいな波動を感じてしまい、緊急退避モードに……
Ｐ,リア充だなんてそんな。俺が仮にそうだったらとっくに輝子に焼かれてるよ
りす,わ、わかりました。プロデューサーと、アイドルなんですよね……
Ｐ,お、もしかして興味ある感じ？
りす,きょきょきょ、興味だなんてそんな……人前で歌って踊るだなんて、森のかよわいりすにはむぅーりぃー……
Ｐ,よし、結構いいとこまで進んだだろ……！
美穂,ふぅ、ふぅ……やっぱり難しいですね……！
Ｐ,正直甘く見てたわ。……ごめんな美穂。成り行きとはいえ、俺の勉強に付き合わせちまって
美穂,そんな！私もすっごく楽しいです！それにあの……
Ｐ,それに？
美穂,な、なんでもないです。えへへ……。久しぶりに二人っきりでお出かけできて、嬉しかった、とか……
りす,ふぬぬ……やっぱり、どこからともなくリア充の波動がぁ……？
？？？？？？,三人とも～っ
Ｐ,ん、なんだ？天井から声が？
美穂,この声、聞き覚えがあるような？
りす,あ、蓋が開きました……
？？？？？？,お邪魔しま～すっ
美穂,半裸ーっ！？
Ｐ,脱ぎかけの巨乳美女がいきなり現れたーっ！？
アップルパイ,作業してたら暑くなっちゃってぇ……。たぬきさん、また来てくれたんですね～！
りす,あわわわ……店長がまたヌーディストにぃ……！
アップルパイ,――うん、おいしい！基礎はわかったみたいですねぇっ
Ｐ,よっしゃ！
美穂,やりましたねっ
アップルパイ,えっとぉ、たぬきさんのバースデーケーキなんですか？
Ｐ,そうなんだよ。俺もこれくらいは覚えなくちゃって思ってさ
アップルパイ,そっかそっかぁ。クロさんは、たぬきさんのことがとっても大切なんですねぇ♪
美穂,たいせっ
Ｐ,もちろん。俺の大事な担当アイドルだからな！
美穂,あぅ……あ、ありがとうございます……
アップルパイ,……ん～？。たぬきさんはぁ、クロさんのことどう思ってるのかなぁ～？
美穂,あぇ、あ、わ、私っ！？私はあのそのえと、だ、だ、だ、だいじ、だい、だいす、す、す。す、す、すっごく頼れる、素敵なプロデューサーさんだなぁってっ！
Ｐ,ふっ……よせやい照れるぜ
アップルパイ,…………ん～っ。あっ、そうだ♪
りす,あ、あのぅ店長、なにかよからぬことを考えているのでは……
アップルパイ,え～？そんなことないよ～♪。このケーキ、すっごく良くできてるけど～……もう一工夫欲しくありませんかぁ？
Ｐ,一工夫？
アップルパイ,はいっ♪実はね？最後の仕上げに、ちょっぴり不思議なフレーバーがあるんですっ
美穂,フレーバー……それってどんな？
アップルパイ,えっとぉ、どこだったかなぁ。確かこの辺に～……
美穂,わっ、並んだお菓子や材料が浮いて……！
アップルパイ,っと、あったあった♪このトッピングシュガーと、それを使ったマフィンです！
Ｐ,おお、おいしそうだ
アップルパイ,でしょう？一口どうですか？
美穂,あっ、あーん……！
Ｐ,それじゃ遠慮なく、いただきまーす。う、うまい！焼き菓子特有の香ばしさにフワフワの食感、甘味もまろやかで……。それに……これはなんだろう？独特の爽やかな香りがあって……柑橘系？いや違うな、これが例のフレーバーの……
アップルパイ,……♡
Ｐ,ん？。な、なんだ？目の前のアップルパイさんが、何故かすごく、魅力的に見えて……？
美穂,く、クロ……プロデューサーさん……？
アップルパイ,えへへ♡効いてきちゃいましたか？
Ｐ,あ、ああ……いや、なんだろうこれは？アップルパイさんから目が離せない……む、胸がドキドキする……？
美穂,え、えっ！？
アップルパイ,このタルトを食べるとぉ……なんと、食べさせた相手への親愛度がぐんぐん上がっていっちゃうんですっ
美穂,しんあいど！？
Ｐ,そのシステムどこかで聞いたような気がする！！
アップルパイ,ちなみに同じ仕様の飴やクッキーもありますよっ。この魔法のフレーバーにはそういう効果があるんです♪。というわけでぇ……はい、もう一口どうぞっ
美穂,ちょっと待……！
Ｐ,こ、断れない……！いただきます。う、う……っ！？
アップルパイ,……どうです？体、熱くなってきちゃいました？
Ｐ,や、ヤバい……マジでドキドキしてきたぞ……
りす,は、はわわわわわ……
アップルパイ,ねぇ、クロさん？実はうち、そろそろ人手を増やしたいなぁって思っててぇ……
Ｐ,うお、近……っ
アップルパイ,色々考えたんだけど、力仕事なんかもあるし、やっぱり男の人が一人は欲しいなぁって
Ｐ,腕に柔らかい感触！
アップルパイ,だから……はいもう一口♪
Ｐ,抵抗できなはむむっ
アップルパイ,ね？だから、六人目になりませんか？なーんて……♡
Ｐ,あばばばばば。頭がボーッとして……ま、まったく目が離せない……
アップルパイ,ほら、お口を開けて♡最後の一口いっちゃいましょうね～……♡
りす,
Ｐ,あ、あ、あ
アップルパイ,はぁい、あ～～～～～……♡
美穂,だめーーーーーーーーーーっ！！！！
りす,うひぇえ！？
アップルパイ,♪
Ｐ,み、み……ほ……
美穂,今、正気に戻してあげます……っ！。たぬき
相手の唇をたぬきの鼻で,ちゅっ♡
Ｐ,ああっ……しっとり……っ！！
美穂,プロデューサーさんっ！
アップルパイ,わぁ、大丈夫ですか？
美穂,……！
アップルパイ,たぬきさん？
美穂,だめ、駄目です……！この人はぜったい駄目っ！
アップルパイ,どうして？
美穂,わ……私の方が、魔法のお菓子よりずっと、この人のことが好きだもん！！
アップルパイ,……ふふっ♪
Ｐ,う、む……あれ？美穂？
美穂,プロデューサーさんっ！気が付きましたか！？意識ははっきりしてますか！？
Ｐ,あ、ああ、なんとかな。なんか口にひんやりしっとり気持ちいい感触が残ってるけど
美穂,ききき気のせいですっ！よ、良かったです、無事ならそれで……
アップルパイ,ごめんなさい。このトッピングシュガーは必要ないみたいですね～
美穂,むむ～……！
アップルパイ,たぬきさんの想いは、よ～くわかりましたっ。あとはー……。――うん、ケーキの味は合格っ♪これなら、本番もきっと素敵なバースデーケーキが出来ますよ！
Ｐ,う、む……なんか微妙に記憶があいまいなんだけど……
アップルパイ,ちょっと根を詰めすぎちゃったみたいですね～。帰ったらゆっくり休んでください。それと、おすすめのレシピのメモと～……材料を揃えるのにおすすめのお店も書いて渡しておきますね？
美穂,あ、えと、ありがとうございます……
アップルパイ,いえいえ～。お菓子作りは素敵なことですから♪二人だったらなおさらですっ。――いつか、本当のキスをしてあげてくださいね？
美穂,はぇっっ
りす,はわわわ……ラブの波動を感じますぅ……
ドーナツ,二人とも帰っちゃったねー
うし,どうでしたか～？ちゃんとケーキは作れました～？
りす,は、はぃ。あれなら、おいしいのができると思います……
マカロン,もう、店長っ！お客様をからかっちゃ駄目だよ！
アップルパイ,えへへ、ごめんなさぁい
りす,て、店長は意外とアグレッシブ……小動物には、気が気じゃありません……
アップルパイ,あ、そうだそうだりすちゃん、あの二人を見てて思ったんだけど～……。もうちょっとだけ、別の場所で修行してみる気、無いかなぁ？
りす,えっ
Ｐ,できるかなぁ、誕生ケーキ
美穂,きっとできますよ。私も手伝いますし！
Ｐ,いやいやそれは、美穂の誕生日なんだから本番まで手伝わせるわけには……
美穂,いや、でも私の為にやってくれるわけですし！黙って見てるわけにはっ
Ｐ,いやいやいや
美穂,いやいやいやいや！
Ｐ,いやいやいや、…………
美穂,…………ふふっ。あの。私、プロデューサーさんと一緒にケーキ作りたいです。いいですか？
Ｐ,けど、美穂の為のケーキだからなぁ
美穂,それじゃあこうしましょうっ。プロデューサーさんが私の為、私がプロデューサーさんやみんなの為のつもりで作って、それを合わせるんです！。そしたら、一つの大きなケーキになりますよねっ？
Ｐ,……なるほど。その通りかもしれん
美穂,でしょう？えへへ、誕生日すっごく楽しみです……！
Ｐ,お互い頑張ろうな。……よし、じゃ帰るか！
美穂,はいっ。ぽこっ！。みんなおはよう！
紗枝,あらぁ、おはようさんどす～。今朝は早起きどすなぁ
みく,おはようにゃ！美穂チャン、誕生日おめでとっ！
蘭子,祝福を！
芳乃,今日の良き日に、感謝をー
周子,むにゃむにゃ……おめでとさーん……
響子,今日のお夕飯、腕によりをかけて作りますからねっ！
美穂,ありがとうっ。私、ちょっと出かけてくるね！
菜帆,どこかにご用事ですか～？
美穂,うん。プロデューサーさんと、今日作るケーキの材料を買いに行くんだっ
小梅,今日作るケーキ……
由愛,誕生日の……？
輝子,自分で……？
まゆ,……
周子,どしたーんまゆちゃん。気にならないのー？
まゆ,まゆにも分別はあります。今日は特別な日だから、美穂ちゃんに譲ってあげるんです
美玲,シンシキョウテイってやつだなッ
まゆ,今日のまゆは主役じゃありません。代わりに、とびっきりのおいしい料理を作ってあげますよぉ
Ｐ,さて、アップルパイさんおすすめのメモは……と。そうだ美穂
美穂,はい？
Ｐ,せっかくだから、美穂が好きなものを使おうか。美穂の為のケーキなんだしさ
美穂,好きなもの……そうですねぇ。えっと、馬刺しとからし蓮根、阿蘇の高菜と一文字ぐるぐる……
Ｐ,うんそれケーキに絶対合わないラインナップね
美穂,えへへ……。冗談は置いといて、えっと最近はチョコレートと――。あの。プロデューサーさんの好きなものも一緒に乗せられませんか？
Ｐ,ん？でもいいのか、俺の誕生日でもないのに
美穂,いいんですっ。二人で作るケーキですから。なんていうか、つまり二人の……。二人の、はじ、初めての……共めての、初同作業ですからっ！！
Ｐ,そういう噛み方ある！？
美穂,はぁあぁっ、や、やっちゃったぁ……！
Ｐ,……ぷふっ。わかった、じゃあ俺の好きなものも乗せてもらおうかな。美穂のケーキにお邪魔するよ
美穂,あ……はいっ！えっと、じゃあ何が好きですかっ？
Ｐ,ネギトロ
美穂,それ絶対ケーキに合いませんよね！？。毎年特別な、私の誕生日……。不思議なことばかりだけど、今年もまた。新しい特別が加わったのでした。次の一年も、素敵なことが起こるといいなぁ
アップルパイ,――っていうことがあったんですよぉ。もう可愛くって♪
古本屋,そうですか……そのようなことが……
花屋,クロさんも元気そうだねっ。安心しちゃった♪
古本屋,なるほど……たぬきさん達が集まる、彼の事務所……
アップルパイ,古本屋さん～？
？？,――ふみ……あ、店長代理、ただいま戻りました
花屋,あ、助手ちゃんっ
アップルパイ,こんばんはぁ～
？？,どうも。……店長代理、頼まれていたものを買ってきました
古本屋,ありがとう……ございます。ちょうど、手帳を使い切ってしまっていたので……。……助手さん。この後……いいですか……？
助手,えっ？構いませんが……何かあるんですか？
古本屋,……少し、外に出ようと思いまして…………
花屋,古本屋さんがお出かけするのって、久しぶりじゃない？
アップルパイ,どこに行くんですか～？
古本屋,ええ……アップルパイさんのお話を伺って、やはり、どうしても気になってしまい……
文香,直接、この目で確かめたくなってしまいました……。助手……いえ、ありすちゃん……手伝ってくれますか？
ありす,あ……はいっ。任せてください！
