モバP(以下P),あー、疲れた……そういや、久しぶりに家に帰ってきた気がする
ちひろ,プロデューサーさんこそ無事でなによりです、卯月ちゃんもご苦労さま。うーん、でも色々と説明する事が多くてめんどくさいですねぇ。いっそ、そのまま神話獣に捕まっててくれれば無駄な説明をせずに済んだんですが……
P,ちょっと！シャレになってないっすよ
ちひろ,なーんて、うふふっ冗談ですよ♪。ふふっ、さて何から話しましょうかねー
P,とりあえず、さっきの変なデカブツの事を知りたいんですが
ちひろ,ええ良いでしょう。あれは神話獣、我々人類の敵、堕天翅(だてんし)族が送りこんで来る兵器ですね
P,だてんし？
ちひろ,堕天翅族とは1万2千年以上前、アトランディアの地に高度な文明を築いていた種族です、我々人類より遥かに高度な知覚や特殊能力をもっていますね。その堕天翅族は人間の持つ生命エネルギーを糧としていて、それを求めて人類と争うことになるんですが……ん？
P,……ぐぅ、ぐぅ…
ちひろ,……課金10tハンマー用意
P,わーっ、わーっ！起きてますっ！起きてますってば
ちひろ,もうっ、真面目に聞いてくださいねっ！
P,い、いや、そうですよね、本当すみません。真面目に聞きます
ちひろ,続けますよ？先程の一万二千年前の戦い、人類は必死の抵抗を見せたんですが、堕天翅族の圧倒的な力の前に徐々に追い詰められていったんです。なかでも、人類から殺戮の天翅と呼ばれたウヅキエルはとても強大な力を持っていて、人々から恐れられていました。しかしそんな敵であるウヅキエルはある事がきっかけで人類の味方になるんです
P,あること？
ちひろ,ええ、愛です
P,あ、愛？
ちひろ,あろう事かウヅキエルは人間の青年と恋におちて、人類の敵から人類の味方になったんです。そして、機械天翅アクエリオンに乗りこんで堕天翅族の都アトランディアと堕天翅族を封印し、その大戦は終わりを迎えたんです
P,ええ話や……
ちひろ,ですが、現代。地殻の変動によって封印されていた堕天翅族が時を超えて目覚めてしまったんです
P,ひぇぇ、怖い怖い
ちひろ,プロデューサーさん？
P,あっ、すみません話の腰を折っちゃって
ちひろ,はぁ、続けますね。その復活した堕天翅族に対抗するために結成されたのがこのプロダクション、別名ディーバです
P,で、ディーバ？
ちひろ,ええ、機械天翅アクエリオンとそのパイロット達を保有する、人類の盾であり矛
P,そ、そうだったんですか……知らなかったです俺
ちひろ,秘匿情報でしたから、ちなみに私はこの司令室の副司令官を務めているんですよ
P,えっ、凄いじゃないですか！前々からただ者じゃないと思ってましたけど
ちひろ,ふふっ、ありがとうございます
P,あっ、まだ聞いても？
ちひろ,どうぞ
P,さっき言ってた、機械天翅ってなんなんですか？
ちひろ,アクエリオンの事ですね、アクエリオンは先程言った一万二千年前の戦いで人類側についたウヅキエルと青年、そしてもう一人のパイロットが乗り込んで戦っていた機体です。もともとは堕天翅族の機体だったんですが、ウヅキエルがアトランディアの地下深くにあったのを持ち出して来たんです
P,だ、大胆っすね、持ち出すとか……
ちひろ,とても危険で強力な兵器なので、乗りこなすにはエレメントという特殊な能力が必要になってくるんですよ
P,エレメントとは？
ちひろ,一種の超能力のようなものでしょうか、空を飛んだり念力で物を動かしたり未来を予知したり
P,す、すげぇ
ちひろ,アクエリオンは3機のベクターマシンが合体変形することで完成するんですが、その為にはエレメント能力を持つ人間が操る必要があるんです
P,はぁー、つまり選ばれた人しか乗れないと
ちひろ,そういう事ですね
P,ん？待てよベクターマシンって……ついさっきなんか、どっかで聞いたような
ちひろ,プロデューサーさんがここに来るまでに乗って来たのが、何を隠そうベクターマシンの一つ、ベクターキュートですよ
P,えっ……つまり？
卯月,つまり、私はアクエリオンのパイロットという事ですねっ！ちなみにエレメント能力は飛行能力です
P,なるほど！。……はい？いやいや、ちょっと？卯月がパイロットなのは来る途中で嫌ってほど味わったけど、更に超能力者だと！？
卯月,えへへ……
P,えへへ……って、卯月お前なぁ
卯月,大丈夫です！この力がみんなのお役に立てるなら、私はすごく嬉しいので
P,でも、そんな危ない事を卯月が…
ちひろ,卯月ちゃんだけじゃなくて、このプロダクションに所属してるアイドルは、ほぼ大なり小なり、エレメント能力を有していますよ
P,なっ！？
ちひろ,信じられないかもしれませんが、事実なんです。我々は世界各地で特殊な能力を持つ女性達をスカウトしているんです
P,いや、でもなんでよりによって卯月みたいな若い女の子を……
ちひろ,伝承によると、エレメント能力は本来なら男女問わず発現するものなんですが、今この時代、能力に目覚めるのは若い女性だけ。なので、卯月ちゃんや女の子達に頼らざるを得ないんですよ
P,で、でもですね……。な、なんだぁ！？
ちひろ,警報！？こちら地下格納庫、司令室どうしたの？。9万2千ですって？今までのケルビムの10倍以上じゃない！。すぐにそっちに戻ります。それと一軍のパイロット達を第一戦闘配備で待機させてて。……と、いうわけです。卯月ちゃん、ベクターキュートに乗って出撃よ
卯月,わかりました！
P,えっ、ちょっ、出撃って！ちひろさん！？
ちひろ,戦闘が始まりますので、プロデューサーさんはここを左に曲がった先にシェルターがあるのでそこに隠れていてください
P,いやっ、えっ？
卯月,すみませんプロデューサーさん、行ってきます！
P,な、お、おいっ！卯月！？お前また出撃する気か！？
卯月,はいっ、そのつもりですけど？
P,お前、わかってるのか！？出撃するって、もしかしたら凄く痛い思いするかもしれないんだぞ？
卯月,ふふっ、わかってますよ？
P,じ、じゃあやめといた方がいいんじゃないか？きっと他の誰かが
卯月,……怖いです
P,えっ？
卯月,えへへ、本当はすっごく怖いです！もうアクエリオンから逃げちゃいたいくらいで……でも、大切な人がいなくなるのはもっと怖いから
P,卯月……
卯月,ありきたりな理由ってよく言われます。けどこれが私の戦う理由なので。そこは大事にしたいなって思うんです。大切な人を守るために戦うんだって！
P,……
卯月,あっ、もう時間なので行きますね
P,あっ、おい卯月！？
卯月,大丈夫ですっ！頑張りまーすっ！！
P,い、行ってしまったか。でも。カッコいいじゃねぇか……
卯月,すみませんっ、遅れました！
美嘉,おそーいっ！もう待ちくたびれたよっ★
奏,用は済んだのかしら？一万二千年も待っててくれてるお客さんがいるみたいだし、早く行きましょう
泉,発進準備、各機整いました
ちひろ,敵はケルビム兵一機よ今日まで訓練を積んできた貴女達なら充分に倒せる相手だわ、自信を持って！
卯月,はいっ！島村卯月、ベクターキュート出撃します！
美嘉,了解っ！城ヶ崎美嘉、ベクターパッション発進！
奏,ええ、了解です。速水奏、ベクタークール出ます！
ケルビム兵,
卯月,街が人が……酷いっ
美嘉,ねぇ、早いとこアイツをやっちゃわないと！
奏,ええ、わかってる。合体するわよ二人とも、事前の作戦通りトップは私で行くわ！
美嘉、卯月,了解(ですっ！)
奏,ベクタークールより各機へ、合体フォーメーション展開！
美嘉,JKっ！
卯月,合体！
奏,GO！アクエリオーンッ！！
奏、美嘉、卯月,アクエリオン！クール！！
ちひろ,やった、合体成功ね！これなら……
？？？,だが、不完全！
ちひろ,えっ、だ、誰！？
ヘレン,笑止、あれはまだ世界レベルにも満たないわ
泉,誰ですか？
ちひろ,ヘレン司令官！？もう、何年もどこ行ってたんですか！？
マキノ,ヘレン司令官って、アクエリオンを海底遺跡から発掘したあの……？
ちひろ,だいたいですね、不完全ってどういう事です？
ヘレン,戦闘が始まるわよ、副司令。指示を
ちひろ,はっ、そ、そうでした！アクエリオンパイロットの各波形はどう？
泉,はいっ！スピリットレベル、バイタル、他各値も安定してます
ちひろ,ふぅ、まずは一安心ね
奏,行くわよ二人ともっ
卯月,はいっ！
美嘉,敵さん突っ込んでくるよ！
ケルビム兵,………
奏,飛んでっ！
美嘉,りょ～かいっ、とりゃ！
奏,これでも……くらいなさいっ！
卯月,蹴り飛ばしましたけど、また起き上がってくるはずですっ！態勢を立て直す前にっ
奏,ええっ、わかってるわ！クールソード！。これならっ！
美嘉,やった！？
卯月,相当なダメージだと思いますけど……あっ、ま、まだですっ！
奏,くっ、タフね。今のが全くのノーダメージって嫌になるわよ、まったく……
ケルビム兵,
奏,なら、倒れるまで何度だって！
マキノ,アクエリオンクール、善戦していますがケルビム兵にダメージらしいダメージを与えられていません
ちひろ,ど、どうして？合体もパイロット達も完璧なはずなのに、どうしてダメージを与えられないの？
ヘレン,本来のカタチではないからよ
ちひろ,本来のカタチ……？
晶葉,本来のカタチだと？そんなもの、研究者の私でも知らんぞ！
ヘレン,機械天翅アクエリオンの真価は、本当の合体によって発揮される
ちひろ,本当の合体……それって
マキノ,アクエリオンクールのダメージなおも増加！
ちひろ,くっ……
奏,はぁ……はぁ……
美嘉,ち……ちょーっとヤバイかもね、まさかあんなに強いなんて
奏,ええ、今までの奴らとは段違いね……
卯月,で、でもっ、ここで私達が戦わないと……
ケルビム兵,……
奏,消えた！？
美嘉,奏ちゃん、上っ！
奏,えっ、きゃぁっ！？
美嘉,い、イタタ……派手に吹き飛ばされちゃったね～
卯月,うぅ、はい……
美嘉,卯月ちゃんそっちは大丈夫？
卯月,だ、大丈夫です！
美嘉,良かった、奏ちゃんは？
奏,っう……
美嘉,奏ちゃん？ち、ちょっと奏ちゃん！？
泉,速水奏のスピリットレベル、脳波に乱れあり！恐らく今の敵の攻撃による衝撃時に一時的に意識を失っているものと推測されます！
ちひろ,ま、まずい！このままじゃ
蘭子,崩壊の時か……
晶葉,が、合体が解けるぞ！
P,お、おいおい随分揺れたな、この基地大丈夫か？まぁ今は早く避難しないと……。えーっと、またか！なんで案内表記が英語とかドイツ語とかなんだよ、日本だろここ？えーっと、シェルターはこっちか？。にしても、みんな大丈夫なのかな……
泉,アクエリオン、合体解除！
ちひろ,ベクタークールのパイロットをコックピットから強制排出！
マキノ,今やってますっ！ベクタークールパイロット、強制排出
泉,パイロット、来ます！
奏,うっ……ああっ……
ちひろ,急いでメディカルルームへ！早く！
医療班,は、はいっ！
ちひろ,他のパイロット二人の状態は？
マキノ,ベクター二機、機体パイロット共に問題はありませんが……しかし
泉,パイロットの一人欠けた状態では当然合体できません、ベクタークールに誰か乗らない限りは
ちひろ,代わりのパイロットを……。病室にいる彼女に連絡を……司令室に来るように言って
晶葉,し、正気か副司令！？北条加蓮は確かに全エレメントの中でトップの成績をもってはいる、持ってはいるが……
ちひろ,わかってます！そんな事わかっているわ……けどもうこれしか、たとえ、みんなに怨まれたって彼女に頼るしか方法が……
ヘレン,本当の合体とは！
ちひろ,わっ、な、なんですか司令？急に勢いよく両手を合わせて
ヘレン,神話を受け入れる事……それは自らが神話になるという事
ちひろ,は、はぁ？司令！？どこ行くんですか？
ヘレン,はーっはっはっは！
ちひろ,司令！？ちょっと笑って誤魔化さないで戻ってきてくださいよ！
泉,す、すごいスピードでどこかに行ってしまいましたね
蘭子,ふふっ……
ヘレン,ごめんなさいよー！ごめんなさいよー！！。運命を動かしてしまって。ごめんなさいよ～っ！！
P,えぇ……外出ちゃったよこれ、ヤベーな戻るか？。うーん、でも戻り方がなぁ。案内表記わからないから勘を頼りにデタラメに来ちゃったし。はぁ、疲れた……よっこいしょ。卯月、大丈夫とか言ってたけど本当に大丈夫なのかな？。け、怪我とかしたりしないよな？。いや、大丈夫だ。ちひろさんもついてるしそんな危ない事にはならないはずだ。第一、俺に何ができるっていうんだ、超能力だぞ？堕天翅だぞ？平凡サラリーマンには程遠い話すぎるだろ。……もしも、もしもだぞ？俺にもそんなエレメント？とかがあったら……いや、やっぱダメだな結局何も変わらないや。バカな事考えてないで、早くなんとかして戻ろう。ちひろさんに怒られる前にーー。わっ、な、なんだ今の揺れと大きな音は！？。あっちの方か？。お……おいおいおいっ！これって、ベクター？とかいうやつじゃないのか？卯月もこんな形の飛行機に乗ってたし。つ、墜落しちゃったのか……な、中に人は？お、おーいっ！誰かいるのか！？。返事はないな……誰も乗ってないならいいんだけど。でもこれマズイんじゃないのか？もしかして、このままみんなやられちゃうんじゃ……。わ、わぁっ！？な、なに？
ヘレン,落とす神あれば拾うエレメントあり！
P,は、はい？
ヘレン,ねぇ、そのベクターに乗りたい？
P,は、はぁ？誰ですか貴女、いきなり何を言って……
ヘレン,さぁ、答えなさい
P,い、いや……無理ですよ。乗れないです、これは選ばれた人しか乗れないって
ヘレン,では、選べばいいじゃない
P,なっ！？
ヘレン,選ばれる事を自分で選びなさい！その機体に！世界に！運命に！神話に！。自分自身に！！
P,こ、この人……
ヘレン,……
P,な、なんですか？急に何もない方向を指差して、あっちに何が？
ヘレン,今、私が指差す方向で運命と戦っている者たちがいる
P,運命……戦う？そ、それってもしかして
ヘレン,そして、こっちが貴方の本来の帰る方向。このまま私の指差す方へ歩いて行けば安全なシェルターに帰れるわ
P,安全な場所に……
ヘレン,……
P,えっ、ちょっと！？。あのっ、さっきのなんなんですか！？。俺だって……お、俺だってねぇ！！乗れるもんなら乗って戦いたいですよ、自分の担当アイドルが傷ついていくのを平気な顔して見過ごせるわけないでしょ！！。アクエリオン？そんなのねぇ、乗れるもんなら100回でも1000回でも乗ってやりますよ！！もうウチのアイドル達を乗せなくていいならね！！。この……堕天翅のバカヤロー！！そのまま封印されてろよ！！ウチの大事なアイドルに手だすな！！。そこにぶっ倒れてる、アクエリオンのバカヤロー！！何がエレメントしか乗せないだ！！ふざけんなお前ただの女好きの変態だろ！！男の俺より可愛い女子にシート座ってもらいたいってか！？。なんだよ！言い訳があるなら言ってみろ！！そうじゃないっていうなら！！俺を……俺を……。お前に乗せてみろってんだーっ！！。な、なんだ？うわっ！？こ、これ、本当に動いてる！？
ヘレン,その回答っ！ナイス世界レベル！
P,い、いやっ、世界レベルとか言われても……へ？な、なんか俺浮いてる！？。こ、これって、もしかして
ちひろ,あーもう、今度は何ですか！？
泉,墜落したベクタークールのコクピット内に生体反応です！
ちひろ,えぇっ！？だ、誰が乗ってるの！？そんな命令私は……
泉,コクピットの映像出ます！
ちひろ,いったい誰が……って、えぇっ！？プロデューサーさん！？。いや、いやいや、なんでプロデューサーさんがベクタークールに乗ってるんですか！？その前になんで乗れてるんですかーー！？
美嘉,いたたっ……コイツ、チョコマカ動いてムカつく～っ！！
卯月,だ、大丈夫ですか美嘉ちゃん！？
美嘉,な、何とかね、間一髪で直撃は避けたから
卯月,とりあえず、ベクタークールに誰かが乗るまでの時間を稼ぎましょう！
美嘉,そうだね、ここはアタシ達でやるっきゃないっ……ん？この反応は
卯月,ベクタークール……？誰が？
P,うおおおおっ！！頼む何でもするから止まってくれーっ！！
卯月,プ、プロデューサーさん！？
美嘉,な、なななっ、なんでプロデューサーがベクターのコクピットに！？えっ、ちょっ
P,へ？おおっ、よかった無事か二人とも！！
美嘉,よくないよ！！プロデューサーなにしてんの、そんなところで！？
P,言いたい事は色々あると思うが、俺から一つだけ言わせてくれ。これ……どうやって降りるの？
美嘉,は、はぁっ！？ちょっと司令室？
P,なんか、すみません……
美嘉,と、とにかくプロデューサーはどこか安全な場所にーー
卯月,プロデューサーさん！！
P,お、おう？
卯月,私と……私と合体してくれませんか？
P,合体？
美嘉,ち、ちょっと卯月ちゃん正気！？パイロット経験のない素人が合体なんてできるわけがないよ！
卯月,私、私なんとなくわかるんです、この胸の奥から出てくるドキドキする気持ち……きっと、プロデューサーさんと合体すれば、スゴイ奇跡だって起こせるかもって！。美嘉ちゃんやプロデューサーさんには迷惑かけるってわかってますけど……でも
P,よしっ、やろう！合体！
美嘉,プロデューサーまで！？
P,みんなの力になれるなら、なんだってやってやる。それが……それが、プロデューサーだからな！。でもあんまり期待しないで？……いや、ほら、なんたって俺初心者だし
美嘉,じ、自信満々だったり弱気だったり……ふふっ、どっちかにしなよ！まったく～
卯月,プロデューサーさん……えへへ、はいっ！やりましょう！
美嘉,もうっ、どうなっても知らないからねっ！
マキノ,アクエリオン、パイロットのシナジー、スピリットレベルが上がっていきます！
ちひろ,まさか、合体素人のプロデューサーさんと合体しちゃうつもりですか！？
蘭子,おおっ、アダムとイブの出逢いか……
晶葉,だ、男女合体だと！？どうなってしまうんだ？
卯月,ベクターキュートより各機へ、合体フォメーションへ移行します！
美嘉、P,了解！
ヘレン,さぁ……叫びなさい！島村卯月！そして呼び起こしなさい！アクエリオンの本当のカタチを！
卯月,創世……合体
P,創世合体……？
卯月,創世合体！GO！アクエリオーーンッ！！
卯月、美嘉、P,創世合体！アクエリオンキュートっ！！
ヘレン,ふっ、これがアクエリオンの本当のカタチ、まさに。ナイス！神話レベル！
マキノ,アクエリオンキュート、合体成功です！
ちひろ,う、うっそー！？
晶葉,あれがアクエリオンキュートだと！？いや、しかしあの輝き、あの型はなんだ？
蘭子,綺麗……♪
美嘉,ウソ……合体出来ちゃった？
P,よ、良くわからないけど成功したのか？
卯月,やりました！これがアクエリオンキュートです！
ケルビム兵,
美嘉,来るよ！！
P,ど、どうするんだ！？
卯月,もちろん、行きます！
美嘉,行くって……どこに？
卯月,どこまでもですっ！！やぁぁぁぁっ！！
ケルビム兵,！？
P,行くって、そのままの意味でタックルかー！？
泉,アクエリオンキュート、ケルビム兵に突進！そのまま突き進んでいきます！！
ちひろ,な、なんて加速力……あんなスピード、アクエリオンには今までなかったのに
晶葉,た、確かに城ヶ崎美嘉のエレメント能力は加速だが、あんなスピードは今までのデータを超えている！
マキノ,パイロット達のスピリットレベル、シナジー共にどんどん上がっていきます！
ちひろ,い、いったい何が起こってるの！？もう、誰でもいいから私に説明してくださいっ！
ヘレン,プロデュースとは！！
ちひろ,司令！？
ヘレン,他者を作り、共に育み、見つめ、そこから成長させる大いなる愛！！。これぞまさに伸ばす力！！
ちひろ,の、伸ばす力……じゃあこれはプロデューサーさんの？
晶葉,つ、つまり、人の能力を限界まで引き出す……ということか？
ヘレン,さぁ、飛びなさい！！神話の時代を飛び越えて、作りなさい！！新たな神話を！！
泉,あ、アクエリオンキュート！！飛翔します！
ちひろ,も、もう、なにがなんだか……
美嘉,ち、ちょっと！どこまで行くのこれ！
卯月,もっと、もっと高くまでですっ！
P,マジか！！
卯月,マジですっ、私、プロデューサーさんとなら、みんなと一緒ならどこまでだって飛んでいけそうな気がするからっ
美嘉,あーもうっ、こうなったら、アタシの力もありったけ使って！卯月ちゃん！
P,よ、よっし！どうせなら飛べるとこまで飛ぶぞ！
卯月,はいっ！やぁぁぁぁっ！！
マキノ,アクエリオンキュート、高度上昇中……さ、さらに加速しています！
泉,もう大気圏を超えちゃう…
ちひろ,ち、ちょっとちょっと！？本当にどこまで行くつもりなんです！？
泉,はいっ、アクエリオンの直進予想コース、出ます！これは……
ちひろ,ま、まさかぁぁ……！？
美嘉,さぁ、決めるよ卯月ちゃん！
P,思いっきりやっちまえ！
卯月,はいっ。これがアクエリオンキュートのっ！。必殺！ススメオトメアターック！！。これが、これこそが……アクエリオンの本当の力ですっ
ケルビム兵,！？！？
マキノ,ケルビム兵、月面にて破壊を確認！
泉,アクエリオンキュート、健在です！
ちひろ,という事は……勝った？
晶葉,ま、まぁ、ヒヤヒヤものだったがな
蘭子,新しき、創世の翼……
卯月,やりました！大勝利ですっ！
美嘉,な、なんとかなるもんだね～、にしてもプロデューサー、お疲れっ★
P,……
卯月,プロデューサーさん？
P,あ、ああ……勝ったのか……？
美嘉,そうだよっ、勝ったんだからこれから凱旋！さぁ、ボーッとしてないでプロデューサーもシャキッとーー
P,そうか……よかった……
美嘉,プロデューサー？ちょっと、プロデューサー！？
卯月,プロデューサーさん！？
P,う、うーん……はっ！。な、なんだ夢か……ふぅ、にしても疲れる夢だったな、なんだか身体中痛いし
ちひろ,そりゃ、初めて色々体験したんですから当たり前ですよ
P,そっか、当たり前ですよねー……って！なんでちひろさんがここに！？
ちひろ,そりゃあ、プロダクションの医務室ですし？私がいてもおかしくないでしょ
P,医務室……あっ、そうか俺あの後
ちひろ,思い出ましたか
P,はい……
ちひろ,では、私が何を言いたいかもわかってますね？
P,は、はい……
ちひろ,とりあえず、こちらの書類に目を通してサインをお願いします。判子がないでしょうから拇印で構いませんので
P,は、はい、わかりまし……た？あの、この書類って？
ちひろ,決まってるでしょう？プロデューサーさんを正式にエレメントパイロット候補としてディーバに迎えるんですよ♪
P,え、ええっ！？
ちひろ,あっ、断ったら潰しますのでそのつもりでお願いしますね
P,選択肢ないじゃないですか！！。わ、わかりました！その……未熟ですけど、これからよろしくーー
アイドル達,プロデューサー(さん)！！
P,わあっ！？
美嘉,良かった、意識取り戻したんだねっ！まったく、もう心配させて……
P,み、みんな……もしかしてお見舞いに来てくれたのか？
奏,ふふっ、それもあるけど……ねぇ、プロデューサーさんパイロットとして契約したのでしょう？
P,えっ？いや、まぁその予定ではいるけど……
奏,なら……ねっ？。次は私と合体しましょう……？ふふっ、男女で合体なんてロマンチックで素敵だわ
P,ち、近いっ
まゆ,うふふっ、プロデューサーさぁん。次はまゆとも合体してくださいねぇ？
P,え？い、いや……だから君達近いよ？
美嘉,あ、アタシだって！その……合体……うぅ
ちひろ,はーいっ！合体予約はそこまでー！！プロデューサーさんはまだ安静なんです、皆さんは早く訓練に戻ってください
奏,残念、じゃあまたねプロデューサーさん
美嘉,プロデューサーまたねっ★
まゆ,プロデューサーさん。まゆ、また来ますね？どうかお大事にしててください、安静に……ですよ？
P,あ、ああ……ありがとうみんな
ちひろ,それじゃあ、私も行きますね。契約書あとで取りにくるので記入お願いします
P,ふぅ、わかりました
ちひろ,ふふっ、お大事に。これからよろしくお願いしますね……色々と
P,……最後の暗黒微笑は見なかったことにしよう
卯月,プロデューサーさん？
P,おお、卯月。来てくれたのか、すまんなわざわざ
卯月,いえ、そのっ……私、謝りたくって、ごめんなさい！！
P,えっ、なんで急に謝るんだ？
卯月,だって……私が無理矢理合体させちゃったからプロデューサーさんは倒れて……
P,ははっ、違う、違う。これは俺が弱っちかっただけの話だよ
卯月,そんな事ないです！プロデューサーさんは弱くなんてない……だって、助けに来てくれたんですよね？
P,い、いやまぁ、そのつもりだったんだけど、結局はみんなに助けられちゃったし
卯月,か、かっこよかったです……
P,えっ？
卯月,なんだか、ピンチに駆けつけた白馬の王子さまみたいで……えへへ
P,……うっ。そ、そんな大層なもんじゃないけどな！でも次はもうちょっと、マシな登場を
卯月,また乗ってくれるんですか！？
P,えっ？あー、なんかそうなる……らしい？
卯月,そうなんですねー♪えへへっ、じゃあまたプロデューサーさんと
P,ま、まぁまだ予定だ。それに俺、まず訓練とかしないとだし
卯月,大丈夫ですっ！プロデューサーさんならきっと訓練もーー。あっ、もうこんな時間……すみませんプロデューサーさん、私もこれから訓練があるので、これで失礼します！。また、改めてお見舞いに来ますねっ
P,ああ、来てくれてありがとう。頑張ってな
卯月,はいっ、頑張ります！あっ、あと……プロデューサーさん？お耳を少し貸してくれませんか？
P,耳？
卯月,ち、ちょっと内緒のお話なので……
P,内緒の？まぁ、いいが……ほらっ
卯月,じ、じゃあ失礼します……。えへへ、プロデューサーさん……
P,ひっ、な、なんだ……？
卯月,今度も……ううん、これからも、もっともーっとたくさん。私と、気持ちいい合体……しましょうねっ♪
P,……
卯月,それじゃあお大事にですっ！
