バイトのぷちみお,ﾗｯｼｬｯｾｰｲ☆
ゆかり,きっと、この少し寂れた雰囲気がいいんだと思います。…あ、悪い意味ではなく…その
老店主,ははは、言いてえ事ぁわかるよ、お嬢ちゃん。まぁガヤガヤやかましいとこで食うばかりが飯じゃねえからな
ゆかり,あ、はい。そう…こうして静かに麺を啜る音に身を委ねるのも…また一興ではないかと…
周子,で、話してるうちにあたしのラーメン消えちゃったんだけど……
ぷちしゅー,ｸｯﾀｸｯﾀｰﾝ
周子,こらー。全く目を離すとウチのシュークリームちゃんはすぐ横取りするんやからもう
ぷちしゅー,ｺｰﾝ♪
紗枝,コーンバター、気に入ったみたいやね、ぷちしゅーはん
周子,…そう言えば紗枝はんさ、しゃえはんの姿が見当たらへんのやけど
紗枝,はい…？……あっ、ゆかりちゃん連れてくるのに忙しゅうてすっかり忘れてもうた…！
ゆかり,あら……それは、何だか申し訳ない事を…
老店主,なら、おうちっこいの。持ち帰りの炒飯作るから具材切ってくんな
ぷちみお,ﾏｶｾｰｲ☆
紗枝,ほっ…ひとまずは安心やなぁ、ひもじい思いしてへんとええんやけど…
周子,…いや、それよか別な心配が……確かしゃえはんってさ……
しゃえはん,ｺﾝﾁｷﾁｰﾝｺﾝﾁｷﾁｰﾝ
踊らされるP,あそれ、ゆらゆら……じゃねえよちくしょう！書類仕事が進まねえ！！
P,確かぷちかれがメンバー選んだんだよなこれ……ぷちきょこやちーな辺りならまぁ何とかなるか…？。いや待て待て待て。どんな統一性のなさだよ、ちぇりなんか換気扇見て震え上がってるじゃねえか。あああ、予想通りぷちりすがイチゴを…更にネギが入り…それを皮で包んで焼き上げて……。ぷちふみ……遅いから…
ぷちかれ,ﾎﾟﾃｪ?。ﾅﾆｺﾚ
ぷちしゅが,ｵｲｵｲｵｲｶｯﾃﾆｻﾜﾝﾅｰ
ぷちかれ,ﾎﾟﾃｪ?ｱﾝﾀﾀﾞﾚﾖ
ぷちしゅが,ﾌﾟﾁｼｭｶﾞﾀﾞｿﾞ☆ｺﾚｱｹﾞﾙｶﾗｶｰｴｰｾｰ
ぷちかれ,ｺﾝﾍﾟｰﾄ!
ぷちしゅが,ﾊｰﾄｱﾀｰｯｸ!
ちーな,ﾛｯｸﾀﾞﾅｰ
ぷちみお,ﾅｰ…ﾅﾝﾊﾞﾝﾂﾞｹ!
ちーな,ｹｯｸﾀﾞﾅｰ
ぷちみお,ﾅｰ……ﾅｽﾐｿｲﾀﾒ!
ちーな,ﾒｯｸﾃｯｸｳｪﾎﾟﾝﾀﾞﾅｰ
ぷちみお,ﾅｰ…ﾅﾚｽﾞｼ!
ちーな,ｼｯｸｽｾﾝｽﾀﾞﾅｰ
P,難攻不落かよちーな
ぷちふみ,………ﾌﾐｭ!
みちる,むー…パン……どうしたらパンを食べてもらえるんでしょうか……むー……
※園児に,パンきらーい
ぷちふみ,……
みちる,おや、ぷちふみちゃん！あ、サンドイッチですよね、どうぞっ
ぷちふみ,………♪
みちる,ん…サンドイッチ？。そうか……パンに飽きたのなら、また楽しく食べてもらえるように工夫すればいいのでは……？。サンドイッチなら具材は選り取り見取り、デザートから軽食、何ならカツサンドやコロッケサンドなんてメニューもありますし…ホットサンドと言うのも…！。ぷちふみちゃんっ！！
ぷちふみ,…………ﾌﾐｭ!
みちる,ぷちふみちゃんのおかげでどうやらスランプを抜け出せそうですよ、あははー！ありがとうございます！
ぷちふみ,………。……♪
P,なぁ、悪かったって……まさかお前のおにぎりとは思わなかったんだよ…
ぷちみお,ｳﾗﾒｼﾔ…
P,代わり買ってあげるから泣くなって
ぷちみお,ﾐｯﾂﾎｼｰ!
P,3倍要求された…まぁわかったよ、買ってくるよ
ぷちみお,ｼﾒｼﾒ
P,…さては……計算ずくか…？
絵本,人魚姫は泡になって消えました
ぷちふみ,ﾌﾐｭｰ!
P,たまに本のことになると騒がしいなお前……
ぷちふみ,ﾌﾐｭ!
P,あ…絵本の中に入ってった…。…ん、待てよ？文香って確か泳ぎは…。ぷちふみー！！
魔女,さぁこの毒リンゴをお食べ白雪姫……世界一の美女の座はアタシのもんさ……
ぷちふみ,ﾌﾐｭ……!
連れてこられたぷちみお,ﾅﾝﾃｼﾞﾀｲﾀﾞｰ…
合図を出すぷちふみ,……ﾌﾐｭ
流星玉チャージぷちみお,ﾘｭﾘｭﾘｭ…
きれいな魔女,りんごはいらんかえ～♪さっきまで毒入りだったけどあんなもんアホらしいから全部捨てちまったよ～♪
流星玉を魔女に投げたぷちみお,ｺﾚﾃﾞｲｲﾉﾀﾞｰ!
ぷちふみ,ﾌﾐｭｰ♪
ぷちみお,ﾘｭｾ
未央,しまむー……その話何ループ目……むにゃ……
ぷちみお,ｵﾜｰｵｺｾｰｲ
未央,眠いよしまむー…むにゃ…
ぷちみお,ﾅﾝﾃｼﾞﾀｲﾀﾞｰ…。ﾐﾂﾎﾞｼｰ!
P,…………ぷちみおに言われるままに車飛ばして来てみたが…
凛,え、大丈夫なの、これ……
加蓮,未央、ビックリして心臓止まるんじゃない…？
奈緒,加蓮がいうとシャレになってないからな？
藍子,未央ちゃーん、起きてくださーい、朝ですよー
未央,むにゃ……あーちゃ…？。…………んん？
P,おはようございます
未央,あっ、はい、おはようございます……？。……？？？？////。ひゃああああああああ！！！
ぷちみお,ﾕﾙｾｰｲ…
茜,さああ未央ちゃんの家まで走りますよおおおお！！！
ちーあか,ﾎﾞﾝﾊﾞｱｱｱｱｱ
卯月,ひ、引っ張らないでくださいいいいい。いくらなんでもヒットポイント足りませんよー！！！
