――東京都内、橘宅,玄関
ありす,なるほど……確かに、能力の低い人間を無駄に雇用するのは非効率ですからね。つまり、私にはそこまでの素質は無いということですか？
ゆっこ,そんな現実的な目線でお話されると……えっとですね、ここに国で定めた魔法少女の能力についてのガイドラインがあります。このガイドラインに記載されてる基準を全部満たしている人間は、マジカルランドで一緒に戦ってもらおう！。そして基準に満たないけど魔法少女になれる人間には、自分たちの世界は自分たちで守ってもらおう！ということです
ありす,なるほど……ガイドラインも、しっかりと書かれているみたいですね。書いてある内容はよくわかりませんが
ゆっこ,というわけで、とりあえずお試しということで、このスタージュエルを握ってくれませんか？
ありす,これですか？キラキラしててキレイですね……星型の宝石ですか？
ゆっこ,はい！マジカルランドの通貨であり、力の源です！
ありす,力の源を通貨にするんですか……
ゆっこ,とりあえずそれを握って、何でもいいので強く念じてみてください。それであなたが魔法少女になれるかが分かります！
ありす,そ、そうなんですか……
ゆっこ,おやおや？そのお顔、もしかしてちょっとドキドキしてきましたか？
ありす,そっ、そんなことありません！魔法少女なんて、アニメもとっくに卒業しましたし……に、握って念じればいいんですよね？痛っ……。……
ゆっこ,……
ありす,……どうですか？
ゆっこ,うーん
ありす,ダメなんですか……
ゆっこ,いえ、ダメじゃないですよ。魔法少女の素質アリです！ただ、基準をすべて満たせてないみたいですね……
ありす,全部の基準を満たすとどうなるんですか？
ゆっこ,凄まじい素質を持った魔法少女であれば、スタージュエルを握って念じただけで、光に包まれて魔法少女になれるみたいなんです。あなたが握ったスタージュエル、何となく光ってますけど、この状態だと変身はできないみたいですね……
ありす,そうですか……残念です
ゆっこ,あ、でもマニュアルに書いてありますけど、スタージュエルを光らせることが出来るなら、補助アイテムを使えば魔法少女への変身が出来るみたいですね。ふんふん、なるほど、スタージュエルを鍵にして使うマジカルクローゼットがあればいいと……
ありす,あっ！？が、学校の時間……すみません、もう行かないと遅刻してしまいます
ゆっこ,あらら……すみません、お時間を取らせてしまって……学校が終わったらまたお話してもいいですか？
ありす,お仕事がありますけど……まあ、少しだけなら
ゆっこ,ありがとうございます！それじゃあユッコはここら辺で人間の世界を堪能して時間を潰してますね
ありす,随分と俗っぽい妖精ですね……
ゆっこ,いえいえ、事前に仕入れた情報によりますと、なんでもこの世界では銀色の玉を穴に落として数字を揃える遊びが流行っているとか！それを見つけて暇を潰してますね！
ありす,そうですか。捕まらないように気を付けてくださいね
ゆっこ,では学校が終わった後で……あ、そうです、お名前を聞いてもいいですか？
ありす,ご挨拶を忘れていましたね……すみません。私の名前は、橘ありすです
ゆっこ,ありすちゃんですね！それではまた後でお会いしましょう！
ありす,本音を言うとこれで最後にしたかったんですけどね
――放課後、ありすの通う学校,正門
ありす,ふぅ……宿題が出てしまいました。今日はレッスンがあるから、寝る前にはちゃんとやらないと……あ、そうです。確か朝に会った変なの……ユッコさん、だったかな。学校が終わったらお話するって約束をしましたけど、待ち合わせの場所を決めてなかったですね……。ま、いいでしょう。決めていなかったのなら仕方がありません。お仕事を優先して事務所に行くべきですね。もうちょっとでレコーディングも始まりますし、こちらもしっかりやりませんと……。信号、長いな……。あっ
文香,……
ありす,向こうの歩道に文香さんが……ふみ――
文香,……っ、こ、これから、ですか……その、家に帰るだけ、ですが
ありす,……文香さんの、お友達……でしょうか。ですが、あんな時代錯誤のガングロギャルが文香さんのお友達なんて……
文香,……！
ありす,なっ……！。あ、あれは……文香さん、あの人たちにカツアゲをされて……
文香,あの……それは……。あ……その……ぅ……。……は……い
ありす,ああ……文香さん、いつもあんな人たちに……温厚な文香さんでは、荒事なんてとてもじゃないけど無理に決まっています……。どうして……周りの人たちは文香さんを助けないんでしょうか……文香さんが、あんなに困っているのに……。わ、私……私が、文香さんを助けないと……この信号が青になったら、真っ先に文香さんのところにいって、それで……。……し、信号が、青に……なんで、足が、動かない……文香さんが、そこにいるのに……どうして……！。あ……また、信号が、赤に……
文香,……
ありす,文香さんが……あの人たちにお金を渡して……そのまま、一人で帰って……。私、私は……
ゆっこ,いやー、こんな往来の場であんなカツアゲがあるなんて、この世界も物騒ですねー
ありす,って、でええええええ！？
ゆっこ,どうかしましたか？
ありす,え、あ……い、いつからいたんですか……
ゆっこ,ついさっきですけど……ありすちゃんが信号待ちしているのを見つけたので
ありす,だ、だ……だったら！どうして助けなかったんですか！
ゆっこ,さっきのカツアゲですか？まあ朝のありすちゃんみたいに、命の危険があるわけでもないですし……そう簡単に妖精がこの世界の人間に干渉するのもよくないですし
ありす,……もういいです！
ゆっこ,あっ、待ってください、ありすちゃーん！
ありす,……！
ゆっこ,ありすちゃーん！ありすちゃーん！
ありす,……。……
ゆっこ,ふぅー……どうしたんですか突然。いきなり駆け出して
ありす,……自分が、嫌になりました
ゆっこ,はい？
ありす,ここまで走ってる間に、頭の中で色々考えていました。文香さんを助けようって思ったのに、動けなかった自分。動きたくても、怖くなって動けなくて。それなのに、ユッコさんに当たり散らして、イライラして……私、最低ですね
ゆっこ,さっきの人、ありすちゃんのお知り合いだったんですね。でも、仕方がないですよ。さっきのカツアゲ、３人組でしたし
ありす,でもユッコさんが、私を助けてくれたときに使ってくれたサイキックパワーがあればって……他人任せなことを考えてしまって。自分じゃ何もできないのに、誰かに頼ろうとして……。そうです……ユッコさん！
ゆっこ,なんですか？
ありす,魔法少女の力……それは、私なら使えるんですよね？魔物退治は、ちょっと怖いけど……でも、文香さんを――
ゆっこ,ストップです、ありすちゃん
ありす,え……？
ゆっこ,……はぁー、ずっと飛んでると疲れますからね、ちょっと座りましょうか。よいしょっ。ありすちゃん、１つ聞いてもいいですか？
ありす,……はい
ゆっこ,もしありすちゃんが魔法少女になったとして、お友達……文香さんを助けてあげたとします。きっと、文香さんは感謝するかもしれません。ありすちゃんも、嬉しくなるかもしれません。だけど、次はどうしますか？
ありす,次……
ゆっこ,今度は、ありすちゃんの見えないところで、文香さんは同じ目に遭うと思います。ありすちゃんは、それでいいと思いますか？
ありす,そんなの、よくないに決まっています
ゆっこ,はい。だから、たぶんありすちゃんが考えていること……魔法の力で相手をコテンパンにするのは、なんの解決にもならないんですよ。サイキックパワーでも一緒です
ありす,そんな……でも、魔法の力があれば、悪い人をやっつけることが出来るじゃないですか！それなら……
ゆっこ,うーん、なんと言えばいいのか……分かりました！それじゃあ、ユッコから１つ宿題を出します！。明日また、ユッコはありすちゃんに会いに来ます。それまでに、文香さんを助ける為の魔法を、ありすちゃんが考えてみてください！
ありす,……意味が分かりません
ゆっこ,つまり、力技以外の方法で文香さんを助けるにはどうすればいいかってことですよ。明日またこの時間に会いに来ますね！
ありす,あっ……行っちゃった……。……私が、文香さんを助ける為に、どうすればいいか。ただいま戻りました
Ｐ,おっ、帰って来たか。お疲れさん、今日レッスンはどうだった？
ありす,……ちょっと、上手く行かないところがありました
Ｐ,そうか……どんなところが上手く行かなかったんだ？トレーナーさんにも、しっかり見てもらったか？
ありす,いえ、ただ今日は上手く調子が出なかっただけというか……一度自分で振り返ってみて、必要であれば相談させてもらいます。本当は、文香さんのことを考えていて集中できなかっただけですけど……
Ｐ,まあ、まだ期間もあるし、自分で見直してみるのもいいが……困ったら早めに相談に来てくれよ
ありす,はい
Ｐ,それじゃ後はありすを家まで送らないとな……このメール送ったら事務所閉めるから、休んで待っててくれ
ありす,わかりました……。……文香さんを助ける方法。文香さんの学校に連絡して、カツアゲの話をする……いえ、でも学校側がまともに取り合ってくれるかどうか。それなら、いっそのこと警察に……いえ、警察沙汰になったら逆に恨みを買われる可能性もありますね。どうすれば……
Ｐ,どうしたありす、悩みごとか？
ありす,……いえ、そういうわけでは
Ｐ,そうか？悩んでいるって顔してたけど
ありす,もう、この人はこういうところは鋭いんですから……でも……。……例えば
Ｐ,ん？
ありす,例えば、困っている人が目の前にいたとして。その人を助けた後、また別の場所でその人が困って……また助けて、また困って……そんな繰り返しが続いたら、Ｐさんはどうしますか？
Ｐ,難しいこと聞くな……そうだな、俺なら……助けない、かな。いや違うな、助けるけど、助け方を変える……っていうか
ありす,……どういうことですか？
Ｐ,今の話ってさ、その困っている人は、何度助けたとしてもずっと同じことで困るってことだろ？
ありす,はい
Ｐ,てことは、何度助けても変わらないんだよ。そんなの、助けるほうも大変だろ？。それなら後は、その人自身が困らないように変わってもらうしかないんだよ
ありす,……どんなふうに、変わってもらえばいいんですか？
Ｐ,……
ありす,……
Ｐ,……うん。例えば、いじめられてる子なら、いじめてくる相手よりも強くなってもらう、とか。勉強が出来ない子なら、まずは勉強することを好きになってもらう、とか。時間は掛かるかもしれないけど、そうやって変わってもらえば、最後には違う結果になるかもしれないだろ？その為の手助けならいいかなって思う
ありす,……
Ｐ,さて、メールも送ったし、事務所閉める前に車だけ出してくるよ。帰る準備しておいてくれよ
ありす,変わってもらう……文香さんに……
――事務所,廊下
Ｐ,……困っている友達でもいるのかな。まあ、ありすは賢いし、優しい子だし……上手くやってくれる、と思うけど。さてと……後はありすを送って……明日は営業に出なきゃならんから忙しいなぁ……
――翌日、橘宅,玄関
ありす,いってきます。結局、昨日は寝るまで考えたけど、何も浮かばなかった……。文香さんに、変わってもらうには……どうしたらいいのかな。どんなことがあれば……どう、変わってもらえば、いいのか……
――昼休み、ありすの通う学校,教室
ありす,そうですか？お仕事のレッスンで基礎体力も上がったので、その成果かもしれません。いえ、アイドルとマラソンはあまり関係ないかと……。この前はコンサートホールでミニライブをやりましたが……すみません、お仕事の話を外でするのはダメって決まりがあるんです。すみません、これもお金が絡んでいる契約ですし……。そうですね。私もお仕事をするようになって、色々なものを見る視点も変わってきましたし、そういった意味ですと――。そうですっ！！
――放課後、ありすの学校,正門
ありす,これです、これしかありません！。文香さんにアイドルになってもらうんです！。アイドルになって、自分に自信を持ってもらって……私だって、頭のおかしいバラエティ番組に駆り出されてからは度胸も付きました！。文香さんは綺麗な方ですし、アイドルになって、今よりもっと美しく凄い人になったら怖い人にだって負けなくなるはず……！。……とは言ったものの、私が文香さん、アイドルやりませんか？なんて言って、文香さんが私の話を真剣に聞いてくれるでしょうか？。多分、無理ですね。私がアイドルをやっているからといって、文香さんもアイドルになれる、とは限りませんし……。ですが文香さんは聡明で美しい方ですし、何かきっかけがあれば……。たとえば、私が文香さんを誘うのではなくて、文香さんがその気になるような状況……そう、文香さんの好きな本、物語のような出来事があれば……。出来事、出来事……アイドルになるための、出来事……といえば！！。本当ですかＰさん、私の学校の近くを通るんですね！？。私いま、公園で自主トレをしているんです！昨日レッスンで悩んでいたところ、改善できたと思うのでＰさんに見てほしいので絶対に来てください！。はい！。よし、Ｐさんはこれで大丈夫ですね。今日は金曜日、文香さんは毎週金曜日は学校が終わった後に図書館に行くので、近道をするのに公園の中を通り抜けるはず。あとはここら辺に隠れて……ユッコさん、いますか！ユッコさん！
ゆっこ,はーい、呼びましたか？
ありす,……呼んだ手前でこんなこと言うのも変ですけど、本当に来るとは……ちなみに、今までどこにいたんですか？
ゆっこ,駅前にいましたけど、ユッコのサイキックミラクルテレパシーがありすちゃんの声をキャッチしたので飛んできましたね
ありす,サイキックパワーも便利ですね……じゃなくて、昨日のお話です！文香さんのこと、私なりに考えました！
ゆっこ,ほう！
ありす,魔法少女でも魔法使いでも魔女でも何でも構いません、一度だけでいいので、私に何か魔法を使わせてください！
ゆっこ,うーむ、自信に満ちた目……ちなみに、何をするつもりですか？
ありす,文香さんをアイドルにするんです！
ゆっこ,……はああああぁぁぁぁぁ？
ありす,なんですか、そのいかにも何言ってんだこいつみたいな顔と声は
ゆっこ,あ、いえ、失礼……まあ、分かりました。本来なら王国の規約に触れてしまいますが、こっそり使わせてあげましょう！。それじゃあ……えっとですね、とりあえずこのスタージュエルを握ってください
ありす,はいっ……痛っ
ゆっこ,えっと、マニュアルマニュアル……そして、スタージュエルを持っていないほうの手の指先を目標に向けて。強くイメージすることによって、そのイメージに沿った魔法を使うことができる、って書いてますね。マニュアルには
ありす,……なんか、ざっくりした説明ですね
ゆっこ,すみません……ゆっこたち妖精は魔法を使えるわけではないので、実際に試したことは無いんですよね。魔法少女の素質があれば出来るはずですけど
ありす,わかりました。後は、文香さんとＰさんがくれば……って、来た……隠れませんと！
文香,……
Ｐ,えーっと、ありすは……
ゆっこ,おや、昨日カツアゲされていた文香さんじゃないですか。噴水広場の階段を降りてますけど……
ありす,ここを通ると、図書館までの近道になるんです。ちょっと静かにしてください
ゆっこ,あ、はい
ありす,ちょうど文香さんが来た位置の反対側をＰさんが歩いています。これならちょうどいいです……。スタージュエルを握って、指先を向けて、強くイメージ……！。風、風……噴水の水を吹き飛ばすくらいの、強い風……！
ゆっこ,おおっ、これはまさしく魔法！
文香,きゃっ！風が……！！。あっ――
Ｐ,危ない！
文香,え……
Ｐ,ふぃー……危なかった。階段で足を滑らせて、頭でも打ったら大変ですからね。にしても今の、滅茶苦茶強い風だったな……
文香,あ、あの……
Ｐ,ん？ああ、すみません、たまたまここを通って……
文香,……
Ｐ,……
ありす,来ました！あのＰさんの何やら閃いたような様子、どうやら文香さんを見てティンと来たみたいですね……！
文香,……
Ｐ,……あの、すみません
文香,は、はい……
ゆっこ,なるほどー……こういう作戦でしたか。ロマン溢れてますね
ありす,はい。魔法の力で直接助けることはしませんけど、ほんの少しだけ文香さんの背中を押すことが出来たから、後は文香さん自身に任せようと思います。階段で足を滑らせたところで、颯爽と助けてくれたＰさんからのスカウト……これなら文香さんも……。……っ！？なんだか、変な音が……
ゆっこ,でえええええっ！？
ありす,えっ、ど、どうしたんですかユッコさん？
ゆっこ,まさか、この世界にも来るんですか！？ちょっとありすちゃん、ここにいるのは危険です！
ありす,どうしてですか？
ゆっこ,マジカルランドを襲っている悪い奴らがこの世界に来るんですよ！いま、ここに！。ペンデュラムが魔力の発生地点を割り出して……上！？
ありす,はい？
ゆっこ,空に魔法陣が……来ます！！
Ｐ,うおおおおおっ！？
文香,きゃあああっ！？
魔物,ぴにゃ……
ありす,なんですかあの巨大なブサイクは
ゆっこ,魔物ですよ！マジカルランドを襲う悪い奴らです！
ありす,え、いや……え、でも、ただ大きいだけのブサイクに見えますけど……
魔物,ぴにゃああああああああっ！！！！
ありす,は？
ゆっこ,いけません！ありすちゃん伏せてください！
ありす,う、うえええええ……！？
ゆっこ,あ、危なかった……ギリギリのところでサイキックフィールドが間に合いました。いまのは魔物の地獄の雷ですね……
ありす,は……？いや、あの……公園中の至る所にクレーターが出来てるんですけど……。ってそれよりも、文香さんとＰさんは……！
文香,な、何が……あ、貴方……！
Ｐ,う、うう……
文香,そ、そん、な……私を、庇って……
Ｐ,い、いや……さっき、助けた、ついで……ですから……怪我、は……？
文香,わ、私、より……貴方が……
Ｐ,大丈夫なら、良かった……うっ……。……
文香,そんな……お、起きて……起きてください……！
ありす,Ｐさんがあんなに傷だらけに……ふ、文香さんを庇ったから……
魔物,ぴにゃっ！ぴにゃっ！
ありす,そ、そんな……公園にいた人たちが、あの、魔物に……
ゆっこ,魔物が現れたら結界が張られるはずなのに、どうしてこんな……くっ！非常事態です！
ありす,ゆ、ユッコさん！
ゆっこ,ありすちゃんはここから逃げてください！ちょっと予定が変わりました、さすらいの妖精ユッコが少し頑張る必要がありそうです！。ムムムーン、サイキックパワー！！
魔物,ぴにゃあああああっ！！
ゆっこ,くっ、この魔物、たまに戦うヤツとはパワーが違いすぎます……どうして！？
ありす,そ、そんな……に、逃げるって……
文香,起きてください……起きて……！
Ｐ,……
ありす,そんな……文香さんが、Ｐさんが、魔物の近くにいるのに……また、私は……見ているだけしか、出来ない……。お二人だけじゃなく、ここにいるみんな、あの魔物に……あそこのおじいさんも、小さい子のお母さんも……。今も、ただ……見ているだけ……。昨日のように……昨日の……。そんな……そんなの！！
ゆっこ,ありすちゃん！？ダメです、こっちに来ないでください！
魔物,ぴにゃああああっ！
文香,きゃああっ！
ゆっこ,げっほげっほ、砂埃が……！
ありす,私は……昨日のように、何も出来ないのは嫌なんです！
ゆっこ,ありすちゃん……
ありす,見ているだけで、何も出来ないままなんて……そんなの嫌です！魔法が使えなくても、私は諦めたくないんです！私自身も、変わらなきゃダメだって思うから！！
ゆっこ,……よくぞ言いました、ありすちゃん！
ありす,ユッコさん……
ゆっこ,ユッコはその言葉が聞きたかったんです！挫けず、諦めず、自分を奮い立たせる心、勇気！勇気は時として魔法を上回る力になるんです！
ありす,だって、私は……自分もそうしなきゃダメだって、気付いたんです！
ゆっこ,たとえ魔法がなくても、魔法に頼らなくても、出来ることがある……そうです、ありすちゃんのその心が、魔法少女の証なんです！これを受け取ってください！
ありす,これは……！
ゆっこ,手のひらサイズのマジカルクローゼットです！ありすちゃん、その手に持ったスタージュエルが鍵です！マジカルクローゼットにはめて、ユッコと一緒に叫んでください！
ありす,……はい！
ゆっこ,いきますよ！
ありす,マジカルチェーンジ！！。は？なんですかこの光は？特撮ですか？
ゆっこ,もしもし？あ、すみません王国ですか？いま念話で送っている子ですけど、魔法少女の素質アリです！。はい！なので魔法少女のセット……えっ、ユッコ経由だと一時契約のフリーランスだからライトプランしかダメ！？。なんでそう融通が利かないんですか！とりあえずそれでいいです、必要な契約内容はあとで本人にも説明しますから、緊急事態なのでプランの適用をお願いします！
ありす,わ、私の服が消えて……ど、どうなってるんですかこれ！？
ゆっこ,あーそれ、魔法少女だから消えるんですよ。だけどライトプランなので下着は残るみたいですよ
ありす,何もよくありませんからそれ！！
ゆっこ,おおおっ、変身完了ですね！これが……これが、魔法少女なんですか！
ありす,これが……魔法少女……変身、しちゃった
ゆっこ,ピンクと青の魔法少女……すごいです、ありすちゃん！。あ、都合よく砂埃が少しずつ晴れてきましたね
文香,けほっ、けほっ……な、何が……。え……？
ありす,……
文香,……女の、子……？
Ｐ,う、うううっ……
文香,あ……き、気が付いて……だ、大丈夫、ですか……？
Ｐ,お、俺は……ぐっ……き、キミは、大丈夫か……？
文香,は、はい、私は……大丈夫です……
ありす,……お二人は、ここから逃げてください。あとは、私が何とかしますから
Ｐ,砂埃で目が……だ、誰だ……？
ありす,あの魔物を倒す、魔法少女……そう、たちば……いえ、えっと……どうしよ……マジデ・クール・マジカ・タチバナです
ゆっこ,え、なんですかそのセンスの欠片もない名前は
文香,あなたは――。きゃっ！？
Ｐ,すみません、どなたかはわかりませんが、今はこの人を……
ありす,お願いします。その人を落とさないように、しっかり抱きかかえてあげてください。あなたも、早いうちにどこかで傷の手当てを
Ｐ,……はい！
魔物,ぴにゃああああああ……！！
ありす,……ユッコさん、あのブサイクを倒すにはどうすればいいですか
ゆっこ,簡単なことです。魔法少女の力でぶっ飛ばしてやりましょう！
ありす,なるほど、分かりました。ですが、それではいけません
ゆっこ,はい？
ありす,魔法少女の力は暴力ではありません。魔物でも、ブサイクでも、力で解決するだけでは……！
ゆっこ,え、じゃあどうするんですか？
ありす,こうするんです！魔法の力で、魔物を浄化します！
ゆっこ,は？マジですか？
ありす,マジです。本気と書いてマジと読みます！魔法の杖よ！
魔物,ぴにゃ？
ありす,いきます、私の魔法……ストロベリーフレグランス！
ゆっこ,うぇっぷっ！甘いやら酸っぱいやらの香りが鼻に……むせる……ま、魔物は！？
魔物,ぴにゃああああああ……
ゆっこ,あ、なんか目がイッてますね……
魔物,ぴにゃああああああ……
ありす,……いちごの甘さで、浄化完了です
ゆっこ,お……おおおおおお……！！。あっ！スタージュエルが……回収しておきませんと！。ひぃ、ふぅ、みぃ……うーん、少ないですね。まあでも、回収回収
ありす,これが……魔法少女の、力……
ゆっこ,はい！魔法少女の力、ありすちゃんは見事に使いこなしましたね！さすが、ユッコが見つけただけのことはあります！
ありす,いま拾っていたのは、スタージュエルですか？
ゆっこ,はい。魔法の力で魔物を浄化すると、魔物の強さに比例して魔法の力がスタージュエルを生み出してくれるんです。だけど思ってたより少ないですね……マジカルランドに伝わる魔法少女たちは、魔法の一撃で数千個のスタージュエルを生み出していたみたいですけど……
ありす,そんな伝説と比較されても……
ゆっこ,まっ、そうですね。スタージュエルが出てきただけでも凄いと思いますよ！
ありす,……こんな魔物が、私たちの世界にやってくるんですね
ゆっこ,そうです。マジカルランドは、今も戦っています。他の世界も……だからありすちゃん、お願いします！ユッコたちに、協力してくれないでしょうか！
ありす,……はい。私に出来るなら、お手伝いします
ゆっこ,やった！これで臨時ボーナス確定です！
ありす,は？
ゆっこ,いやー、ユッコって実はフリーランスなので、お仕事のノルマを達成しないとお給料が安いんですよね。それなのに今回の仕事は大変でもう……
ありす,……だからさすらいの妖精、なんですね
ゆっこ,まあ、そういうことです。とはいえ、しばらくはよろしくお願いしますね、ありすちゃん
ありす,はぁ……なんというか、まあ……よろしくお願いします
ゆっこ,いやー、昨日王国から緊急の連絡があったんですけどね、なんとマジカルランドの王国の正規職員が、別の世界で魔法少女を見つけたみたいなんですよ！
ありす,すごいですね。私以外にも魔法少女が……
ゆっこ,素質のある人間は、いろんな世界にいるみたいですからね！ユッコはフリーランスなので、ありすちゃんに適用してあげられる魔法少女のプランがライト版しかないんですけど
ありす,この前から気になっていたんですけど、そのプランって何なんですか？
ゆっこ,良いプランを付けてあげられると、より魔法少女の力を引き出してあげることができるんです。それでもありすちゃんは、ライトプランでも凄い魔法少女だと思いますよ！
ありす,比較対象がないのでいまいちピンときませんね……
ゆっこ,きっとそうですよ！でも、王国の正規職員が見つけたのなら、きっと凄い魔法少女なんでしょうかねー。ありすちゃんみたいなバリッとした魔法少女で、ラブリーというか、これぞ魔法少女！魔法少女に憧れる小さな女の子のお手本！みたいな魔法少女とか
ありす,そうかもしれませんね
ゆっこ,どんな魔法少女なんでしょうか……それにしてもさすが王国の正規職員ですね。フリーランスのユッコと違って、きっと優秀な妖精なんでしょうね
ありす,あ、Ｐさんが帰ってきたのかな……
ゆっこ,おっと、それではユッコはサイキックテレポートでしばし身を隠して……
Ｐ,戻ったぞー……って、ありすしかいないよな。留守番させてゴメンな
ありす,いえ、大丈夫です。ところで……ちゃんと契約は終わりましたか、文香さん
文香,はい……書類については、必要な物はすべてお渡ししたので……
