橘ありす,みなさん、お久しぶりです。第2回目のリトル・マーチング・ファンド・ガールズのお時間です
ありす,わ、私ですか！？ま、まあ、料理には自信があるので、これはみなさん、余計な出費をする必要がなくなりましたね。ちょっと！！！。麗奈さんまで！？。酷いじゃないですか！！！
くるみ,……
ありす,うわ真顔！
雪美,ありすの……料理……うん……
ありす,普段好き勝手に発言してる雪美さんが躊躇うほど！？
麗奈,自分の顔を模したお菓子がイチゴまみれになるのは見たくないわね。恨まないでちょうだい
ありす,そんな馬鹿な……！
麗奈,ってかアレよ？フレデリカが料理人とかパティシエとかやらないの、アンタが料理になるとポンコツっぽくなるからよ？
ありす,ええ！？
光,おい麗奈！ありすちゃんがかわいそうだろう！！ありすちゃんは人とちょっと味覚が違うだけなんだから！
ありす,
麗奈,たった今、トドメが刺されたけど？
周子,じゃーね♪
麗奈,あっ！コラ！逃げるな！！！
ありす,先ほどは取り乱してしまいました……。すみません……
麗奈,まぁ、悪かったわよ
光,よし！謝って仲直り！
麗奈,あんたも謝る立場よ
由愛,次は誰が来るんでしょう……？
くるみ,楽しみでしゅね
麗奈,アタシもそっち側に生まれたかったわ
ありす,逃れられぬ"業"--カルマ--ですから
麗奈,アンタもちょっと崩れてきてるわね
ありす,続いてのプレゼンターはこの方です
雪美,どうぞ……
兵藤レナ,こんにちは、よろしくね
雪美,兵藤レナ……さん……
ありす,では、プレゼンをお願いしていいですか？
レナ,賭けをしない？
ありす,は？
麗奈,プレゼンターは意味不明な発言からスタートしないといけないの？
レナ,ふふ……、私の案はこれよ！
ありす,ゴールデンで小中学生相手に！？
由愛,わぁ……！
ありす,今のどこに由愛さんは惹かれたんですか！？
雪美,説明を……お願い……
レナ,ええ♪とは言っても、そのままよ。投資してくれたら増やしてあげる。わかりやすいでしょ？
ありす,何が投資ですか。賭博ですよ賭博
光,流石にギャンブルはちょっと……
レナ,そうかしら？光ちゃん、落ち着いて聞いて？。人間、誰しもがギャンブラー魂を持って産まれてくるものなの。それをちょっと、忘れてしまってるだけなのよ？。しかも、よく考えてみて。カジノはたーっくさんお金を持っているでしょう？。でも、世の中には今日を生きるのにも精一杯な人が大勢いる。つまりカジノは悪で、私はそんな悪い奴らからお金を取り戻す。いわばヒーローなのよ
光,レナサンハ、ヒーローナノカ……
麗奈,洗脳するな！！！あとされるな！！！
由愛,ギャンブラーより詐欺師っぽいですね……！
ありす,ド直球。まあ進めますが……、どのゲームで儲けるつもりなんですか？
レナ,ポーカーよ
ありす,まあ定番ですね
麗奈,ま、レナが強いってことは認めるけどね。こういうの、くるみは弱そうね
くるみ,ふぇ！？く、くるみバカだから、"ルールがわからず弱い手なのにコールしてるバカだと勘違いさせてカモること"しかできないよぉ……
ありす,もう自分で稼いだ方が早いですよ
麗奈,アンタはどこに向かってるのよ
ありす,でもレナさん、やけに自信満々ですが、負けたらどうするんですか？
レナ,あら、負けないわよ？必勝法があるんだもの
雪美,賄賂……？
麗奈,金稼ぐために金渡してどうすんのよ、本末転倒じゃない
レナ,負けそうになったら机をひっくり返せばいいのよ
ありす,明日から勝負師を名乗らないでもらっていいですか
レナ,ツッコミの使いまわしは感心しないわね
ありす,誰も覚えてないからいいんです。……もう最終決定でもいいですか？
レナ,ええ♪期待してるわ
雪美,それでは……金額発表……
光,やっぱりアタシは出せない！ごめんレナさん！
レナ,あら、残念ね
麗奈,まあ、増えたら儲けものね
由愛,がんばってください！
レナ,金額から悪意が滲み出てないかしら？
くるみ,こ、このくらい、かなぁ……？
ありす,なんなんですかその中途半端な……、えっと、合計は……
雪美,10000円ピッタリ……
ありす,え！？
麗奈,アンタ前3人の金額を予想して10000円になるように合わせてきたの！？
くるみ,ふぇ！？く、くるみバカだから
麗奈,もうそれはいいわよ！！！
ありす,では、レナさんは10000円ということで
レナ,あ！
ありす,もう！なんなんですか！
レナ,ごめんなさい、私も言い忘れがあって
麗奈,早くしなさいよ……
レナ,私もね、余ったお金でアシスタントを雇おうかと思うの
由愛,どなたですか……？
レナ,お金が多かったら茄子ちゃんで、少なかったらほたるちゃんかしら
光,おい麗奈！！！
麗奈,なによ！事情が変わったわ！いくらでも持っていきなさい！
ありす,急に！？
麗奈,だってこんな勝ち戦ある！？
ありす,司会者！！！
由愛,新しい筆が欲しいな……
ありす,すでに皮算用を！？
レナ,よし！
ありす,恥を知ってください！！！
雪美,次が……ラスト……
由愛,もうですか……
光,楽しいとすぐだなっ
くるみ,そうでしゅね……
麗奈,早く終わってちょうだい
ありす,私も早く終わってほしいです……
雪美,では……次のプレゼンター……どうぞ……
城ヶ崎美嘉,やっほー★
雪美,スーパー……ウルトラ……スペシャル……ミラクル……カリスマギャルの……城ヶ崎美嘉……さん……
美嘉,なんかハードル高くないかな！？
ありす,あ、ハイパーアメージングデンジャラスビューティフルカリスマギャルの美嘉さんですか、よろしくお願いします
美嘉,ありすちゃんまで！？
麗奈,あら、パーフェクトアンビリーバブルデラックスオリックスカリスマギャルの美嘉じゃない、頑張ってね
美嘉,オリックス！？なんか球団混じってるけど！？
由愛,……
美嘉,ゆ、由愛ちゃんは何を書いてるのかな……？
由愛,……
美嘉,容赦ないね！？。なんか前2人の鬱憤を晴らしてない！？
ありす,気のせいですよ
麗奈,そうそう♪
光,2人とも、今日で1番いい顔してるな……
美嘉,そう……？じ、じゃあプレゼンに入っていい？
雪美,くるみは……どう思う……？
美嘉,決定権くるみちゃんなの！？
麗奈,くるみ"さん"でしょ！
美嘉,誰！？
くるみ,くるしゅうないぃ……
美嘉,無理しないで！
ありす,美嘉さん、奈緒さんに匹敵する苦労人気質ですね……
神谷奈緒,は……はっくしょん！！！
渋谷凛,あれ？風邪でも引いた？
奈緒,うーん？違うと思うけど……
北条加蓮,誰かが奈緒のウワサでもしてるんじゃないの？
奈緒,そうかぁ？
凛,そうだね、誰かが奈緒の眉毛の面積について議論してるのかもね
奈緒,適用範囲がピンポイントすぎる
加蓮,それか、誰かがウチの事務所のウワサしてるのかも
奈緒,今度は広すぎるだろ！？事務所の話題、全部あたしのくしゃみの引き金かよ！？
凛,ハクションだい奈緒うだね
奈緒,これっぽっちも上手くないからな！！！
加蓮,呼ばれて飛び出てほ・し・い・のっ
奈緒,その"ﾌﾌｯ"ってのをやめろぉ！！！
ありす,そろそろふざけるのはやめにしましょうか
雪美,ね……美嘉……
美嘉,アタシ！？
麗奈,いちいち拾ってたらキリがないわよ
美嘉,それ、番組として大丈夫……？
ありす,……
麗奈,……
スタッフ,……
美嘉,ええ……。えっと、アタシがプレゼンするのは爪！
くるみ,爪？
光,爪？
麗奈,爪？
由愛,腕に女KISS？
美嘉,ホルモン関係ないから！ってかよく知ってるね！？
ありす,伝わりにくい会話ですね
美嘉,と、とりあえず画面お願いしまーす
くるみ,おぉ～……
ありす,では説明を
美嘉,おっけ★
雪美,巻きで……
美嘉,また！？
麗奈,いちいち拾ってたら
美嘉,いや無視するわけにもいかないじゃん！。みんなネイルアートはわかるよね？
雪美,バルログ……
ありす,普通真っ先にそれ出てきますか！？
美嘉,あれアートとはほど遠いから！
光,爪がなんかキラキラするやつだよね？
美嘉,あ、そうそう！それをみんなにやってあげたいなって
由愛,お金が増えると、どんな風にグレードアップしていくんですか？
美嘉,まず、いろんな色のマニキュアを用意できるから、組み合わせの幅が広がって個性が出せるようになるかな
ありす,なるほど、確かに、2色や3色ではワンパターン化してしまいますもんね
美嘉,そういうこと★さらに、ストーンとかでデコっちゃうこともできるし
光,でも、ちょっと邪魔になっちゃいそうじゃないか……？
美嘉,そんな光ちゃんには、例えば5人の戦隊モノをイメージしたデザインを5本の指にやるとかどう？デコるのは必須じゃないし
光,おおおぉ……！！！
麗奈,あ、こいつ満額出すわね
美嘉,みんなだっていつかはそういうオシャレもするんだし、体験版みたいな感じでどうかな？
ありす,予想通りではありますが、とてもマトモですね
美嘉,裏で見てたけど、前の2人はすごかったねー……
麗奈,でもちゃんと大した額ゲットしてるのよね。まあ"もしも"の話だから実際にはお金は移動してないけど
くるみ,くるみも、きれいな爪にしてくれるのぉ……？
美嘉,もち！どんな感じがいい？
雪美,本物の……胡桃を……あしらうとか……？
ありす,邪魔でしょう！？
くるみ,……！
美嘉,なんで"その手があったか"みたいな顔してるの……！？
ありす,では、金額決定に……
美嘉,……
雪美,ありす……カンペ……
ありす,あ、すみません。えっと……。スタッフ、および事務所のアイドル達からの情報によると、美嘉さんはこのオファーがあってからプレゼン内容を考えるのに三日三晩悩み続けたそうです
美嘉,わ！ちょ、ちょっと！？
ありす,自分に何ができるのか考えて、売り場に赴いて実際にイメージするなどして、ようやくプレゼンできる内容だと判断したのは締め切りギリギリだったらしいとのことです
美嘉,ふ、普通に恥ずかしい……！
麗奈,……よくやるわね、ホントに
美嘉,え……？
光,アタシはそんな話聞かなくても決めてたからな！
美嘉,……
くるみ,ふちゅちゅかものでしゅが……
由愛,私の爪がキャンバスになるんですね……？楽しみです
美嘉,……！
ありす,ま、これは文句なしですね。私がそちらにいても同じ選択をしたでしょうし
雪美,……
美嘉,みんな……
麗奈,おかしな番組のオチにしては、まあいい具合に収まったんじゃ……って、泣いてるの！？
美嘉,えっ！？い、いや！ち、ちょっとビックリしただけだからっ★
由愛,きっとL.M.B.Gのメンバーと自分の価値観は違うだろうから受け入れられないかも……って不安だったんですよね……？
美嘉,そこまで正確に心を読まないでほしかったんだけどね？
ありす,さて、ようやくエンディングです……
雪美,みんな……お疲れ様……
麗奈,ホントにね……
光,そんなこと言うものじゃないぞ！楽しかったじゃないか！
くるみ,たのしかったぁ……
由愛,うん……。でも、あまり目立ってはいなかったかも……
ありす,心配しないでください。視聴者の9割は驚く目立ちっぷりでしたから
麗奈,早く切り上げて打ち上げにでも行きましょ
ありす,まだカメラ回ってるのに……
レナ,あら、飲み会の話かしら？
ありす,うわぁ！？
周子,ってかお酒飲めるの、レナさんしかいないけどね
美嘉,ごめんねー……？まあ最後くらいは映りに来たってことで？
ありす,罰として、打ち上げでは周子さんとレナさんの対応をお願いしますね
美嘉,絶対イヤなんだけど！？！？
