姫川友紀,ラジオネーム清宮ハム太郎さんからのお便りだよ
夕美,そんなにオーラ出てるかな…？
友紀,出てる！今まさに出てるから！
拓海,夕美って大体こんな感じじゃねえか？
友紀,いつもはお花が浮いてるけど、今日はさらに紙吹雪が舞ってる感じだよ
夕美,そんなに浮かれてるかなぁ…？
友紀,首位だからって凄い浮かれっぷり！！！。はい、お便り読んで
拓海,オウ。ラジオネームBAY!BAY!BAY!からだな
夕美,何かそんな感じの音楽番組あったよね
拓海,カープファンの女子の事をカープ女子、バファローズファンの女子の事をオリ姫と呼んだりしますよね
友紀,そうだねー、今メチャクチャ多いよねカープ女子
夕美,神宮球場でも多いよねっ
拓海,その２球団に対抗して、ベイスターズを応援する女子のことをハマ乙女と呼ぶのはどうでしょうか？だとよ
夕美,うーん、ハマ乙女かぁ…
友紀,海苔だよね
夕美,海苔はやっぱり、の方だよねっ
拓海,中村のノリさん中村紀洋
友紀,上手いこと言ったね
夕美,確かにベイスターズを応援する女子って、これって呼び名がないよねっ
拓海,聞いたことねえな
友紀,ベイジョって呼び名もあるみたいだけど、うーんって感じだしね
拓海,他のチームでは、決まった呼び名ってあんのか？
友紀,スワローズを応援する女子は……ヤクルトレディ？
夕美,なんかヤクルトを売りに来そうだねっ
拓海,売るのかよ！？
友紀,隙あらば売り込み
夕美,ヤクルトを売り込むきらりちゃんかぁ…
友紀,Pちゃん、ヤクルトいっぱい飲んで欲しいにぃ裏声
拓海,圧がヤバそうだな
友紀,次のお便りはー…夕美ちゃんに読んでもらっていいかな？
夕美,はーいっ。ラジオネームカープ上司さんからだよ
拓海,上司は鯉党
夕美,最近のスポーツ記事の見出しでは、少々狙い過ぎなタイトルが目立つように思えます。ノーバン始球式や、初H、最近だと合体というワードをよく見ます。僕はあまり好ましく思いませんが皆さんはどう思いますか？
友紀,あー、よく見るなぁ
夕美,ノーバン始球式…？
友紀,遠目から見るとノーパンに見えるでしょ？
夕美,……ノーパンで始球式なんかしないでしょっ！
友紀,でもね、世の中にはつられて記事を開いちゃう人がいるんですよ
夕美,もー、ノーパンで始球式なんかしたら大変なことになっちゃうよっ！
拓海,モロダシってレベルじゃねえな
友紀,あたしもスカート履いて始球式したことあるけど、見えても良いヤツをちゃんと履くからね？。今季初Hね
拓海,1試合3H
友紀,凄い絶倫だね！
夕美,ちゃんとヒットって書こうよっ！
友紀,ホールドのこともHって表記することあるからね
夕美,ちょっとややこしいよねっ。あと、合体ってなにかやましい意味があるのかな…？
友紀,ちょいちょい、耳貸して
夕美,えっ、何…？
友紀,ぼしょぼしょぼしょ……
夕美,…………！？？
友紀,ええ、そういう意味です
夕美,おしまい！この話題はもうおしまいっ！
友紀,もう一通読むよ。ラジオネームおまんじゅうおいしいさんからだね。拓海ちゃんは割と年上相手でもタメ口の時が多いですが、その線引きはどの辺にあるんですか？だってさ
拓海,トシが近ければ基本的にタメ口だな
友紀,ていうか、うちの事務所って基本的に上下関係緩いからね
夕美,そうだねっ
拓海,大阪桐蔭みてえなんだよな。まあアタシがさん付けで呼ぶのは……７つぐらい上だと流石にさん付けで呼ぶな
夕美,留美さんとかだねっ
友紀,確かにそんな感じのイメージあるね
拓海,……まあさん付けしたくねえけど、仕方なく呼んでるヤツも居るな
友紀,いったいどこのK桐S苗なんだ…
夕美,バレバレだね？
拓海,あんま言うと後でシメられっからやめとくわ
友紀,今日のお便りはこんな感じだね
拓海,ベイスターズ関連のお便りは一通だけか？
友紀,ああ、他に来てたけど選んでないよ。だって会話が止まらなくなるから
夕美,うっ
友紀,マシンガンなのは打線だけにしといてね。うち以外との試合でね
拓海,へーい
友紀,それじゃあ次はクイズコーナーだよ。その前にCMでーす。蘭子ちゃんの言葉だと、熱男って何て言うの？
神崎蘭子,獄炎の防人～！熱男～！
拓海,防ぐのかよ…
友紀,炎耐性があるんだよ、多分
拓海,んじゃ蘭子、タイトルコール頼むわ
蘭子,猫神の化身と黒き弁天が司る、双極電波撃！姫川・向井のヒットエンドラジオ！
友紀,凄い物騒になったね。……双極がエンドランってことでいいんだよね？
拓海,そうだな。アタシ弁天なのか？
夕美,よっ、弁天様っ♪
拓海,んで、猫神の化身……キャッツファンだからな
友紀,猫神だとみくちゃんも引っかかりそうだねー。じゃあ次はこのコーナークイズDEシンデレラ！拓海ちゃん、説明よろしく
拓海,はいよ。このコーナーは毎回ゲストにちなんだ野球クイズを出題します。見事正解したら豪華景品をプレゼント！
友紀,クイズなんだけど、夕美ちゃんはクイズに自信がある方かな？
夕美,うーん、どうなのかな。わかる問題が来てくれるのを祈るよっ
友紀,選択式だってさ
拓海,これがそのクイズの問題が書かれた紙だな
友紀,キーワードが３つあるね
夕美,これは…
拓海,真ん中一択じゃねえかコレ
夕美,そうだねっ。真ん中の三浦大輔でお願いします！
友紀,はーい、三浦大輔だね。じゃあ問題読むよ。あー、なるほどねぇ
拓海,アタシは分かった
夕美,わかったよっ
友紀,流石ファンなだけありますな。じゃあ答えを聞こうか
夕美,最多勝はとったことないよ。Aだねっ
友紀,ファイナルアンサー？
夕美,ファイナルアンサー！
友紀,流石だね。迷うことなく一発で当てたね
夕美,えへへっ♪
拓海,最多勝と最高勝率を同時に並べてくるのがニクいよな、この出題
友紀,そうだねー。知らない人だとそこでん？ってなりそうだね
A最多勝,一度もなし
B最高勝率1997年に獲得,勝率.769
C最優秀防御率2005年に獲得,防御率2.52
D最多奪三振2005年に獲得,177個
拓海,コレ、他の問題選んでたらどうなってたんだ？
友紀,見ていいのコレ？。じゃあ順番に見よっか
夕美,1998年かぁ…最後に日本一になった年だねっ
友紀,そうだね。オープン！
拓海,わからん
友紀,わかんないね
夕美,選ばなくてよかったねっ
拓海,大魔神じゃないことだけは何となくわかる
友紀,これ答えは誰なの？
拓海,へー
友紀,へー、って感想しか出てこないね。この首位打者ってのは簡単そうだと思うんだけど
拓海,素直に出題してくれるなら宮崎関連だよな？
夕美,どうなんだろ？
友紀,じゃあ捲るね、はい
拓海,あー……コレ簡単だな
夕美,宮崎選手じゃないけど、これならわかったよっ
友紀,ブランコの首位打者は覚えてるよ
拓海,確か打点王との二冠だったよな
友紀,そうそう。この頃はホント怖かったよね
夕美,気持ちいいぐらいかっ飛ばしてくれるよねっ
拓海,で、今日の景品は何だ？
友紀,それはですねー……じゃーん！おいしそうなカステラだよ！
夕美,うわぁー、何か高そうだねっ
友紀,ささ、夕美ちゃんどうぞ
夕美,ありがとう、いただきますっ♪
友紀,あたし的には、ザラメのないカステラはカステラと認めたくないんだよね
拓海,お、カステラ警察か？
友紀,ピピー！カステラ警察です
夕美,ん～！甘くておいしい！
友紀,お花が舞ってるね
拓海,空中ガーデニングだな
友紀,んー、このザラメのアクセントがたまらんね
拓海,＃カステラたまらん
夕美,ハッシュタグかな？
友紀,＃カステラとまらん
夕美,ライオンズのあの人だねっ？
拓海,ショート守ってるアイツだな
友紀,以上、クイズDEシンデレラのコーナーでした。カステラおいしい、ごちそう様でした！
拓海,全部食いやがったぞコイツ！！！
夕美,無くなるの早いよっ！
友紀,はい、エンディングのお時間だよー！
拓海,夕美、今日はどうだったよ
夕美,楽しかったんだけど、私的にはもっと三浦大輔さんの話が…
友紀,それは後でやってね
夕美,柳田選手との勝負だけで１時間は語れるんだけど…
友紀,番組の尺をはみ出すってレベルじゃないよ！。というわけで次回の放送予定なんですが、1週お休みをいただいて2週間後の放送になります
拓海,何で１週休むんだろうな？
友紀,何でだろうね？
夕美,何でかなっ？
友紀,次は公録だそうで
拓海,何処でやるんだろな？。ンじゃ、今日の放送はここまで！お相手は向井拓海と！
友紀,姫川友紀と！
夕美,相葉夕美でしたっ！
拓海,そんじゃ、今度は２週間後なー！
友紀,ばいばーい！。お二人は番長のどこが一番好きなの？
拓海,リーゼント
夕美,リーゼント
友紀,そこ！？そこなの！？
