緒方智絵里,この前、DJのお仕事をさせていただいたんですけど
智絵里,では、早速１通目のお便りです。20代の男性の方からですね。こんにちは。私は現在、一人暮らしをしているのですが、アパートの壁が薄く、隣人の生活音がどうしてもうるさく感じてしまいます。どうすればいいでしょうか？よろしくお願いします……とのことです
朋,あ～、最近多いわよね、こういう話。やっぱり、お隣さんと一度きちんと話し合った方がいいんじゃないかな？
智絵里,引っ越しましょう。はい、では次のお便りに……
朋,ちょ、ちょっと！！！そんな流れ作業みたいなスピードで！？
智絵里,？
朋,ラジオだから伝わらないけど、そんな純粋な目をしないで！
智絵里,でも、“君子危うきに近寄らず”と言いますし……
朋,危ういのは智絵里ちゃんの発想よ！？。ほ、ほたるちゃんも何か言ってあげて？
ほたる,法的措置ですね
朋,13歳なのに発想が一番シビア！？
ほたる,迷惑防止条例などにうまく引っ掛けることができれば、裁判をチラつかせつつ優位な立場での交渉ができますよ
朋,その経験者みたいな語り口やめてくれないかな！？
智絵里,自分が出ていくか相手を追い出すか……
ほたる,それはまさに
智絵里&ほたる,DEADorALIVE
朋,なんなのこれ！！！
智絵里,では、続いてのお便りです
朋,いいの？さっきので解決？ホントに？
智絵里,40代の男性からですね。こんにちは。私は妻と中学生の娘との３人暮らしをしているのですが、最近、娘がやれ“お父さんの服と一緒に洗わないで”とか、やれ“お父さんの後にお風呂に入りたくない”などと言い出して困ってしまっています。どうしよっか？……だそうです
朋,最後急に軽くない！？
ほたる,これも、よく聞く話です
智絵里,娘さん、思春期なんですね……
朋,……まあ、誰しもが通る道とはわかっているんだろうけどね。お父さんから見ると辛いわよね
智絵里,厳しい意見にはなってしまいますが、娘さんの気が変わるまで耐えるしかないですね
朋,なんでその前置きをさっきの質問の時に使えなかったのかな
ほたる,きっといつか、お父さんの凄さが伝わる日がきますから
朋,うんうん、結局、１人では生きられないものね
智絵里,日本語のラップって両親に産んでくれてマジ感謝！しがちですよね
朋,なんで煽ったの
ほたる,YO！
朋,ほたるちゃんが思ってるほどYOは万能じゃないからね！？
智絵里,次のお便りは、ほたるちゃんに読んでもらおっか
ほたる,はい！。えっと……。10代の男性からですね。こんにちは。僕は家で犬を飼っていました。ですがこの前、その犬が死んでしまったのです。お医者さんが言うには、“寿命で亡くなったから大往生”らしいのですが、とても悲しいです。僕はこの先、どうすればいいのでしょうか……とのお便りです
朋,重いの引いたなぁ……
智絵里,うーん、生き物の問題は難しいよね……
ほたる,そうですね……。そもそも生き物はなぜ生きるのでしょうか……
朋,さらに難しくしないで
智絵里,人生は死ぬまでの暇つぶしに過ぎないんだよ
朋,智絵里ちゃん！？
ほたる,そのワンちゃんが忘れられないのなら、新しく飼っても仕方がないとは思います
朋,そうね……心の整理がつくまでは、無理に忘れようとしなくてもいいと思う
智絵里,はい、きっと、天国でそのワンちゃんもあなたのことを見ていますから。いつか、前を向けるようになればいいですね
朋,……ようやくお悩み相談っぽく答えられた気がするわ
智絵里,次の質問は20代の方からですね。吉野家と松屋ってどっちのが美味い？
朋,落差！！！
智絵里,まず、両店の大きな違いは“食券式か否か”だよね
ほたる,はい、割と自分の声での注文を躊躇う方はいますから
智絵里,そこを気にしないなら、次は料金だね。吉野家の牛丼並盛380円に対して
ほたる,松屋のプレミアム牛めし並盛も380円。互角には見えますが
智絵里,うん、松屋には
智絵里&ほたる,味噌汁が付く
朋,なんでどの質問よりも真剣に討論を始めるの！！！
ほたる,まあ私が行くとなぜか味噌汁を入れる機械が故障するので、飲んだことないんですけど……
朋,リアクションしにくいわよ
智絵里,まあ、好みですね
ほたる,すき家も含めて、です
朋,あっさり終わるのね
智絵里,続いてのお便りです。なか卯もいいですよ！
朋,なにこれ！？リアルタイムなの！？！？
智絵里,では、次です
朋,今の人は何をしたかったの
智絵里,10代の女性ですね。こんにちは！私は先日、ノルウェーに旅行に行ってきました！長く日本を離れるということで、大好きな日本のパンが食べれなくなることは不安でしたが、本場ノルウェーのパンもとっても美味しかったです！よかった！……とのことです
朋,相談は！？
ほたる,これ、感想……ですね……
智絵里,じゃあ次いきまーす
朋,今お便り破いたよね！？
智絵里,続いても10代の女性ですね。ペンネーム：♰傷ついた悪姫♰さんから
朋,……ノーコメントで
智絵里,拝啓春なお浅く、朝夕の冷え込みもまだきびしい昨今ですが、お元気でいらっしゃいますか
朋,そのペンネームからこの書き出し！？
智絵里,さて、本日、お手紙をしたためました理由になりますが、私の人間関係に起因するものにございます。私は少々恥ずかしがりな性分であるもので、なかなか周囲との会話が円滑に進みません。何か、対人コミュニケーションについて新たな知見を得ることができればと考え、筆を取らせていただきました。よろしくお願いいたします。草々……とのことでございます
朋,智絵里ちゃん、口調がうつってる
智絵里,そっか……、蘭子ちゃ……傷ついた悪姫さんは、そんなに悩んでたんだ……
ほたる,蘭子さ……傷ついた悪姫さん、きっと、あなたの想いはみなさんに伝わってますよ！
朋,わざとでしょ？ねえ？２人とも？
智絵里,次も10代の女性ですね。拝啓の結びは草々ではなく敬具が適当なのでしてー
朋,だからなんでみんなお便りで会話するのよ！！！
智絵里,続きまして、また10代の女性です。ペンネーム：宮本フレデリカさんから
朋,実名じゃん！！！
智絵里,シキちゃん！ごめん！五分遅れる☆
朋,これ収録だから！！！伝言板に使わないで！！！
ほたる,あ、志希さんがTwitterを更新しましたね……りょうかい～♪ですって
朋,どこで聞いてるの！？もうわけわかんない！！！
智絵里,あ、そろそろ、最後のお便りになりそうです……
朋,ほとんど解決してないのに！
ほたる,最後は朋さんに読んでもらいましょうよ
智絵里,そうですね！
朋,え！じゃ、じゃあ……。えっと、“世界レベル”って結局なんなんですか
ほたる,……
朋,……
智絵里,……
ほたる,……
朋,……
智絵里,……ちなみに、同じ内容のお便りが約800通届いてます
朋,全アイドル数より多いの！？！？
智絵里,というわけで、お悩み相談ラジオは以上になります。２人とも、どうでしたか？
ほたる,はい、とっても楽しかったです！
朋,いや、楽しかったけどね？ほとんど解決してない上に、DJ要素が途中から完全に消え去ってたわよね？
智絵里,では、さYOなら～
ほたる,さYOなら～
朋,その挨拶初耳なんだけど！！？？
智絵里,届いたお便りはそのへんのコンビニに捨てておきますっ
朋,智絵里ちゃん！！！
智絵里,お疲れさまでした！
ほたる,お疲れ様です
朋,うん、お疲れ様！内容はともかく、楽しかったわよ！
智絵里,じゃあ、スタッフさんに挨拶にいきましょうか
朋,うん！
ほたる,はい……あ
朋,？
智絵里,どうかしたの？
ほたる,いえ、先ほどのスタジオに忘れ物をしてしまって。ちょっと取ってきますね
朋,じゃあ、ここで待ってようか
智絵里,はい
スタッフA,聞いたか？さっきのスタジオ、照明が壊れて落ちてきそうなんだってさ
スタッフB,マジか！収録中に落ちなくてよかったな～
朋,。ほたるちゃん！！！！！！！！！
