安部菜々,ウムムムムム……
藍子,な、菜々さん、耳元で叫ばれると"きーん"ってなっちゃいますっ
菜々,おっとと
加蓮,うんうんひどいねー。ところで具体的にどんな写真を撮ったの？
菜々,アレは確か……温泉から上がり、メイクも落とし、温泉街名物の地酒があると聞いたので１杯やった時の、
加蓮,うん。分かった。話題を変えよう
藍子,加蓮ちゃ――。……、……あっ
菜々,？どうしました？
藍子,ごめんなさい加蓮ちゃん。加蓮ちゃんが正しかったみたいです
加蓮,あはは……。ガチで対処法を考えるべき時が来てるのかもね
菜々,……？？？。ところでナナもロールケーキ食べていいです？
加蓮,しょうがないなぁ
菜々,キャハッ☆今日はラッキーですね！
加蓮,その代わり、今度ウサミン星の名物を持ってきてよ～？
菜々,……幸せと不幸せってどうしていつもイコールなんでしょうかね
加蓮,なんで哲学
藍子,……？菜々さん。カバンから、何かはみ出ていますよ。手紙ですか？
菜々,え？。あー。……あー
加蓮,どしたの？
藍子,ひょっとして、ファンレターとかっ
加蓮,いやいや、あの顔は違うよ。そうだねー……きっと脅迫文とかだよ
藍子,きょ、脅迫文！？
加蓮,正しい年齢を明かせ、さもなくばウサミン星を爆破する、みたいな
藍子,た、大変ですっ。そうなったら菜々さんの帰る場所が――
菜々,事あるごとにウサミン星を爆破させようとするのやめてくれませんかねぇ！？
加蓮,だってー、菜々ちゃんが前に言ってたじゃん。困ったらとりあえず爆発オチにしておけって
菜々,爆発オチなんてサイテー！
藍子,……？？
菜々,ととっ、それは置いといて、っと。あー、えー、脅迫文、って訳じゃないんですケド……いやある意味脅迫文かもしれませんケド……
加蓮,よくわかんないなぁ。良かったら見せてよ
菜々,実家から手紙――じゃなくて！そう、ウサミン星から通信が来たんです！
藍子,あはは、手紙なのに通信なんだ……
菜々,……。…………。…………加蓮ちゃん
加蓮,なに？
菜々,確か加蓮ちゃん、前にウェディングのお仕事、やってますよね？
加蓮,うん。やってるけど
菜々,……結婚、って……どう思います？
加蓮,え？。…………。"ユニット仲間の自称１７歳がガチの結婚相談をしてきたんだけど、どうしたらいいんだろこれ……"っと
菜々,何つぶやいとんじゃー！
加蓮,あ、リプライが来た。早っ。なになに？"@aiko_takamoriまずは、真剣にお話を聞いてあげるといいと思いますっ"
菜々,目の前にいるんだから会話しましょうよ！ＳＮＳでしか話せない世代ですか！
藍子,えへへ。つい♪
菜々,コミュニケーション大事！
加蓮,結婚がどうかしたの？……って、もしかして
藍子,……ついに？
菜々,そう、そうなんですよ！この度ナナは！
加蓮,藍子、ちょっとＰさん呼んできて
藍子,はいっ
菜々,ウェディングのお仕――え？
加蓮,言っとくけどね。菜々ちゃん。私だって１６歳だよ。条件は同じだよ。第一いつも１７歳って言ってるの菜々ちゃんだよね。どうせあれでしょ。そういう時だけ実年齢使って脅したりするんでしょ。そういうのって無いと思うなー。でも菜々ちゃんが真剣だってのは私にも分かってるよ。なら……ふふっ、やることなんて１つだよね？
菜々,あのぉ、加蓮ちゃん？
藍子,な、なんだか真っ黒なオーラが……
加蓮,あの人の嫁が誰なのかそして誰であるべきなのか思い知らせてやる。菜々ちゃんといえど容赦はしないよ！
菜々,違うわー！ガチの結婚じゃないですよ！？てかナナはアイドル！アイドルですからね！？。お仕事！ウェディングのお仕事！お・仕・事です！大切なことなので３回言いました！
加蓮,あ、そっか、お仕事なんだ。……そっか。よかったぁ
藍子,加蓮ちゃんがぐにゃってなっちゃった……。大丈夫ですか？
加蓮,ありがと藍子。……あはは。なんだかんだ菜々ちゃん相手だと、その……私、勝てる要素とか全然ないし……でも黙って見るなんて嫌だし……
藍子,……さっきの態度も、強がりだったんですね。でも、加蓮ちゃんらしいです
加蓮,う、うっさい。そーいうのは気付いても言わないでいいでしょ？
菜々,なら普段からナナにもそうしてくださいよ……
藍子,菜々さんが、ウェディングドレスを着るんですね。……わあ……すっごく素敵な光景になりそうです！
菜々,そ、そうですかね？
藍子,ほら、前の温泉の時も菜々さん、すごく大人っぽくて、綺麗で……。憧れちゃいましたからっ
加蓮,悔しいけど分かるー。菜々ちゃんってホントずるいよね。１７歳でも、に――大人でも魅せられるんだから
藍子,ふふっ。加蓮ちゃんだって、大人びているじゃないですか
加蓮,そんなことないって。私なんて、菜々ちゃんの前ではただ背伸びしてるだけだよ。藍子だってよく大人っぽいとか言われたりするんじゃないの？
藍子,私なんて、のんびりしているとしか言われませんよ。菜々さんには、ぜんぜん敵いませんっ
菜々,き、キャハッ。そこまで言われると照れちゃいますねぇ
加蓮,ところで相談があるんだよね？
藍子,できる限り、一緒に考えますねっ
菜々,感謝ですよぉ！えーと……まあアレです。ナナってその、……こ、この歳になるまでずっとやりたいことをやってきたというか……。そ……りゃあまあいつか結婚とか、考えてなかった訳じゃないんですよ。ただ、ですね。いきなり言われても……イメージが湧かないと言いますか
加蓮,確かにー
藍子,急に言われちゃうと、なんだろう、ってなっちゃいますよね
菜々,そんな訳でおふたりに相談です！ズバリっ、理想の結婚とか結婚生活とか、そういうのを教えちゃってください！
加蓮,理想の結婚かぁ……
藍子,結婚生活なら……やっぱりゆっくり暮らすのがいいな～。結婚……したら、さすがにアイドルは続けられないでしょうから。でも、一緒に何かやりたいですね。例えば、雑貨屋さんとか、カフェとか。あっ、写真屋さんもいいかも！。たまのお休みの日には……朝は一緒にお掃除をするんです。ご飯も一緒に作りたいな。お昼からは、いつもの道を一緒にお散歩して、買い物をして。毎日、ちいさな幸せを積み重ねて、穏やかに過ごしていけるだけなら、私はそれだけで――
加蓮,相手Ｐさんでしょ
藍子,ふぇ！？
菜々,ビビっ！これはガチな反応ですね！
藍子,そ、そんなことは別に！そういうんじゃなくてっ、か、加蓮ちゃんは！加蓮ちゃんはどういう結婚生活を送ってみたいですか！？
加蓮,私は……藍子とは逆に色々やってみたいかな？
菜々,ほうほう？
加蓮,私ってほら、今まで色々できなかった人生を送ってきた訳だしさ。だからこう、結婚したからずっと家事をやる、っていうのはイヤだし。こう……旅行とか、いっそ引っ越しとか？いろんな場所に住んで、いろんなことをして……。ふふっ。藍子と同じで、一緒に何かをしてみるのもいいかな。Ｐさんならきっと、お願いを聞いてくれると思うから……。でも、たまにはＰさんのやりたいことも聞いてあげなきゃ。対等な関係が好きなんだ、私
菜々,……個人名出しちゃいましたねぇ
藍子,出ちゃいましたね
加蓮,あ。……あー……うん。あはは……。そ、そういえばさ。この中でウェディングドレスを着てないのって藍子だけだよね
菜々,キャハッ☆これは藍子ちゃんにも期待ですねぇ！
藍子,わ、私ですか？私にはまだ、ちょっと早すぎるような……
加蓮,そんなことないってー
菜々,絶対似合いますよ！
加蓮,うんうん。ウェディングメモリーズ、なんてどう？
菜々,加蓮ちゃんもまたドレスを着ることになるんですか！ナナ、負けませんよ！
藍子,もしお仕事で着ることになったら、菜々さんみたいに私も悩んじゃうかも
加蓮,お仕事以外で着る予定は？
藍子,あ、ありません～っ！
菜々,こーらこら何を言ってるんですか。全く、藍子ちゃんはアイドルですよ！女の子である前にアイドル！
藍子,わ、分かってますっ。でも、その……ちょっぴり、憧れが……えへへ
菜々,お仕事で着る時は、ナナと加蓮ちゃんが相談に乗りますよ！先輩として！ねっ☆
加蓮,そだねー。でも藍子のウェディング姿かぁ。……どうやってＰさんの目を潰さないといけないか考えなきゃ
菜々,なーに物騒なこと言ってるんですかねこの子は
加蓮,あ、ごめんちょっとスマフォ。……ふんふん
藍子,？
加蓮,さっきのつぶやき、ほら、菜々ちゃんが悩んでるって書いたヤツにいくつかリプライが来てるみたい
菜々,そういえば～～～～～～！アレ消してくださいよ！ナナがマジで結婚する５秒前みたいになっちゃう～～～！
加蓮,大丈夫。"ウサミンだからなぁ""とうとうお見合いか""次は親子でLIVEですね分かります"……だって
菜々,うぐっ。それはそれで複雑～
加蓮,"僕は加蓮ちゃんと結婚したいです"
藍子,それ言う必要ありましたか……？
加蓮,結構マジなのもあるよ。"ウサミンと結婚する人はキツイだろ。ウサミンだぜ？"
菜々,ぐさっ
加蓮,"ついていくのが大変そう。ウサミンだし"
菜々,ぐさぐさっ
藍子,な、何か賛成してくださる方はいないんですか？
加蓮,リプライのリプライになっちゃってるけど……。"マジな話、結婚とかありだと思う""ウサミンならありだろ"
菜々,え？
加蓮,"前に料理場組見たけどいい奥さんになれそう""ああ見えてウサミンって真面目なんですよね！前に加蓮ちゃんが言ってるの聞きました！""嫁に欲しい""嫁にくれ"。"ウサミンが結婚するとウサミンやめるのかな。寂しくね？""分かる""ここは加蓮ちゃんがウサミン星人２世に！"いや、ならないから
菜々,…………
加蓮,……だってさ
藍子,なんだか変な感じです。菜々さん、アイドルなのに
加蓮,ねー。結構賛成してるっぽい。マジトーンだし
藍子,言われてみれば、菜々さんは料理もできて、事務所のお掃除や洗濯もよくやっていて……ちいさい子によく、教えてってせがまれてますよね
加蓮,うんうん
藍子,きっと菜々さんなら、いいお嫁さんになれちゃう気がしますっ
加蓮,ね
菜々,そう……なんですかね？
加蓮,ふふっ。で、菜々ちゃん。どう？ちょっとくらいは参考になった？
菜々,ウムム……あ、はい！えっと、キャハッ☆もちろんですとも！。そろそろレッスンの時間ですし、また帰ったらじっくり考えてみますね！ささ、準備準備！
藍子,行ってらっしゃい、菜々さん♪
加蓮,行ってらっしゃーい。結婚かー
藍子,もし菜々さんが本当に結婚しちゃったら、加蓮ちゃんはどうしますか？
加蓮,Ｐさん……は別として……。ホントに菜々ちゃんが結婚しちゃったら。……ちょっぴり寂しいかも
藍子,ふふ、私もです
菜々,ウムム……。結婚……結婚かぁ……。結局、結論は出なかったなぁ……。ドレスを着て撮影してもらうだけだけど、うう、なんだかもやっとする～！。……ととっ。そういえばＰさんから宿題を出されてるんでした。もらって嬉しいプロポーズの言葉、でしたね！……これも相談しておけばよかったなー。プロポーズの言葉……。ええと、確かよくあるヤツは……。――毎朝、お前の味噌汁が飲みたい。キャハッ☆何言ってるんですかＰさん！この前も作ってあげたじゃないですか。"私"とＰさんはもう――。もう……。……。ご、ごほん。菜々――結婚してくれ。はい……！。そっと手を繋いだ"私"たちは、綺麗な夜景をバックにキｓ――。……。……ぎ、逆にナナがプロポーズするのってアリなんでしょうか。ごほん。"私"、今日をもってみんなのメイドをやめることにします。今日からは……あなただけの専属のメイドです！キャハッ☆。……むり……絶対むり……きゃはっ、とか言えない……。というかナナこれに近いこと今までに言ってませんっけ！？つまり既にプロポーズしたようなもの？。……。も、もっとシンプルなのがいいですね！。ごほん。――結婚してください。……。……。はあぁ……。結婚、かぁ。アハハ。２人らしいですねぇ。ナナ、１６歳の時にそんなにしっかり考えてましたっけ？。あの時も……それに今も、ひたすらやりたいことを突っ走ってるばっかりだから……。……小さな幸せ……一緒に色々やること……。……もし……。もし、ナナがＰさんと結婚したら……そう、なるのかな……。一緒に掃除したり、お料理したり。……ナナ、お料理は得意ですよ！なんたってずっとメイドをしてましたからね！。疲れて帰ってきたＰさんを出迎えて……マッサージとかしてあげて……。お休みの日にはデートなんてしちゃったり！。それから……よ、夜とか……。……。……んー。んー……。……なんだろう。ピンと来ないというか……。ナナがそうなりたいかって聞かれると……。んー……。……んー。……。すぴー
――撮影前日・宿泊施設の屋上,夜
菜々,あれから色々悩んで、アドバイスも聞いて……いよいよ、明日は撮影の日ですね。Ｐさん。……ナナ、Ｐさんに聞いてみたいんです。ナナって……いいお嫁さんになれると思います？。今も……その、ウサミン星人ですけど、ほ、ほら、地球で結婚したウサミン星人は地球人になりますから！。もし、そうなら……ナナは、立派な花嫁になれるでしょうか？。Ｐさんは優しいですね。キャハッ……。……。……こっそりと、何度も練習してきた。私と、結婚してください。最初は撮影用の練習だったけど……。……もしも、ここで。それを、言ったら。もしも、Ｐさんが……私の前にいるこの男の人が、首を縦に振ったら。ナナは――"私"は――結婚して、お母さんに孫の顔を見せることになって。……。…………。いやいやいや、それはないっ！！！。キャハッ☆何を言ってるんですか安部菜々！！。ナナ、アイドルですから！まだまだ現役バリバリのアイドルですから！引退とかありえません！！。というかナナは１７歳ですからね！そう、思い出しました！ナナ１７歳です！！結婚とかまだ早いですからね！！！。結婚願望？ないですよないない！新婚ほやほやなんかよりアイドルの毎日の方が想像してて何倍も何十倍も、何百倍もっ！！！！。……あ。き、キャハッ。えと、その、い、今のはウサミン星から……ｺﾞﾆｮｺﾞﾆｮ。……ごほんっ。えっと、ですね。Ｐさん――。その……。い……いよいよ明日は撮影ですね！ウサミンブライダルパワー、いっぱいチャージしてきました！。なのでっ！明日は最高の１日にしてみせます！Ｐさんのアイドルとして、晴れ舞台、全力で挑みますとも！。だから、明日も……そして、これからもよろしくお願いしますね、ナナのプロデューサーさんっ♪。おはうっさみ～ん♪
加蓮,おはよー
藍子,おはようございます、菜々さんっ
菜々,……？なんですＰさん？手紙？……ナナのお母さんから！？
加蓮,ん？
藍子,お手紙？
菜々,…………
加蓮,……あー
藍子,もしかして、前に菜々さんが持っていたお手紙って
菜々,だーーーーっ！！
加蓮,！？
藍子,えええ！？
菜々,とりゃっ、とりゃっ、とりゃりゃりゃりゃりゃりゃりゃ！！！
加蓮,か、紙吹雪になっちゃった……
藍子,いいんですか……？
菜々,ナナはアイドルっ！さ、Ｐさん、今日のお仕事は何ですか！？ウサミンの舞台ですか。お料理教室ですか。なんだってやってやりますとも！。キャハッ☆じゃあ今日も１日、ウサミン星よりナナ、いっきま～す♪レッツゴー！
加蓮,…………
藍子,…………
加蓮,……ぷっ
藍子,……あははっ
加蓮,ま、菜々ちゃんだもんね
藍子,菜々さんですからねっ
劇場が涙腺をぶっ壊しに来て困ります,褒め言葉
