橘ありす,さて、始まりました、新番組リトル・マーチング・ファンド・ガールズ。司会は橘ありすと
ありす,き、清良さん、あの人は放っておいて、説明を……
清良,はい。身長を伸ばすと言っても、何か手術をするわけではありません
小春,激痛を伴うイリザロフ法じゃないんですか～？
ありす,小春さんの知識の偏りはなんなんですか！？
清良,私が施すのは、整体です
舞,なるほど……
薫,声帯？
ありす,勘違いのベクトルおかしくないですか
若葉,わたしは成体なのにこの身長ですけどね
ありす,急な自虐ネタ
清良,整体というのは、マッサージみたいなものです。歪んだ背骨や骨盤をもとに戻すことで、身長が伸びたり、成長を促したりできるんですよ
薫,へぇー！
ありす,ちなみに、相場を調べたところ、1時間の整体で5000円が平均みたいですね
舞,けっこう高いんですね
雪美,みんなは……身長……伸ばしたい……？
若葉,はい！！！とっても！！！
ありす,もう若葉さんはいいですから！！！。ちなみにですが、同年齢の平均身長と比べて、薫さんはマイナス3cm、舞さんはマイナス8cm、小春さんはマイナス12cm、若葉さんがマイナス10cmくらいらしいです
小春,へぇ～、確かに、学校では前の方です～
ありす,私も小春さんより少し大きいくらいですから、身長は欲しいですね
舞,私はそこまで欲しくないかな……
若葉,なぜ！！！？？？
ありす,ちょっとうるさいですよ
舞,これからもう少し伸びるかもしれませんし
若葉,舞ちゃんがいじめてきます～！！！
舞,ええっ！？
ありす,最年長！！！
薫,かおるはねー！もっと大きくなって、あいおねーちゃんみたいになりたいな！
清良,ふふふ、あいさんも喜びますよ
雪美,でも……大きくなったら……膝とかに乗れない……
薫,あー！そっか……！じゃあいいや！
小春,でも、大きくなったら大人の人たちとももっと仲良くなれそうです～
薫,あー！そっか……！じゃあ大きくなりたい！
若葉,でも、大きくなったらかくれんぼがしにくいですよ！
薫,あー！そっか！
ありす,薫さんで遊ばないでください！！！
舞,あの……すみません
ありす,はい、どうしたんですか？
舞,これって、整体を受けるか受けないかであって、投資とはちょっと違うんじゃないのかな……？
雪美,清良……どう……？
清良,いえいえ、お金が多くあれば、ベッド、枕、クッション、タオルなどの道具が充実するので、十分、投資ですよ
舞,あ、そうだったんですか
小春,例えば、お金がぜんぜん集まらなかったらどうなるんですか～？
清良,まず、事務所の床に寝転んでもらいます
若葉,直でですか！？
清良,タオルも買えませんから♪
ありす,それにしても……
清良,あ、廊下です
若葉,部屋にすら入れてくれないんですか！？
清良,ショバ代もタダではないんです
薫,庶馬題？
ありす,さっきから聞き間違いがおかしいですって！
若葉,ちょ、みなさん！お金出しましょう！？
舞,いや……そこまでは……
薫,かおるもいいかなー
小春,でも、若葉さんが1万円を払えば、まあそれなりにはなるんじゃないですか～？
清良,ちなみに、場所代はちひろさんに支払います
若葉,絶対足りないじゃないですか～！！！
ありす,では、最終決定に入ります
若葉,うう……
ありす,あの……これ、もしもの話ですから。そんなに気落ちしないでください
若葉,そうですけど～
ありす,あ、このタイミングで出すんですね
舞,まあ、一応……
薫,かおるはいいや！
小春,……
ありす,血も涙もないですね！？
雪美,というわけで、清良は……12000円
ありす,半分が投資に参加してないですけどね
清良,ふふふ、楽しかったわ
ありす,ありがとうございました、清良さん
薫,じゃーね！
若葉,また……また来てくださいっ！！！絶対にっ！！！
ありす,必死じゃないですか。続いてのプレゼンターはこの方です
上条春菜,こんにちは！
薫,……
小春,……
若葉,……
舞,ええっ
春菜,ちょっとみなさん！！！
ありす,はいお疲れ様でしたー
雪美,次の……プレゼンターは……
春菜,司会まで！？。いくらなんでも酷いですって！
ありす,どうせ払ったお金で最高に似合う眼鏡を買ってあげますとか言うんでしょう？
春菜,……
ありす,……
雪美,……
春菜,……。……
ありす,ご、ごめんなさい
雪美,ありす……ひどい……
薫,あんまりだよー！
舞,2人も加害者なんじゃ……？
ヒョウさん,この外道が
ありす,！？。……というか、もうこれただのお使いじゃないですか！投資の番組なんですってば！！
春菜,ちっちっち……
ありす,なんなんですか……
春菜,まとめて発注した方がお得ですし、メガネケースやメガネ拭きなどの付属品も融通が利くんです！
ありす,完全に業者サイドの思考回路じゃないですか
若葉,私、目はけっこういいので、メガネの必要性はないですかね～
春菜,いえいえ！若葉さん！メガネをかけるだけで、何倍にも大人っぽくなるんですよ！
若葉,！
ありす,いくらなんでもちょろすぎるでしょう！？
春菜,背が伸びる可能性もあります！！
若葉,！！！
ありす,背が絡むと上限突破するのやめてください！！！
薫,え！？メガネで背が伸びるの！？
舞,薫ちゃん、流石に疑った方が……
春菜,それにみなさん、アイドルなんですから、変装だって必要でしょう？
雪美,確かに……
ありす,あー、まあ、それは言えるかもしれません
薫,かおるはね！もっとみんなにかおるちゃんだ！
春菜,う……！純粋……！
小春,春菜さんは、大好きなメガネで薫さんの笑顔を隠していいんですか～？
春菜,ううっ……！！！
ヒョウさん,帰れ！
ありす,さっきから何で誰もヒョウ君にツッコまないんですか！？
春菜,確かに、子供たちの純粋な笑顔を隠すためにメガネを使うなど言語道断……！
ありす,ちょっとみなさんバラエティに全力投球すぎじゃないですか？
春菜,また、修行のやり直しです。大切なことを気づかせてくれてありがとうございました……！。では……！
ありす,え！？帰るんですか！？最終決定は……え？いらない！？。えっと……
雪美,では……次のプレゼンター……
小春,わ～
薫,だれだろー？
若葉,楽しみですねー
ありす,切り替えの早さエグイですね！？
二宮飛鳥,やあ
ありす,二宮飛鳥さんです
雪美,あすあす……
飛鳥,その呼び名、初耳なのだけど
小春,にのあす～
飛鳥,これはニックネームをつけるコーナーだったのかい？
ありす,ごめんなさい、無視して大丈夫です
飛鳥,皆の信託が得られた時、ボクにできることはこれさ
ありす,では、説明をお願いします
飛鳥,ああ。まず前提だけど、ボクの趣味はヘアアレンジなんだ
薫,部屋アレンジ？
飛鳥,リフォームは専門外だね
雪美,ヘラアレンジ……？
飛鳥,ヘラにそこまでの可能性を見出すことはまだできていないね
若葉,オレンジレンジ？
ありす,尺が足りなくなりますから自重してください
飛鳥,そして、ある雑誌で、不定期にヘアアレンジの紹介を、読者モデルさんを使ってしているんだけど。ほら、読者モデルさんが普段、どんな髪型かは知らないだろう？だから、ヘアアレンジの及ぼす印象への影響は伝わり難いことがあってね
ありす,なるほど。アイドルなら、普段からの違いがわかる上に、仕事にもなって、新しい髪型も試せる……と
飛鳥,ご明察さ
小春,ZZZ……
飛鳥,そんなに退屈だったかい？
ありす,小春さん！！！
飛鳥,もちろん、金額が多いほど、装飾品、例えばこのエクステとか、髪飾りとか、も豪華になる。悪くないだろう？
舞,すごいですっ！
ありす,正直、感心しました
薫,あすかちゃん、いつも何言ってるかわからないけど、わかりやすかった！
飛鳥,……そうか、なによりだ
ありす,ダメージ受けてる場合じゃないですよ
飛鳥,ちなみにこの話は実際に検討していることなんだ。もちろん、お金は取らないけどね。新たな“可能性”を、これも運命と考えて、受け入れてみないかい？
薫,？
小春,？
飛鳥,……せっかくだから、やってみたら楽しいかもねってことだよ
薫,なるほど！
小春,ふむふむ～
ありす,薫さんは素ですが、小春さんはわかってやってませんか？
若葉,もう少しわかりやすく……
ありす,最年長！！！。それでは、最終決定に入りますね
飛鳥,ああ、頼むよ
雪美,どうぞ……！
舞,いいと思いますっ
薫,うーん、新しい髪型かー
小春,この髪型、気に入ってるんですよね～
若葉,そんな、ヘアスタイルくらいで……
ありす,セリフと金額が一部矛盾してますけど！？
飛鳥,……
雪美,……喜んでる
ありす,では、満額の4万円です！
飛鳥,ありがとう……正直、歓迎されてる感覚が乏しく感じたんだけどね。これも運命……いや、“掴み取った”と形容しておこうか
ありす,饒舌になりましたね
飛鳥,それでは、実際にキミたちの髪に変化を起こす時を待つとするよ
舞,上機嫌でしたね……
ありす,ちょっと鼻歌が聴こえますね
小春,今、飛鳥さんが歌っていた共鳴世界の存在論(オントロジー)は、全国のCDショップで大好評発売中ですよ～
ありす,どこからお金をもらってるんですか？
雪美,次が……ラスト……
薫,ええーっ！
若葉,早いですね～
ありす,私はけっこう長く感じてますけど
雪美,では、どうぞ……
輿水幸子,フフーン！カワイイボクの登場ですよ！
ありす,最終決定に入ります
幸子,ちょっと！！！
薫,おつかれさまー！
小春,眠くなってきちゃいました～
若葉,幸子ちゃんグッズはちょっと……
幸子,なんで集めたお金でボクのグッズを作るところまでバレてるんですか！？
舞,ごめんなさい……
幸子,舞さん！！！
ありす,プレゼンのタイトルにカワイイボクのが入ってたら、即刻終わりになります
幸子,……
ありす,……
雪美,……
薫,……
舞,……
小春,……
若葉,……
幸子,……
ありす,……
幸子,ごめんなさい
