卯月,あー、何だかわかりますね！
沙紀,だって普通シャワーに押し込めて終了っすよ？懇切丁寧に洗ってくれなくてもよかったすよ
響子,でも吉岡さんは適当に洗って出て来ちゃうかなって思って
沙紀,沙紀
響子,？？
沙紀,呼び名っすよ。そんなかしこまらなくて名前で呼んでほしいっす
響子,えぇ、でも年上ですし
沙紀,別にいいじゃないっすか！もう裸だって見た関係っすし
響子,こらっ！そういうことを言っちゃダメでしょ？あと私は服着てましたっ！
沙紀,へへっ、そういう感じのフランクな感じでいいと思うっすよ？
響子,ん～、じゃあ沙紀さんで
沙紀,呼び捨てでいいのに
響子,親しき中にも礼儀ありですよ？
沙紀,じゃあそういう感じで、よろしくっす！
響子,ふふっ。こちらこそよろしくお願いしますね！
沙紀,～～♪～♪～～♪
響子,あっ！そこ違いますよっ！
沙紀,あり？そうだっけ？
響子,こうですよっ！～～～♪～～♪～♪
沙紀,おぉ～、響子ちゃん歌うまいっすね！
響子,ふふっ♪というかアイドルなんだから当然ですよ？
沙紀,そんなことないっすよ！他のみんなとは違うというか、なんかグッとくるっす！！
響子,そんなに褒めても何もでませんよ？それよりも今のところもう一回です！
沙紀,んー、ダンスだったら得意なんすけどね
響子,でももっと女の子らしく踊らないとダメですよ？
沙紀,そうっすか？
響子,私もストリートダンスって勉強したほうがいいのかしら？
沙紀,んーやめておいた方がいいっすよ？響子ちゃんは響子ちゃんの動きを生かした方がいいっす！
響子,よしっと。じゃあ今日の自主練はここまでですね
沙紀,おつかれっす！
響子,そういえば沙紀さん、ご飯ちゃんと食べてますか？
沙紀,え゛っ！？いやーちゃんと食べていますって響子ちゃん
響子,じとー
沙紀,…すいません昨日の夜から何にも食べてないっす
響子,やっぱり…。朝ごはん食べないとダメでしょ？というか今日はお昼も食べていないんですか！？
沙紀,いやー金欠で…
響子,まったく！そうだと思ってお弁当作ってきましたから
沙紀,まじっすか！！いやー響子ちゃん愛してるっす！！
響子,そんなこと軽々しくいう子にはあげません
沙紀,誠に申し訳ありませんでした。この卵焼きむっちゃ旨いっすね！アタシが作ってもこうならないっすよ！！
響子,ふふっ♪それはね、お出汁を変えて作ってみたの
沙紀,いやー、響子ちゃんがお嫁に来たら幸せっすね！
響子,はいはい
P,おっ！やってるな
響子,あっ！プロデューサー、お疲れ様ですっ！
沙紀,おふゅかれぇっしゅ
P,…沙紀は飲み込んでからしゃべろうな
響子,ところでどうしたんですか？
P,あぁ、今度の学園祭の実行委員会の人からちょっと依頼を受けてな
沙紀,どんな依頼っすか？
P,なんでも学園祭のシンボルに巨大なモザイクアートを作るらしくてな
沙紀,おお！ちっちゃい絵を集めて大きい絵を作るやつっすね！
P,あぁ。んでそのモザイクアートに使う小さな絵を二人に描いてくれないかって
沙紀,まじっすか！いいっすねそういうの大好きっすよ！！
P,おお、よかった。はいこれ用紙。はがきくらいの大きさだからパパッと描いちゃって明日には貰えるかな？
沙紀,了解っす！じゃあ響子ちゃんも――。……そうっすか
響子,……。……別にわざと変な絵を描いているわけじゃないんです
沙紀,……
響子,でも、わたしが絵を描くとどうしてもへんな絵になっちゃうんです。別にそれでいじめられたとか、そういう訳じゃないんですけれど。でも。でもいまでも絵なんて上手く描けないし、もし私のせいで学園祭のモザイクが台無しになったらって！！。そう考えちゃうと急に胸が苦しくなっちゃって…
沙紀,……
響子,……ごめんなさい
沙紀,どうしてあやまるんすか？
響子,私が、こんなダメな子で
沙紀,ダメなんかじゃないっすよ！
響子,でもっ！みんなと同じことが出来ないんですよっ！！。私、沙紀さんみたいに強くないから。みんなと違うことに耐えられない
沙紀,……
響子,……やっぱりモザイクは私やりません。申し訳ないですけれど、沙紀さん描いてもらえませんか？
沙紀,何いってるんすか。響子ちゃんも描くんすよ
響子,……へっ？
沙紀,っていうかそれならそうと早く言ってくださいよ！絵なんて簡単っすから！！
響子,いや、えっ、ちょっと！。ちょっちょっとちょっと！どこ連れて行くんですかっ
沙紀,絵なんて千差万別！風とおんなじで全部違うんすよ！
響子,だからっ
沙紀,ほらほら！こっちこっち！！
響子,あの！ちょっと手を離して！
沙紀,ダメっす！響子ちゃん逃げちゃうでしょ？
響子,そうじゃなくてっ！恥ずかしいからっ！
沙紀,別にみられたってどうってことないっすよ！ステージでひらひらの衣装の方が恥ずかしいっす！
響子,それとこれは別なのー！！
沙紀,ほい。じゃあ上がって
響子,お邪魔します……。ペンキ？
沙紀,正解っす
響子,じゃあここは…
沙紀,アタシのアトリエっす
響子,アトリエ？
沙紀,あれ？言ってなかったでしたっけ？。吉岡沙紀、アイドル兼芸術家っす。ぶっちゃけアイドルとかどうでもよかったんすけどね。芸術で食っていくってのは難しくて、学校通いながら作品作るとお金が全然足りなくて
響子,それでいつも金欠だー、って？
沙紀,まあそれもあるんすけどね。例えばここ。さっきえらそーにアタシのアトリエだって言ったけど、実はシェアルームなんすよ
響子,シェアルーム？
沙紀,そう。自分のアトリエを持てないアーティストがお金を出し合って借りているんすよ
響子,へえー
沙紀,自分の作品作るときは予約して、使わせてもらってるだけっす
響子,でもすごいですね！
沙紀,まあ結局ここの使用料払えなくて困ってたところをプロデューサーに拾われまして
響子,あっ！それであの日あんなにペンキまみれだったんですね
沙紀,最初は身体を売れ的な奴だと思ってたっすけど、本当にいい事務所でよかったっす
響子,こらっ
沙紀,へへっ。まあそれでも使用料に画材にお金は全然足りないんすけどね
響子,だからってごはん抜いちゃダメでしょ！？
沙紀,面目ないっす
響子,……それで
沙紀,ああそうっす！響子ちゃんに絵の楽しさを教えてあげようと思うっす！
響子,やっぱり…
沙紀,それ、アタシの作品っす
響子,えっ！？
沙紀,いやぁ、一発でアタシの作品が見抜かれるとは思ってもみなかったっす。はいこれ。はい！じゃあそれつけて
響子,あっはい
沙紀,おっ！やっぱり響子ちゃんはエプロン姿が似合うっすね！
響子,そうですか？
沙紀,奥さん感が出まくってるっす！可愛いし
響子,……っもう！
沙紀,あれ？響子ちゃん顔赤いっすよ？
響子,気のせいですっ！
沙紀,んじゃこれの上に好きに絵を描いてほしいっす！
響子,えっ！？
沙紀,さあさあ遠慮しないで
響子,でもっ！これ沙紀さんの作品じゃないんですか？
沙紀,そうっすよ
響子,じゃあそんな大切なものに絵なんて描けませんっ！
沙紀,みんなそういうんすよねぇ
響子,何やってるんですか！！
沙紀,これで描きやすくなったっしょ？
響子,そうじゃなくてそれ沙紀ちゃんの――
沙紀,グラフィティなんてそんなもんっすよ
響子,……グラフィティ？
沙紀,アタシの作品っす。街中でよく見かけるっすよね？
響子,あの落書き！！
沙紀,落書き扱いは心外っすけど、まあそうっす
響子,まさか沙紀さんも――
沙紀,やってますよ。うーんグラフィティって伝えるのが難しいんすよね
響子,みんなの街を汚しているんですよ！
沙紀,汚してなんかないっす
響子,みんな、協力して綺麗にしているのにそれを汚すなんて！
沙紀,みんな？
響子,芸術だか何だかわかんないですけどその落書きのせいで不快な思いをしてる人もいるんですよ！！。そんな自分勝手なことが許されちゃだめなんです！！
沙紀,まず、街中のグラフィティを観て不快にさせたことを謝るっす。申し訳ないです
響子,えっ？
沙紀,一応グラフィティには決められた場所にしかしちゃいけないっていうルールがあるっす。でもそんなルールを知らなくて、ただ真似て公共のものに落書きする人が多いっす
響子,そうなの？
沙紀,正直ルールを守ってる人の方が少ないっす。もともとがそういうものっすから
響子,？
沙紀,……世の中にはいろんな人がいるっすよね？。街の風景だって、レンガの街が好きな人がいれば木でできた街が好きな人もいるっす。例えば、もし響子ちゃんが自分の住んでいる街をもっと素敵な街にしようと思ったらどうする？
響子,どうするって…街を掃除するとか？
沙紀,そうっす。普通はそうするっす。むかしむかし、ひとりの若者がいました。その人は自分の街が大好きでしたが、もっと素敵な街にしたいと思っていました。でも、そこはスラムみたいな汚れた街。じゃあその街を綺麗にするにはどうすればいいか。その人はある策を思いつくっす。それは街の目立つところにわざとド派手で下品な言葉を描いた落書きをしたっす。すると今まで薄汚い街で誰も見向きもしなかった街を綺麗にしようとみんなが動き出したっす。あら不思議。落書きされた街は前よりもずっと綺麗な街になりましたとさ
響子,それって…
沙紀,諸説あるけど、グラフィックの始まりのひとつっす。だから本来のグラフィックアートって奴は、描いた場所をもっといい場所にしようとするものっす。いつしか落書きそのものが綺麗だったり、かっこよかったり、風刺画だったりと進化して、グラフィックそのものに価値が出て来たっす。そうするとグラフィックにはルールが出来たっす。人の家だったり、迷惑になる場所にグラフィックはするな。アタシなんかは許可された公園とかでやるっす
響子,そうだったんですね…
沙紀,そしてもうひとつ
響子,？
沙紀,イケてないグラフィックは上書きしてもいい
響子,えっ？
沙紀,このキャンバスと一緒っす。グラフィックはどんどん上書きしちゃっていいっす。全部消しちゃうことだってあるっす。だから、響子ちゃんはこのキャンバスを上書きしちゃってください
響子,でも……。私なんかが沙紀さんより良い絵を描ける訳なんて
沙紀,何言ってるんすか！いい絵じゃないっすよ！イケてる絵っすよ！
響子,イケてる絵？
沙紀,みんな感性なんてバラバラっす！自分でこれだ！っていう絵を描くのがアートっす！。そこに上手いも下手もないっす！。ハートっす！
響子,！！
沙紀,さあ
響子,あっ…、手…
沙紀,さっ！自由に響子ちゃんの描きたい絵を描いてくださいっす
響子,……はいっ！。……
沙紀,……これはウサギっすか？
響子,違いますっ！
沙紀,うーん
響子,やっぱり絵が下手ですよねっ！ごめんなさい！
沙紀,いやいや、響子ちゃんが一生懸命描いたっていうハートがこもってるから大丈夫っす！
響子,でも沙紀さんの絵を上書きするほどイケてる絵なんでしょうか……？
沙紀,あっ！それは絶対大丈夫っすよ！イケてるっすよ！
響子,どうしてですか？
沙紀,だってアタシの大切な響子ちゃんが描く絵が。イケてないわけないっす
響子,…ばか
沙紀,？
響子,もうっ！…あっ！もうこんな時間！
沙紀,ありゃりゃ。じゃあこの絵の課題は明日やるっす
響子,事務所で描くの！？
沙紀,しょうがないっす！
響子,どうしよう…。プロデューサーに絵が見られちゃう
沙紀,ん？もしかして響子ちゃんプロデューサーのこと好き――
響子,～～っ！！なんでそういうところは鋭いんですかっ//
P,おっ！ライブお疲れ様
沙紀,ふうー、何とか乗り切ったっす学園祭ライブ
響子,でも大成功でしたね！
P,急造だったのにすごい反響だな。これは正式にユニットにするか？
沙紀,ユニット名もないのにっすか？
P,まあそれはおいおい決めようか。そうだ、例のモザイクアート見に行くか？
響子,そうですね！楽しみです♪
P,……なんであんなに響子は乗り気なんだ？
沙紀,絵の楽しさに目覚めたっすよ
P,いやでもあの絵は……、いやもしかして新しい売り方に……
響子,あっ！あれですね！
沙紀,おおー！でっかいハートの絵っすね！
P,見事だな
響子,あっ！近くでみるとみんな色んな絵をかいてるんですね
P,そうだな。個性豊かな絵でもこうやって集まると調和のとれた絵になるんだからすごいよな
沙紀,調和……ハーモナイズっすね
響子,ハーモナイズですか？
沙紀,調和を英語で言うと確かそうっす
響子,へえー。……あっ！いいユニット名、思いついた！
沙紀,奇遇っすね。アタシもっす
P,？？どんなんだ？
響子,えっとですね…、あっ！そうだどうせならせーので言いましょうか！
沙紀,いいっすよ！
響子,せーの！
響子・沙紀,ハートハーモナイズ！
