森久保乃々,以下、森久保とする。
森久保,とすると無知シュチュとかそっち系に行かざるを得ないじゃないですか……？。さ、逆らったらもっとひどい目にあいます…。非力な森久保は逃げられません…むぅーりー。
P,そ、そういうことか！いや、しないから！
森久保,じゃ、じゃあ面と向かって言っていただけませんか……？
P,何を？
森久保,私は自分の担当アイドルを犯したいと思っていないし、思ったこともありませんって
P,何その宣言!?
森久保,言わなきゃ信用できません…。獣にプロデュースをしてもらうとか無理無理むぅーりー！
P,ケモノとか言わないで！
森久保,と、とにかく言ってもらえれば、安心できるかもしれないんですけど……
P,……うーん……。虚偽じゃないから！
森久保,いいんです…。森久保はプロデューサーさんを嘘つきにしたいわけじゃないんですし…。
P,その感じやめて！年下にそんな気の使われ方するのキツイ！
森久保,プロデューサーさんにその場限りの嘘をつかせるくらいなら、森久保はプロデューサーさんの嗜好と向き合います！
P,言うから！というか、そんな堂々とした森久保もっと他のところで見たかったぞ森久保ｫ！。え、な、なんだっけ……私は……。そ、そうだったな。私は自分の担当アイドルを……。あ、あのー、一応、一応確認ね？
森久保,な、なんですか？
P,こ、この犯すの範囲って……？
森久保,!!
P,い、一応だよ！！
森久保,そ、それはつまり範囲によっては……
P,一応だって！意外と二人の間で食い違ってるかもしれないじゃん！
森久保,範囲によってはありえるってことですか？
P,いやだからその確認！
森久保,そ、そうですよね。プロデューサーさんの基準はちょっとアレですもんね。
P,アレとかやめて。えーと、じゃぁちょっとずつ確認してこうな？
森久保,は、はい。ここでの犯すの範囲が広ければ広いほど、その……
P,……うん
森久保,プロデューサーさんがさっきの宣誓をできなくなる可能性が上がるってことですよね…。
P,いやまぁ多分ていうか絶対大丈夫だけどね!!
森久保,…。
P,えー、じゃあ犯すの基準決めスタート！
森久保,…まずはキス。
P,えッ！？
森久保,えッ！？
P,ストップで！一旦ストップで！
森久保,無理無理むぅーりー！！
P,違うって！普通にするじゃん！キスってするじゃん！担当アイドルと！
森久保,しないしないしない怖い怖い怖い
P,俺がするかどうかじゃないよ！？一般的にだよ！？一般的な基準として、プロデューサーとアイドルでキスはセーフだよ！
森久保,しないですよぉ……。当たり前なんですけど……ていうか今言った方OKにしてたら本当にアイドル辞めてたんですけ……。あの、ということは、キスが基準だとアウトなんです…よね？あの、言わなくていいですけど
P,心底屈辱的……。……えー？
森久保,…プロデューサーさんが決めてくれていいです。それを聞いて対処しますから…。
P,……う、ん・・・…。……
森久保,……
P,……あの
森久保,ひっ!?
P,そ、そこまで怯えなくても！
森久保,ひぃ…ご、ごめんなさい！驚いちゃっただけだなんです！ごめんなさい！犯さないでください！
P,やめて！
森久保,……ていうか、これ長考した時点で相当……
P,言う！今すぐ言う！。え、えーと……
森久保,…覚悟はできてます。言ってください！ドンと！
P,えーと……
森久保,もう驚きませんから！…たぶん。
P,えー……多分、何をラインにしても、その、無理……
森久保,え
P,あの、だって、したいし……
森久保,うわああああああやっぱりガチじなんですけどぉぉぉぉぉぉ！！！
P,ご、ごめぇぇぇぇん！でもしたいんだよぉぉぉぉ！！
森久保,最初ので合ってたんですけどぉぉぉぉぉぉ！！最初のリアクションでむしろ正解だったんですけど!!!!
P,ごめん！本当にごめん！でもさっきの言葉責めとかめっちゃしたい！
森久保,それは聞いてないんですけどおおお！！無理無理むぅーりー！！
P,し、静かにしろぉ！！犯すぞッ！？
森久保,め、めっちゃ本性出してるぅぅぅぅ！！！。事務所の机の下プレイは？
P,基本
森久保,レッスンと書いて？
P,調教セックス
森久保,無知シュチュは？
P,極上
森久保,背徳感は？
P,正義
森久保,こわいんですけどぉぉぉ！プロデューサーさんが怖いんですけどぉぉぉ！
P,う、うるさい！下着口に詰めるよ!?
森久保,なんですかそれ！？
P,よくあるんだよ！
森久保,よくあるんですか！？
P,色々装着したままライブさせたりしたい！
森久保,急になんなんですか!?
P,ご、ごめん、もう我慢しなくていいと思ったら願望出ちゃった
森久保,怖い！そんなことを内に秘めてたとかむぅーりー！
P,ちひろさんと話してる時に机の下で咥えさせたい！
森久保,やめて怖い！
P,こういう時ちひろさんは森久保ちゃんもなんだかんだ言って頑張ってくれてますよね。とか言って森久保をひたすら褒める！
森久保,細かな設定とか怖い！
P,うわあああ願望出るぅぅぅ!!
森久保,落ち着いてください！もうやめて欲しいんですけど！
P,他のアイドルに見られない事務所の死角でキスしたい！。レッスン予定の連絡網回すために電話してる後ろから胸揉みたい！。トップアイドルにしたい！ていうかする！
森久保,最後のは普通に格好いいこと言ってるはずなのに怖い！
P,そういうことだから！よ、よろしくな！
森久保,何をヨロシクするんですかぁ…？
P,……じゃ、じゃぁ俺帰るから！もう帰るから！。お休みなさい！森久保もはやく帰るんだぞ！。ん？
早苗,はぁい。
P,
早苗,ライングループで乃々ちゃんが叫んでいたので、とんずらを使って普通ならまだ付かない時間できょうきょタイホしに来ました♪
P,待ってくだしぁ。
早苗,問答無用。シメる♪
P,ちょ、ちょ、ちょっと待って下さい！待って！助けて！待って下さい！お願いします！痛ｱｱｱｱｱｱｱｱ！
森久保,そういえば、さっきはちゃんと確認できなかったんですけど、P×乃々モノってどんな感じなんでしょうか…。……。…一応、一応確認するだけなんですけど…。
