フランツ,ハンナ……
ジャン,。あああああああああああああああああああッ！？
エレン,な、なんだよ。急に大きな声出すなよ、びっくりしちゃうだろうが
ジャン,ちょっと待てよッ！？なんだよじゃねーよ！！こっちがなんだよって言いてぇよ！！
コニー,すげぇ……エレンって凄いんだな……
アルミン,本当にいつの間に……
ライナー,あ、ああ……まったく……思ってたより、その、
ジャン,もうそれのどこが家族なんだよ！！それキスどころじゃない別のもんじゃねーか！！
エレン,だから耳元で大きな声だすなって！
ライナー,いいや普通そんなことまでしねぇだろ……
エレン,…………え。いや、キスって普通こういうもんじゃないのか？
ジャン,おまっ
アルミン,エレン……君は大人の階段をそのものを立体機動装置で飛び越えてるよ……
ジャン,っていうかなんで下着の下に手入れてんだよ！！明らかにその先やる気満々じゃねーか畜生！！
ライナー,ここでその先をするのは色々とまずいぞ
エレン,い、いや、でも本当にキスしかしてないぞ。恥ずかしいし。それに、子供出来ちゃったら大変だろうが
ジャン,当たり前だろちくしょう！！。だからなにやってんだてめえはああああああああああああああ！！
エレン,うるせぇよジャン！！鼓膜が破れちゃうだろうが！！
ジャン,鼓膜なんてどうでもいいだろうが！！巨人巨人言ってる死に急ぎ野郎のくせにやることやってるとかふざけんじゃねえ！！
エレン,だからキス以外やってないって言ってるだろ！！
ライナー,ジャン、落ち着け。心を平らにするんだ。
ジャン,ふっ……うぅっ……ぐぅう……ぅぅぅうううう…………あっ
ライナー,よし、大丈夫だ。大丈夫だからな
コニー,気絶したんじゃねぇのか？
アルミン,本当に、いつの間にそんな仲になってるのさ
コニー,しかもなんか無駄に力の入った語り口でびびるぜ……
エレン,そ、そうか？
ライナー,すまん。なんというか、驚きすぎて正直ついていけない部分がある
エレン,なんでだよ。別にこれくらい普通だろ
アルミン,エレンの普通はちょっとおかしいよ
エレン,そう、なのか……？
コニー,そりゃ、なんていうか、俺らにはまだ早すぎるっていうか……それ決定的な一歩どころか幅跳びでライン飛び越えてんぞ
エレン,…………え、いや、だって普通こうするってミカサが教えてくれたんだぜ
ライナー,あ、ああ……そうか……
アルミン,OhCrazy..
コニー,それ絶対ミカサがやりたかっただけだろ
ライナー,……で、エレン。それらの経験を通してお前が思う女の扱いで大事なことってなんなんだ？
アルミン,まだ聞くの！？
ライナー,ああ、こうなったらとことん聞いた方がいい。エレンが俺たちの中で誰よりも進んでいるのは事実だ
コニー,だけどエレンとミカサだぞ？参考になるのか？というかそもそも聞いた所で訓練兵の身分じゃ使い道ない気が
ライナー,いや、だからこそ聞いておくんだ
アルミン,どういうこと？
ライナー,兵舎という隔絶された環境だからこそ、その少しの差が大事になる
アルミン,なるほど、モテる人には理由があるってことだね
エレン,い、いや、女の扱いって言われてもな……俺もそんなんわかんねぇよ……
ライナー,いつものミカサにやってることでいい、教えてくれないか
エレン,……ああ、あいつは案外耳とか弱いな
コニー,そうなのか？
エレン,ああ、吐息かけるだけで反応するし甘噛んでやったりするとそれだけで真っ赤になる
ライナー,なるほど、弱点を攻めるということか
アルミン,……なんか幼馴染のそういうのこと知るってひどく微妙な気分だね
エレン,あと、なんだ……あいつは尻を触るのが好きだな
ライナー,尻？尻って自分自身の尻を触るのか？
エレン,いや。オレの
ライナー,…………なに？
アルミン,エレンの！？
コニー,え、それって女も男みたいに尻を触りたいとか思うのか？
エレン,オレも詳しくは知らねぇけどそうみたいだな
ライナー,信じられないな。男の硬いケツ触って何が面白いんだ
エレン,ああ。だけどよく弄られたりする。それに時々セクハラ親父みたいな手付きの時があって鳥肌も立つ
アルミン,ミカサが特殊なんじゃない？
エレン,オレも驚いたけど、なんか女部屋では誰の尻がいいとかそういうことも話してたりするみたいだ。ミカサが言ってた
ライナー,はぁ！？
コニー,マジかよ！？
アルミン,え！？。うわぁ……そんなこと聞きたくなかったよ……
コニー,まじかよ……もう俺明日から女に尻向けて歩けねぇ……
ライナー,ああ、な、なんか身の危険を感じるな。なんなんだ、この感覚は……
エレン,あとジャンの尻も人気があるらしい
コニー,知るかよ
アルミン,そんな情報どうでもいいよ
ライナー,なんかミカサエレン経由で女の内情聞くのが怖くなってきた
コニー,もうやめといた方がいいんじゃねぇか？
エレン,そうだな。これ以上はオレも話しててあんまり気分いいもんじゃねぇし
ライナー,ああ今の話は聞かない方がよかったかもしれない
アルミン,世の中には知らない方がいいってこともあるよね
マルコ,――――ャン！ジャン！
ジャン,っ………はっ……！
マルコ,大丈夫かい？随分うなされてたみたいだけど
ジャン,マ、マルコ……？ここは……
マルコ,ここは宿舎で、とっくに朝だよ。もうちょっとしたら朝食だ。みんなもう先に行っちゃったよ
ジャン,…………は、はは……ハハハ…………
マルコ,ジャ、ジャン？どうしたんだい？
ジャン,……………なんだ……全部夢かよ……驚かせやがって……
マルコ,ああ、どうやらよっぽどの悪夢を見たみたいだね。汗びっしょりだよ
ジャン,なんであんなの見ちまったのか……馬鹿夫婦のせいだ
マルコ,さぁ行こう
ジャン,ああ、悪ぃな。ちょっと着替えるのだけ待ってくれ。！？
マルコ,どうしたんだい？
ジャン,今通り過ぎた女たち…………
マルコ,？なんだい？
ジャン,聞こえ……いや、俺の気のせいか……駄目だ疲れてるのかもしれない
マルコ,自主訓練のしすぎじゃないかい？憲兵団目指すにしてもやりすぎはよくないよ
ジャン,……そうだな。体壊したら元も子もないからな
マルコ,！
ジャン,ん、どうした？
マルコ,……あ、ああ、みんながそこに
コニー,おう、ジャン。おはよう
ライナー,ようやく起きたか
ジャン,おお。ったく、先行くなら俺も起こしてくれればいいのに
ライナー,気持ちよさそうに眠ってたからな
ジャン,っていうかどうした、こんな所で足止めて。早く食堂行こうぜ
アルミン,いや、エレンとミカサが、ね
ジャン,あ？死にたがり野郎がどうかした――――
ミカサ,エレン……
エレン,ミカサ、おいやめろって。朝飯前だぞ……んむっ？
ミカサ,んっ……ぁ……
エレン,ぷはっ、だからやめっ
ミカサ,エレン……だいすき…………
エレン,んっんん――！？んむう――――っ！！
ライナー,あの馬鹿夫婦その２の片割れ暴走してるぞ……
コニー,うわっすっげぇ舌うねってる生き物かよあれ
アルミン,…………ほんとものすごいよね
ライナー,朝っぱらからよくやるな。こっちにも気を使って欲しいもんだな
アルミン,朝食前の人が集まってくる時間にあれだけイチャついててよく今までバレなかったよね
コニー,うわーうわっすっげぇ。めちゃくちゃすっげぇ
マルコ,あ、ああ、だけどこういうのは見てちゃ悪いよ。みんな行こ――――ジャン？
ジャン,。
