・独自設定を多く含みます。中には,？
オセロット,そうか。それにしても、この編成からよく１回戦を突破できたな
カズ,"ノリと勢いに乗られると手強い"とはよく言ったもんだが、頑張ったな
アンチョビ,ありがとうございます...(うう、なんてプレッシャーだ)
カズ,ところで
アンチョビ,！はい！
カズ,飯は食ったのか？ここは屋台が出ると聞いたが
アンチョビ,いえ、まだです
カルパッチョ,今ちょうど広場のほうに屋台が出ていると思うので、ご案内しますね
オセロット,ああ、頼む。ほう。こりゃ見事だな
カルパッチョ,うちはお世辞にも裕福とは言えないので、こうして生徒一同で屋台を出して予算の一部を捻出しているんです
オセロット,金はあるし、食おう。奢るぞ
兵士A・B,ありがとうございます
カズ,鉄板ナポリタンひとつくれ
ペパロニ,まいどー！(日本語上手いなこの人)
スネーク,シーフードピザを一人前くれ
兵士A,すみません、シーフードふたつお願いします
アンツィオ生A(以下アマレット),はーい！(観光客の人かな？)
オセロット,トスカーナうどん…？をひとつくれ
アンツィオ生B(以下ガリアーノ),はーい。400円です！(日本語上手だけど、日本の人なのかな)
兵士B,う～ん。カルボナーラひとつ
アンツィオ生C(以下カプレーゼ),はいどうぞ！500円です
カズ,旨いな
スネーク,本当だな
オセロット,噂に違わぬ味だ...
兵士A,これがマザーベースで食えればなぁ
兵士B,もうレーションには戻れんぞ、この味
アンチョビ,ふふ。気に入って頂けて嬉しいです
カルパッチョ,食事目当てで入学するコもいるくらいですからね
オセロット,それも頷ける話だ
カズ,ふたりは何を食べてるんだ？
アンチョビ,ああ、これはリゾットです
カルパッチョ,私のはラザニアです。一口いかがですか？
一同,い、いや...
カルパッチョ,ふふっ、冗談ですよ
スネーク,アンツィオの料理のことは一通りわかった。あの質を軍用糧食として戦場に持って行ければきっと役立つだろうし、任務の成否にも良い影響が出るだろう。マザーベースでの食事もあのくらいにすれば皆日々の仕事によりやる気が出るはずだ。新しく旨いレーションの開発、それからマザーベースでの栄養指導に協力してもらおう。その代わりとして、こちらでアンツィオ高校に出資する。それは主に戦車道での戦術指導、車輛の改修・更新、その他様々な形で。契約はこれでよろしいか？
兵士A,ええと...～でよろしいですか？
学園長,はい、それでお願いします
オセロット,では、契約書を
学園長,はい
アンチョビ,総員集合！これよりミーティングを行う！
アンツィオ生たち,は～～い
アンチョビ,私の代では、残念ながら二回戦突破まではいかなかったが、手応えはつかんだ。ノリと勢いだけで勝ち続けるのは難しい
ペパロニ,そうっすかぁ？
アンチョビ,最後まで聞け！いいか。ノリと勢いにしっかりした技量さえあれば、アンツィオはもっと強くなれるんだ。来年こそは悲願のベスト4！...じゃなかった優勝だ！
アンツィオ生たち,おーっ！！！
アンチョビ,そのためにはまずP-40の修理が必要だ。けれどうちは貧乏だ。というわけで、出資者を募ったところ。喜べ！アンツィオの料理の技術を教える代わりに、アンツィオの戦車道を全面バックアップしてくださる人達が見つかったぞ！
カルパッチョ,では自己紹介の方お願いします！
カズ,どうも、ミラーです
オセロット,アダムです。バックアップは戦車道だけではないがな
スネーク,ジョンだ
アンチョビ,以上で紹介を終わる！総員、粗相のないように！今日から戦車道の授業にあたってくださるから、覚悟しろ！
アンツィオ生たち,はい！！！
カズ,まず何よりも先に、P40の修理をしなければならん。費用はこちらで持つから特に心配はないが、アンツィオだけで修理を済ませられないという現状はやや問題がある
オセロット,昨年度優勝校の大洗女子学園を調査したところ、大洗の車輛を修理・改装していたのは校内のクラブ自動車部だったそうだ。本来は自動車のレースに参加することを主軸とした部活動だが、彼らは戦車の修理も手がけた。この自動車部の存在が大洗女子学園の優勝に一役買ったことは間違いない
カズ,というわけで...アンツィオの生徒にはそういう整備を自前でできるようになってもらおうと思う。整備の仕方は指導者を連れてきたから、これから格納庫へ移って実際にやってもらう
アンツィオ生E(以下モルタデッラ),大洗の整備あの人達がやってたんだ
アンツィオ生F(以下フランジェリコ),うちとの試合ではいなかったよね
アンツィオ生G(以下グリッシーニ),黒森峰戦にはいたね。テレビで見たよ
整備兵A(研究開発班からの引き抜き組),おっ、出番ですか
オセロット,そうだ。このお嬢さんがたに油の差し方から改装の仕方まで仕込んでやってくれ
整備兵B,でも俺達日本語できませんよ？
カズ,通訳が今2名いる。必要ならもっと呼ぶから心配いらん
整備兵s,はぁ、なるほど
整備兵C,それにしても、P40なんて見るの初めてですよ
カズ,俺もだ。生産は極少数だったというし、使われた場面はさらに少ないそうだしな
オセロット,まあいい。どこをどう直せばいいかはわかるな？
整備兵B,あっはい。破損箇所はすぐ直せますし、走行もあっという間にできるようになりますよ
整備兵A,ただまあ、故障してから結構長い間放っといたみたいなんでそこは心配ですけどね
整備兵C,むしろ整備を教える方が不安ですよ。言葉が通じないでしょうから
スネーク,お前はイタリア語できるんじゃなかったか？
整備兵C,はい、できますよ
スネーク,カズ、あの子たちはイタリア語はできないのか？
カズ,聞いてみよう。誰かイタリア語はできるか？
カルパッチョ,えっと、アンツィオ生のほとんどがある程度のイタリア語はできると思います
オセロット,通訳の追加はあまり必要なさそうだな...よし！始めろ！
アンツィオ生たち,はい！
整備兵A,このエンジンは...だからこうなったら～するんだ
整備兵B,被弾箇所の治し方は...
整備兵C,履帯が切れた時とか、転輪が破損した場合はな...
整備兵D,砲身の清掃はきっちりするんだぞ。車体のサビもしっかりと...
整備兵E,ガソリンの一滴は血の一滴だ。決して無駄にはするな
整備兵F,この規格は...だからこういう改装ができるぞ。車体を加工する場合は...
アンチョビ,結局今日は整備だけで終わってしまったが、これはアンツィオにとって重要なことだ！料理のように全て自分たちでできるようになれば、もう故障も被弾も怖くないぞ！
アンツィオ生たち,お～っ！！
アンチョビ,明日から、隊長はカルパッチョだ！みんな言うことをよく聞くんだぞ！
アンツィオ生一同,はい！
カルパッチョ,では教官、締めの一言お願いします
整備兵C,皆の整備を見ていて、筋が良いと思いました。慣れれば自分たちでこなせるだろうけど、慢心しないようにな！
アンツィオ生一同,Si!!
カルパッチョ,よし！では解散！。やはり、火力不足は否めないようですね
ペパロニ,CVに関して言えばもともと偵察用だしな、あれ
オセロット,修理はもとより、自前である程度の改装ができるようになったとはいえ元来の火力不足が解決されたわけじゃない
カズ,新しく火力の高い車輛を増やす必要がありそうだな。適当に見繕うか
アンチョビ,イタリアの戦車はドイツやアメリカのそれに比べると、種類が少ないですからね...P40も流通量が少なくて、入手には苦労しました
スネーク,イタリアの戦車だけを採用しているのはなぜだ？
兵士B,なんでイタリアの戦車だけを使っているんだい？
カルパッチョ,特に理由はないんですが、アンツィオがイタリア的な高校なので、学校のモデルになったイタリアの戦車が多いですね。聖グロリアーナほどではないですが、車輛には少し保守的かもしれません
オセロット,聖グロリアーナ...イギリス風のあそこか
カズ,あそこはイギリス戦車しか扱わないというしな
オセロット,とはいえ、第二次大戦終結までに生産されたイタリアの戦車は限られているし、あまり強力な戦車もない。戦車道の実戦で有効なものに絞れば、M13/40カルロ・アルマートくらいか。P40も流通量が少ないなら追加も難しい
カズ,CVは8mm機銃しかないから、89式の装甲でさえ歯が立たんし、セモヴェンテもそれほど数はない。おまけに固定砲塔...どうする？
スネーク,ドイツ製の車輛は採用しないのか？
兵士A,ドイツ製の車輛は採用しないのかい？
アンチョビ,検討はしたんですが...
カルパッチョ,高くて...
一同,ああ...
カズ,資金と燃料・弾薬はもう心配いらんし、従来の車輛を強化して、そこに新しい戦車を配備して戦力の底上げを図っていく方針で良いだろう
オセロット,それでいいか？
アンチョビ,どうだ？
カルパッチョ,ええ、お願いします
スネーク,決まりだな
兵士B,決まりですね
カルパッチョ,パンターGの新規配備分・セモヴェンテ・CV輌の追加配備とその他改装パーツの発注書類を確認して頂けますか？
オセロット,もう出来たのか。仕事が早いな
カルパッチョ,ドゥーチェも引退しましたし、皆のためですから
オセロット,そうか...よし、問題ない。これで発注しておくぞ
カルパッチョ,ありがとうございます。ではこれで、失礼します
カズ,どうだ？彼女は
オセロット,非常に優秀だ。あとは今後に期待だな
カズ,そうか。で、パンターを導入することになったのか
オセロット,ああ。パンターG型を5輌、セモヴェンテを2輌、それからCVを1輌と改装パーツを発注することになった。かなりの出費だが、GMPにはまだ余裕がある
カズ,ダイアモンド・ドッグズの収入はかなり安定しているからな...MSF時代と比べてもそれほど遜色はない
オセロット,日本の、それも高校に出資なんて昔じゃ考えられなかったんじゃないのか？
カズ,それもそうだな
オセロット,パンターG5輌、セモヴェンテ2輌、CV1輌その他改装パーツ...よし、確かに受領した
業者,はい、ご利用ありがとうございました～
カズ,さて、格納庫へ移そう。勝手が違うからある程度動かし方を覚えてもらわんとならんし
オセロット,編成も組み直さなくちゃならんだろうしな。今日の授業もその辺の準備に追われそうだ
カズ,戦車道履修者は、引退したアンチョビを除いて全員で41人...一年生が入って68人か。去年よりも増え幅は小さいな
オセロット,これから増えるさ。パンターの乗員は5人だから、パンター中心の編成なら25人はそっちに割かれるな
カズ,セモヴェンテの乗員は3名。今の保有台数は5輌。15人割かれて残りは27名
オセロット,P40は4名割かれる。残り23名
カズ,CV7。それでも9名は余るし、18輌も使えるのは決勝だけ...戦力の大幅な増強はできたが、制限はあるし戦車も少し足りないのがネックだな
オセロット,それも戦車道なんだろうさ。しかし、こうなると試合に全員は出られんな
カズ,それは仕方あるまい。アンツィオに限った話じゃない。いずれ戦車も買い足さないとならんかもな
オセロット,まあ、運用の判断と編成は隊長の仕事だがな
ペパロニ,いいぞー！クレーン降ろせー！
アンツィオ生D(以下ジャンドゥーヤ),まだダメですよ！8mm機銃外せてないですから！
ペパロニ,あれ、そうだっけ？
ジャンドゥーヤ,(この人私を殺す気なんだろうか)
カルパッチョ,どう？できた？
ジャンドゥーヤ,！あっ、外せました
カルパッチョ,それじゃ換装始めましょう
ジャンドゥーヤ,クレーン降ろして！
フランジェリコ,はいよー
20mm対戦車機銃,
ペパロニ,よっ、と
カルパッチョ,あとは車体を組み直しておしまいね
ペパロニ,そういや火炎放射器搭載型もあったよな、これって？
ジャンドゥーヤ,実際に見たことはないですね
ペパロニ,実弾より撃ったときの気分はいいかもな
ジャンドゥーヤ,ルール的にダメじゃないですか？カーボンだって燃えちゃうでしょ
戦車兵A,いいか、パンターの動かし方と特性は...
戦車兵B,陣形は...だ。といっても今日はまだ基本的な操縦訓練と射撃訓練だけだが
兵士B,～というわけだ
オセロット,よし！実際に動かしてみろ！
アンツィオ生たち,はい！
グリッシーニ(操縦手),うちでパンター乗るなんて思ってもみなかったね
アンツィオ生H(装填手、以下バローロ),砲弾重いなぁ
アンツィオ生I(砲手、以下フリット),照準器は見やすいけど、回転砲塔に慣れるまで時間かかりそう
アンツィオ生J(車長、以下ソアーヴェ),すぐ慣れるよ。大丈夫
アンツィオ生K(通信手、以下ランプレドット),えーと、周波数はっと
アンツィオ生一同,Si!!
カルパッチョ,では30分間の休憩後、射撃訓練を行います。おやつ用意！
ペパロニ,今日のおやつはアフォガードだぞ！
アンツィオ生一同,やった～❤❤
アンツィオ生L(以下マルサラ),んーおいし❤濃いめのコーヒー最高❤❤
スネーク,ではこれより、CQCの教練を開始する！
兵士A,これよりCQCの教練を開始する！
アンツィオ生たち,はい！
スネーク,拳銃の持ち方はこうだ。左手にナイフを持つことで、発砲とナイフファイトを即座に切り替えられる。拘束の仕方は...
兵士A,～というわけだ。では実際に見てもらおう。ボス、お願いします
スネーク,フン！
兵士A,ぐわぁあああ
スネーク,じゃあみんな、やってみろ。ゆっくりやるんだぞ。あまり強く叩きつけるな
兵士A,じゃあやってみよう。ゆっくり、あまり強く叩きつけないように
戦車兵A,動体目標に向かってそのまま狙っても弾は当たらん！動いているからだ。そこであらかじめ目標の動きに合わせて撃つ！これを偏差射撃という
戦車兵B,走行しながらの射撃を行進間射撃というが、現実でそんなもんに成功した例はない。打ち方はジジイの小便みたいなもんで構わんからキッチリ止まってから当てろ！特にパンターの主砲ならマウスみたいなデカブツでもない限りどこからでも抜けるからな！
戦車兵C,まずは静止目標からでいい、命中精度を上げろ！さっき教えた通り、シュトルヒ計算を体に覚えこませるんだ！
兵士B,～だ！では実際にやってもらう！総員準備しろ！
カルパッチョ,射撃訓練開始！
ソアーヴェ,撃て！
フリット,ううｯ、セモヴェンテよりズドンと来るなぁ
ソアーヴェ,当たってるから大丈夫。次急停車から撃って！車体の反動が収まってからね！
フリット,Si!
バローロ,はいッ次！
グリッシーニ,よっと
ソアーヴェ,撃て！。また命中！すごいね
ペパロニ,CVってこんなに速かったか？
ジャンドゥーヤ,不整地では15kmくらいしか出ないはずなのに、妙に速くないですか
ペパロニ,まっ、いいか。Spara!
ジャンドゥーヤ,8mmとは比較にならない音ですね
整備兵B,ちょっと出力上げすぎたかな？
整備兵A,車体耐えられんのか、あれ
パンチェッタ(操縦手),P40、久しぶりだなぁ
カルパッチョ(車長兼装填手),車長として乗るのは初めてね
パスティエーラ(通信手),そういえばそうね。初陣で故障して以来ずっと置いたままだったもんなぁ
ピカタ(砲手),あたしらはドゥーチェの時から乗ってるから、まあ慣れてるけど
カルパッチョ,慣れは心強いけど、同時に恐ろしいわ
ピカタ,えっ？
カルパッチョ,試してみましょう。Spara！
ピカタ,あっ、外した
カルパッチョ,停止射撃は確実に当てて！撃った時点でこちらの居所はバレるから命取りよ！。慣れててもこういうことはあるの！
ピカタ,ごめん！
パンチェッタ,しっかりお願いね～
カルパッチョ,みんな今日はお疲れ様でした！パンター組は新しい戦車で慣れないかもしれないけれど、よく頑張ってくれました。明日からおやつを三度に戻します！
一同,やった～！！！
カルパッチョ,それでは今日の練習を終わります！気をつけ！礼！
一同,ありがとうございました！
カズ,練度の方はどうだ？
戦車兵A,ええ、飲み込みは非常に早いですね
戦車兵B,あとは今後の運用を見ていきましょう
戦車兵C,士気は元来高いようですから、そこをパンターの火力と技量で補強していきたいですね
スネーク,順調に進んでいるようだな
戦車兵s,ボス！お疲れ様です！！
スネーク,楽にしていい
カズ,スネーク。CQCの教練はどうだ？
スネーク,みんなそれなりに筋がいい。レンガや地面ではやるなと厳命する必要があったが
オセロット,...(あんたがそれを言うか？)
カズ,おおかた順調に進んでいるようだな
オセロット,ああ、そろそろ練習試合を考えているんだが
カズ,明日にでもカルパッチョと相談してみよう。ちなみにどことだ？
オセロット,大洗と
カズ,あそこか。勝てるか？
オセロット,あいつら次第だ
カルパッチョ,大洗と練習試合ですか
オセロット,そうだ
カルパッチョ,いつですか？
オセロット,土曜日ごろを想定している
カルパッチョ,わかりました、それまでに仕上げましょう
オセロット,頼んだぞ
カルパッチョ,土曜日は大洗と練習試合が決まりました！。みんな知っての通り、私たちは去年大洗に敗れました。だけどあれから私たちは訓練を重ねて、あの時以上に成長したはずです。大洗との練習試合に備えて、これまでやってきたことをさらに積み重ねていきましょう！。"ドゥーチェ、勝ちました"と胸を張って言えるように！
アンツィオ生一同,Si!!
カルパッチョ,ではブリーフィングを開始します。今回の作戦は二つです。去年の大洗戦で行ったマカロニ作戦は残念ながら失敗しました
ペパロニ,
カルパッチョ,しかし、一度失敗した作戦を二度も使うとは向こうも考えていないはずです。その心理的な隙を利用します。精巧なデコイを用いた第二次マカロニ作戦。名付けて既視感作戦です。アウター・ヘヴン社の支援を受け、私たちの懐事情は好転しました。資金繰りだけでなく、技術も。単なる看板ではなく、エンジン音を発するバルーンのデコイを用意しましょう。置きすぎないよう、携行する数は定数だけで。それらを要所に配置し、足止めをし...。包囲してパンターとセモヴェンテの火力で叩きます。今の私達ならできます。そこで撃ち漏らしが出た場合、CV数輌で機銃掃射しつつ誘導してください。再び包囲します。こちらは名付けて。ミニミニ大作戦です
アンツィオ生一同,
カルパッチョ,それではグラウンドに移って作戦演習をしましょう。...お昼の時間か、しょうがないわね
ペパロニ,屋台の準備だー！
パンチェッタ,いそげー！！
アンツィオ生一同,おー！！
カルパッチョ,...はあ
カズ,大変そうだな
カルパッチョ,...まあ、いつものことです。自分の気持ちに素直なのはいいことなんですけどね...
ジャンドゥーヤ,この気持ちを少しでも試合に向けてくれればなぁ、ってドゥーチェも言ってましたね
カズ,ともあれ、食事は大事だ。昼飯を食べに行こう
ジャンドゥーヤ,デコイ、意外と重いなぁ
ペパロニ,こんな箱がマカロニなのか？
ジャンドゥーヤ,これ自体じゃなくて、この中に入ったバルーンがマカロニなんですよ
ペパロニ,へぇ。もう絵描かなくてもいいんだな
カルパッチョ,スピードが勝負です。大洗が街道に到達する以前に設置を完了していなければならず、またパンターとセモヴェンテの連隊も所定の位置に着いていなければなりません。それから…。___今回の大洗戦ブリーフィングは以上です。次に、識別のためにそれぞれの車輛の搭乗員編成と車輛毎のコードネームを通達します。まずはパンター5輌から。１号車、アマレットを車長とした砲手ガリアーノ、装填手カプレーゼ、操縦手ミネストローネ、通信手カンパリの車輛を____。蝶(ﾓﾙﾌｫ)。2号車は車長をモルタデッラ、操縦手フランジェリコ、砲手マルサラ、装填手ラビオリ、通信手ロゼッタの車輛を__。狼(ﾙｰﾎﾟ)。3号車は車長をソアーヴェ、砲手フリット、操縦手グリッシーニ、装填手バローロ、通信手ランプレドットの車輛を___。烏(ｺﾙｳﾞｫ)。4号車は車長をリモンチェッロ、砲手グラッパ、装填手ボネ、操縦手ロマーナ、通信手マリナーラの車輛を___。蟷螂(ﾏﾝﾃｨｰﾃﾞ)。5号車は車長をブルスケッタ、砲手アランチーニ、装填手カファレル、操縦手カルツォーネ、通信手ピアディーナの車輛を___。蛸(ﾎﾟﾙﾎﾟ)。パンター5輌の通常編成は以上ですが、試合によっては全員が出られるわけではありませんのでそのつもりでいてください。次にセモヴェンテの編成を発表します。1号車は、車長兼装填手をスプリッツ、操縦手をセミフレッド、砲手兼通信手をバルドリーノとした車輛を___。狐(ｳﾞｫﾙﾍﾟ)。2号車は、操縦手をブカティーニ、砲手兼通信手をペンネ、車長兼装填手をカネロニとした車輛を___。蛇(ｾﾙﾍﾟﾝﾃ)。3号車は、操縦手をクレシェンティーナ、砲手兼通信手をコッパ、車長兼装填手をラルドとした車輛を___。山猫(ｶﾞｯﾄﾊﾟﾙﾄﾞ)。4号車は、車長兼装填手をボスカイオラ、砲手兼通信手をニョッキ、操縦手をタリアテッレとした車輛を___。蜂(ｱｰﾍﾟ)。5号車は、車長兼装填手をパンツァネッラ、砲手兼通信手をクロスティーニ、操縦手をリゾットとした車輛を___。蛙(ﾗｰﾅ)。それからP40の編成です。車長兼装填手を私、砲手をピカタ、通信手をパスティエーラ、操縦手をパンチェッタとします。コードネームは____。蠍(ｽｺﾙﾋﾟｵｰﾈ)。最後にCV各車の編成を通達します。車長兼砲手をペパロニ、操縦手ジャンドゥーヤの車輛を"トム"。車長兼砲手をリコッタ、操縦手をゴルゴンゾーラの車輛を"ハリー"。車長兼砲手をヴェルミチェッリ、操縦手をラザニアの車輛を"ディック"。車長兼砲手をプロシュット、操縦手をブレサオーラの車輛を"ヴァンキッシュ"。車長兼砲手をムルスム、操縦手をヴィンサントの車輛を"ピューパ"。車長兼砲手をキャンティ、操縦手をノヴェッロの車輛を"クリサリス"
クリサリス,車長兼砲手をアペロール、操縦手をマラスキーノの車輛を"コクーン"
カルパッチョ,CVの搭乗員編成とコードネームは以上の通りです。通達を終わります。ではこれにて解散！
一同,お疲れさまでした！
カルパッチョ,...ふぅ
オセロット,まだ残っていたのか
カルパッチョ,あら、アダムさん。車輛毎のエンブレムデザインがまとまらなくて残っていたんです
オセロット,エンブレムか...。シンプルなものでいいと思うぞ
カルパッチョ,そう思ってはいるんですが、なかなか...
オセロット,よければうちでエンブレムのデザインを持ってきてやろうか？
カルパッチョ,えっ？
オセロット,うちはそういう部署もある。車輛のコードネームに合ったエンブレムがあればいいんだな？
カルパッチョ,はい、お願いします。すみません、何から何まで...
オセロット,気にするな。そういう契約だ
カルパッチョ,各車、コードネーム毎にエンブレムを配布します。車体右側面の校章を外し、装着してください
ペパロニ,アンツィオの校章外すのかよ？
カルパッチョ,右側面だけよ。車輛の識別証だから、着けなくちゃ
ジャンドゥーヤ,あの、やっぱりどっちも外したくないっていうか...
カルパッチョ,言いたいことはわかるわ。でも。校章(ﾏｰｸ)を消しても、思い出は消えないわ。これは私達の新しい始まりの証でもあるの。だから着けてほしい
ペパロニ,着いたぞー！
ジャンドゥーヤ,あれが大洗ですか～
クレシェンティーナ,結構大きな街ね
カルパッチョ,さて、行きますか
パンチェッタ,ちょっと、シートベルト忘れてるよ
カルパッチョ,ああ、うっかりしてたわ
パンチェッタ,緊張してんの？落ち着きなよ、隊長
カルパッチョ,ふふ。ごめんね。じゃ、行きますか
パンチェッタ,うん。掴まってなよ。クルマは用意できてるよ、乗って
カルパッチョ,ありがとう。お久しぶりです、みほさん
みほ,お久しぶりです、カルパッチョさん。その節はどうもありがとうございました。アンチョビさんにもよろしく伝えてください
カルパッチョ,いえいえ。それよりも今日はありがとうございます。また大洗と対戦できるなんて嬉しいです
みほ,そんな、とんでもないです
カルパッチョ,今度は負けませんよ。私たちもあれから訓練を積んできましたから
みほ,はい、それはこちらも同じです。今日はお互い悔いのない戦いにしましょう！
カルパッチョ,今回は殲滅戦よ。大洗の編成は大学選抜戦とあまり変わらないみたいね
ジャンドゥーヤ,えーと、Ⅳ号、八九式にⅢ突、M3リーと三式、ヘッツァーにルノーB1Bis、そしてポルシェティーガー
