惠,前略
Ｆｒｏｍりっちゃん,女神
亜美,……
伊織,……
亜美,りっちゃん……
伊織,真正面から受け止めて、正々堂々反撃してきたわね……
亜美,慌ててないね……
伊織,むしろこっちが慌ててきたわ。私のメールもこんな感じなのよね……？
亜美,と、とりあえず見てみよーよ！うん、それから考えよう！
伊織,え、ええ、そうするわ。……
亜美,……
伊織,まじめ過ぎるのよ、律子……
亜美,うわうわうわ～、チョー恥ずかしいっしょ！イタズラでしかないのに！
伊織,恥ずかしがってる律子が見たかったのに、どーして私達が赤面してるのよ……
亜美,りっちゃん、亜美達のこと大好き過ぎだよ！
伊織,……ねぇ、亜美、どうしようかしら
亜美,明日、全力でダイスキーで乗り切ろう！それっきゃないよ！
伊織＆亜美,！！！
律子,あ、やっぱりいた
亜美,り、りっちゃん！
伊織,りりり、律子、なんでここに！？
律子,小鳥さんにレッスン場を伊織が使ってるって聞いたから、もしや、と思ってね
亜美,そ、そうなんだ。でも、休みなんだから来ちゃだめだｙｏ！
伊織,そ、そうよ！あれだけ休めって、言われてたのに！かえりなさーい！
律子,あんなメール送ってきておいて？
亜美,……
伊織,……
律子,その様子だと、イタズラだったみたいね。良かった……
亜美,ごめんよー、りっちゃーん
律子,はいはい、わかってるわよ。なんとなくそんな気がしたから
亜美,ばればれだったか、さすがりっちゃんだｙｏ！
伊織,いつから気づいてたの？
律子,うーん、伊織から最初のメールからちょっと考えてたかな。本当に思ってるなら、正面から言うでしょ、伊織は
伊織,まぁ、そうね。よく分かってるじゃない
律子,次に来た、亜美からのメールで確信したわ。それで、小鳥さんに聞いてみて、ここに来て見てビンゴ
伊織,律子の方が上手だったわね、亜美
亜美,そうだね、いおりん
律子,ま、嘘でよかったわ。二人ともこれからも仲良くね
伊織,言われなくてもわかってるわよ
亜美,じゃあさー、りっちゃん？
律子,なに？
亜美,気づいてたのに、あのメールはどしたの？
伊織,こっちが恥ずかしくなったわよ！あんなメール返す余裕あるくらいなら、すぐに来なさいよ！
律子,あー、あれね、実はちょっと考えてたのよ。あなた達もまだまだ子供だし、こういうこともあるんじゃないかって
亜美,むむっ、そこまでか
律子,そんなことはなかったけどね。でも、これだけは言わせてね、書いてあったことは全部本心だから
伊織,……
亜美,……
律子,な、なによ？
伊織,ここにきて、さらに追い打ちをかけるんじゃないわよ！
亜美,りっちゃん、凄いよぉ……
伊織,じゃあ、さっきのメールに嘘偽りはないわけね？
律子,もちろんよ
伊織,これから、亜美と買い物に行くところだったのよ。レッスンはついで。律子にもショッピング、いくわよね？
亜美,一緒にあそぼーよ、りっちゃーん！
律子,もちろん、そのつもりで来たんだから。ディナーまでふるまっちゃうわよ！
亜美,やったー、りっちゃん、ふとっぱらー！
伊織,善は急げ、よ。着替えてきましょう、亜美
亜美,アイアイサー、待っててね、りっちゃーん
律子,はーい
伊織,それと
律子,なに？
伊織,３人で竜宮小町じゃないわよ、律子も入れて４人で竜宮小町なんだから、そこは間違えないでよね！
律子,……ありがと、伊織
伊織,にひひ♪じゃ、待ってて
律子,……あのメールだけど、誰にも言わないでね？
伊織,今さらになって恥ずかしくなったきたの？
律子,あ、あんた達のせいでしょうが！見つけるまで不安だったんだから！
伊織,でも、竜宮小町は情報共有が大切！ね、亜美
亜美,もうあずさお姉Ｃ
律子,あーみー！
亜美,うわうわ、こりゃ女神から鬼に逆戻りだよー
律子,鬼？
伊織,登録名がねー
亜美,言わないでー、いおりん！
あずさ,ねぇ、律子さん
律子,どうしました、あずささん？
あずさ,……
律子,あの、大丈夫ですか……
あずさ,律子さんも若い子がいいんですね。あの二人をあんなにかわいがって、前も一緒に出かけたって……私はやっぱりいらないんだわ！
律子,あ、あずささん、そんなことは、ん？
亜美,うふふ……
伊織,にひひ……
律子,アンタ達～、あずささんに何吹き込んだのよ！
りっちゃん,女神
