新田弟,以下弟表記
弟,よし、まずは作戦立てないと。今までアーニャさんを前にすると、緊張してなにを言えばいいのかわからなくなっていたから……そうだ、あらかじめ何を言うか台本を作っておこう。なぜこんな名案に半年以上気づかなかったんだろう。馬鹿だな俺は。そうと決まればさっそく！。こんにちは。好きです、付き合って下さい……は、いくらなんでも早すぎるし段階すっ飛ばしすぎだな。こんにちは。あなたのことをお慕い申し上げております……丁寧になっただけだな。こんにちは。突然ですが僕の部屋に来ませんか……うん、そうだな。まずは俺の陣地に招き入れて状況を有利に。……引かれるのがオチだな。はあ
美波,なにしてるの？
弟,なにって、計画を……ぬおわっ！？
美波,わ、びっくりした
弟,な、なななんで俺の部屋にいるんだよ！
美波,だって、お風呂沸いたよって何度言っても返事しないんだもん。だから勝手に入ってきちゃった
弟,そ、そうなの？それはごめん
美波,ところで、なに書いてたの？すっごい一生懸命だったみたいだけど
弟,べ、べつに。ただの宿題だよ
美波,ふーん……本当？
弟,本当だよ。ていうか、姉ちゃんには関係ないだろっ
美波,それはそうだけど。でも、相変わらずね。ひとつのことに熱中してると、周りの声が聞こえなくなるクセ
弟,直した方がいいとは思ってるんだけどな……
美波,いいじゃない。これだって決めたことには集中できることの証明なんだから。いいところだよ
弟,そ、そうかな
美波,そうだよ
弟,そっかそっか。あはは
美波,うんうん。で、なに書いてたの？
弟,どさくさ紛れに聞き出そうとしても無駄だよ
美波,ちぇー。まあいいわ、とりあえずお風呂入ってきて
弟,はーい。とはいえ、この癖は直さないとな。姉ちゃんに勝手に部屋に入ってこられ続けたら、いつかとんでもないものを見られる可能性だってあるし
トレーナー,はい、それじゃ今日のレッスンはここまで！
美波,アーニャちゃん、ちょっと聞きたいことがあるんだけど
アーニャ,シトー？
美波,えっと、アーニャちゃんの学校に、私の弟がいると思うんだけど
アーニャ,ダー……います。クラスメイトです
美波,どうかな？普通に話したりしてる？
アーニャ,………
美波,……どうかしたの？
アーニャ,ミナミの弟……あまり私と話してくれません。あいさつをしても、すぐに目をそらしてしまいます……言葉も、無理して出しているみたいで
美波,そうなんだ……
アーニャ,私、嫌われているのかもしれません……
美波,そ、そんなことないよ。アーニャちゃん、いい子だもん
アーニャ,ミナミ……スパシーバ
美波,あの子、どうしてアーニャちゃんにそんなことを……まさか。外国の人、苦手なのかな？
弟,………。昨日の夜からずっとアーニャさんへのセリフを考えていたら、頭の中があの人のことでいっぱいになってしまった。……いかん、ムラムラしてきた。しょうがない。抜くか。えっと、前に買った、アーニャさんの水着姿が載ってる雑誌は……っと
美波,お昼のこと、気になるし早めに聞いておこう。入っていい？。………。あれ、また返事がない
弟,アーニャさん……アーニャさん……！。くっ……そろそろ出そうだ
美波,おーい。………。んもう……入るよ？
弟,ラストスパート！。あ、ページがめくれた
美波,もう、何度もノックしてるのに――
弟,ぬわっ、姉ちゃん！？。しまった、びっくりしたせいでロケットが発射しちまった！
美波,………え？
弟,ね、姉ちゃんの目の前で、出すもん出したままこんな醜態を……ああ、死にたい
美波,あ、あなた、それ
弟,………。ごめん、なにも言わないでくれ。生理現象なんだ。三大欲求なんだ
美波,あ、は、はい。わかりました……
弟,……部屋、出て行ってくれる？
美波,う、うん
弟,……はあ。やっちまったなあ。とんでもないもの見せてしまった
美波,とんでもないもの、見ちゃった……
弟,まさか姉ちゃんがあんなタイミングで入って来るとは
美波,まさかあの子があんなことをしているなんて……。まさか……
弟,……あ。ページめくれたせいで、姉ちゃんが写ってるところにぶっかけちゃってる……。まあいいか
美波,まさか、あの子が私のことをそんな目で見ていたなんて……。これからどんな顔をして接したらいいの……？
弟,おはよう
美波,お、おはようございます
弟,……なんでそんなに他人行儀？
美波,い、いえいえ。なんでもないですよ？
弟,さりげなく俺と距離を置こうとするのもなんで？。あー……もしかして、まだ昨日のこと気にしてる？
美波,……ご、ごめんね。パパやママには言ってないから
弟,うん。まあ、言ってもはは、あいつも年頃だからなで済むと思うけど
美波,え、そんな軽い話なの！？
弟,そりゃあね。あんなもの見せちゃった俺が言うのもアレだけど、あれくらいみんなやってるから
美波,み、みんなお姉ちゃんをオカズにして
弟,うん。みんなエロ本をオカズにして。普通だよ、普通
美波,そ、そうなんだ……お姉ちゃん、知らなかった
弟,姉ちゃんは清純派だからなあ
※今さらですが、美波は実家暮らしという設定で書いています,過去のどこかで新田家が広島から東京に引っ越してきたということで
美波,………
未央,おーい！みなみーん！
美波,……あ、未央ちゃん。こんにちは
未央,どしたの？なんか反応薄いけど
美波,……未央ちゃん、確か弟がいたわよね
未央,弟？うん、いるよ。生意気なのが
美波,その子って……未央ちゃんのこと、好き？
未央,さあ、どうだろうねー。嫌われてはないと思うんだけど
美波,そうなんだ。……あの、ムラムラしたりとかは
未央,………は？
美波,う、ううん！なんでもない！それじゃあね
未央,あ、ちょっとみなみーん！。行っちゃった……。ムラムラって……そーいう意味でのムラムラ？
母,最近美波が元気ないみたいだけど、あんた何か知らない？
弟,姉ちゃんが？そういや、晩飯の時も上の空だったりするな
母,でしょう？本人に聞いてもなんでもないの一点張りだし。アイドルのお仕事で何かあったのかしら……
弟,かもなあ。俺のせい……ではないよな。いくら姉ちゃんが清純派でも、もう大学生だぞ。弟のアレを見たくらいで何日も引きずったりしないだろ
美波,一度きっちり話をしたほうがいいのかしら……。お姉ちゃんにそういう気持ちを持つのはよくないよって。でも、何を思うかは人の自由だし……お姉ちゃんなら、優しく受け止めてあげるべきなのかも。受け止めるとしたら、どうすれば……。………。な、なにを考えてるの私！？そんなエッチなこと……！。あ、明日はアーニャちゃんが遊びに来るし、もう寝ましょう
アーニャ,お邪魔します
美波,どうぞ、あがって
母,狭い家だけど、ゆっくりしていってくださいね
弟,ほ、ほほ本日はお日柄もよく
母,あんたなんで休みの日に制服着てるの
弟,い、いいだろ別に。ファッションに迷ったあげくこうなったとは恥ずかしくて言えん
美波,アーニャちゃん。私の部屋、こっちだから
アーニャ,ダー。料理のバリエーション、増やしたいです
弟,……あ、あの
アーニャ,？
弟,……な、なんでもないっす
アーニャ,………？
弟,自分の部屋に戻ってきた。さすがに姉ちゃんの部屋に一緒にいくわけにはいかないしな……いや、待てよ。そうだっ
母,さて、お茶とお菓子でも持って行ってあげましょうか
弟,それ俺がやる！
母,え？
弟,たまには親孝行しないとな！
母,じゃあ、お願いするけど……こぼしちゃダメよ？
弟,わかってるって
母,……どうしたのかしら
弟,お飲物をお持ちしました！
美波,ありがとう……息切れしてるけど、どうしたの？
弟,い、一秒でも早く味わっていただきたく……
アーニャ,スパシーバ……ありがとうございます
弟,。い、いえいえどうってことありませんよあはははは
美波,さらに呼吸がおかしくなってるよ？
弟,こ、これが休日のアーニャさん。私服のセンスもいいな。姉ちゃんといるとリラックスできるんだろうなあ。で、では俺は失礼します
美波,あ、ちょっと
弟,いつまでもいたら邪魔になるので
美波,そうじゃなくて。前見て歩かないと頭ぶつけるよって言おうとしたんだけど
弟,いててて……。お茶、持って行ったよ
母,ご苦労様……どうしたの？おでこ赤くして
弟,ちょ、ちょっとね。クールに去ってポイント稼ごうと思ったんだけど、無駄になったなぁ
アーニャ,ミナミの弟さん、家ではいつもあんな感じですか？
美波,いつも、ではないけど……たまにドジな時はあるかも
アーニャ,そうですか。……面白い人、ですね
美波,あら、意外と好印象
弟,………。部屋に戻って30分くらい経ったが、そろそろ料理始めてる頃かな。ちょっと様子を見に行ってみるか
美波,今日は肉じゃがに挑戦してみましょう
アーニャ,ダー。よろしくお願いします、ミナミ先生
美波,頑張ろうね
弟,～～♪
美波,あら、どうしたの？
弟,ちょっと飲み物取りに来ただけ
美波,そう
アーニャ,………。炭酸、好きですか
弟,えっ？
アーニャ,炭酸ジュースを選んだみたいだから……違いましたか？
弟,い、いえっ。好きです、はい
アーニャ,また、視線を合わせてくれませんね……
弟,じゃ、じゃあ俺、部屋に戻るから
美波,アーニャちゃん、包丁さばき上手ね
アーニャ,小さい頃から、ボルシチ作っていましたから
弟,トイレトイレ
美波,野菜も切り終わったし、そろそろ本番ね
アーニャ,頑張りましょう
弟,トイレトイレ
美波,うちの味付けはちょっと甘めなの
アーニャ,私も、甘い味は好きです
弟,トイレトイレ
アーニャ,………。ミナミ。弟さん、頻尿、ですか？
美波,ち、違うと思うよ？。なにしてるのかしら、あの子……。まさか、私の手作り料理が気になって……やだ、どうしよう。そこまでお姉ちゃんのこと……
アーニャ,ミナミ？
美波,はっ！な、なんでもないよ。続きやろう？
アーニャ,ダー……？
弟,よし、自然な感じで様子を観察できたな。この調子なら、おいしい肉じゃがができそうだ。漫画でも読んで気分を落ちつけよう。はーい
美波,ちょっといい？
弟,姉ちゃん、どうしたの？料理は
美波,今、アーニャちゃんひとりに任せてるから。それより……さっきから不自然に台所の前を通っていくのはなんなの？アーニャちゃん、気にしてたよ？
弟,あれ、不自然だった？
美波,あれが自然だと思う人はいないと思う
弟,マジか
美波,ちゃんと否定しないと、あなたアーニャちゃんの中で頻尿ってことになっちゃうよ？
弟,とんでもないことになってるじゃないか
美波,………。前から聞こうと思っていたんだけど、アーニャちゃんのこと嫌いなの？
弟,は、はあっ！？なんで嫌いになるんだよ
美波,だって、あなたアーニャちゃんとまともに話もしないらしいじゃない。アーニャちゃんから聞いたよ？
弟,そ、それはその……いろいろと事情が
美波,事情って？
弟,………
美波,………？どうして黙るの？
弟,言いづらい
美波,そう……私に言いづらいなら、本人にだけでも言ってあげて、理由
弟,ほ、本人！？無理無理、それが一番無理！
美波,そんなこと言っても、アーニャちゃん、あなたに嫌われているのかもしれないって落ち込んでいたんだもん。このままだとかわいそうだよ？
弟,あ、アーニャさんがそう言ってたの？
美波,ええ
弟,なんてことだ……
美波,……確認するけど、アーニャちゃんが嫌いってわけじゃないのね
弟,うん
美波,じゃあ、どうしておかしな態度をとるの
弟,それは、その……だから
美波,え、なに？
弟,……だから
美波,もっと大きな声で言ってくれないと
弟,だから。好きだからだよっ！！
美波,ひゃんっ
弟,一目みてキュンと来ちゃったんだよ、あの子に！だから恥ずかしくてまともにしゃべれないの！。何度練習しても緊張してガチガチになって！それでも諦めきれなくて、結局妙な行動とっちゃって！。自分でも悲しくなるけどしょうがないんだ。嫌いどころか、大好きな女の子だよ！！
美波,大好き……
アーニャ,アブリフチェーニイ……安心しました
弟,うわああっ！アーニャさん！？
美波,あ、アーニャちゃん？台所は
アーニャ,煮汁、もうなくなりました。火も消してます。様子を見に来たのですが……うれしい言葉、聞けました
弟,うれしい言葉って……
アーニャ,私のこと、嫌いじゃなかったんですね。安心しました
弟,ええ、それはもう。やばい、今の告白まがいのセリフ全部聞かれてたのか！
アーニャ,ミナミの弟さんなら、私もきっと好きになれます
弟,えっ……それってつまり
アーニャ,いい、友達になりましょう？
弟,ですよねー。これは、俺の好きの意味を勘違いしてるな……いや、勘違いされてるほうがいいから結果オーライなんだけど
アーニャ,……友達、ダメですか？
弟,い、いえいえ滅相もございません！。なりましょう！友達に！
アーニャ,フフ……やっぱり、楽しそうな人ですね
美波,……ねえ？
弟,ん、なに？
美波,アーニャちゃんは大好きで……ちなみに、私は？
弟,え、姉ちゃん？
美波,うん
弟,そりゃ、優しいから普通に好きだけど。うん
美波,普通に？
弟,普通に
美波,それだけ？
弟,それだけ
美波,………
弟,いはいいはい！なんで頬つねるのっ
美波,知りませんっ。いこ、アーニャちゃん！料理の続き！
アーニャ,あ、待ってください、ミナミ！。弟さん。また、あとで
弟,……呼び方は弟さんで固定なのかな。というか、開き直れば割と普通に話せるもんだな。状況が状況だったからあれだけど。なんにせよ、友達……友達だ。やった！やったぞ！。なんか姉ちゃん怒ってたけど、まあいいか！あとで話聞こう
アーニャ,ミナミ？どうしましたか？
美波,別に。アーニャちゃんには関係ないことだから
アーニャ,そうは言っても、笑顔が怖いですよミナミ……
美波,あの子が好きなのはアーニャちゃん。ということは、私は……私の写真であんなことをしていたのは。か、身体だけが目当てだったのね……！。私の悶々とした時間を返してっ。んもうっ
アーニャ,ミナミ……？
弟,うん、おいしい！
母,ちゃんと味が中まで染みてるわ。上出来ね
美波,よかったわね。アーニャちゃん
アーニャ,ダー。おいしくできて、よかったです
弟,これだけおいしいの作れるなんて、アーニャさんはきっと料理の才能があるに違いない
アーニャ,スパシーバ……でも、少し照れますね
弟,照れ顔もかわいいなあ
美波,コホンッ！私も一緒に作ったんだけど
弟,あ、うん。姉ちゃんも上手だよね
美波,つーん
弟,まだ怒ってる……なんでだろう
アーニャ,………。ミナミと弟さん、仲良しではないのですか？
美波,え？えっと、別にそういうわけじゃ
アーニャ,悲しいです……
弟,………
美波,………
弟,そ、そんなことないよ！俺達たいがい仲良し姉弟だもんな！
美波,そうだよね！仲良しですもの！
アーニャ,ハラショー……仲良きことは美しきかな、です！
母,アーニャちゃんはいい子ねえ
弟,その日以来、俺はアーニャさんと学校でも普通に会話できるようになった。まだ緊張はするものの、言葉を発するぶんには特に問題ないレベルに収まっている。これで、クラスにおける高嶺の花へ一気にお近づきになれる！。……と、思っていたんだけどなあ
アーニャ,弟さん？どうかしましたか
弟,ううん、なんでも。それで、なんの話だっけ
アーニャ,はい。この前ミナミと一緒にお昼を食べた時にですね――
弟,実のところ、俺と彼女の間の話題の8割以上が姉ちゃんのことである。そりゃ、学校で姉ちゃんがらみの話ができる相手なんて俺くらいしかいないのは確かなんだけど……それにしたって、この子は俺の姉が好きすぎる。まあ、ぶっちゃけ俺達の共通の話題なんてそれくらいしかないのも事実か。恋のライバルが姉ちゃんってことにはならないでほしいな……。そういえば、姉ちゃんの態度が最近おかしいんだよな。急によそよそしくなったりしてせわしないっていうか
アーニャ,？
弟,姉ちゃんの忘れ物？
母,お弁当、そこのテーブルに置きっぱなしにしてあったわ
弟,………。弁当持って事務所に行く→事務所をうろつく正当な理由が生まれる→アーニャさんに会えるかもしれない。よし、俺が届けてくる！。ここが346プロ……中もめちゃくちゃ広いな。さて、アーニャさんはどこに
武内P,どうか、されましたか
弟,あ、はい……ってうおっ！？。いきなり背後から大男が現れた！
武内P,……迷っておられるようでしたので、声をかけさせていただいたのですが
弟,あ、はい。えっと、アーニャさ……じゃなくて。新田美波にお弁当を届けに来たんです
武内P,新田さんに？
弟,僕、あの人の弟なんです
武内P,そうでしたか……確かに、お顔が似ています
弟,結構、言われます
武内P,わかりました。このお弁当は、私が責任を持って新田さんにお届けします
弟,いいんですか？
武内P,はい。私は新田さんのプロデューサーですので
弟,プロデューサー……姉ちゃんの？。最近の姉ちゃんの話の中で、アーニャさんと神崎蘭子さんの次に話題によく出る人。本物は初めて見た。えっと、よろしくお願いします
武内P,はい。もちろんです。では、私はこれで
弟,あ……あの
武内P,なにか
弟,アーニャさんの……いえ、なんでもないです
武内P,そうですか。では、ありがとうございました
弟,……さすがにいきなりアーニャさんの場所を聞くのは怪しまれるよな。しっかし、すげー迫力だったな……一瞬その道の人かと勘違いしかけた。まさかの癒着かと思った。………。諦めて帰るかな
アーニャ,プリヴェート♪
弟,うわびっくりした！
アーニャ,イズヴィニーチェ、ごめんなさい。驚かせるつもりは……
弟,ああ、いや、気にしないで。今猛烈にラッキーだと思ってるから
アーニャ,ラッキー？
弟,なんでもない。今ちょうど、姉ちゃんの弁当をプロデューサーの人に渡してきたところなんだ
アーニャ,お弁当を……弟さんは、姉想い、ですね
弟,いやあ、それほどでも。このくらい家族として当然ですよ。学校ではなかなか二人きりになれないけど、今はまさにそのシチュエーション。言うか。言ってしまうか！。………
アーニャ,……弟さん？
弟,………
アーニャ,………？。私、行かなきゃいけないところがあるので、もういきますね
弟,………。よし！。聞いてください。俺、初めてあなたを見た時からあなたに惚れてしまったんです。CDはもちろん、あなたのことが載っている雑誌は全部買いました。ライブも小遣いと時間の許す限り行きました。あなたのことをずっと応援してきたつもりです。だから、えっと、その。……だ、大好きですっ！。と、とうとう言ってしまった！。気持ち悪いと思われるかもしれないけど、もうこうなったらヤケだ。………。………。あれ？反応がない
奏,………。あ、その……どうも、ありがとう
弟,。えええぇーー！？。な、なんでアーニャさんがいなくなって、代わりにプロジェクトクローネの速水奏さんがいるんだ！？。いえ、これはその
奏,とても気持ちのこもった言葉でした。ファンの方にそこまで言ってもらえると、うれしいな
弟,うわあ、今さら間違いでしたって言える空気じゃないぞ。奏さんのCDも持ってるけど、アーニャさんほど熱烈に応援してるわけじゃ
奏,これからも、応援よろしく。ね？
弟,
奏,それじゃあ、またね
弟,。……はっ！。いかん、美しさに思わずやられるところだった。俺はアーニャさん一筋！一筋！。………。今日はもう帰ろう
奏,♪
周子,どしたん？妙にゴキゲンみたいだけど
奏,さっき、男の子から熱烈な告白をもらっちゃった
周子,告白……まさか、愛の！
奏,違うわよ。ファンとして応援してくれているってこと
周子,なーんだ
奏,残念だったわね。……でも本当、あれだけ言ってもらえたら、アイドル冥利に尽きるっていうやつ？
周子,ほー……？。ちなみに、どんな子だったの？
奏,そうね。背は私より少し高いくらいだから、男の子にしては小さくて。どこかの誰かに似ているような気もするけれど。……かわいい子、だったわね
周子,おお、獲物をロックオンしたかのような目つき
弟,な、なんだ今の悪寒は。まるで誰かが、俺をいじったりからかったりしてやろうとしているかのような予感。……気のせいか？。まあいいや。どんな困難が立ちはだかろうと、俺はアーニャさんと仲良くなってみせる！。そして、ゆくゆくは――
通行人,おーい、ぼんやり歩いてたら電柱に頭ぶつけるよー？
弟,ありがとうございます。でももう少し早く言ってください……
美波,覚えてる？広島にいた頃に、家の近くにあった大きなお屋敷
弟,ああ。あの、やのつく人が住んでるんじゃないかって言われてた。そういえば、あそこにいた女の子と一緒に遊んだこともあったなあ
アーニャ,ミナミから聞きました。弟さんは……ミナミをエッチな目で見ているんですか？
弟,いきなり何言いだすんですか
アーニャ,ミナミはカワイイです！
奏,君、年下よね。やっぱりかわいい顔してる
弟,なんかエロい
美波,なんだか姉の威厳が奪われる予感がする……！
弟,ま、まさか君は、あの時一緒に遊んだ
巴,久しぶりじゃのう、新田の兄貴。元気か？
弟,アーニャさん！好きじゃあああ！！
