アイドル達から見た俺の印象は……,気のいいオジサン
亜美,えー何それー？ひょっとして遠まわしに愛のコクハクってやつ？
P,かもな
亜美,そーだねえ……。兄ちゃんがもう少しいい男になったらもらってあげてもいいよ！
P,そっかそっか。じゃあ頑張るよ
亜美,なるべく急ぐんだよー。亜美は人気者だから、モタモタしてると他の男に取られちゃうぜー！
P,それは非常に困るな
亜美,それに、亜美の気分も変わっちゃうかも
P,マジか。猶予はどれくらいですかね
亜美,亜美がトップアイドルになるまでだねー。亜美のジツリョクなら、あっと言う前だよ！
P,そりゃ大変だ。急がないといけないな
亜美,でもまー、亜美がいないと兄ちゃん寂しくって泣いちゃうしなー
P,ああ。毎日枕をびしょ濡れにする事になるだろうよ
亜美,全くぅ……。兄ちゃんは寂しんぼだなぁ……仕方ない。じゃあさ、それなら……さ！。亜美が、ずっと兄ちゃんの側にいてあげるよー！
P,おう。是非ともよろしくお願いします
