・みこりんのtwitter,公式企画
鹿島,ちょっと黙って見てて！
堀,なんだこれ、ゲームか？。どっか押しちまった…ん？…ルーム？
鹿島,めっちゃガン見してる…
堀,なるほど、自分で部屋をいじれるのか……。この家具はここに移動させて……あ、こうしたらもうちょっと……
御子柴,なんかすげー真剣にやってるぞ…
鹿島,先輩…やっぱりアイドルに憧れて…
堀,レイアウトするの面白いな
鹿島,せんぱーい！！
堀,うわ、鹿島！？どこから！？
鹿島,先輩ならきっとかわいいアイドルになれますよ！！私応援してまs
堀,テメェ部活サボってんじゃねぇよ！！
御子柴,先輩も今まさに部活そっちのけでスマホ触ってませんでした！？
堀,あ、まみ…こしば、このスマホお前のだったのか、返すわ
御子柴,どうも…あ、ルームが変わってる
堀,すまん、勝手にいじったぞ
御子柴,いや、大丈夫っす。というか、なんだかルームの雰囲気がすごくいい感じになってる…
堀,この部屋を作るゲーム面白いな、なんていうヤツだ？
御子柴,あー、一応メインは音ゲーなんですけど…
堀,そうなのか？
御子柴,かくかくしかじか
堀,なるほど、デレステか、こんなゲームだったんだな
御子柴,デレステはルームも凝れるし、他の人のルームも見に行けるから、それを楽しんでる人も多いですよ
堀,しかし、アイドルか…
鹿島,！！やっぱりやりたいんですか！？
堀,ちげーよ、次の演劇の題材にしてみてもいいかなって、ミュージカル風とかで。アイドルものが流行ってるってんなら、客も喜ぶかもだし
鹿島,アイドルって…歌う！？私が…！？無理無理！でも…。せ、先輩が望むのなら…！がんばります…！
堀,お、おう
御子柴,そういえば、わざわざデレステで勝負しなくても、歌唱力だけは鹿島に勝ってたな。スタミナも消費したし、教室戻るか
若松,Zzz…
御子柴,うわ！？若松！？
若松,ん……あれ、御子柴先輩……？
御子柴,こんなトコで何してんだよ…
若松,何故だか急に睡魔が襲ってきて…
御子柴,廊下で！？大丈夫かよ
若松,最近気付いたら寝ちゃってたりするんですよね…不眠症気味なのに…
御子柴,やることないから寝ちゃうんじゃないか？暇潰しにゲームしてみるとか
若松,うーん、ゲームですか…
御子柴,そうだ、お前もやってみるか？デレステ。コイツ少女漫画よく読んでるし、案外そういうの好きなのかも
若松,デレステ？
御子柴,かくかくしかじか
若松,あぁ、あの中居さんがCMやってるやつ
御子柴,なんで中居にさん付けなんだ……？。お前、音ゲーとか得意か？
若松,うーん、どちらかというと苦手かもしれません…
御子柴,あー。コイツもけっこうトロいもんなぁ…。デレステなら、音ゲー以外にもコミュを観たりしても楽しめるぞ
若松,コミュ？
御子柴,ストーリーのことだよ、よし、ちょっと見せてやる
若松,はぁ…
御子柴,やっと解放できたありすのストーリーを見せてみよう。このストーリーでは俺もちょっと泣いたからな…！
若松,うぇっ…ぐすっ…
御子柴,よ、良かっただろ…？
若松,うえぇ…はぃ…
御子柴,確かに感動的だけど、それにしても感情移入しすぎだろコイツ……
若松,この子は…この子は俺が一番のアイドルにしてあげないと…！
御子柴,コイツもしかして、ハマりだしたらとことん沼るタイプか…
若松,先輩！！この子はどこで会えるんですか！？
御子柴,まずいな…ありすは今のとこN以外はSSRもSRも限定しかないはず…。し、調べておくよ…また今度な…。ありす限定はこれから復刻もあるはずだけど…。課金の方法は教えない方が良さそうだな
野崎,…剣さん、折り入ってご相談があるのですが
宮前,早く終わらせたいんで手短にお願いします
野崎,くっ…！じゃ、じゃあ手短に……俺がアイドルものを描いてみるのって、どうですかね？
宮前,無理じゃないっすか
野崎,えっ即答ですか！？
宮前,だって夢野先生テンプレ学園モノしか描けないじゃないですか
野崎,でっでも！可能性を広げるために挑戦するというのも！
宮前,まぁ描けるに越したことはないですけども
野崎,いや実はネームをですね
宮前,え？書いてきたんですか？。…はぁ、やる気があるのはいいことですが…一応目は通しておきます
野崎,是非！
宮前,その前に、来月号のネームは？
野崎,このネーム考えてたのでそっちはやってません！
宮前,舐めてんのか。なんで急にアイドルものなんて話に…
野崎,かくかくしかじかでして
宮前,ああ、デレステですか
野崎,え、まさか剣さんもお好きなんですか！？
宮前,いや、ただ流行りものは把握しておこうかと入れてみただけです。まだそんなにやってないですけど。ルームとかも適当にしてるだけで…ホラ
通りがかりの前野,！！ちょっと！宮前くん！
宮前,え、何ですか
前野,何この子！かわいー！すげーいいじゃん！
宮前,この子…？どの子ですか
前野,この！緑のコ！
野崎＆宮前,…かわいい…？
前野,こんなマスコットが居るなんて！考えた人天才じゃない！？
宮前,コイツの考えてることはやっぱりよくわからんな…
野崎,あ、でもこのマスコット、ちょっと剣さんっぽいかも…？。……
佐倉,……
御子柴,……
野崎,そろそろ休憩するか
御子柴,そうだな
野崎,今日はチーズケーキがあるぞ
佐倉,わーい！じゃあ私、お茶入れるね！
御子柴,おー、頼む。じゃあ俺は今のうちにスタミナ消費するか…。またやっちまった…！
佐倉,あ、デレステだー、やらせて！
野崎,俺もいいか？
御子柴,！！。なっなんだよお前ら、気に入ったのか？
佐倉,えへへ、こないだのが楽しかったからー
野崎,いろいろと参考になりそうだしな
御子柴,しょ、しょうがねーな！そんじゃ一緒にやるか！
佐倉,うん！
御子柴,デレステ、ひとりでやってるのも十分楽しかったけど…。こういうのも…なんかいいな…！
堀ちゃんの脚ネタは入れたかったけど割愛しました,個人的にきらりあたりをおススメしたい
