塩見周子,櫂ちゃんってさ
P,なんか、こう、お礼を言われると落ち着かないな。ソワソワする
櫂,じゃあなんでお礼を言おうとか言ったのさ
周子,で、うちの和菓子がどうしたの？
P,先日届いたはいいけど客人が来ないから八ッ橋とかが食べられない
櫂,Pさんが食べたいだけじゃん
風香,生和菓子は足が速いって言いますもんね
P,マジか。逃げられないように注意しないと。虫取り網とかあった方がいいかな
周子,そういう意味ちゃうからね？
P,冷凍してるからしばらくは大丈夫だと思うけど早く食べたい。なので今日は客人を捕まえに行こうと思う
風香,捕まえ……え？
P,捕まえに行く。多分アイドルをスカウトするより簡単
風香,いや、あの、そういう問題じゃ……
周子,事務仕事とかどうすんのさ。今日はホントにちひろさん休みだよ？
P,その辺りは大丈夫。今日の分は全部片付けてある
周子,あ、そういうトコは全力出すんだ
P,好き勝手やるためにはそれなりに優秀でないといけない
櫂,うわぁ、自画自賛だ
P,自信がないよりはマシである。早く行こう。生和菓子と違って俺はそんなに足が速くない
風香,でも、電話がかかってきたらどうするんですか？
P,あっ！
櫂,……あたしが残ってようか？
P,マジか！……いいの？
櫂,うん、いいよ
P,ありがとう。帰ってきたら一緒に和菓子食べような。八ッ橋を冷蔵庫に移して待っててくれ
周子,そのためにはお客さんを捕まえて帰らないとね
風香,捕まえるのは確定なんですね……
P,さっさと他の奴の担当アイドルを見つけて持って帰ろう
風香,そ、そんな物か何かみたいな……
南条光,これくらいあれば充分かな！
伊集院惠,そうね
周子,お、丁度いいところに
P,荷物持ってるし持ってあげてこっちの事務所に誘導しよう
風香,動物じゃないんですから……
光,あ、Pだ。おーい！
P,やった、声をかけるまでもなくあっちから来たぞ
風香,買い物袋がいっぱいですけど、どうしたんですか？
惠,ええ、ほたるちゃんがオーディションに合格したからそのお祝いでパーティーをしようって事になったの。Pさんたちもどう？
風香,そうなんですか？おめでとうございます！
周子,丁度いいじゃん。お祝いに和菓子持ってこうよ
P,あー、お祝いパーティーか。じゃあお邪魔するわけにはいかない。お祝いを持ってくのは後日にしよう
周子,え、なんでさ？
P,同じプロダクションでもそういうお祝い事は一緒に過ごした仲間内だけでやるべき。もっと大きなお祝い事ならともかく合格祝いに乗り込むのは便乗して騒ぎたいだけみたいで嫌だ
惠,なるほど……そういう考え方もあるわね
P,ということで白菊たちによろしく
光,うん、Pたちがおめでとうって言ってたって伝えておくよ！
P,光も荷物持ってて偉いな。あと10年もすればきっと全盛期のシュワルツェネッガーみたいな体型のヒーローになれる
光,ホントか！？
風香,さすがにシュワルツェネッガー体型の光ちゃんは……
周子,面白すぎるでしょ
光,ところでシュワルツェネッガーって誰？
P,おぉう、ジェネレーションギャップ。パーティー組と別れてから一時間が経った
周子,意外と見つかんないねー
P,まあそこらにアイドルがゴロゴロしてるはずもあるまい
前川みく,……
P,とか言った矢先に見ろ、野良前川だ。ゴロゴロどころかゴロニャンだぞ
風香,野良って……
周子,捕まえる？
P,捕獲に役立つものが欲しい。虫取り網とか持ってない？
周子,持ってないのは見りゃ分かるでしょ
P,確かにその通り……あ！猫じゃらしが生えてた！これで安心
風香,え、そんなので大丈夫なんですか！？
みく,大丈夫なわけないにゃ
P,まずい、気付かれた！みんな隠れろ！
みく,もうおせぇにゃ！
風香,こ、これでちゃんと隠れられてますか！？
P,駄目だ風香、前川がお前から視線を外してない
周子,ほれほれ、みくにゃんこっちこっち
みく,猫じゃらしやめろにゃ！。……で、Pチャンはどうしてみくを捕まえようとしてたの？
P,担当してないアイドルを連れて帰って和菓子を食べたかった
みく,ごめん、全然意味分かんない
風香,えっと、お客さんが来た時に出す和菓子があるんですけど、お客さんが来ないからこっちからお客さんを探しに行こうって話になって……
みく,その発想はおかしいにゃ
P,で、前川は和菓子食べたい？しおみーの実家の和菓子だからすごく美味しい
周子,味は保証するよー
みく,和菓子……食べたいケドみくは今からレッスンなんだにゃ……
P,レッスン後でもいいぞ。レッスン後に食べる甘いものはとても美味しい
周子,美味しい以外にボキャブラリーないん？
P,デリシャス
周子,ああうん、なんかごめん
みく,あー、でも今日はpチャンとレナチャンが晩ごはんの奢りを賭けて勝負してるから……
P,あの馬鹿はまたそんなことやってるのか。ラスベガスにでも行って身ぐるみ剥がされればいいのに。じゃあ仕方ない、お腹いっぱい奢ってもらいなさい
みく,うん……でも今度行くからそのときは和菓子ちょうだいねっ！
P,あげようあげよう。デブ猫になるまで食べさせてあげよう
みく,そこまでは食わんにゃ！
P,そこまで食われたらpに和菓代を請求するまであるからな
周子,……捕まえられなかったね
風香,まだ時間はありますし、頑張りましょう！
P,それにしてもこの風香、捕獲する気満々である
風香,ええっ！？
周子,はじめはえ、捕まえるんですか？って感じであんまり乗り気じゃなかったのに……
P,諦めろしおみー、人は変わるものだ。現実は非情である
風香,えぇー……
P,しかしホントに見つからないな
風香,日も暮れてきましたしね……
P,これで誰も連れて帰れなければ櫂に合わせる顔がない。顔がなさ過ぎて仮眠室に引きこもる
周子,いつもの事じゃん
P,だからいつも以上に本気出して探さないと……あ！
風香,誰か見つかったんですか？
P,ちょっと二人は待ってて。すぐ戻る
櫂,……で、知り合いが見つからなかったからスカウトしてきたの？……ん、おいし
P,スカウトしてきました。荒木比奈ちゃんです。しかしこの八ッ橋は本当にデリシャス
荒木比奈,スカウトされてきました。荒木比奈でス。……ホントに美味しいっスねこれ
周子,でしょー
P,八ッ橋が食べたかったがために適当に声をかけたわけではないと声を大にして宣言しておきたい
比奈,え、アタシこれのために連れてこられたんスか？
P,半分はそうだけどもう半分は本気でプロデュースしたいと思っている
周子,いや、そこは嘘でもプロデュースが100%って言っとこうよ
風香,……
比奈,いや、でもアタシがアイドルなんて……そういうキラキラした世界の住人じゃないんでスよ。無理ですって
風香,……似てる
櫂,へ？
P,お、やっぱり風香には分かるか。荒木がアイドルになれる理由を教えてあげてくれ
風香,えっと、荒木さん……はアイドルになる前の私にちょっと似てるんです。自分に自信がなくって、自分は日陰者だから……って。最初から諦めてるんです
比奈,……
P,それでも説得に負けてアイドルになったもんな。納豆は苦手だけど同じくらい粘り強いぞ俺は
周子,余計な事言わなくていいって
風香,それでもPさんのおかげで自分に自信がついて、楽しくアイドルやれてるんです！
比奈,……
風香,だから荒木さんとも、似た者同士で一緒にアイドルしたいなって……！
比奈,……そこまで言われたら、断るのもちょっと心苦しいっスねぇ
風香,……！
比奈,比奈でいいっスよ。似た者同士、よろしくお願いしまスね
風香,はいっ！
周子,うわーん櫂ちゃんあたしら蚊帳の外だよー
櫂,はいはい拗ねない拗ねない
比奈,あ、お二人もよろしくお願いしまス
P,俺だけよろしくされてない
比奈,あ、プロデューサーも。よろしくお願いしまス
P,よろしくどうぞ。ほら、所属記念に八ッ橋食べよう。おかきもあるぞ
比奈,いやー、お菓子もいいんスけどちょっと喉乾いてきましたね
周子,確かにそうだね。今月のお茶係誰だっけ？
風香,今月は……Pさんですね
P,そういえばそうだった。先月のお菓子係といいとことんくじ運がない気がする
周子,じゃあおねがーい♪
P,任せろ。お茶係は伊達じゃない。俺は雪印コーヒー、しおみーはお茶、櫂もお茶、風香がココア、比奈は……
比奈,アタシはコーヒーがいいっス
P,よしきた、比奈はコーヒーだな。淹れてくる
比奈,お願いしまスー
