早坂美玲,えっと……レッスンやった、撮影もやった……で、その後のレッスンも……
美玲,そんなの覚えてるに決まってるぞッ！。けどウチ、事務所でこんなことやるなんて思わなかったし……。このケーキだってキレイだけど……手作りだろ？多分だけど
ちひろ,ええ、乃々ちゃんと輝子ちゃんががんばって作ったそうですよ！ね？
乃々,いやその、そんながんばってとか……がんばった割にそんなものですけど……
輝子,ほ、ほとんどトッピングだったけど……でも、けっこう自信作……フフフ
美玲,だよなー……スゴいな二人とも
ちひろ,まあもう少し早く、やるって決めていればもっと他にも準備できたんですけど……。誰かがきのう一昨日に突然言い出さなければ……ねえ？プロデューサーさん？
Ｐ,えっ！？え、ええそうですね……
ちひろ,もう、こういうことは早めに提案してくださいね？本当に
Ｐ,あ、いやでも、サプライズとしては成功したようですしね？な？
美玲,なんでウチに聞くんだ
Ｐ,ともかく！パーティ始めるぞパーティ！
ちひろ,はーい、ケーキ切り分けます？
Ｐ,あ、名前のチョコお願いします
ちひろ,美玲ちゃんより先に注文しないでください！
乃々,あの……どれ飲む……？
美玲,メロンソーダあるのか？じゃあそれ！
輝子,じゃあ……オレンジジュース一つ……
ちひろ,えー、飲み物も行き渡ったようなので、かんぱ……
Ｐ,美玲、何か一言
ちひろ,ちょっと
美玲,ええっ！？そこでフるのか！？。んーと、なに言えばいいんだろ……。わ、わざわざこんなパーティ開いてくれて、あ、ありがとうございます……？。あとはえっと、えーっと……。も、もう思いつかないぞ……！
Ｐ,それで十分だ！誕生日おめでとう美玲、乾杯！
ちひろ,お菓子もいっぱい買ってきましたからね！
輝子,キノコたくさん……フヒヒ……
乃々,きのこの山の山が出来てる……
美玲,あー……プロデューサー
Ｐ,どうした？
美玲,そのさ、さっき言ったのとおんなじになっちゃうけど……。あ、ありがとう！わざわざパーティとか、やってくれて……
Ｐ,いや、こっちこそ。どうにか喜んでもらえたみたいで安心した
美玲,あ、でも今日みたいのはあんまやるなよな！
Ｐ,今日みたいの？
美玲,一応サプライズにはなったけどさ、ああやってウソついて無理矢理やるのはスキじゃないってこと！
Ｐ,ああ……まあ、あれは反省すべきだとは思ってるな……自分でも
美玲,だから、別にそーゆーヘンなコトはしなくたっていいんだからなッ！。そんなんじゃなくたってフツーの……とかでも全然いいし……とにかく分かったかッ！
Ｐ,ああ、分かった分かった。まあその、なんだ？お前の口から直球なありがとうが聞けただけでも、こっちもうれし
美玲,ふんッ！！
Ｐ,痛ったぁ！
美玲,うるさいッ！そーゆーコトもカンタンに言うなよな！このッ、このッ！
乃々,あの……一応プレゼントもあるんですけど……
