速水奏,……ふぅ
候補生たち,お疲れさまでしたー
P,失礼
ルキトレ,あ、プロデューサーさん、お疲れさまです
P,お疲れさま。候補生たち、調子はどうですか
ルキトレ,そうですね。前から入っている子のこと、この子。あと奏さんもお姉ちゃんに任せていいです
P,奏はまだレッスン3回目くらいでしたよね。早くないですか？
ルキトレ,早いですよ。少しコツを教えるとすぐできちゃうんです
P,ふぅん。まあ、ルキトレさんが言うならいいか
ルキトレ,あはは、信頼されてるってことでいいんですか？
P,ん？そうですね。この調子だと、ルキトレさんが教える子がいなくなっちゃいますかね
ルキトレ,えーっ、お払い箱ですか！？
P,はは、すぐに新しい子が入りますって
ルキトレ,ならいいですけどー
奏,からかうなんて、悪い人ね
P,おう、奏。おつかれ
奏,お疲れさま。迎えにきてくれたの？
P,ん？
奏,わざわざルーキーさんをからかいに来たわけじゃないでしょ
P,まあ、そのためだけに来たわけじゃないけど。ルキトレさんはなんかこう、からかい甲斐があってなあ
ルキトレ,まったく、ひどいと思いません？
奏,ええ、ひどい人だわ。そんな人、私がからかっちゃおうかな
ルキトレ,わわっ
P,それは遠慮しておく
奏,しれっと流しちゃって。ね、ひどい人でしょ
ルキトレ,ソウデスネ……
P,奏も大概、悪い子だと思うよ
奏,ふふふ、そうね。……この後打合せだったかしら
P,そうだな。着替えたら事務所で
奏,わかったわ
ルキトレ,……
奏,それで、打合せって？
P,一口にアイドルになるといっても、いろんな方向性がある。今日はそこの提案と聞きとり
奏,私のプロデュース方針ってことね
P,いい話があればすぐにでも仕事を持ってきたいが、本人の意向は大事だからな
奏,それはありがたいけど、選べる立場でもないんじゃない？
P,仕事を持ってきた以上はやってほしい。だから仕事を選ぶ俺が聞いておきたいんだ。そこらへんで互いに嫌な思いをしないようにするための、すり合わせだよ
奏,そう。……そうね、露出が多い仕事ばかりもってこられたらどうしようかと思っていたわ
P,そんな仕事ばかりってことはないけど……夏になったら多少はあるかもな
奏,仕方ないわね。Pさんが見たいんだったら着てあげる
P,んー……うん、素直に喜んでおこう
奏,ふふふっ。それで、どんな仕事があるの
P,まずは歌と踊り。これはどうやっても最低限必要になる
奏,やっぱりアイドルの華だものね
P,すぐに曲が出せるわけじゃないが……まあ、トレーナーさんにしっかり基礎を調えてもらってからだな。それから、モデルの仕事を勧めたい
奏,あら、素敵
P,お、やっぱり憧れか？本格的なモデルには身長がもう一声だけど、プロポーションは十分だしな
奏,170cm以上の世界なんでしょ？
P,いや、そんなこともない。日本でなら奏くらいは割と普通にいる
奏,そうなの
P,もちろん世界で通用するモデルとなると175cmとかになってくるけど
奏,やっぱりそういうものなのね
P,あー、失礼ながら体型の話をするけど
奏,どうぞ
P,奏だとむしろ肉付きがいいくらいなんだ。出てるところが出ているから。グラビア系がいけるな。顔立ちがいいから化粧品にもうってつけ
奏,……なんか、聞いていると、恥ずかしくなってくるわね
P,だから前置きした。こっちは真面目だ
奏,もちろんわかってるけど。それとも……フマジメにお話してみる？
P,さすがにそんな度胸はない
奏,ふふ、残念
P,映画が好きってなら、女優業も視野に入れてみようか
奏,映画に出られるの？
P,先輩アイドルのバーターとかでな。もちろんレッスンはきちんと受けた上で
奏,それは楽しみね
P,いまさらだけど、部活とかってやっているか？
奏,いいえ？部活と勉強と、さらにアイドルまでやるほど器用じゃないもの
P,器用かはともかく。どうしても休日が潰れることが出てくるからな
奏,お仕事じゃあ、仕方ないわよね
P,けど、まだ遊びたい盛りだろ。場合によっては学校終わってからの仕事もあるかもしれない
奏,それで部活の有無ね。安心して、いまのところ予定はないわ
P,そりゃ助かる
奏,学校からお仕事ってことは……Pさんが迎えに来てくれるのかしら？
P,え？
奏,校門に車が止まってて、年上の男性が迎えに上がっているなんて、ちょっとした憧れじゃない？
P,んー……なかなか乙女な発想だ
奏,乙女のつもりよ
P,いやすまん、乙女じゃないって意味で言ったんじゃないんだ。なんにせよ……時間がやばいとかじゃなければ俺が行くことは無いと思う
奏,そう、残念
P,現場直行か、事務所から送迎、急ぎならタクシーの使用もOK
奏,わかったわ
P,CMやバラエティのテレビ系もいいよな。ラジオはどうだ？
奏,たぶん大丈夫？
P,多少人気が出てからだけど、握手会やサイン会もやってほしい
奏,NGを出すほどのことじゃないけど……ねえ、際どいラインだとどんなのになるの？
P,あー……やらせる気はないが、イメージビデオとかだな
奏,イメージ？
P,グラビアアイドルなんかがやるんだが、ほぼ下着姿だったり、まあその……手で隠すレベルだったり
奏,……ふぅん
P,そっち系の予定はないから、安心してくれ
奏,そう。……Pさんの個人レッスンでやるなら、考えたのに
P,げほっ！……んんっ、あのな、あまりそう言うのは
奏,分かってる、相手は選んでいるわ
P,……そう言うことでもないんだが
奏,ふふっ
P,それぐらい言えるなら、大方の仕事は大丈夫そうだな
奏,水着モデルくらいまで？
P,下着の仕事も持ってこようか？
奏,……
P,OK、NGにしとく。そのラインでとってくるよ
奏,まだ何も言ってないわ
P,顔に出てる
奏,あら……表情を変えたつもりはなかったのだけど
P,今のは見てればわかる範囲だと思うぞ
奏,ちゃんと見ててくれるのね
P,ん？……そこはまあ、仕事だよ
奏,私に見とれていた、とかならもっと嬉しかったのに
P,……そういうのは、事務所じゃない場所で言うよ
奏,！？
P,やり返されて驚くくらいなら、最初からからかうな
奏,むぅ……
P,さて。大体のボーダーは分かった。営業資料も揃ってきた。あとはこっちの仕事だな
奏,よろしくね、プロデューサーさん
P,おう。そっちもきちんとレッスンで地力を付けてくれよ
奏,わかった。そういえば、なんだけど
P,ん？
奏,下着の仕事も、受けていいわ
P,なんだ、気が変わったのか？
奏,いいえ。抵抗はあるけど……あなたが見たいなら、見せてあげる
P,……あー……頭の片隅に置いておくよ
奏,そうして
P,はー……
奏,ふふふっ
P,ファンが付いたぞ
奏,えっ？
P,この前の雑誌モデル。カット2枚載ってたろ
奏,載ってた、けど……ファンってそんな、すぐ付くものなの？
P,出版社に電話が問い合わせがあったんだよ。この子は誰かって
奏,写真2枚で、電話くるものなのね
P,といってもその1件だけだし、同業者の調査の可能性もある
奏,……それって、ファンって言うのかしら？
P,どこからファンになるかなんて定義はないけど、雑誌に載った奏が、人ひとり電話かけさせる原動力になった。これは、何人もの人があの写真を見てこのモデル、いいなってなった証拠だ。何人がいいと思ったか正確な数は分からないし、ファンだって公言する人もまだいないだろう。それでも確実にファンはついた。いまは実感はないだろうけど
奏,ええ……でも、そうなのね
P,ああ、ここからだ。アイドルがファンを作り、ファンがアイドルを作る
奏,ファン無くしてアイドルはあり得ないって？
P,そういうこと
奏,アイドル、偶像か……あまりいい意味でとらえたことは無かったけど。それでも、なんていうか……悪い気分じゃないわ
P,そうとも、誇っていいぞ
奏,電話の人が同業者だったとしても？
P,同業だとしたら見る目がある。まあ、少し遅かったけどな
奏,そうね。私はあなたのアイドルだもの
P,ん、まぁそう言うと語弊があるけど……うちのアイドルだよ
奏,そう？Pさんが担当してくれないんだったらやめようかな
P,……個人的には喜んでいいんだと思うけど、なかなか攻めた発言だな
奏,いけなかった？
P,悪い気はしないよ。……俺の方が口説かれる気分になる以外は
奏,あら、口説きたい方なの？
P,職業上、そっちの方が慣れているかな
奏,それで何人ものアイドルを口説いてきたのね。だったら一人くらい、こんなのがいてもいいでしょ
P,んー……そういう方向性もありか
奏,方向性って、私の？
P,ん？ああ、別にノープランってことじゃないんだけど、速水奏のイメージをどこに着地させるかって言うのはこれからだな
奏,ふぅん
P,そのまま自然体でも魅力はある。ただ、ファンに見せやすい方向を持たせると、いろんな考えの主軸になる
奏,キャラ付けってことね
P,分かりやすく言うと。でもキャラである、キャラじゃないなんて単純なイメージでファンがついてくるかって言うと
奏,ファンも人だもね。いろんな面を見せていくことで、役に深みを持たせる様な感じかしら
P,役？ああ、映画的な意味でか。なるほどな
奏,方向性……キスなんてどう？
P,キス？あー、初めて会った時も、そういや宣材写真の時もちらちら言っていたな
奏,そうだったわね
P,なんか……思い入れでも？
奏,たいしたことじゃないわ。素敵でしょう？キスって
P,素敵、ね
奏,だから、してみたいのよ
P,ん……え？
奏,え、って？
P,えーと……
奏,なあに？
P,……その、ちょっとプライベートなことを聞くかもしれないんだけど
奏,ええ
P,奏、いま付き合っている人はいるか？
奏,いたらアイドルやる前に話してるわ
P,あ、そう……しっかりしてる
奏,どうも
P,あー……
奏,当ててみましょうか？
P,……当たりそうで嫌だな
奏,キスの経験はあるか、でしょ？
P,嫌だって言ったんだけど
奏,あら、ごめんなさい。気づかなかったから、Pさんも気づかないフリ、してもいいよ
P,ずるい言い方するなぁ
奏,答えだけど……ないの
P,……へぇ
奏,滑稽でしょ。普段キスだの言っている小娘が、経験の一つもないなんて
P,そこまでは思っていない
奏,背伸びをしているとは？
P,思った
奏,背伸びも悪いものじゃないわよね
P,まあ、奏はそこも含めて魅力かなとは思うけど
奏,そうじゃなくて。背伸びをすると。ほら、とても近くなった
P,……そうですね
奏,なにも、肩抑えなくても。いまは本気じゃないわ
P,こっちが本気になったらできるだろ
奏,ああ。自制のための腕なのね。んー……。首に手を回すには、もっと密着しないとダメかな
P,そろそろ離れてくれないか
奏,残念。もったいないって思わない？
P,……思うけど、それとこれとは別
奏,仕事と恋愛は別、ね。アイドルに恋愛はご法度だって言うけど、実際どうなのかしら
P,そうだな。……極論、ファンにばれない自信があるなら
奏,あら意外
P,どう言ったって惚れた腫れたはあることだろ。そういう年頃なんだし
奏,まあ、そうね
P,極論なんて言ったが、一流芸能人だってスキャンダルになったりするからな。正直なところ控えてほしい。といっておくよ
奏,なるほどね。……じゃあ、その点はクリアなのかな
P,その点？
奏,ファンにばれるようなことはしないわよね。Pさんは
P,……例えば最初は気を付けていたとしても、慣れたりしたらボロが出るもんだ
奏,慣れてくれるんだ
P,そういう意味じゃなくて
奏,ふふっ、わかってる
P,行動でもわかってくれるといいんだが
奏,今日はこんなところ？
P,そうだな。さすがにこの時間じゃ送っていけないぞ
奏,まだ夕方でしょ。大丈夫
P,それじゃあ……次は明後日のレッスンか？
奏,そうね。その時にまた
P,ああ、お疲れ
奏,お疲れさま
P,速水奏のアイドルの道は順調だった。俺が取ってきた仕事を問題なくこなしてくれる。それだけで十分すぎるほどありがたい、優秀なアイドル。ファンも着実に増え始めた。その勢いに乗って曲の発注をし、次のステップに足をかけていく。そんなある日。仕事終わりに事務所に寄った彼女に、声を掛けた。お疲れさま
奏,……お疲れさま
P,どうかしたか？
奏,なんでも……いや、ちょっとはあったかな
P,ふん？
奏,今日の仕事でね
P,ドラマのちょい役だったな
奏,ええ……そこで見かけたの
P,誰を
奏,高垣楓さん
P,ああ、あの人か
奏,……彼女、凄いのね
P,そうだな。同じ事務所だけど、会う機会はいままでなかったか。それで、一緒に仕事をして、どうだった
奏,話はしなかったわ。忙しくてできなかったの
P,高垣さん、確かメインキャストだったな。仕方ないか
奏,一応、アイドルなのよね？
P,そうだな。元モデルと言いつつも、いまでもモデルの仕事は入ってるみたいだけど
奏,そう。……アイドルの枠に収まらない人だった。トップアイドルって、ああいう人のことを言うのね
P,ああ。確かにトップの一人だよ
奏,驚くほど綺麗で……歌や踊りだけじゃなくて、演技もできて
P,勉強になったろ
奏,勉強？。……そうね。憧れてしまうわ
P,機会があったら話もしてみるといい。学ぶいいチャンスだ
奏,……学べるかな
P,いま奏がしている仕事は、全部経験として積んでいってほしいんだ
奏,そうね、わかってる……いろんな経験ができているって、わかってる
P,高垣さんの凄さが分かっただけ、収穫だよ
奏,……
P,……満足できてないって顔だな
奏,ごめんなさい。今日は帰るわ
P,まぁ、見透かされるのは好きじゃないか。気休めに聞こえるかもしれないけど
奏,……
P,俺は、奏が負けているとは思ってない
奏,そう。嘘でもうれしい
P,嘘のつもりはないよ。そりゃあ確かに、キャリアも実力も高垣さんの方が上だろうけど。奏なら、いつか彼女の隣に並ぶこともあるかもしれない
奏,そうかしら
P,ああ
奏,ありがとう。お疲れさま
P,お疲れさま。……。奏が帰る前に見せたあの表情は、前にも見たことがあった。初めて俺が声を掛ける直前の、つまらなそうに海を見ていた、あの時の顔。レッスンに楽しそうに打ち込む顔も、仕事の時の真面目な顔も、俺をからかう時の笑顔も。どれも彼女の本当なのだろうけど、嘘でもあるように感じられる。いつもどこか本心を隠しているのは、彼女のスタイルなんだろう。だけど俺は、その下の素顔を見てみたい。ただ単に仕事を与えれば、何もしなくても彼女は及第点を取り続ける。それで俺は満足か？奏は満足しているのだろうか？。この日を区切りに俺の仕事は忙しくなり、奏と話す機会は減っていった。トレーナーさん
トレーナー,ああ、プロデューサーさん。お疲れさまです
P,お疲れさまです。いま大丈夫ですか？
トレーナー,ええ。どうしました？
P,奏、最近どうです
トレーナー,奏ちゃんですか？レッスンはいつも通りですね
P,いつも通り、ですか
トレーナー,ええ、特に何もなく。なんか、悩みでもありました？
P,悩み、という程のことじゃないです。ただまぁ、最近話してないななんて
トレーナー,そうですねぇ。……引っ掛かるほどじゃなかったんですが
P,なにか？
トレーナー,奏ちゃんって、要領いいじゃないですか。大抵のことはすぐこなしちゃうような
P,ええ
トレーナー,ここ数回のレッスンは、割と普通なんですよね
P,普通？
トレーナー,他の子と同じく、出来るようになるまで何回かのトライがあります。でも、みんなそれが普通なので、気に留めるほどじゃないって言いますか
P,うーん
トレーナー,覚えたては早くても、そこから先って地道な努力で少しずつ重ねていくしかないですよね。だから奏ちゃんも、そんな時期に来たのかなって
P,確かに、これまでの吸収速度がすごかっただけ、ですかね
トレーナー,ええ。まだまだ伸びると思いますよ
P,そうですね。ありがとうございました
トレーナー,いえいえ
P,……
千川ちひろ,レッスン場の使用記録、ですか？
P,ええ。最近使われています？
ちひろ,使われていますよ。候補生の子も使いますし、デビューしてからの子も自主練に
P,まあ、そうですね。誰が使っているかはわかりますか
ちひろ,記録はしていますけど……プロデューサーさんが知りたいのは誰ですか？
P,あー、その
ちひろ,あら。知られたくない感じです？
P,そういうわけでは。……そうですよね、なんでだろ
ちひろ,ちょ、ちょっと。調子狂っちゃいますね
P,いえ、自分でもなんでかよくわからなかったんで
ちひろ,はぁ
P,奏はどんなです？
ちひろ,奏ちゃんですか？。あー……
P,ちひろさん？
ちひろ,いえ。ええと、奏ちゃんはよく使って……あら、ここ最近はそうでもないですね
P,そうですか
ちひろ,彼女、なにか気になることでも？
P,いえ……伸び悩んでいるのかなって
ちひろ,でも、仕事もレッスンも普通にこなしてくれてるみたいですが
P,それはそうなんですが。……考え過ぎですかね
ちひろ,あの子はいいアイドルになると思いますよ
P,俺もそう思います。なので、気にかけていたんですが
ちひろ,なるほど……。でも、伸び悩んでいるなら、自主練習を増やしていたりしませんか？
P,いえ、なんか奏は、逆なタイプな気がします
ちひろ,そうなんですか？
P,根拠はないですが……基本、器用なんで、上手くいかないことがあると意欲も下がるのかなって
ちひろ,そう言うことですか。そうですね。誰しも壁にぶつかることはあるでしょう。気が付いたなら、プロデューサーさんが声を掛けてあげてもいいんじゃないですか？
P,ええ……ちょっと最近忙しくて
ちひろ,確かに、彼女だけの担当ってわけじゃないですからね。でも……。彼女の担当プロデューサーは、あなただけですよ
P,はは、耳が痛い。まあ、近いうちに話をしておきます
ちひろ,ちゃんとコミュニケーションとって、捕まえておいて下さいね
P,はい
ちひろ,せっかくの食い扶持……こほん。金の成る……こほん
P,……
ちひろ,事務所にお金を運んできてくれる金の卵なんですから
P,言い直して酷くなっていくのはどうかと思います
アイドル,あの、もっとこんな感じのどうですか？
カメラマン,あらっ、良いわねソレ！服の印象がもっと良くなるわ！
アイドル,ありがとうございます！
カメラマン,とるわよ～。はいOK～！一度休憩、衣装変えて次いくわよ！
アイドル,はーい
P,……そういや、奏は指示には従えるけど、自分から提案するなんてことはしなかったな。そこは彼女の弱点かもな。まあこういうのは、回数を重ねないと中々できるもんじゃないけど
カメラマン,お。Pちゃん、おつかれ
P,お疲れさまです。どうですか
カメラマン,あの子は慣れてるからなんも問題ないわよ
P,まあ、そうですね
カメラマン,この子より、もっとついてあげた方がいい子がいるんじゃないの？
P,え？あ、えーっと……速水のことですか
カメラマン,この前撮ってあげたわよ。アイドルが板についてきたわよね
P,そう見えました？
カメラマン,初めての写真からすごく成長したのが分かったわ。もちろん、まだまだなところはあるけど
P,ええ。仕事はこなしてくれていますが……悩んでいるような感じしました？
カメラマン,ちょっとリテイクあったかなってくらいよ。でも許容範囲
P,それなら問題ないのでは……
カメラマン,確かに何か悩みがあるっていう感じじゃないけどね。勘違いしちゃダメよ。何かがわだかまっているのはあるかもしれないわ
P,わだかまってる？
カメラマン,カメラを通してね、その子のスタイルが見えてくるの。身体のスタイルじゃないわよ。その子が持っている芯みたいなものね
P,……すごいですね
カメラマン,その子を真剣に見たら、そう言うのは分かるはず。気づいてないわけじゃないんでしょ
P,ええ。そこは、一応
カメラマン,ああいう子は自分の成長で悩んでいるとか、どうしたらいいかわからない、じゃなくて……たぶん、もっと先の悩みを持っているんだわ
P,……
カメラマン,自分の芯はあるのよ。でもまだ細くて脆い。自分一人で立つにはまだ幼いその芯を、誰に委ねていいのかわからない。そんな感じ。いっそ大人だったらよかったのにね。自分のことを全部自分の責任で決めていいなら、彼女も吹っ切れることができたのかも
P,よく分かるんですね
カメラマン,あん？そういうのはね、アンタが一番分かってあげてないといけないところでしょ
P,返す言葉もありません……
カメラマン,ちゃんと話聞いてあげてる？
P,……忙しくて奏とはあまり
カメラマン,会話はプロデューサーの重要な武器でしょ。そんなに惚れこんでいるのなら、話すためにどんなことしてでも捕まえなさいな
P,惚れこんで……？
カメラマン,はい？違うっての？
P,目立つので気にはかけていますが……うーん
カメラマン,迂闊に下の名前で呼んで、惚れていないも何もないでしょうが
P,えっ
カメラマン,大人びて見えてもあの子はまだ高校生の女の子でしょ。オラッ、不安取り除いてあげなさよ！
P,痛っ！背中叩かなくてもいいでしょう！
カメラマン,わははは、ごめんね！青臭いの見ていたらつい！
P,ちひろさんやカメラマンさんの言う通り、奏とよく話し合った方がいい。というか、それが避けられない時期に来たというべきかもしれない。避けられない？。俺は避けようとしていたんだろうか。いや……。自分で気が付いている。速水奏に、本気でアイドルに取り組んでもらうとき。自分も一蓮托生になるのだろうと、気づいていた。彼女の本気を受け止めるには、自分の本気を見せなくてはならない。これを乗り越えないとこの先に道はない。この話し合いで例え、奏がアイドルをやめることになっても。それを覚悟して話さなければ、彼女は応えてくれない。だからこれは。奏にも、俺にも。もっと先に進むために、必要なことなんだろう。その日。一通のメールが届いた。ああ。できたのか。これで、全部のピースが揃った。アイドル・速水奏を形づくるステージのピース。……いや。まだ本人がいる。肝心の奏が必要だ。ちょうどいいな。奏と話す口実になる。まだ仕事を始めてもいない頃、ここでなら心の空白を埋められそう、と彼女は言った。彼女の空白を、知らなければいけない。奏は素直に生きられる女じゃないのだろう。だけど、その素顔を隠し通せる世界じゃない。彼女が満足できる場所。心から輝ける場所を用意してやりたい。それは自分だからできることで……俺がやりたいことなんだ
奏,珍しく、プロデューサーさんから呼び出された。なにかあったかな。思い当たることは、なくもないけど。Pさん
P,ああ。はいってくれ。久しぶり、という程じゃないか
奏,数週間ぶり、な気はするわ
P,掛けてくれ
奏,ええ
P,さて。今日は、一つ大きな仕事をもってきた
奏,大きな……期待していいのかな
P,ライブデビュー
奏,ライブ……
P,そしてそのための。アイドル・速水奏のデビュー曲だ
奏,……
P,まずは聴いてみて、どうだった
奏,ハウス系、というのかしら
P,EDMかな。ダンスミュージックって意味じゃ似てるところある
奏,これが……
P,奏の曲だ
奏,私のイメージになるのね
P,そう
奏,歌詞は……へぇ、こんな感じなのね。なんて言っていいのかしら。とても格好いい曲だけど……格好良すぎない？
P,そうか？
奏,高校生にこんな歌うたわせるつもり？
P,こんな曲に負けない高校生なんて、そうそういないぞ
奏,背伸びしているみたいで？
P,そこも含めて、速水奏が歌うからいいんだよ
奏,そう……Pさんが言うのなら、そうなのかもね
P,さて、是非ともこの曲でステージに立ってほしいんだけど
奏,けど？
P,この曲を奏にあげるには、ひとつ条件がある
奏,条件、ね。どんな？
P,俺の質問に答えてほしい
奏,……内容を聞いてからでも？
P,それでいい
奏,じゃあ。どうぞ
P,ああ。奏。アイドル、楽しいか
奏,……。仕事はやりがいあるわ。普通のアルバイトでも、学校の部活でも、こんなことはできないし。他のアイドルとも親交ができて、なかなかできない体験ができているわね
P,もっとシンプルなことを聞いてるんだ。楽しいかどうか
奏,……いまは、楽しんでいるわ
P,いまは？
奏,いまは
P,いつか、楽しめなくなる予感でもしているか
奏,……どんなことでも、いずれ飽きが来るものだと思うけど
P,本当に飽きかな
奏,どういう意味かしら
P,奏は……自分の本気を出してみたことはあるか
奏,なあに、Pさん。私が本気で取り組んでないように見えた？
P,いや、奏は本気だよ。奏が、奏でいるままの限界まで、きっちり頑張っている
奏,私でいるままの限界？
P,本当器用に、大概のことをやってのける。それでアイドルを続けていくことも奏にはできるかもしれない。そんなこと、多くの人が望んでもでることじゃない。そんな器用な奏だからこそ、自分ができる限界が見えているんじゃないか
奏,……
P,それなのに、その先を軽々追い越していく人がいる。自分がたどり着けない場所に立っている人がいる。何でもできるということは、何にもできないということ、なんて言っていたか。少しその意味が……奏の空虚さが、分かった気がするよ
奏,私の、何を？
P,これまで、折れるほどに費やす何かが無かったんだろう。だから空虚だったんだ。実力の差が見えた時、急に冷めたりな。自分への失望といってもいいかもしれない
奏,…………まるで、知っているかのように言うのね
P,まったくの見当はずれ、だとは思ってないよ。何度も考えた上で、いま聞いている。高垣さんを見た時から、あの人がずっとちらついてくるんだろう
奏,……
P,あの人がトップだって分かって、自分にはいけないと思ったか。自分にはできないなんて思ったか
奏,……ふぅ……。そうかも、ね。酷い人。私の、自分でも嫌な部分を突き付けて。どういうつもり？
P,どうもこうもないよ。自分のそんなところを嫌だというけど、俺にとってはそうでもないんだ
奏,Pさんにとって？
P,ああ。アイドルには、必要なものになってくる
奏,それは、なに？
P,負けず嫌い
奏,……そんなつもりは無いわ
P,いや、あの高垣楓と自分を比べようとしているところなんて、だいぶ負けん気が強いよ。その気概は、この先に必要なんだ
奏,負けず嫌いだったら、冷めたりしないんじゃない
P,だから、そこも分かるんじゃないか？自分が努力でいける限界が
奏,……
P,いや、正直芸能界向きだよ。その性格と器用さは
奏,ただのコンプレックスを、長所みたいに言うのね
P,そんなの多かれ少なかれ誰もが持っているだろ。上手く活かせたらそれは長所にもなる
奏,……私は。私は、Pさんがいう程の女じゃないわ。ただ背伸びして、つま先立ちでよろけそうな普通の少女よ
P,だから？
奏,だから、って……そんな女に何の魅力があるっていうの
P,だからいいんじゃないか
奏,……
