黒沢葉月,２５
喪黒,要するに、一人前の社会人として生きろってことですよ。まずは、現実と向かい合うべきです
葉月,それは言えてるかもしれませんね……。今の私は、親元に寄生して甘ったれた状態……
喪黒,まずは、一人暮らしでも始めてみたらどうです？あなたが自立するための第一歩として……
葉月,一人暮らしですか……。そういえば私、一人暮らしをしたことが一度もありませんでしたね
喪黒,それなら、一人暮らしを実行するいい機会ですよ！未経験の物事にチャレンジしてみるのが、大事なのです！
葉月,そうですか……。じゃあ私、一人暮らしをやってみようと思いますよ！
喪黒,そうです！その調子！
葉月,私、一人暮らしをしようと思ってるんだけど……。アルバイトもやりながら……
葉月の父,何、その話は本当か？
葉月,本当だよ。そろそろ、大人として自立しようと思って……。バイトをしながら、就職活動もやるつもりだよ
葉月の母,ねぇ、葉月……。一人暮らしで生活費が足りないなら、いくらか仕送りするからね
葉月の父,一人暮らしは大変だろうけど、頑張れよ
コンビニ,シックスイレブン
オーナー,分かったか？これがレジの操作のやり方だぞ
葉月,あの、すみません……。一万円札のお釣りとか、どうするんですか？
オーナー,……君なぁ、よく考えて見ろ。一万円札でお釣りを出すと思うか？。黒沢さん、君はまたミスをしたそうだな
葉月,申し訳ありません……
オーナー,君がレジに立つと、客からクレームが入るんだよ。何で、あんなのを雇ってるんだと
喪黒,やぁ、黒沢さん
BAR,魔の巣
葉月,喪黒さん……。ついさっき、私はバイトをクビになったんです
喪黒,いやぁ……、それはお気の毒ですねぇ
葉月,コンビニのバイトは簡単そうに見えたのに……。やってみたら、思った以上に覚えることが多くて……
喪黒,あなたに接客業は重荷ですよ。一人でコツコツやる仕事の方が向いているでしょう。例えば、派遣社員とかどうです？
葉月,派遣社員ですか……。楽な軽作業が多くて、シフトや時間は自由。私に向いているかもしれない……。肉体労働そのもので、本当にきつい……。何が、ラクラク軽作業だよ……。うわあ……。ガラが悪そうな人だなあ……。仕事中は軍手で分からなかったけど……。この人、掌に刺青入れてる……。こんな連中と働くなんて……。また、母さんからの着信記録か……。毎日毎日……、本当にしつこい。あのねぇ、母さん。私は一人で何とかやってるから！何で、母さんは私を大人扱いしないの！。やっぱり、私は周りの人間たちに溶け込めなかった。いつもいつも、みんなが私をバカにして……
BAR,魔の巣
葉月,私、派遣の仕事も嫌になり始めているんです。肉体労働がきついし、人間関係もうまくいかなくて……
喪黒,ほう……。それはどういうことです？
葉月,毎日毎日、母が私のスマホに電話をしてくるですよ。実にしつこいんです
喪黒,いやはや……。あなたのご心労、察するに余りあります
葉月,私は、どうしても一人になりたいんです！周りとのつながりさえも、全て断ち切ってしまいたいんです！
喪黒,分かりました……。私が何とかしましょう。黒沢さん、私に着いて来てください。黒沢さん、見ていてください。これは携帯用ハウスです。さあ、中に入りましょう
葉月,すごいですね。台所やシャワーやトイレもあるし、電化製品も家具も揃っている……
喪黒,建物の電気は、水がエネルギー源です。空から雨が降れば、エネルギーを蓄えることが可能です。これも見てください。この給水機は、水を入れさえすれば無限にビタミン飲料を製造できます。あと、これも……。これは、ビタミンビスケットです。土と空気を原料に、無限に製造できます
葉月,食料の問題も、これで解決ですね
喪黒,いかがですか？携帯用ハウスは、今のあなたの望みをかなえてくれる優れものですよ
葉月,確かに……。今の私の望みは、完全に一人きりになることですからね。本当にありがたいですよ
喪黒,どうも……。ただし、あなたには私と約束していただきたいことがあります
葉月,約束！？
喪黒,そうです。黒沢さんが携帯用ハウスで暮らすのは、せいぜい数日程度にしておいてください
葉月,わ、分かりました……。喪黒さん。とうとう、私はたった一人になった。これでゆっくり休める……。このタブレットの中に、あらゆる本が収録されている。読書も好きなだけできる……。私の髪の毛、ボサボサになってる……。無理もないか、1か月以上もここにいるんだから……
喪黒,黒沢葉月さん……。あなた約束を破りましたね
葉月,も、喪黒さん……！！
喪黒,私は言ったはずですよ。黒沢さんが携帯用ハウスで暮らすのは、せいぜい数日程度にしておけ……
葉月,私は、もう二度と社会に戻りたくありません！！ずうっと、この家で暮らすつもりですから！！
喪黒,いいえ、ダメです！あなたにはどうしても、携帯用ハウスから出て行って貰います！！。ドーーーーーーーーーーーン！！！
葉月,キャアアアアアアアアアアア！！！。ああっ、携帯用ハウスが……！！。あーあ……、やっぱり社会へ戻るしかないか……。あ、あれ！？こんな街あったっけ！？ビルの形も、歩いている人の服装も、車の形も何か違う……
男A,我々は、秘密警察の者です。街にあるセンサーによると、どうやらあなたは危険人物のようですね……
葉月,秘密警察だとか、危険人物だとか……。一体、何のことですか！？
男B,知らないのですか？全ての市民は、生まれた時から掌にICチップを埋め込むのが義務なんですよ
葉月,掌にICチップを埋め込む！？ど、どうしてそんなことを！？
男A,条約で、世界的にそう決まってるんですよ。掌のICチップには、その人の個人情報が入っています
葉月,そ、そんなこといつ決まったんですか！？それと、今は西暦何年なんです！？
男B,このことが決まったのは、2061年ですね。ちなみに、現在は西暦2088年ですよ
葉月,えーーーっ、2088年！！じゃあ、私が携帯用カプセルにいた期間は……
男A,掌にICチップが埋め込まれていなければ、市民権は得られませんし……。買い物や居住もできません
葉月,じゅ、銃殺刑だって！？私は死にたくありません！！嫌です！！助けてください！！
喪黒,この世で生きている人間は、一人ひとりが皆……。無意識の奥底に、孤独になることへの憧れを持っています
