神谷奈緒,暇だなー
奈緒,"その人物は、あなたが1発殴らないと気が済まない人物です"
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,いや、アタシも悪かったよ
加蓮,しりとりって遊びやらない？ルール知ってる？
奈緒,馬鹿にしすぎだろ
加蓮,よかった。じゃあ、奈緒はジュセリアサイドね、私クオーレラサイドやるから。先制コーキペは譲ってあげる。そのかわり第一リュオはこっちでいいよね？。マイフォンネは持ってきた？2セット持ってるから貸せるけど。事務所のハウスフォンネはあまり質が良くないからね。システムはオールドでいっか、変えられるし。じゃ、SHIRITORI-ON！！！
奈緒,ごめん、アタシの知らないタイプのしりとりだった
加蓮,あ、そっか、奈緒は千葉出身だっけ
奈緒,たぶんそういう規模の話じゃないと思う
加蓮,どの辺が違った？
奈緒,強いて言うなら全部だけど
加蓮,え、知らないの？国民の義務だよ？
奈緒,今の悪ふざけのどのあたりに納税や勤労と肩を並べるポテンシャルがあったのか教えてくれ
加蓮,じゃあいいや
奈緒,諦めてくれて助かったよ
加蓮,なにか暇つぶしないかなー
奈緒,うーん……
加蓮,あ、王様ゲームしない？
奈緒,2人で？正気か？一瞬で奴隷制度が完成するだけだぞ？
加蓮,都合よく割り箸が2本あったから、赤いマークがついてる方が王様ね
奈緒,なんで都合よく割り箸があるのか
加蓮,で、もう一方の"バーカ"って書かれた方が命令を受ける側ね
奈緒,踏んだり蹴ったりだな
加蓮,じゃ、奈緒、引いて？
奈緒,天国と地獄じゃねえか。えいっ。……うわ、バーカの方だし
加蓮,王様だーれだっ
奈緒,お前だよ
加蓮,わぁ！私！？
奈緒,うるさいなクーデター起こすぞ
加蓮,じゃあ……
奈緒,変な指示はやめてくれよ……
加蓮,我が国の王政の終幕をここに宣言する！。これより我が国は民主主義国家として生まれ変わるのだ！。まずは国民の代表者を決めるための選挙を行う！。共に良き世にしていこう！
奈緒,まさかの展開
加蓮,どうだった？私の王様
奈緒,完璧だけど完璧だったらなんなんだよ
加蓮,うれしい
奈緒,素直か
加蓮,生まれ変わって王様になってもやっていけるね
奈緒,その準備が実る確率低すぎるだろ
加蓮,じゃあ、生まれ変わったら何になりたい？
奈緒,えー……、とりあえずまた日本に生まれたいかな
加蓮,現実的すぎてつまんない
奈緒,そういう加蓮は何になりたいんだよ
加蓮,健康
奈緒,普通ここで泣かせにくるか？
加蓮,冗談だよ。今はもう元気だもん
奈緒,反応が難しいからやめてくれ……
加蓮,ま、生まれ変わってもアイドルになれれば嬉しいかな
奈緒,そうだなー、まあ楽しいし
加蓮,次は"マッチョ！！"が決め台詞の筋肉アイドルとかどうかな
奈緒,完全にお笑い芸人の枠にお邪魔してるだろそいつ
加蓮,次の人生でも……隣に……いてね……
奈緒,どうした急に。加蓮、死ぬのか
加蓮,まだ死ぬわけないじゃん。120まで生きるよ
奈緒,生への執着
加蓮,今まで私を笑ってきた奴らのお葬式に笑顔で出席してあげるよ
奈緒,心にべらぼうな魔物を飼ってるな
加蓮,ウソだけどね
奈緒,その一言で片づけるには大きすぎる闇を振りまいてるけどな
加蓮,さて、そもそも私たちが午前の撮影が延期になっても事務所にいた理由は、夕方からレッスンの予定が入ってたからで、いい感じに暇つぶしができたことによりようやくそのレッスンの時間が近づいてきたわけなんだけど
奈緒,だから急にどうした
加蓮,言ってなかったなって
奈緒,何言ってるのかよくわかんな……。あ、メール
加蓮,私も来てる。プロデューサーからだね
奈緒,なになに……"夕方から組まれていたレッスンですが"
加蓮,"トレーナーさんの体調不良により延期になりました"
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……SHIRITORI-ON！！！
奈緒,やらねぇよ
