島村卯月,う～……
美嘉,大体、声かけられる前提なのが、なんかいたたまれないし！
モバＰ,俺が勝手に心配してるだけだから
美嘉,う～……でも、大丈夫だし。あーし、カリスマギャルやし……
モバＰ,よくわからんキャラになってるぞ。あのな？さっき言った事、別に嘘ではないんだぞ？
美嘉,……愛おしい気持ちになる？
モバＰ,そこを抜粋するのか……。まあ、そうだな。さっきの一連の流れで言ったこと全般だよ
美嘉,……ホント？
モバＰ,うん。その上、美嘉は人並み以上にカワイイんだからそこは自覚してくれ。声かけてくる奴なんて山ほどいるから
美嘉,か、かわっ……ん゛ん！……わ、わかった。それじゃ、お願いしようかな。ありがと……
モバＰ,よし！こちらこそありがとうだな！
美嘉,ふふ、なにそれ。ただ、言ったからにはちゃんと守ってよね！！頼りにしてるよ！！
モバＰ,おっしゃ！任せとけ！
卯月,美嘉ちゃん、美嘉ちゃん
美嘉,なに？
卯月,プロデューサーさん、一連の流れが嘘ではないって言ったんだよ
美嘉,……？うん。優しくて思いやりのある澄んだ心の子……へへへ
卯月,そして
美嘉,……何？
卯月,チョロイ！
美嘉,この子はっ！！。ほぁ～……
奏,……どうしたの、アレ。スイーツバイキング直後のかな子みたいになってるけど
卯月,日菜子ちゃん的な雰囲気も醸し出していますね。どうしたんでしょう？傍のうえきちゃんが変な気を放出してるのかな
美嘉,プロデューサー……むふふ……
奏,美嘉？恍惚とするのはいいけれど、涎は垂らさないようにね。結構ギリギリよ
美嘉,……え？うぉっと……あぶなっ。垂れてない垂れてない、セーフ！
卯月,口を拭った時点でアウトかな？カリスマポイント減点！
美嘉,くっ……油断した……
奏,カリスマポイントが無くなるとどうなるのよ……
美嘉,卯月みたいになるよ
卯月,そうそう、無個性で普通な女の子に……って、こら！誰がニュートラルの権化だよっ！
奏,……
卯月,あ、すべったわ
美嘉,……はふん
卯月,ででーん。美嘉ちゃんアウトー。……やあっ！
美嘉,いったー！な、なんで！？
卯月,ディスボケをノリ突っ込みさせた挙句、火傷させた罪は重いよ
美嘉,うぅ……ドリザッパを隠し持ってるとは……お尻痛い……
奏,その、柔らかい棒を隠し持ってる時点で普通の子では無いと思うけれど……。それは置いといて、何をボーとしていたの？恋する乙女の様だったわよ？
美嘉,あー……うん。あながち間違って無いっていうか……へへへ……
奏,え？ホントにそうなの？何々、詳しく聞かせてくれる？
美嘉,お？珍しく奏のテンションが上がってるね。実は昨日色々ありまして……ふふ
卯月,昨日……
奏,もったいぶるわねー。そんなにいい事があったの？
美嘉,いい事ってうか、女冥利に尽きる？……昨日ね、卯月が告白された件からの流れで
卯月,美嘉ちゃん！ちょっと待って！
美嘉,うん？どうしたの？
卯月,突然だけど、宣言しとくね。私、プロデューサーさんが好きなの！応援よろしくお願いします！！
美嘉・奏,……
卯月,以上です！では、続きをどうぞ！
美嘉,……卯月
卯月,……何かな？
美嘉,仲良しグループにありがちな、先に好きな人を言って他を牽制するやり方、アタシには通用しないから
卯月,えぇ！？恋愛テクニック本には鉄板の手段だって書いてあったのにっ！！
奏,そんな本燃やしてしまいなさい。にしても、美嘉もＰさんに……ね
美嘉,うん……。昨日、あのチャラい○○と収録が一緒だったんだよ。それで、あいつから粉かけられないか心配だーって、プロデューサーが付き添ってくれたんだ
奏,……あー。もう、読めたわ
卯月,美嘉ちゃんやっぱりチョロイよ！チョロチョロだよ！！このチョロヶ崎さんは、初めて見た動くものを親と思い込むひよこくらいチョロイよ！！！
美嘉,収録が終わったらさ、マジであいつアタシに声かけてきたんだ。不意をつかれたからアタシもしどろもどろになっちゃって……そしたらプロデューサーが君はうちの大切な美嘉に何をしようとしてるか分かってる？それ、君だけの責任で終われるものじゃないよ？って、間に入ってくれてさ。そりゃ、多少大人気ない感じもするけど、アタシの事で感情的になってるんだって思うとキュンってくるじゃん？それにアタシの盾になるような状態だったから、その背中を見てると、あぁ……アタシ守られてる、この人について行けば不安になる様なことはない、ずっと安心していられるとか思って……いや、違う。本能がそう言ってたんだ。そうか……本能と感情が同一性を持つとき、それが愛になるんだ。だからこんなに愛しい想いでいっぱいなんだ。あぁもう、プロデューサー大好きっ
卯月,な、長いっ！ていうか聞いて！？その想いをすりこみ扱いにしたんだよ！？聞いてよ、みーかーちゃーん！！！
美嘉,へへへ……プロデューサーの背中大きかったな……
奏,……完全にトリップしてるわね
モバＰ,お疲れー。お前ら何騒いでんだ？外まで聞こえてたぞ
奏,お帰りなさい。ちょっと仲良く喧嘩してるだけよ
モバＰ,どっちがトムでどっちがジェリーなのよ
奏,強いて言えば、どっちもトム？
モバＰ,それガチの喧嘩になるじゃん
美嘉,あ！プロデューサーおかえりっ！昨日はアリガトね！
モバＰ,おぉ。ホント付き添って良かったよ
美嘉,うん！それで、お礼ちゃんとしてなかったからさ。……ん
卯月,なぁ！？
モバＰ,こ、こら！ほっぺだからってキスはご法度！しかも奏の前でっ！
美嘉,いいじゃん別に～。お礼なんだし、嬉しいでしょ？
モバＰ,そういう事じゃなくて！
奏,お礼名目なら、キスしてもいいのね。ふふ
モバＰ,ほら～！！
美嘉,まあまあ。アタシのこと守ってくれたように、プロデューサーのことはアタシが守るからさ
奏,む……
モバＰ,だからって抱き付かんでもいいだろ
卯月,そうだよ！はーなーれーてー！
美嘉,いーやーだー！
奏,……子供ね
モバＰ,ほら、言われてるぞ。変な意地の張り合いすんなって
美嘉,変って！好きな人と触れ合いたいのは当然のことでしょ！？
モバＰ,はあ！？
美嘉,昨日の事でプロデューサーのこと好きになったの！別にチョロイ女だと思ってもいいよ！でも、気が多い訳じゃないからね！これでも一途だからっ！信じられないなら、ずっと傍で見てればいいよ！
卯月,なにシレッと独占しようとしてるの！？美嘉ちゃんっ！
美嘉,だって好きなんだもん！卯月だってそうでしょ！？
モバＰ,う、卯月も……？
卯月,えっ！？……わ、私は別に好きじゃありません！あ、アイドルなんですから、そういうのは卒業してから……です！
モバＰ,だ、だよな。ふぅ……
美嘉,日和った！勝った！！
卯月,ぁぅぅ……
奏,卯月は真面目ね。でも、それでいいのかしら？
卯月,っ……。あ、あのプロデューサーさん！実はまた告白されまして……この際暫く一緒に居てくれたら安心できるというか
美嘉,あ！嘘吐いた！この子嘘吐いたよ！プロデューサー！！
卯月,う、嘘じゃないよ？
美嘉,じゃあ、誰？言ってみて。はい、３・２・１
卯月,ピ、ピピン板橋さん？
美嘉,……ホント誰？
卯月,ピピンさんはピピンさんです！とにかく、美嘉ちゃんはプロデューサーさんからはーなーれーてー！
美嘉,いーやーだー！卯月はプロデューサーのこと好きじゃないんだから関係ないでしょー！
卯月,アイドルとしてのマナーを正そうとしてるのー！
モバＰ,お前らいい加減に……
うえきちゃん,ちょっとまったー
卯月,うえきちゃんが喋っ……目が合ったぁ！！
美嘉,わっわっ！動きだし……こっち来たぁ！！
うえきちゃん,ほっほっほっ
奏,……何してるの。フレちゃん
宮本フレデリカ,うえきちゃんの中に入れる程度に技術が進歩してねー。試しにうえきちゃんになりきってみた。脱がせて脱がせてー
奏,はいはい
フレデリカ,ふぅ……。はい、フレちゃんだよ。ヌルっと出てきたけど、うえきちゃんのホルモンじゃないからねー
モバＰ,……暇なの？
フレデリカ,一連の流れを汲んで出てくる第一声がそれかー。これでもプロデューサーの帰りを待ってたんだよ
モバＰ,普通に待っときなさいよ。んで、どしたん？
フレデリカ,美嘉ちゃんが言い寄られた○○っているでしょ？
モバＰ,情報が早いな
フレデリカ,うえきちゃんでバッチリ盗聴してたからね
モバＰ,こらこら。まあいいや、それで？
フレデリカ,実はフレちゃんもここ最近彼に絡まれてて、難儀してるんだよー
モバＰ,マジで？お前でも面倒と思う奴だったか
フレデリカ,そうそう。だから明日の収録一緒に行って欲しいの。彼もいるからさー……ね、お願い
モバＰ,ん、了解。昨日クギは刺しといたけど、フレデリカにまでちょっかいかけられてたと知っちゃ黙っとれんな。任せとけ
フレデリカ,ふっふー。ありがと。……ん～
奏,どうしたの？
フレデリカ,せっかくだから流れに乗るのも悪くないかなーって。なんか二人逃げてあっちにいるし
奏,……？
フレデリカ,プロデューサー、プロデューサー。カムカム
モバＰ,どした？
フレデリカ,ん
モバＰ,！
卯月・美嘉,はぁ！？
奏,あらあら……
フレデリカ,お礼の先払い！じゃ、フレちゃんは帰るねー。オルボワール
モバＰ,あいつ口にしやがった……
美嘉,奏！近くに居たのになんで止めないの！？
卯月,そうだよぉ！
奏,無茶言わないで。Ｐさんを置いて逃げた二人の隙でしょ？
美嘉,ぐぬぅ……。プロデューサー！アタシさっきほっぺだったからやり直させて！
卯月,駄目に決まってるでしょ！美嘉ちゃん、二度付け禁止！！
美嘉,乙女の口づけを串カツみたく言うな！
卯月,大体、最初に美嘉ちゃんがほっぺにチューなんて慣れないことするから、フレデリカさんにもってかれるんだよ！
美嘉,あ！自分は日和って出来ないからって、人の所為にしてっ！！
卯月,ひ、日和ってないもん！アイドルとしての自覚だもん！
美嘉,そうやってまた真面目なこと言って好感度を上げようとする！
卯月,そう！積み重ねが大事っ！
美嘉,認めた！？
奏,二人共テンションがとっちらかってるわね
モバＰ,もう、そっとしこう
渋谷凛,お疲れ様です
モバＰ,おーお疲れ。って、今日オフだったよな？
凛,うん。……あの二人どうしたの？なんか騒がしいけど
モバＰ,ほっといて大丈夫。ただのじゃれ合いだから。それで、どうした？遊びにでも来たのか？
凛,ううん。プロデューサーにお願いがあって来たんだ。これから暇だったらでいいんだけど
モバＰ,今日はもう特別やらないといけない事はないから、暇といえば暇かな。定時退社出来る喜びよ
凛,う……、そう言われると気が引けるな。仕事関係だし
モバＰ,仕事関係じゃ、逆に聞かん訳にもいかんって。遠慮されるほうが困るよ
凛,じゃあ……。今度デートスポット特集のレポーターを頼まれてさ、引き受けようかと思うんだけど
モバＰ,そう言えばそんな話が上がってきてたな。いいと思うぞ。会議でも反対意見は出んかったし
凛,うん。それで、本番前に下見に行きたいんだ。やるからにはちゃんとしたいし。だから、それに付き合ってくれると嬉しいんだけど……
モバＰ,なるほど。そういう事なら喜んで付き合うよ
凛,良かった……。友達と行って騒ぎになったら大変だし、かと言って一人で観覧車に乗る勇気は無いし……お父さんもお母さんも忙しいから、実はプロデューサーだけが頼りだったんだ
モバＰ,そうか。今日仕事が少なくて良かったよ。にしても、観覧車か……
奏,……二人で観覧車に乗るの？大丈夫、それ
モバＰ,凛は一応変装させるけど、純粋に取材なんだから問題無いだろう。個人的にちょっと照れるのがネックだな
奏,ふ～ん……それで、凛？観覧車だけなの？
凛,番組の企画では夕暮れに観覧車に乗って、そのあと完全予約制のお店でディナーだよ
奏,分かりやすいデートプランね
モバＰ,完全予約制ってことは今日そこに行くのは無理か
凛,ううん。予約は入れてるよ。道玄坂登で
モバＰ,予約してんのか……しかも、わりと正解に近い偽名だな
奏,思い切ったことするわね。Ｐさんが駄目だったらどうしたの？
凛,その時は大人組の誰かにプレゼントしようかなって。もう前金払っちゃったし
モバＰ,……それ経費で落とすからちゃんと領収書持ってこいよ。っと、もう五時だな。それじゃ行くか
凛,うん。あ、変装するなら一旦家寄ってもらえるかな
モバＰ,はいよ。それじゃ奏、また明日な
奏,ええ、お疲れ様
卯月,んも～美嘉ちゃん、ちょっとハイになり過ぎだよ！プロデューサーさんも何か言って……あれ？プロデューサーさん？
美嘉,いない……トイレ？
奏,Ｐさんなら凛とデートに行ったわよ
卯月・美嘉,……は？
奏,二人がコントしてる間に、凛がスッ……ってもっていったわ
卯月・美嘉,……はぁ！？
奏,観覧車に乗って夕暮れに黄昏たあとディナーに行くって。シンプルだけど楽しそうよね
卯月,な、なんで止めなかったんですか！？
美嘉,奏はそれでいいの！？フレちゃんに続いて凛にもしてやられて、それでいいの！？
卯月,そうですよ！悔しくはないんですか！？
奏,あなた達の都合を私に置き換えて言われても……。いや、そうね……ﾌﾌ。確かにＰさんには一言言っておきたいわ
美嘉,よし！アタシは凛に電話する！
卯月,美嘉ちゃん、スピーカーにして！凛ちゃんにアイドルの心得を説かないとっ！
美嘉,オッケー！
モバＰ,ん？奏から？……もしもし？どした
凛,私も電話だ……美嘉？あ、充電もうきれそうだったんだ。ま、いっか……もしもし？
美嘉,ヘーイ！！
卯月,凛ちゃん！アイドルが男の人とデートなんてしていいと思ってるの！？二秒で答えてっ！！
美嘉,今の卯月は凛の裏切りでキマッてるの！！脳内麻薬でガンギマリっ！！
卯月,プロデューサーさんとデートすることを裏切りと言わないでなんと言うの！？凛ちゃん！！
美嘉,もしもし！？もしもし！？凛！？凛っ！！りーーんっ！！！
卯月,きれ……た……
奏,ってことで、よろしくね？……うん、こっち？騒がしいのはいつも通……なんか卯月が膝から崩れ落ちてるわ
卯月,～～～っ！！
奏,そして膝を抱えて転がりだしたわ。お皿強打して痛かったみたいね
美嘉,う、卯月？大丈夫？
奏,あら、美嘉が卯月を見て冷静に……え？……うん、ちょっと待ってて。……卯月、美嘉？凛から伝言よ。電池切れたごめん。あと二人共怖い。だって
美嘉,こ、こわ……？そんなに変になってたかな……
卯月,ぅぅ……痛いですよ～プロデューサーさ～ん……
奏,……もしもしＰさん？二人はダウナーになったから心配しないで？
卯月・美嘉,どういう事！？
奏,あ、もう車乗っちゃうの？分かったわ。じゃあ最後に改めて……埋め合わせの件忘れないでね？今日行くお店で私ともディナーよ？もちろん二人きりで。……ん、よろしい。ふふ、じゃあ気をつけてね
美嘉,え？……今
卯月,なんて？
奏,卯月の件で貸しがあったから、一言言っておいたの。私ともディナーしてねって
美嘉,う、卯月！？
卯月,っ！あれは……とにかく、プロデューサーさんに電話をっ
奏,あ、Ｐさん運転中だから電話したら駄目よ
卯月,うぐぅ……
美嘉,それなら、また後で……！
奏,いいけど、もう約束したのよ？美嘉はＰさんを不誠実な男にしたいの？
美嘉,な！？い、言い方がズルい！！
奏,ふふ。二人が煽ってくれたおかげで、スムーズにＰさんを誘えたわ？ありがとう
卯月,美嘉ちゃんがけしかけるからっ！
美嘉,卯月だってノッてきたじゃない！
卯月・美嘉,もー！！
奏,……まあ、アレね。二人共
卯月・美嘉,何！？
奏,チョロイわ
卯月・美嘉,あ！
奏,いつまでも扱いやすい二人でいてね？じゃ……お疲れ様っ！！
卯月・美嘉,こ、こらぁ！！
奏,キャー！暴力はんたーい！！
卯月・美嘉,笑いながら逃げるなー！！
