本田未央,おはようございまー……
未央,よく普通に会話を再開できるよね。言いかけてたのに！？。なにその強キャラ感。その"ｳｨｯｽ"って言わなきゃダメ？。投げたの！？なんで！？。かっこいい……。そろそろクビになるレベルだからね！？
凛,……って！！！
未央,かっこいい以外の感想がないよ！？
凛,買った途端に返品だなんて常識を疑うよ！？
未央,違うだろ！！！！！。しぶりんのバカ！意を汲め！！！
凛,だって結局褒めてくれてないもん！！！
未央,そういう次元を通り越して賞賛してくれてるじゃん！もはや私は常務のファンだよ！！！
凛,どうやったら褒めてもらえるの！
未央,動機はかわいいのに致命的に読解力が欠けてるんだからもう！！！
凛,前置きが長くなったね、常務に"すごい"って言ってもらいたいんだけど
未央,しぶりんが気付いてないだけで世の中は褒め言葉でいっぱいだよ？
凛,未央はさ、みんなが何をした時に"すごい！"って思う？
未央,面倒くさいな……。まあ、自主トレとか頑張ってる娘をみたらすごいなーって思うけど……
凛,わかった、明日は朝4時から自主トレするから、ちゃんと褒めてね
未央,ロッキーかよ
凛,差し入れは生卵でいいよ
未央,ロッキーかよ。極端すぎるんだよ……
凛,他には？
未央,えっと……、小さい娘の面倒をよく見るとか？
凛,ぐへへ、なるほどね
未央,返事が本日トップクラスで不穏
凛,そうと決まれば、ありすを呼ばなきゃね
未央,ごめんありすちゃん、本当にゴメン
凛,いや、呼ぶ前に歓迎の準備をしなきゃ……！
未央,なんか本題からズレてない？
凛,"歓迎橘ありすちゃん"って横断幕を掲げて……
未央,普通に出社してその大歓迎は心臓に悪いよ
凛,驚くありすを抱きしめて、こう言うんだ……おめでとう……
未央,おめでたいのはしぶりんの頭だよ
凛,って、あ、今日のありす、終日ロケだ……
未央,よかった……
凛,この横断幕は次の機会だね……！
未央,それまでに燃やしとくよ
凛,お盆だけに？
未央,さっきからそれ全然面白くないからね！？
凛,もっといい案はないの？
未央,ここで偉そうにできるメンタルは賞賛に値するけど
凛,私の願いなんて単純なものなんだよ！？
未央,今のしぶりんからあいくるしさは1ミリも感じないからね！？
凛,わかった、じゃあ、未央は今までどんな時に褒めてもらった？
未央,な、なんか自分で言うのは恥ずかしいけど……
凛,そういうのいいから
未央,会話がしにくいったらありゃしないよ。……あ、この前、あーちゃんと待ち合わせしてた時のことなんだけど
凛,藍子のこと、好きなんでしょ
未央,今どき小学生でもそんな茶々の入れかたしないよ
凛,私とは遊びだったの……！？
未央,遊びでも縁を切りたいと思い始めたとこだからね！？
凛,その発言を受けた私とかけまして、枯れた大地に緑を！とときます
未央,どしたの急に！？
凛,……
未央,そ、そのこころは……
凛,植林ショック凛
未央,お疲れ様
凛,ま、待って！！！。どうしたの？急用？私でよければ付き合うよ？ねえねえ
未央,おおう鬱陶しい……！
凛,未央がいなくなったら私は誰と話せばいいの！？
未央,知らないよ！壁とでも話してればいいじゃん！
凛,自分より胸の小さいアイドルを壁って呼ぶのやめてよ！
未央,言ってないだろ！！！！！
凛,でも、人によって褒めたくなることって違うよね
未央,あー、確かにそれはね
凛,例えば私たちは金メダリストに"すごい！"って言うけど、常務は"ふっ……そんなものか"って言うかもだし
未央,血も涙もないな
凛,例えば私たちは芥川賞作家に"他にやることないの？"って言うけど
未央,言わないよ！？
凛,常務は"ふっ……そんなものか"って言うかもだし
未央,そこ変わんないの！？ちゃんと考えなよ！
凛,もう誰でもいいから私を褒めてくれないかな
未央,しぶりんにプライドはないの？
島村卯月,凛ちゃん！1人で事務所に来れるなんて偉いです！
凛,卯月……
未央,いいのかそれで！！！
卯月,もう！ちゃんと未央ちゃんが褒めてあげなきゃダメですよ！
未央,知れば知るほどこのしぶりんは褒めるところがないんだよ
卯月,酷いです未央ちゃん！凛ちゃんだって、何も行動をしなければ美人さんですよ！
未央,馬鹿にしてるよね！？
凛,卯月……
未央,ことあるごとにときめいてるな！
卯月,ほら！未央ちゃんも！
未央,ええ……。ま、まあ、仲間想いだなーとは思うけど……
凛,それだけ？他にはないの？
未央,張っ倒すぞ
卯月,人を褒めるというのは、とっても大切なことなんです！
未央,いや、改めて言わなくても……
卯月,でも、褒められたいならまずは他人を褒めなきゃです！試しに凛ちゃん、未央ちゃんを褒めてみましょう！
未央,うぇ！？
凛,そうだね、まずこんな私にいつも付き合ってくれてありがとう。自分でも勝手だと思うけど、未央がいなきゃ私はダメだと思う。それよりなにより、返しが面白くて最高だよね、何を言っても切り返してくれる安心感があるよ。仕事でも抜群のコミュ力で引っ張ってくれるし、顔良し、スタイル良し、気立て良しって全部揃って
未央,やめてやめてやめてやめて！！！！！
卯月,未央ちゃんなら1人でもやっていけますね！
凛,み゛す゛て゛な゛い゛で゛！！！
未央,勝手に盛り上がって勝手に泣くのもやめて！！！！！。大丈夫だから！ずっと3人一緒だから!
卯月,そう、思っていたのですーーーーー
未央,不穏なモノローグを挟むな！！！
卯月,というか、当初の目的はどうなったんですか？
未央,仮にも途中から来たのに当初のとか言わないでよ
凛,ううん、もういいんだ。だって私には、こんなに素敵な仲間がいる……！
未央,なんでいい雰囲気でまとめようとしてるの？？？。こ、このタイミングの来客は……！
常務,失礼する。渋谷はいるか
未央,こ、こんにちは！やっぱり！
凛,ｳｨｯｽ
卯月,ｳｨｯｽ
未央,未だに態度は改善されないのか！！！。えっと、しぶりんに用ですか？
常務,ああ、この前のCDの売り上げが好調だったこともあり、ソロでの追加公演が決定した
未央,おお！すごいじゃん！
凛,へぇ……で、常務はどう思う？
未央,褒めてもらいたいんだろうけど単に生意気なだけになってる
常務,ふっ……破竹の勢いとはこのことだな。この事務所を保つだけなら君1人でも大丈夫かもしれない。まったく、他のアイドルは生まれた時期が悪かったかもしれな……
凛,……
未央,じ、常務！もっと簡潔な言葉で褒めてあげてください！
卯月,そうですよ！校長先生の話は短いほうがいいですよ！
未央,そういう意味ではなくて！
常務,む……、そうか。渋谷
凛,……何？
常務,キミは、すごい！
未央,こっちから言っといてアレだけど小学校の先生みたいだな
凛,……
卯月,……
常務,……
未央,……
凛,えへへ……、ありがと
未央,ちょろっ！！！！！
卯月,でもかわいいって思いましたよね？
未央,……うん
