美琴,クリスマスなんざクソ喰らえじゃァァァァッッ
上里,きみにわかるか？女子が一定数以上集まった時のあのよくわからない連帯感とか絶対そう思ってないけどとりあえず合わせておくムーブとか。あとあの、アレが嫌なんだけど女子特有の数分前に言ってた事や考え方が突如180°変わるとか。何でもいい。会話というのは私の話をしっかり聞き、真摯に受け止め適当な相槌を決して打たず目を見て聞くだけにしろお前の意見は特に要らん。ただひたすら聞け。でもたまにホントに聞きたいこともあるからその時だけは意見を言えとか。ホントは1ミクロンも思ってないのにえ～カワイイよ～凄いカワイイ～え～もう超カワイイ～何それ～めちゃカワイくな～い？っていう副声音:お前はその変なのをカワイイと思って着てなブゥウウス！的なアレとか。女の子の下ネタは大概彼氏か元カレとの生々しい情事な所とか。男はさ…ほら、なんていうか下ネタも幼稚で楽でいいじゃないか…チンポまんことか言ってるだけで付き合ってる人の性癖とか間接的にバラしたりしないだろ…
フィアンマ,ああ…まぁ、わかる。お前もお前なりに苦労してる事はわかった
上里,きみは…わかってくれるのか…？
フィアンマ,まぁ俺様も一応管理職だったしそれなりに歳くってるからな
上里,理解者…！
フィアンマ,やめろ零れるだろ
上里,そうか…ぼくに必要だったのはぼくを受け止め理解してくれて諭してくれる目標となるようなカッコイイ大人の男だったのか…！
フィアンマ,ふ、ふん///
上里,ところで上条当麻
上条,…なんでせうか
上里,きみはいつまでいじけてる気なんだ
上条,はァん？！はァん！？お前にウチの経済事情とか長期間の努力が無駄になった上条さんの気持ちがわかんのかあぁん！？
上里,もう過ぎた事だろ。切り替えていけよ
上条,…
上里,ほら、空だろう？ついでやるから
上条,さんきゅ…
上里,まぁなんだ…好きな女の子がもう二度と帰ってこなかったとしてもきみの胸にある思い出は永遠n
上条,帰ってくるっつってんだろ！？じゃなきゃ奪い返しに行くわ！
上里,しかし…きみと彼女の今までの関係はある程度知っていたがクリスマスに元彼とデートというのは
上条,ステイルは元彼じゃねーしデートじゃねぇよ！
上里,えっと…元サヤ？
上条,鞘は俺だから！不良神父くんは…あの…とりあえず抜き身の刀を祀る感じで置いとく台的なアレだから！！
上里,しかし…常に”最悪の事態”をシミュレーション想定しておくのは
上条,そりゃいざと言う時に動きやすくなるからそういうのもアリだとは思うけどさ、
上里,いや、そうではなく
上条,え？
上里,もし最悪の事態になっても。ああ…わかってた…こうなるって、わかってた…って諦めがつくだろう…？
上条,俺さぁ！お前のそういうハイパーネガティヴさんなとこ超嫌い！
上里,よせよ//
上条,1ミリも褒めてねーよ！！
フィアンマ,さて、俺様はそろそろ本格的に呑むか
上里,へぇ、随分度数が高いヤツだな
上条,へぇ、随分値段が高いヤツだな
フィアンマ,…この国では20歳以下の飲酒は法律で禁止されてたはずだが
上条,かてーこと言うなよ
上里,”カリギュラ効果”って知ってるかい？人間は禁止されればされるほど好奇心が強くなる生き物だ
フィアンマ,不良学生どもめ。自己責任だ。呑むなら勝手にしろ。俺様は知らん
上条,不良神父ー
上里,お主も悪よのう、とでも言っておこう
フィアンマ,なんだその言い回しは…あと厳密には俺様神父じゃないからな。一番右方のフィアンマ！！グラブルとかのソシャゲのストーリー中、ノーモーションで立ち絵を崩さず横移動してくるアレをやってやろう！。ﾊｯ
上里上条,スゲー！！！
上里,これならいつグラブルとコラボしても大丈夫だ
上条,全くだな！！チェンクロやサモボ、消滅都市なんかもコラボしたんだ、Cygamesさんには是非頑張って欲しいな！！
フィアンマ,是非3期活躍するキャラをプレイアブルにして欲しいものだな。俺様とか俺様とか俺様とか
ｵﾃｨﾇｽ,私とかな
フィアンマ,！？
上里,あ、魔神！
ｵﾃｨﾇｽ,危な！？
上里,いけないな…コレはいけない。魔神は1匹見たら30匹はいるってホントだよな。コレは新天地送りにしないと
ｵﾃｨﾇｽ,何G扱いしてんだ殺すぞ！
上里,死ねぇえええ！！！
上条,イマジィィイイン↓！！パァンちっ！！↑！！
上里,──”新たな天地を、いっだー！！？
上条,俺のオティちゃんに何しやがる
上里,でも魔神は絶殺だし…魔神は死あるのみだろう？
上条,他の魔神は正直どうでもいいけどオティちゃんだけにゃ手は出させねぇぞ”理想送り”！！
ｵﾃｨﾇｽ,理解者ァァァァ！！！///
フィアンマ,なんか急に出てきたな…しかし随分小さくなって
ｵﾃｨﾇｽ,やめろ！ほっとけ！！
フィアンマ,いや確かに俺様もオッレルスと一緒にコイツに”妖精化”の術式は撃ち込んだが文字通り本物の妖精さんにになる事は
ｵﾃｨﾇｽ,私だって不本意だ馬鹿者
フィアンマ,しかしなんだ、何故最初からの参加ではなく今になって
ｵﾃｨﾇｽ,フン、宴の邪魔はすまいと隠れていたが何やら楽しげな芸と酒の匂いにつられて出てきちゃったんだ
上条,何それカワイイ
上里,くらえ！縦にした下敷きチョップ！
ｵﾃｨﾇｽ,危な！？
上条,てめぇいい加減にしやがれ！つーかお前いつも下敷き持ち歩いてんの！？
上里,きみだって妄想した事があるだろう？もしもテロリストが学校に侵入してきたらとか。その時にどう対処するかを考
上条,聞いた聞いた！それ大熱波の時に聞いた！えー！！下敷きってそんな使い方出来んの！？スゲー！！とか思ったけども！！。じゃなくて！それ以上やる気なら上条さんちから退場させるからな！
上里,…やるか？
上条,くっ、何か武器、武器は無いのか？！。くっ、こんな時に”上条さんソード”があれば！
ｵﾃｨﾇｽ,ネギならあるが…
上条,おお!!上条さんソード！！あるじゃねーか！
フィアンマ,待てなんだその霊装
上条,よっしゃー！！これさえありゃこっちのもんだぜ！！！
フィアンマ,上条さんソード…？
上条,負けちゃった…
ｵﾃｨﾇｽ,当たり前だろ
フィアンマ,…
上里,ザコ共が
上条,くっ、こんな時”上条さんハンマー”があれば…
ｵﾃｨﾇｽ,ネギならあるが…
上条,おお!!”上条さんハンマー”！！あるじゃねーか！。よっしゃー！！これさえありゃこっちのもんだぜ！！！
フィアンマ,さっきと同じでは…
上条,わーい勝ったー
上里,くっ、まさか魔剣下敷きブレードが負けるとは…
フィアンマ,うそぉ！！！？
上条,万能ネギはどこまで万能なのか…一生をかけて解き明かす価値がある研究テーマですな！！な！！
フィアンマ,わかったわかった！！わかったから顔を押し付けてくるな！
上里,隙あり！！
上条,隙無し！！。万能王！！
上里,バカな…！ぼくの魔剣下敷きブレードと渡り合えるなんて！
フィアンマ,下敷きって結構痛いよな…懐かしいな、昔アレで友達叩いて泣かしちゃった事が
上里,では二番上里翔流ぅ。マジックしまーす！
上条,へーお前そういうのもできるんだ
フィアンマ,よぅし見破るぞ！
上里,種も仕掛けもありません！人体消失マジックぅー！
上条,
フィアンマ,ほう！それはそれは！
上条,オイ待てそれひょっとして
フィアンマ,ふふん！楽しみだな！なあ幻想殺し！
上条,不安！しか！！ない！！！
上里,えーでは種も仕掛けも無い事を示すためにぃ、どなたかに御協力お願いしまーす。そこのきみ！
フィアンマ,おっ、俺様か…フフ楽しみだな見事暴いてやるぞお！
上条,オイやめとけ戦犯これたぶん事実上の島流しだから！！
上里,じゃ、そこに立って
フィアンマ,フフフ…！
上条,おい童心に返ってんじゃないよヤバいよそれ二度と帰って来れないヤツだよそれ
上里,それでは、ぼくのジャケットを被せ、ワン・トゥー・新たな天地を望むか？で彼を消してみせましょう！
フィアンマ,胸が踊るなぁ！
上条,案の定だよ！！！
上里,ワン！
上条,あああああ！！
上里,トゥー！
フィアンマ,ははーん、さてはこの布に何か仕掛けが
上条,燃えろ俺の何かァァァ！！！
上里,─────新たな天地を望むか？
上条,望まねぇぇぇぇぇ！！！！。zzzzzz
？,…
上条,んあ？。…。…えっと……今何時だっけ…。何時の間にか寝てたな…。上里は……靴も無いし…帰った、のか…。…なんだ…俺、何か柔らかいのを枕に、
インデックス,あ、起きた？
上条,……え？。インデッ、おとと
インデックス,もー。とうまお酒飲んだでしょ
上条,…んー
インデックス,ほら、酔いが覚めるまではまだ私の膝で寝てていいんだよ
上条,…ありがとなー…。…
インデックス,…
上条,…
インデックス,…
上条,…なぁ、ひょっとしてここは俺の理想の世界とか、魔神が創った世界とか、新天地だったりすんのかな…
インデックス,どうして？
上条,だってさ、俺を置いてイギリスに帰っちゃって…まだ帰ってくるはずが無いインデックスがここに居てくれてる
インデックス,もう、そんな言い方しないで欲しいんだよ
上条,…
インデックス,…
上条,…ほんとはさー…
インデックス,うん
上条,多分。たぶんさ、……俺……前々から準備してたのが…無駄になったとか、。ステイルにインデックス盗られたとか…。ぼっちクリスマスがイヤだったわけじゃ…なかったんだ…
インデックス,…
上条,…なんかさ…俺…心のどっかで思ってたんだ………お前と俺の関係が終わっちまうんじゃないかって…
インデックス,…
上条,だってさ…ホントは確かインデックスはイギリスに帰せって命令も出てただろ…
インデックス,…うん
上条,俺がイヤだ返さないって駄々をこねてるだけで…
インデックス,…でも、私もとうまと居たいから
上条,…、俺もまだ学生だから…お前養うのもちょっと大変だしさ…
インデックス,…うん
上条,俺達の関係性はさ…別に…恋人とか、肉親とか…血の繋がりがあるとか…家族、友達とかでも無いから
インデックス,…
上条,…不安…だったんだよな…。きっといつかこの明確に定義付けられてないお互いが一緒に居たいから一緒にいるだけの…居心地のいい関係は終わっちゃうんだって。…なんかさ…今回の事が……なんとなくその契機になっちまう気がしたんだ…
インデックス,…
上条,別に俺じゃなくてインデックスがステイルとか、アウレオルスとか…誰かお前を幸せにしてくれるヤツがお前を守ってくれるなら、俺はそれでも…。…。…あ、ダメだ無理。やっぱ俺じゃなきゃイヤだ
インデックス,そう
上条,………ああ、そうだ……。……ただ、ただ単に、……俺、一緒に楽しく特別な日を過ごしたかっただけなんだ
インデックス,うん…私もなんだよ
上条,…、あのさ…俺…なんかもうここが新天地でも夢でも、どこでもいいや…
インデックス,…
上条,いつものお前が帰ってきてくれたら…なんでもいいよ…
インデックス,…
上条,…。…。…zzzz…
インデックス,…
上条,zzz
インデックス,…
上条,zzz
インデックス,…
上条,zzz
インデックス,…
上条,zzz
インデックス,…
上条,zzz
インデックス,…。ロシアの時の私みたいな事言っちゃって。…あのね、とうま。行く時にとうまが凄い渋ってたし、私も早く帰ってとうまと日本のクリスマスを一緒にお祝いしたかったから。……私、ごはんも食べずに帰ってきたんだよ？。それにね、自分が何かどうしても譲れないワガママを組織に聞いて欲しい時はね？。その他の義務はきちんと果たすの。そしたら意外と聞いてくれるものなんだよ。だから──イギリスに、。あとね、私ね？どんな関係でも…とうまとずっと一緒に…
上条,…
インデックス,…
上条,…
インデックス,…ううん。なんでもないんだよ。…でも、コレだけは言うね。めりーくりすます！なんだよ。とうま
上条,…ん…。…
インデックス,…。────”Silentnight,…♪
上条,…
インデックス,holynight…♪
上条,…
インデックス,Alliscalm,allisbright…♪
上条,…
インデックス,RoundyonVirgin♪
上条,…
インデックス,MotherandChild…♪
上条,…
インデックス,HolyInfantsotenderandmild…♪
上条,…
インデックス,Sleepinheavenlypeace…♪
上条,…
インデックス,Sleepinheavenlypeace”…♪
上条,…z。zzzz…
インデックス,…ふふ。おやすみ、とうま
上条,zzzzzz…
フィアンマ,
娘々,あれあれぇ～っ！？あっるぇ～？知らないヤツがいるぞう～？
ネフテュス,からかいがいのありそうな子が迷い込んでるわぁ～？
テスカトリポカ,…
ヌアダ,…
プロセルピナ,…
フィアンマ,。酔い過ぎて気がついたらその辺の道端で寝ていた、なんて事はあるかもしれないが。飲み潰れて気がついたら異世界で”魔神”達に囲まれていたなんて事態に遭遇するのは俺様ぐらいじゃなかろうか
娘々,じゃ、またちょっと地球を何回でも何回でも破壊しちゃう～な遊びにでも興じますか☆
ネフテュス,そうね☆
フィアンマ,
上里,あっ、やっべ忘れてた
