園田智代子,お疲れさまっ！セーフ？セーフ？
夏葉,いいえ、ああした商品だって、開発者が技術の粋を集めて作ったものでしょう。頭ごなしに否定はできないわ。それに、体を動かすことが難しい人だって世の中にはいるものね
樹里,あー……、そういうとこは真面目なんだな、悪かったよ
智代子,あれをつけながらチョコ食べたら体重収支がマイナスになったりしないかなぁ……
樹里,こっちはこっちで過信だろ。お！実演販売か！
果穂,気になります！
智代子,って、凛世ちゃん、いつもの和服だよ？脱ぐのかな
果穂,なるほどです！！！
智代子,いや今こっちの質問に答えなかった！？。でもすごい……！和服を使って一気にアピールだ！
夏葉,やはり凛世は只者ではないわね……！
果穂,すごいです！！！
智代子,おお……動いてる音がする……！
樹里,実際、腹筋には効いてるのか？
夏葉,凛世のレポート待ちね
智代子,凛世ちゃーん！！！！！！。なに言ってるのかぜんぜん聞き取れないよ凛世ちゃーん！！！！！
果穂,り、凛世さんが小刻みに震えてます！！！
樹里,すげえ……スタジオで凛世だけピンボケしてるみたいになってんぞ……
智代子,いいから一度スイッチ切ろうよ凛世ちゃん！威力は伝わったから！！！
夏葉,威力というのもおかしな話ではあるけれど
樹里,いや目に見えて疲れてんじゃねえか凛世
智代子,も、もう少しベルト売る努力しようよ！！！
果穂,あれを買えばあたしも分身の術が使えますか！！！
智代子,ほら間違った使用用途で伝わってる！！！。でも、逆にいい宣伝かも……？
夏葉,明日、ツイスタに昨日のベルトで筋肉痛ですって書き込むまでが宣伝ね！
果穂,そこまで考えてるなんて……！凛世さんすごいです！！！
樹里,でも凛世の場合、あながち無いとも言い切れないからな……
智代子,全然ありえるよね……。なんだろ？
樹里,どうでもいいけど値段は勿体ぶってほしいな
夏葉,あら、智代子、あれって……
智代子,あー！私が凛世ちゃんにおすすめした！
樹里,あ？少女漫画か？
夏葉,確か、凛世と智代子はあの作品のボールペンを買っていたわよね
智代子,うんうん！凛世ちゃん、他人にオススメするほど気に入ってくれたんだね……！
果穂,面白いマンガなんですか！
智代子,ゔぁっ！？あ、か、果穂にはちょーっとだけ早い……かな？
果穂,？
智代子,うんうん！。嬉しいけど……！嬉しいけどなんでみんなハードルを上げるのぉ……！！！
樹里,……って、おいチョコ！あれって恋愛漫画だよな？
智代子,ふぇ？じゅ、樹里ちゃんも興味が！？
樹里,ちげーよ！大丈夫なのかって話だよ！
智代子,え……？
樹里,だから！アイドルが恋愛漫画に……その……共感とか、そういうこと言うのはマズいんじゃねーかってこと！
智代子,あっ……
果穂,？
智代子,た、確かに……、極端な話、”凛世も恋をしているのです”とか言っちゃったら……！！！
夏葉,樹里……あなたすごいわね……
智代子,アイドルというイメージを崩さないようにってプロ意識……！すごいよ樹里ちゃん！
果穂,よくわからないけどすごいです！樹里ちゃん！
樹里,だああああ！アタシじゃなくて凛世の話！！！
智代子,で、でもそれは……凛世ちゃんを信じるしか……
樹里,って早速やべえ！
智代子,わああ！！”自分のことのように思えます”とか言っちゃダメー！！！。セーフ！！！！！。わああ！！！。セーフ！！！！！。わああ！！！。セーフ！！！！！
樹里,ぜってー遊んでんだろ！！！！！
智代子,ふー、危なかったー……
夏葉,凛世自身はどこ吹く風ね……
樹里,大したメンタルだよ……
智代子,……
夏葉,……
果穂,……
樹里,……事故った！！！！！
凛世,てへぺろで……ございます……
樹里,アタシにはもう凛世がわかんねえよ……
夏葉,ウッカリンゼは擬音として設置できるのかしら……？
果穂,でも凛世さん！自分でベルト試したり、すごかったです！お疲れ様でした！
凛世,ふふ……ありがとう……ございます……
樹里,……まあ、面白かったと思うぜ
夏葉,そういえば凛世、腹筋は大丈夫？
凛世,はい……。無論……。筋肉痛で……ございます……
樹里,ダメじゃねーか！
夏葉,ともあれ、今日は智代子ね！
凛世,はい……折り返しでございます……
樹里,チョコいねえとツッコミ追いつかねえかもな……
果穂,樹里ちゃん！どうかしましたか！
樹里,あー、果穂、お前は真っ直ぐ育ってくれ……
果穂,？
樹里,ま、チョコはそつなくこなすタイプだし、大丈夫だろ
夏葉,そうね。智代子はそつなくこなすタイプだし、愛嬌があるから大丈夫よ
凛世,はい……。智代子さんはそつなくこなすタイプで……愛嬌があり……気も利くので……大丈夫かと……
果穂,はい！ちょこ先輩はそつなくこなすタイプで、愛嬌もあって、気も利いて、一緒にいると元気になるから大丈夫です！！！
樹里,そこまで言ってねえよ。おー
凛世,適材適所でございます……
樹里,おいおい……
夏葉,きっと、智代子も覚悟を持って仕事に挑んでいるのね……！私もそれに向き合った、最高のメニューを考えなくちゃ！心配はいらないわ智代子！
樹里,あー……
果穂,……
凛世,……
樹里,……
夏葉,……
果穂,お、お腹が鳴っちゃいました……
樹里,……冷蔵庫にあいつが一昨日買ってきたチョコが余ってたな
凛世,お手伝いいたします……
夏葉,智代子……恐ろしい子……！
樹里,待たせた。今凛世がお茶入れてくれてっから
果穂,ありがとうございます！！！
夏葉,ありがとう、樹里
樹里,チョコはどんな感じだ？
果穂,ずっと食べてます！！！
樹里,おう……苦しむのは自分なのにな……
果穂,ずっと食べてます！！！
樹里,わかった、わかったから
凛世,お待たせいたしました。お茶を入れて参りました……智代子さんはどのようなご様子でしょうか……？
果穂,ずっと食べてます！！！！！
樹里,もうやめてやれ。まあ、紹介自体は無難だったな
果穂,美味しそうでした……！
夏葉,食べ物を人に勧めるなら、何より美味しそうに食べることよね。勉強になったわ
樹里,お、テンポがいいな。……いやさっきと入り同じじゃね？
凛世,もしや……
樹里,また食いもんかよ！！！。ナチュラルに食い始めたぞ
夏葉,もうただの夕食にカニが出てきた時の智代子ね……
樹里,いや勝手に終わらせんな！！！！！！！！！
智代子,てへー！！！
夏葉,樹里がいたら怒鳴られてたわよアナタ……
凛世,カニの……お値段すら明かさず……
智代子,だ、だってカニってすごい集中力必要だし！気がついたら放送終わってて……てへ？
果穂,でも、ちょこ先輩、すっごく美味しそうに食べてました！！！
夏葉,そうね、智代子……あなたにそんな覚悟があるなんて……見直したわよ！
智代子,えへへ……って、え？覚悟？
夏葉,あれだけお菓子を食べたんだもの。今日からのメニューは過酷なものになるわ……。それでもアナタは、視聴者に美味しさを伝えることを優先した……！感動したわ！
智代子,え？え？？？
果穂,ちょこ先輩！すごいです！！！
凛世,その姿勢……凛世も見習わなくては……
智代子,……。……。……。……もちろんだよ！！！！！。で、でもとりあえずは今日の樹里ちゃんだよね！！！ね！！！
夏葉,そうね。大丈夫、メニューはしっかり私が考えておくから！安心して！
智代子,う、うん！ひぃぃぃぃぃぃ！！！！！
果穂,ところで樹里ちゃんはどんな商品を紹介するんでしょうか？
夏葉,紹介する商品は選べるの？
智代子,ううん！私の時は、現場に着いてから教えてもらったよ
果穂,あたしもそうです！ジャスティーンファイアソードがあってびっくりしちゃいました！
凛世,凛世も……おふたりと相違なく……
夏葉,そうなの……樹里には何が用意されてるのかしらね
智代子,でも、私のお菓子とか、凛世ちゃんの漫画とか、果穂のソードとか、多少はその人に合わせた物が用意されてるよね？
果穂,樹里ちゃんは……なんでしょう？
夏葉,よくスポーツをしているから、その周辺かもしれないわね
智代子,バスケシューズとか、野球グラブとかかな？
夏葉,まぁ……家電とかはないでしょう
智代子,樹里ちゃん、機械音痴だもんねぇ
果穂,あ！始まります！
智代子,何してるの！？！？！？。買わないよ！！！！！！
夏葉,波乱の幕開けね……！
智代子,むしろ幕が閉じてるよ……。不安しかないよ……
凛世,むしろ……樹里さんの声に驚きました……
夏葉,今、バキィって……
智代子,うるさいな！！！！！
夏葉,でも、樹里なりに苦手な機械に挑もうとしている気持ちは感じるわ……！
果穂,そうです！あたしもそう思います！！！
智代子,まぁ……それは確かに……
凛世,はい……せめて凛世たちだけでも……その思いを汲み取りましょう……
果穂,はい！
夏葉,ええ！
智代子,うん！。だから何してるの！！！！！。ってか樹里ちゃんの尺、短くない！？
樹里,し、仕方ねえだろ！！！あれ以上続けると損害が出るんだから！
智代子,通販番組でマイナス収支ってどうなの……
樹里,それ言うならチョコだって食ってただけじゃねえか！
智代子,なっ！わ、私は体を張って美味しさを……！
果穂,わー！ケンカはダメです！！！
凛世,おふたりとも……個性が出ておりました……
樹里,……あー、まあ、そうかもな。わりい
智代子,……私たち、素人だもんね。うん、頑張ったと思う！
果穂,はい！仲直りです！みんなで夏葉ちゃんを見ましょー！
樹里,……
智代子,……
果穂,？
樹里,果穂、大人だな……
智代子,果穂、大人だね……
凛世,始まるようです……
智代子,最年長だからね、夏葉ちゃんファイト！。夏葉ちゃん……
果穂,かっこいいです！！！
樹里,……
智代子,あれ？樹里ちゃん、どうかした？
樹里,いや……そういえば最終日だけど、売り上げってどうなってんのかなって
凛世,それならば……昨日……プロデューサーさまからお聞きしました……
智代子,本当！？
凛世,はい……偶然、夏葉さんと歓談中にプロデューサーさまが入って来られまして……
樹里,それで、どうだった？
凛世,トップが……果穂さんということだけお聞きしました……
果穂,本当ですかっ！
樹里,よかったな果穂！ちなみに、いくらくらいだ？
凛世,確か……500万円ほどの売り上げだと……
智代子,おおー！すごい！
果穂,ありがとうございます！！！
智代子,それじゃあ、夏葉ちゃんがいきなり私のサイン入り使用済み衣装を501万円で売るわ！とか言わない限りは果穂の優勝かな
樹里,ま、流石にアイツでもそんなバカなことは言わないだろ。やっべアイツバカだった！！！！！。冗談に聞こえねえんだよ……
智代子,びっくりしたー……！
凛世,愛用……？
智代子,化粧品とか？
樹里,アクセサリーとかじゃねーの？。やっぱバカだろあいつ
智代子,これは冗談じゃないんだよね……
樹里,あの自信満々の表情を見ろよ……
智代子,もはやプロテインの説明でもないよ
果穂,これでみんなも筋肉一等賞です！！！
樹里,あいつ売る気ねえな？。今更だけどこの番組のターゲットはどこなんだ
智代子,子どもから少女漫画好きから主婦から筋トレ好きまで……
果穂,でも、個性的ってあたしたちっぽいと思います！
凛世,果穂さん……
智代子,確かに……！
樹里,今あっさりルール破らなかったか！？
智代子,しかもセット販売……！？
樹里,自由だな……。まあ、それは便利だと思うけど……
智代子,一定周期で君主論が家に届くの、嫌がらせの部類だと思う
樹里,決めゼリフやめろ！！！
智代子,いいこと言ってたのに……。いやー、まさか私たちの紹介が大好評だったから、追加で1日もらえるなんてね！
果穂,しかもみんなでです！とっても嬉しいです！
樹里,全員揃うんだから、下手なマネはできねえな……！
凛世,そろそろ始まるようです……
夏葉,力を合わせるわよ……！！！
果穂,それじゃあ！円陣です！！！
智代子,うん！
樹里,放課後クライマックスガールズ〜〜〜！。やっぱりバッラバラ！！！
