健夜,ふ、ふふっ…買っちゃった。じゃーん！CMでやってた、好きなひとを追いかけるブルーレイ！。好きな芸能人を登録しておくとその人が出た番組をぜんぶ録画しておいてくれる…これはすごいよ…すごすぎるよ…。これでVHSの３倍録画とはおさらばだよ！。予約録画機能も無しに…がんばったなあ、わたし…。えっと、これを…こうして、ここで、こーこちゃん、っと…。登録っ！。できたー！うわー、さすが最新だなあ、簡単かんたん。えっと、今日はなにかこーこちゃんが出るテレビあるんだっけ。あ、なにかの特集のリポーターやってる、もうはじまっちゃうね。見ようっと
恒子,そう！大沼プロ、わたしたちがほんとに急遽調べてみたところ全然サイン会とかされてないそうで！これはよくない！ファンサービスは大事です！絵にもなる！
秋一郎,…
恒子,そこで今日は！大沼プロにサイン会をやってもらうことに、相成りました！。というわけでやってまいりました、本屋さん！でもただの本屋じゃあテレビ的に面白くないので！じゃーん！
エイスリン,オ、オカエリナサイマセ、センセー！
由子,お帰りなさいませなのよー、センセイ
秋一郎,…
恒子,なんとっ！メイド本屋でーす！！
秋一郎,…ここに座ればいいのか？
由子,そうでございますよー、センセイ
恒子,ただの本屋の内装と店員だけがメイド喫茶系統になっているという大胆なコンセプトで出来たお店なのです！５００円払うとブックカバーに魔法をこめてもらえます！すげえ！
エイスリン,モエモエマジック・コレヲヨンデ・ジンセイ・ユタカニナアレ～
由子,ペンをご用意いたしますか？センセイ
秋一郎,…いや
由子,わあ、万年筆なのよー
エイスリン,カッコイイ！
恒子,さあ！ではでは、えっと、５分後！５分後にサイン会を開始しますっ！。ふふ、実はけっこう宣伝済みなのです！わたしツイッターにも書きました！ほら！
秋一郎,…トゥイッターか
恒子,ん？なにしてるんですか、大沼プロ
秋一郎,……リトゥイート
恒子,おおー！大沼プロ、ツイッターやってたんですね！フォローしよっと
エイスリン,ワタシモ、リツイート！
恒子,おおっ！？こーの商売上手ーっ
由子,えへへ
エイスリン,スゴイリツイートサレテル！１マン！。オカエリナサイマセ！
淡,わあっ、かわいいねー
エイスリン,エ、エヘヘ
由子,大沼秋一郎先生のサイン会会場はこちらになりますなのよー
淡,えっと、うん、そうなんだけど…センパーイ？行こうよー？
誠子,ま、まって…やばい、ドキドキしてきた…
エイスリン,オカエリナサイマセ！
誠子,わっ、た、ただいまっ
恒子,こんにちはっ！大沼プロのファンさんですかー？
淡,わーこれテレビ！？やっほーテルー見てるー？えっと、わたしは付き添いで、こっちのかわいい人が大ファンでーす
誠子,だ、大ファンですっ
恒子,ほうほう、じゃあさっそくサインしてあげちゃってくださいプロ！
秋一郎,…有難う
誠子,あ、ありがとうございますっ！
恒子,さてさて、インタビューしちゃっていいかな？
淡,いいともーっ！
誠子,ちょ、ちょっと
恒子,サイン会一番乗りでしたが、学生さんですかー？
誠子,は、はい、大学生ですっ
淡,あはは、セーコかっちかち！
誠子,あ、あわいっ
恒子,大沼プロの大ファンとのことですが、それはいつから？
誠子,え、えっと、大沼先生が釣りの本を書かれているのを読んでからなので…だいたい３年前くらいです
恒子,おおー！釣り本から入ったんですか！
誠子,はい、その釣りの本、すっごいぶ厚いんですけど、読み始めたら夢中になっちゃって……なんでか分からないんですけど、ご飯を食べるのも忘れて読んじゃって……
淡,いちにち連絡がつかなかったんだよね！わたし電話いっぱいかけたのに！
誠子,だから、それはごめんって
由子,ちなみにその釣りの本っていうのはこのシリーズなのよー
恒子,ぶ厚っ！しかも上下巻！？釣り糸５月２１日の記上下併せて500円…安っ！ぶ厚いのに安っ！
誠子,５月２１日を持ってくるとは…このメイドさん、分かってるなあ…
由子,３年前に始まったシリーズで、このほかの日の記もあるのよー
エイスリン,ゼン８カン！
恒子,ほえー、釣り本でもすごいんだ
誠子,すごいんです！それで調べたら、小説も書いてるっていうから読んだら、ハマっちゃって
淡,わたしたちの部屋に大沼さんだけの本棚あるもんね！
恒子,ほうほう
淡,わたしがプレゼントしたのですっ！
恒子,えらい！
淡,ふふふん
誠子,あ、こんな古い本も置いてるんだ…
由子,実は伝統ある本屋さんなのよー
誠子,これ、ください、特製ブックカバーつきで
由子,ありがとうございます、ご主人さま
エイスリン,マホウ、カケマスカ？
誠子,え、えっと…
由子,５００円のところを、今日は大沼プロの本を持っているご主人さまに限り半額なのよー
誠子,え、すご…あれ？これすごいのかな…？
淡,…あのですね、アナウンサーさん
恒子,ん？
淡,自分ではたぶん言わないけど、大沼さんの本読んでから強くなったんだよ、セーコ
恒子,ほう！カメラに向かって詳しく話しちゃって！
淡,なんていうか、ニンゲンとして？なんかすごい良くなった！どうって訊かれても言えないんだけど、いざって時に見せる顔とか、やばいの！
恒子,ほうほうほう
淡,だからわたしとうとう告っちゃって、いまに至るのです！シアワセです！大沼さん感謝してまーす！
恒子,まさかの惚気オチ！
エイスリン,モエモエマジック・コレヲヨンデ・ツヨク・イキヨ～
秋一郎,…
淡,じゃあねー！
誠子,これからも応援してますっ！
秋一郎,…。…
恒子,すごいじゃないですか、大沼プロ！めっちゃファンでしたね！
秋一郎,…ああ
恒子,あれ？プロ的にはこういうのも、そうでもないかんじですか？
秋一郎,…いや
恒子,？
秋一郎,有難い
恒子,ですよね！いやーよかったよかった
秋一郎,…
恒子,せっかくのファンとの交流、やっぱり楽しんでもらいたいわけです、大沼プロにも
秋一郎,…ああ
エイスリン,オカエリナサイマセ！
美穂子,あら、これはご丁寧に
由子,大沼秋一郎先生のサイン会開催中なのよー
美穂子,え？えっと、大沼先生って、このまえ芥川賞を受賞された？
エイスリン,ウン、デゴザイマス、ゴシュジンサマ
美穂子,ご主人さま…？。ええと、実は道に迷ってしまって、ここに入ったんですけど…
由子,のよっ！？
美穂子,でも…もしかしたら、なにかのお導きなのかもしれないわ…
エイスリン,ソ、ソレハ…！
美穂子,偶然なんですけど…いま、持ってるんです、大沼先生の本
恒子,おおーっ！これはすごい！視聴者に仕込みを疑われるレベルの偶然だー！
美穂子,ここで買った本じゃなくても、だいじょうぶですか？
由子,ぜんぜんオーケーなのよー、ご主人さま
美穂子,こんにちは、お初にお目にかかります、大沼先生
秋一郎,…ああ
美穂子,こちらなんですが、いいですか？
秋一郎,…随分と
美穂子,えっ？
秋一郎,読み込んで、もらっているようだ
美穂子,…ええ、高校、３年生の頃から
秋一郎,…
美穂子,常に持ち歩いているわけではないんです、ときどき…読み返したくなる時があって…
秋一郎,…いいのか、これに書いてしまって
美穂子,…ええ
秋一郎,だが…
美穂子,こんなこと、ご本人のまえで言うことではないのかもしれませんけれど、わたしはきっと、これ以外のものは、手に取らないと思いますので…。わたしにとっては、この一冊に…続きも、代わりもないんです…だから
秋一郎,…そうか
美穂子,…すいません、やはり言うことではありませんでしたね
秋一郎,なぜだ？
美穂子,だって、こんな言いかた、まるで先生の存在を否定しているようで…
秋一郎,……小説を、書いて…それから、消えてしまうということは
美穂子,…
秋一郎,本望だ
美穂子,！
秋一郎,そういうのも、悪くない
美穂子,大沼先生…
秋一郎,サインをしたら、この、きみの本に関して、俺の仕事は終わりでいい
美穂子,…ここに、お願いします
秋一郎,…
美穂子,迷いこんで、よかったです、本当に
秋一郎,…有難う
美穂子,…
恒子,なんかいいはなし感…でも突撃ーっ！
美穂子,？ビデオ、ですか？これ
恒子,ビデオ？ビデオなのかな…？カメラではあります、はいっ！
美穂子,え、えっと？とってるんですか…？
恒子,オーイエ！録画リング、ナウ！インタビューしてもいいですかっ
美穂子,あ、はい
恒子,偶然大沼プロの本を持っていたとのことですけども、見せてもらってもいいですか？
美穂子,どうぞ
恒子,ほーこれは年季が入ってる！えっと、お、タイトルが…何語？
美穂子,ロシア語ですゴパン人の名前です
恒子,なるほど、ゴパンくんが活躍するお話ですね！
美穂子,え、えっと…いえ
恒子,おっと？
美穂子,ゴパンは女性で…出てくるのは名前だけで…
恒子,おお！これ以上はネタバレっぽい！ストップ！ごめんなさいストップで！。わたし買おうっと、すいませーんゴパンください
エイスリン,ゴハン？アタタメマスカ？
恒子,ノットごはん、バットゴパン
由子,これですか？
恒子,どれどれ…ゴパン、ある村のひとびとはゴパンのつくった言葉を使って暮らしている…あれ、説明書きこれだけ？
美穂子,たしかに…それ以上は、言えませんね
恒子,なるほど…これはワクワク！面白かったらすこやんにも貸してあげよっと。あ、特製ブックカバーお願いしまーす
エイスリン,カシコマリマシタ、ゴシュジンサマ
美穂子,大沼先生…奇抜な格好を…
恒子,コラですよ？
美穂子,こら？……？？？
由子,魔法かけますか？
恒子,全体魔法でお願いしまーす！
由子,かしこまりましたなのよー。エイちゃん！
エイスリン,ガッテン！
由子,萌え萌えマジック・サークル・アウト！
エイスリン,コレヲ・ヨンデ・ミンナ・シアワセニナレ～・グラン！
恒子,おおー！すごいすごい！超すごい！
美穂子,綺麗…
由子,全体魔法ですので、１０００円いただきますなのよー
恒子,はーい、領収書切ってくださーい、宛て名は総理大臣で
エイスリン,ソウジ、ダイジン…ハイ、ドウゾ、ゴシュジンサマ
恒子,どうもどうも
美穂子,ありがとうございました、お邪魔しました
エイスリン,イッテラッシャイマセ、ゴシュジンサマ
恒子,さて、そろそろCMかな？では大沼プロ、どうぞっ！
秋一郎,…チャンネルは回さないことだ
末原,ぎゃおー
和,末原…タコスオーディーン、おねがいします
優希,ビームだじぇ！
末原,…
和,シールド！？
やえ,…。撃て、末原
末原,…
優希,やられたじぇー
和,タコスオーディン！
咲,あっ…
和,咲さん！。…弱いものを狙うなんて…！
由子,おかえりなさ…あれ？
モモ,こんにちはっす
由子,わわっ、こっちでございますか、ご主人さま
モモ,あれ、ここ本屋さんっすよね？
エイスリン,ウン、デゴザイマス、ゴシュジンサマ
モモ,メイドさん…？んー…？
由子,大沼先生のサイン会を開催中ですなのよー
モモ,ああ、やっぱりここっすよね、間違えたのかと思っちゃったっす
恒子,もーこのうっかりさんっ
モモ,えへへ…って！テレビっすかこれ！
由子,テレビ局の言いなりになる代わりにサイン会のスポンサーになってもらってますなのよー、ご主人さま
モモ,わー、恥ずかしいっす…まいったっすね…
エイスリン,ドウシタノ？ゴシュジンサマ
モモ,えっと…実は、ここに来てることは秘密なんす…
恒子,ほうほう、というと？
モモ,ええと…わ、わたし今、一緒に暮らしてる先輩がいるんすけど…
恒子,ひゅーラブラブぅー
モモ,え、えへへへ
恒子,それでそれで？
モモ,先輩、たぶんこれ来たかったんじゃないかと思うんす、こーこちゃんがツイートしてたＵＲＬお気に入りに入れてたみたいっすから
恒子,あー…でも来れない、と？
モモ,っす先輩、今日朝から晩までテストっす
恒子,あちゃー
モモ,だからこっそりサインもらってきてあげようかと思って…先輩、そういうの頼めない人だから
恒子,おおーっ
モモ,でもこういうのさりげなくやりたいじゃないっすか、やっぱり
恒子,つまりこの、買ってる時を見られたくないわけだ！テレビで！地デジで！
モモ,っす
恒子,じゃあこうしよう！まずわたしがこれの放送日を教えるから、その晩に先輩さんをデートに誘います！。そこでサイン入り大沼本をわたします！。作戦完了！
モモ,おおー！完璧っす！無駄がないっす！それでいくっす！
恒子,よーし！じゃあサインっちゃおう！
モモ,あ、じゃあ本買わないと…
恒子,およ？持参ではないんだ？
モモ,先輩の本勝手に持ち出せないし、それに…
恒子,ん？
モモ,自分で、選びたいっす、やっぱり
恒子,ナイス！ベリーナイス！
由子,特設大沼先生コーナーはこちらでございますなのよー、ご主人さま
モモ,わあー…いっぱい本だしてるんすねー…
エイスリン,ナンデモゴザレ！
モモ,うーん…どれがいいっすかねえー…
恒子,大沼プロ的にはオススメとかありますか？
秋一郎,…いや
恒子,あれ？
秋一郎,その相手を、知らないからな
恒子,なるほど、たしかに！
秋一郎,選べるのは、あの娘だけだ
恒子,いちいち渋いコメントありがとうございますっ！
秋一郎,…
モモ,ふーむ…これは…でもなあ…
エイスリン,イス、オモチシマシタ、ゴシュジンサマ
モモ,え、いいんすか？立ち読みなのに…
由子,ここはご主人さまに尽くす本屋さんですなのよー
モモ,…ありがとうっす、お借りするっす。よーし、がんばるっすよー！ふむふむ…うーん…
恒子,わー、わたしもメイドさんやりたいなあ
エイスリン,ヤル？ゴシュジンサマ
恒子,え、いいの？ほんと？
エイスリン,フク、アマッテル、ヒトデ、タリナイ
恒子,わー！どうしよう！視聴率あがっちゃう？あがっちゃうかもですよこれはー！どう思います、大沼プロ？
秋一郎,…着るといい
恒子,はーいっ！すいませんカメラさん、着替えてきまーす！
由子,こっちですなのよー
モモ,これは…でもこっちも…両方買って…？。いや…それは…選べなくてそうするんじゃ…ダメっすね…。…あ、これもいいっすね…好きそうっす…
秋一郎,…
エイスリン,オジイチャン、センセイ
秋一郎,ん…？
エイスリン,…
秋一郎,…そうだな、不思議な気分だ
モモ,…決めたっす
秋一郎,…
モモ,これに、サインお願いします
秋一郎,…ああ
モモ,…これで、だいじょうぶだと思うっすか？
秋一郎,…さあな
モモ,そう、っすよね…
秋一郎,…この小説は
モモ,…？
秋一郎,祝福を書いた、小説だ
モモ,！大沼さん…
秋一郎,それでも、大丈夫だとは言えないがな
モモ,…
秋一郎,…
モモ,…ありがとうございますっす。これ、特製ブックカバーつきでくださいっす
エイスリン,ハイ、ゴシュジンサマ
恒子,帰ってきたよーご主人さまっ！
モモ,あれ、こーこちゃん？なんでメイドさん？
恒子,やってみたくなったから！。えー、どれどれー？ストロベリベリ病は風邪に似て…ほう、ほほう
秋一郎,…
恒子,なんか大沼プロのイメージ変わるタイトルですね
秋一郎,…そうか
モモ,でも、わたしちょっと読んでみたっすけど、そしたらイメージに結構合ったっす
恒子,マジで！？
モモ,誠実な気持ちの物語っす、たぶん
恒子,ほーう！じゃあ魔法もつけたげるから持ってけーい！エイちゃんっ！
エイスリン,モエモエマジック・コレヲ・ヨム・アナタニ・ホホエメ～
モモ,わあ、ありがとうっす！。先生、わたし、がんばってくるっす
秋一郎,…
モモ,ふふ、今度わたしもちゃんと読むっすね、先生の本
秋一郎,…
モモ,先輩に訊いたら、どれをススメてくれると思うっすか？
秋一郎,…さてな
モモ,えへへ。じゃあ、そろそろ失礼するっす
恒子,いってらっしゃいませーご主人さまっ！
モモ,行ってくるっす！
恒子,先輩さん、喜んでくれるといいですね、センセイ
秋一郎,…ああ
由子,お、もう次のご主人さまなのよー
エイスリン,オカエリナサイマセ、ゴシュジンサマ
恒子,お帰りなさいませご主人さまー
小蒔,ただいま戻りました
霞,あらあら、戻ってはないわよ？
小蒔,！たしかにそうですね…！
由子,大沼秋一郎先生のサイン会会場はこちらになりますなのよー
霞,はーい。じゃあ行きましょうか、ママ
小蒔,はいっ
恒子,ん？ママ？
小蒔,？
霞,どうかなさいました？
恒子,あれ、ふたりは、えっと
霞,夫婦です、ふふっ
恒子,なんと！。へえー、こんなお若いのに
霞,こう見えて子どももいるんですよ？ねえ、ママ？
小蒔,はいっ
恒子,おおっ！？ママさん！？
小蒔,ママさんですっ
霞,今日はちょっと遠出になるから、神社の人たちに面倒を見てもらってるんです
恒子,なるほどー、いやちょっとびっくりですねーご主人さま
小蒔,よ…いしょ、っと
恒子,うん？絵本ですか？ご主人さま
霞,ええ、今日はこれにサインを戴こうと思ってきたんです
恒子,ほえ？センセイ、絵本もかかれてたんですか？
秋一郎,…ああ
小蒔,ぶん・え、どちらも大沼先生がかかれてるんですよ
恒子,すげえ！でございます！
霞,サイン、くだサイン
小蒔,あ、ダメですよ、おやじさんギャグは
霞,うふふ、テレビにうつるって考えたら、なんか楽しくなっちゃって
小蒔,もうっ
霞,ごめんなさい
恒子,でも、どうしてまた絵本を？
小蒔,子どもによく読みきかせてる本なんです
霞,いちばんのお気に入りなんですよ、まだ言葉なんてわからないのに、確かにこれがいちばんなの
小蒔,この前いっしょにお昼寝してたときなんか、あの子、わたしより先に起きたみたいで、ひとりで一生懸命ページをめくって…
霞,特にね、このページが好きみたいで
恒子,おおー、なんだなんだ、このページ！
小蒔,いいページですよね、どう言っていいのか、わからないですけど
恒子,うんうん！
霞,では、表紙裏にお願いします
秋一郎,…子どもの名前を、入れるか？
小蒔,！お願いします！
霞,あら？育児本も出されてるんですか？
秋一郎,…ああ
霞,ふんふむ…。…。これにも、サインお願いします
秋一郎,…
霞,育児、されてたんですね
秋一郎,…昔の話だ
恒子,なんかそろそろ驚かなくなってきたであります！ご主人さま！
小蒔,わあ、可愛いブックカバーですね
由子,本日限りの特製カバーなのよー
霞,あら、じゃあ付けていただこうかしら
由子,５００円で魔法かけますなのよー？
小蒔,魔法！？ぜひっ！いただきますっ！
エイスリン,モエモエマジック・コレヲ・ヨンデ・ヨイゴカテイニナレ～・スペシャル！
霞,では、失礼します
小蒔,またいつかお逢いしましょうっ
由子,いってらっしゃいませなのよー
恒子,ふうっ、そろそろ着替えようかなこの服
秋一郎,…
恒子,センセー、着替えてきてもいいですか？
秋一郎,…ああ
恒子,じゃあ行ってきますね！ＣＭ入っちゃおう！
由子,チャンネルはそのままなのよー
エイスリン,モエモエマジック・チャンネル・フリーズ・エターナル！
由子,ライトアップ！
郁乃,うにょーん
和,いくのん…なんでわたしばっかり
やえ,あえて言おう、きみが王者じゃないからだ
郁乃,うにょーん
優希,またやられたじぇー
和,タコスオーディン！
やえ,未熟者め！わたしの末原を使ってみろ！。いくのん…逃しはしない
エイスリン,オカエリナサイマセ、ゴシュジンサマ
衣,うむ、出迎え大儀
恒子,お、そろそろ時間的に最後のお客さんになりますかね
由子,大沼秋一郎先生のサイン会会場はこちらになりますなのよー
衣,…尋ねたいのだが
由子,はい、なんでございますか？ご主人さま
衣,この、サインというものは、大沼秋一郎の本でないともらえないのか？
由子,あ…はい、大沼先生の本以外には、ちょっと、ご遠慮いただいておりますなのよー
衣,そうか…
由子,よろしければ、こちらに大沼先生の本を取り扱っておりますが…
衣,…いや、そういうことではなく
秋一郎,…その本
衣,…
秋一郎,見せてもらえるか？。サイン用に、持ってきているんだろう？
衣,…ああ
秋一郎,…
衣,この本に、見覚えはないか…？
秋一郎,…
恒子,ん？えっとー、どれどれ…秋市トメィトリコピンみっつぶんの殺人…？
由子,著者名もタイトルも初めて聞くのよー
エイスリン,カワイイナマエ！
秋一郎,…
恒子,大沼プロ…？
衣,どうだ…？
秋一郎,…ああ、あるな
衣,…では、やはり
秋一郎,ああ……これは俺の書いた小説だ
恒子,！？
衣,ふっ……だと思ったのだ、この前、芥川を取ったという作品を見たときにな
恒子,ちょ、ちょっと待って！
衣,？なんだ…？
恒子,わっかんねー、どういうこと？この、秋市トメィトさんが、大沼プロってこと？
秋一郎,…そうだ
恒子,秋市は名前のもじり？
秋一郎,…そうだ
恒子,トメィトは？
秋一郎,……
恒子,トメィトは？
秋一郎,…トマト
恒子,ホワイ・トマト？
秋一郎,……
衣,好物だから、とあとがきに書いていたな
秋一郎,…ああ。秋市トメィトは、わたしが小説を書きはじめたころのペンネームだ
恒子,お、これは面白そうな話！
秋一郎,…面白いことなど何もない
恒子,え？
秋一郎,…トメィトの作品で書籍化されたのはひとつ、リコピンみっつぶんの殺人だけだ
衣,…
秋一郎,そして、それも売れなかった
恒子,どんな小説なんですか？
秋一郎,…
衣,…ある館で殺人事件が起こる
恒子,おおっ、ミステリー！
衣,手がかりは、被害者の指先に付いた、トマト。当然八百屋が疑われた、だがな、八百屋はいいやつなのだ。八百屋がやったのなら、動機も見当が付く…同情できるような動機が、ゴロゴロでてくる
恒子,それでそれで？
衣,話としては、これだけだ
恒子,え…？
衣,探偵は迷う。この状況で…八百屋を疑って、捜査を始めるべきか、否か…
恒子,え、えっと…
衣,……これ以上はやめておこう
恒子,あ…
秋一郎,…
恒子,えっと…どうなんでしょう、ね
秋一郎,…どうこう言うつもりはない
衣,…
秋一郎,事実としては、売れなかったな
衣,それで納得してるのか？
秋一郎,……
衣,わたしはしてないぞ。わたしは、リコピンみっつぶんの殺人に、救われた人間だ
秋一郎,…
衣,わたしがこの小説に出会ったのは、両親を喪い、その死に関する疑いの目を親類から向けられていたころだった
秋一郎,…成程な
衣,笑うか？子どもじみた投影だ
秋一郎,…いや
衣,つらいときには、この小説を読んだ
秋一郎,…
衣,なんどもなんども、繰り返し読んだ
秋一郎,…
衣,この本で、涙をぬぐったこともある
秋一郎,…
衣,わたしが自分で読める本は、高校のころまで、この一冊だけだったよ
秋一郎,…。そうか
衣,これを…忘れようとしているのか…？
秋一郎,…
衣,秋市トメィトを切り捨てて、大沼秋一郎だけを自分というつもりか？
秋一郎,…
衣,わたしを支えてくれた本は、貴様にとっては消し去りたい過去か！
秋一郎,…いや
衣,…
秋一郎,…俺は、自分の書いたものを忘れたことはない
衣,…本当か？
秋一郎,…ああ
衣,ならば、なぜ…
秋一郎,…大沼の名で、トメィトを救うような真似はしたくなかった
衣,！
秋一郎,トメィトとしての矜持が、それを許さなかったんだ
衣,…トメィト
秋一郎,…
衣,…
秋一郎,…済まなかったな
衣,…いや、わたしこそ
秋一郎,…サインを
衣,え…？
秋一郎,俺の本に、サインをさせてくれ
衣,！
秋一郎,…
衣,……。ああ。お願いします
秋一郎,有難う
恒子,パーンッ！
由子,パンパーンッ！
エイスリン,ジャーン！
衣,な、なんだ…！？
秋一郎,…
恒子,なんかめでたい！めでたいかんじだから祝おう！
由子,エイちゃん！魔法を！
エイスリン,マカセテ！
衣,な、おい、離っ
エイスリン,モエモエマジック～
恒子,プロ！
秋一郎,……キミニ
衣,！！？
秋一郎,キミニ・サチアレ
恒子＆由子＆エイスリン,イェ～イ！！
衣,じゃあ、そろそろ
エイスリン,ゴタッシャデ、ゴシュジンサマ
衣,ああ…トメィト！
秋一郎,…
衣,これからも、応援している
秋一郎,…
衣,ふっ…ではな
秋一郎,…ああ
恒子,はい！ではでは、これでサイン会を終わろうかと思います！おつかれさまでした、大沼プロ！
秋一郎,ああ
恒子,どうでした？ファンの皆さんと接してみて
秋一郎,…久々に
恒子,ひさびさに？
秋一郎,……火が点いたよ
恒子,というわけで！プロジェクトＺ大沼プロ特集でした！。わたし実は大沼プロ作品まだ読んでないんですが！こっそりわたしにオススメの作品とか訊いちゃったので！読んでみよっかなーと思います！。来週は牌のおねえさんこと水原はやりプロに若さの秘訣を聞いちゃうから！テレビの前のすこやんは要チェックだよ！。ではでは、来週もまた見てくださいねー！ジャン！ケン！。パンパカパーン！。ばいばーい
健夜,んー、終わった終わったー。ふああ…なんだか眠くなってきちゃったなあ…。りもこ……どこふぁっけ……ん……ぐう。Zzz
華菜,くっくっくー
ゆみ,…ようこそ
郁乃,てや～。うりゃ～。ちぇすと～
やえ,ばかなっ！
和,あの人の末原が…！。集団でひとりを襲うなんて
咲,いくのんずるい…
ゆみ,ふっ…
華菜,勝ったほうだが正義だし！
和,？なにを言って……ハッ！
郁乃,びゅ～ん
華菜,数こそ力だし！
和,そんなオカルトありえません！
華菜,チェックメイトだし！
ゆみ,無傷、だと…
華菜,な、何が起こってるんだし…！
末原,ギャース！
和,アルテイメット…末原！
ゆみ,全滅か…
咲,あはは
和,…えっ？
咲,さあ、はじまりだよ？
