水本ゆかり,ふぅ……
ゆかり,……そちら、座っても？
法子,もちろん！どーぞ！
ゆかり,失礼します
有香,確かに何か、違和感が……怒りや悲しみではなく……何でしょう、緊張……？みたいな……
ゆかり,何か3人でお話を？
有香,あ、はい！え、えーっと……
紗枝,……
法子,みんなでドーナツ食べようと思ったんだけどね！全部あたしが食べちゃってたの！えへへ……
ゆかり,ふふ……法子ちゃんらしいですね。……そ、それで、おふたりはどのような反応を……？特に紗枝ちゃん
紗枝,？
法子,え？あ、そのドーナツの袋、軽そうだねって言われちゃった！紗枝ちゃん、よく見てるよねー
ゆかり,なるほ……はっ！？
紗枝,このぱたぁん多ない！？
ゆかり,ドーナツの袋、軽そうだね→私に食べさせる気がないくせに一丁前に袋だけは見せるんだね。全部食べちゃうなんてなんと卑しいことでしょう。法子ちゃん
法子,なあに？
ゆかり,紗枝ちゃんに謝りましょう
紗枝,なんでなん！？
ゆかり,紗枝ちゃんは……怒っています
紗枝,いやいやいや！一言も言うてへん！！！
ゆかり,今からでも遅くはないです
紗枝,ゆかりはんは色々手遅れやって！
法子,ごめんね紗枝ちゃん……
紗枝,法子はんも乗らんといて！！！
有香,た、確かにゆかりちゃん、ちょっと変かも……
紗枝,ゆ、有香はんも何か言ったって……！
ゆかり,！！！！！。何か言ってやって→なんで黙ってるんだ。お前からもこいつらに謝罪するように言ってやれ。そんなこともわからないのか。有香ちゃん……謝りましょう
紗枝,せやから！！！なんで！！！なん！！！。こない大きな声で言うことあらへんけど！！！怒っとらんて！！！
ゆかり,”こんなに大きい声を出させるな”……！？
紗枝,言うてへん！！！
有香,なんでそう思ったんでしょう……？
紗枝,うち、ほんまになんも言うてへんのに……
ゆかり,”こんなことも言わなきゃわからないのか？”……！？
紗枝,ゆかりはん！！！
有香,法子ちゃん……流石にやっぱりおかしいと思いませんか？
法子,うん……たくさんドーナツ買ってきたのに、もう食べ終わっちゃうなんて……自分が怖いよ……
有香,そっちではなく
法子,あれ？
有香,ゆかりちゃん、なんだか紗枝ちゃんが言ってないことに謝ってるみたいな……
法子,？
有香,と、とりあえずふたりとも、落ち着いてください！
ゆかり,私が悪いんです……
有香,ゆかりちゃんは誰と戦ってるんですか……！？。えっと……とりあえず確かめたいことがあるので、紗枝ちゃんに何か喋ってもらって、ゆかりちゃんはそれを繰り返してもらっていいですか？
紗枝,ええけど……
ゆかり,最善を尽くします
法子,不安だなあ
有香,じゃあ紗枝ちゃん、何か適当に……
紗枝,ええと……ほんなら……”今日も暑いどすなあ”
ゆかり,ええと……”明らかに和装の自分が一番暑いんだけど、冷房を強めるみたいな気遣いはないの？”
有香,なぜ？？？
法子,なんで？？？
紗枝,なんでなん？？？
ゆかり,？
法子,さ、紗枝ちゃんそんなこと言ってなかったよ！？
ゆかり,ふふっ、修行が足りませんよ、法子ちゃん
紗枝,なんで得意げなんやろか……
有香,”今日は暑いなあ”……はい！
ゆかり,”今日は暑いなあ”
有香,？？？
法子,”ドーナツ食べたい！”……はい！
ゆかり,”ドーナツ食べたい！”
法子,？？？
紗枝,”近ごろはレッスンが厳しなあ”……はい
ゆかり,”自分は完璧にできているのに周りの出来が悪くて何度もやらされるのは困るなあ”
紗枝,もう！！！！！。おかしいやん！
法子,お、落ち着いて！
有香,あの……ゆかりちゃんがさっき言ってた”修行”って……？
ゆかり,もちろん、紗枝ちゃんの真意を読み取る修行です
紗枝,もちろんて
有香,多分もう噛み合ってないですね
法子,誰かが言ってたの？紗枝ちゃんの言葉はほんとーじゃないって
ゆかり,こうなってしまっては仕方ありませんね……
紗枝,ゆ、ゆかりはん……？
有香,どこへ……
ゆかり,この辺に……
法子,？
ゆかり,ありました。こちらです
有香,これは……
紗枝,ふぁっしょん雑誌。どすなあ……？
法子,これが関係あるの？
ゆかり,こちらを
有香,あっ……
法子,あっ……
紗枝,あっ……
ゆかり,？。で、ではこの記事はデタラメ……！？
有香,よく聞く冗談ではありますけど……
紗枝,ぶぶ漬けなんて実際出しとるわけあらしまへん……！創作の話やさかい……
ゆかり,私は……なんてことを……！！！
法子,だから裏を読んで謝ったりしてたんだね！
紗枝,はぁ……悩んどったんが阿呆みたいやわ……
ゆかり,では、紗枝ちゃんの言葉はそのまま受け取っていいんですか……？
紗枝,あ、当たり前やわぁ！嘘ついたり、わざと濁すなんて言語道断どす！
法子,でも紗枝ちゃん、この前プロデューサーに撫でて欲しいって素直に言えてなかったって、周子さんが
紗枝,そ、それは普通の乙女心どすえ！周子はんはほんまに……もう……！
ゆかり,そうだったんですね……ごめんなさい……
紗枝,まあ、わかってくれはったんならええけど……うち……ゆかりはんに嫌われたんかと思て……
ゆかり,返す言葉もありません……。私も、紗枝ちゃんが今まで言ってくれた言葉までウソだったんじゃないかと不安になってしまって……！
紗枝,繰り返しやけど、うちはゆかりはんに嘘なんてつきまへん
ゆかり,よかった……それじゃあ、私のことをゆかりはんは優しい子やなって褒めてくれたのも、ウソじゃないんですね……
紗枝,へ？ま、まあ、正直に言うたことやし……
法子,へ～？
ゆかり,それじゃあ、私にうちはいつでもゆかりはんの隣ですやろ？と寄り添ってくれたのも、ウソじゃないんですね……
有香,そ、そんな大胆な……
紗枝,ま、まってえな……！急にそないな掘り返されても……
ゆかり,ウソだったんですか……？
紗枝,う、ウソやない！
法子,ねえねえゆかりちゃん！紗枝ちゃん、他にどんなこと言ってた！？
紗枝,の、法子はん！？
有香,わ、あたしも興味あります……！
紗枝,有香はんまで……！？
ゆかり,そうですね……この前は私に向かって、大胆にも……
法子,うんうん！
有香,うんうん！
紗枝,か、堪忍しておくれやす！！！！！
