モバＰ,以降Ｐ表記。ちょ飼い主
Ｐ,日本産の甲州ワインで煮込みましたから。和の味と相性良いんですよ。レバーも入ってますから。志乃さんみたいにお酒を沢山飲む人にはピッタリだと思いますよ
志乃,素晴らしい気配りだわ。志乃、もうこのお店に住む
Ｐ,やめてくださいアイドルやってください
志乃,とっても美味しいのだけれど…困ったわね
Ｐ,何がです？
志乃,やっぱり、飲みたくなってくるわ…これ
Ｐ,今日は十分飲んだんでしょうが
志乃,…だめ？
Ｐ,駄目です
志乃,…くすん
Ｐ,……本当にこの１杯だけですからね
志乃,ふふ、何だかんだで甘いＰさん嫌いじゃ無いわよ。…あぁ美味しい。甘くてすっきりして飲みやすいわね。どこの銘柄？
Ｐ,炭酸抜けたファンタです。いらっしゃい
凪,わーお、事務所の一角に居酒屋とはこれ如何に
Ｐ,ああ、ネギはまだ知らなかったか。一応な。不定期だけどな、ただの道楽だけどな
凪,凪です。凪は凪なのでネギとか言うな凪であってネギでなく凪は凪です。凪ゲシュタルト
Ｐ,折角だし何か軽く摘まんでいくか？お客さん初めて見る顔だし初回サービスしますぜ
凪,この店で一番高いものを、シェフ
Ｐ,水道水の水割りですね。畏まりました
凪,幼気な１４歳に鬼畜の所業。これが芸能界の洗礼か。おのれ魑魅魍魎跋扈する業界。さてはＰＰａｙの件まだ恨んでるとみた
Ｐ,新人とは思えない絶好調ぶりだね君ィ。取り合えず暖かいココアどうぞ
凪,暖かいココアどうも。…この味、森永か
Ｐ,バンホーテンだよ
凪,そっちでしたか。今日のところはニアピン賞で我慢します
Ｐ,はいはい。…で、最近どうだ？
凪,距離感を掴み兼ねてる思春期の娘とのコミュニケーションごっこの幕が開きました
Ｐ,事務所と寮暮らしにはもう慣れたかって親心ならぬＰ心だよ
凪,ほぼ毎日怪奇現象が起こる事務所にどう慣れろと言うのでしょう
Ｐ,３か月に１日くらいは何も起こらない事もあるってばよ
凪,ｏｈ…故郷のゆーこちゃん、はーちゃん、やっぱり都会は恐ろしいところです
Ｐ,はーちゃんも一緒にこっちに居るだろ。あとパパにも触れてあげなさい
凪,はーちゃんとは１日以上離れていると禁断症状でボンバーしますがダディとは心が繋がっているので。ノープロブレム
Ｐ,ちょっと待って情報量多すぎて噛み締め切れない
凪,ボンバー！
Ｐ,発症した！
泰葉,こんばんは。今日はやってるんですね
Ｐ,いらっしゃい岡崎先輩
泰葉,先輩て。普通に呼んでくださいよ
Ｐ,いや、この業界の先輩には変わりないし…
泰葉,じゃあ先輩命令です。普通に呼んでください
Ｐ,泰っち何か軽く食べていくかい？
泰葉,極端っ
Ｐ,今日は麺物が充実してるぞ。何ならハーフサイズにしてあげるけど
泰葉,じゃあ、頂いていきますね。今日は何がオススメなんですか？
Ｐ,皿うどんとちゃんぽんかな
泰葉,故郷のソウルフード。じゃあ、それお願いします。ハーフサイズで
Ｐ,ん？ちゃんぽんと皿うどん、どっち？
泰葉,…両方半々で
Ｐ,はいよ
泰葉,いつの間にかみんな当たり前のように受け入れちゃいましたね、これ
Ｐ,ハハッ、大らかな事務所で本当助かるわ
泰葉,私もこの事務所に来てプロデューサーさんに助けて貰いました
Ｐ,俺は何もしてないっての。はいお待ち。ミルクセーキはサービスな
泰葉,わっ、ありがとうございます。はふほふ…あ、あふっ
Ｐ,よく食べてよく笑うようになってくれたもんなぁ。オッサン何だか感慨深いわ
泰葉,あふふっ、何か言いまひた？
瑞樹,あっ！酷いわＰ君用事があるとか言って人の誘いを断っておいて！
Ｐ,だから用事がこれなんですって。あ、座るんですね、いらっしゃいませ
瑞樹,大将！とりあえずナマ！
Ｐ,生麦茶の三ツ矢サイダー割りですね畏まりました
瑞樹,冗談冗談、ウーロン茶ちょうだい。あと何か温かいものがいいわね
Ｐ,丁度今夜は豚汁仕込んでますけど、どうです？
瑞樹,もらうわ。バター入れてね
Ｐ,はいよ
瑞樹,さっきのは冗談だけどＰ君って飲みに誘っても全然来てくれないんだもの。お姉さん寂しい
Ｐ,たまーに出席してるじゃないですか。それに飲めないって言ってるのに楓さんは勝手に人のグラスに酒入れるし早苗さんは絡むし佐藤はしゅがーだし…
瑞樹,みんなＰ君という肴が欲しいの！それに君が来てくれないから毎回私が高垣係なのよ？
Ｐ,川島さんはもう楓さんのオカンみたいなもんだと思われてますもんね
瑞樹,わかってなるもんか
Ｐ,はいウーロン茶。あと豚汁バター入り。きんぴらはサービスです
瑞樹,ありがとう。…はぁ、あの飲み会でもこの気配りを発揮してくれると助かるんだけど…。Ｐ君やっぱり若い娘の方がいいのね…。私たち大人は仕事も１人で行かされるし。くすん
Ｐ,大人組の皆さんはもう立派な社会人なんですし１人でも大丈夫だと信頼してるから任せてるだけですってば
瑞樹,大人だからってしっかりしているとは限らないわよ！
Ｐ,頼むからしっかりしてくれよ！？
瑞樹,大人だって寂しいし構って欲しいのよ？ただ歳を取ってしまうと寂しい時に寂しいって言えなくなってしまうだけなの
Ｐ,わかるわ
瑞樹,と言う訳で週末の飲み会Ｐ君も参加ね
Ｐ,わからないわ！
瑞樹,大丈夫よ、今回は瞳子ちゃんや美優ちゃんも来るから酷い事には・ならないわよ
Ｐ,今の０．５秒の間が凄ぇ気になるんですけど
梨沙,もう１杯っ！
Ｐ,お客さんもうやめときなって。飲みすぎだよ
梨沙,うっさい！アンタは黙って注げばいいのよ！
Ｐ,このココア、アルコール入ってたっけ…
梨沙,……ぷはぁ！
Ｐ,荒れてるなぁ…どうしたよ？話くらいは聞くぞ？
梨沙,…パパがね
Ｐ,パパさんが？
梨沙,構ってくれないのよ！！
Ｐ,的場さんも忙しい人だし仕方ないだろ
梨沙,この前の連休だって折角の休みなのにアタシ以外の人と遊びに行ったし！
Ｐ,…そりゃあそっちが先約だったからじゃね？
梨沙,……ラーメン博物館楽しそうだったわよねぇ。パパと担当プロデューサーのツーショット写真送られてくるアタシの気持ちがわかる？
Ｐ,いや、あれは前から約束してたから…それに他の休日はほとんど遊びに連れていって貰ったんだろ？
梨沙,ほとんどじゃなくて全部！パパのオフは全部アタシの為に欲しかったのよ！
Ｐ,娘の愛が重てぇ
梨沙,…なによ、どうせパパはアタシよりアンタと遊ぶ方がいいんだわ。アタシよりアンタの方が大事なんでしょ
Ｐ,色んな意味で危険な発言はやめろォ！お前は俺をロリコンにしたいのかホモにしたいのか！？
梨沙,う゛う゛う゛～…パパのばかぁ…プロデューサーのロリコン、ヘンタイ、アイドルキラー…
Ｐ,ったく…あのなぁ、パパさんが一番大事なのは梨沙に決まってるだろ。お前は愛するパパの事を信じてあげられないのか？
梨沙,…そんな訳、ないでしょ
Ｐ,子供が大事じゃない親なんていないよ。ほら、ココアにマシュマロ入れてやるから
梨沙,……ありがと
Ｐ,来週パパさんと石ノ森萬画館行く予定って言ったら怒るだろうなぁ…
加蓮,やっほー。いつものお願いねー
Ｐ,いらっしゃい。ジャガイモを適度なサイズにカットして油で揚げたものでいいんだよな？
加蓮,そこは一言フライドポテトでいいじゃん
Ｐ,しかし飽きもせず揚げた芋ばっかりだねお前さんも。そろそろ体組織の半分くらいデンプンになってるんじゃないか？
加蓮,いやいやいや、私プロデューサーと違って普通の人間だから
Ｐ,どういう意味だってばよ
加蓮,病弱だった私はポテトを食べ続けてこんなに元気になりました
Ｐ,ファンが真似したら大変なことになるから仕事中に言うなよ？はい、お待ちどう
加蓮,わーい私の命の源～♪…あれ？このソースは何？
Ｐ,今日はちょっと趣向を変えてグレイビーソースとチーズをかけてプーティンにしてみた
加蓮,え、アーニャちゃんのお父さん？
Ｐ,それはプーチ…って違う二重三重に違う。プーティンな。カナダ料理だよ
加蓮,ふーん。じゃあ頂きまーす
Ｐ,出来立て熱々だからゆっくり食べろよ？この前みたいに熱さにビックリして逝ったりしないよう…
加蓮,
Ｐ,言ってる傍からよォ！？
加蓮,……あ、ゴメンちょっと逝ってた
Ｐ,うたた寝感覚っ
加蓮,あむあむ…うん美味しい。ポテトとチーズが合わない訳がない。あとこのソースも凄くいいね。えっと…グレイシーソースだっけ？
Ｐ,ブラジルの柔術家じゃねえよグレイビーソースだよ。肉汁と香味野菜やスパイスで作るソースな
加蓮,そうそう、それそれ。あちちっ
Ｐ,だから熱いからゆっくりお食べなさいと
加蓮,
Ｐ,言ってる傍からなァ！？
幸子,カワイイボク、ご来店！
Ｐ,はいはい夜なんだから大きな声出さない
幸子,あ、すみません
Ｐ,遅くまでレッスンお疲れ様。まぁ座りな。ホットミルク作ってあげよう
幸子,プロデューサーさんにしては気が利いてますねぇ。あ、お砂糖控え目ハチミツ入りでお願いしますね
Ｐ,はいよ
幸子,…。そもそも何で事務所の中でお店やってるんですか？
Ｐ,幸子は時々思い出したように常識人になるな
幸子,ボクは常日頃からこの事務所唯一の常識人ですよ！？
Ｐ,え？ボクは最善最高の魔王になる？ハハッ頑張れ
幸子,んんんん～っ！
Ｐ,とまぁ、おちょくるのはこのくらいにしてホットミルクどうぞ
幸子,まったくもう…ホットミルクどうも
Ｐ,熱いから気を付けてな
幸子,平気ですよこれくらい。噴火口も永久凍土もラクーンシティも乗り越えたボクですよ？…あっつ！
Ｐ,噴火口よりホットミルクが勝つのか…
幸子,はぁ…癒されますねぇ。これで英気を養ってまた明日からも頑張れますね
Ｐ,いつもの賑やかしい面々もいないもんな。紳士は１人いるけど
幸子,無粋なプロデューサーさんですねぇ！こういう時は素直に頑張れって言えばいいんですっ！
Ｐ,普段から凄く頑張ってくれている子に頑張れなんて言わないっての
幸子,じゃあその分存分にカワイイボクをと褒め称えてください！
Ｐ,はいはい幸子カワイイカワイイカワイイカワウソカワイイ
幸子,聞き逃しませんからね！？
Ｐ,いらっしゃい
クラリス,お帰りになられないと思ったら…昼間あれだけの激務をこなしてまだ働かれるのですか？
Ｐ,激務とか大袈裟な。折角顔見せてくれたんだし何か軽くつまんでいかないか？
クラリス,お、お気持ちは大変嬉しいのですが…実は今月もう手持ちのほうがあまり…
Ｐ,奢りますよ
クラリス,お言葉に甘えさせていただきますね
Ｐ,何にする？カツ丼？天丼？スタミナロースカルビ丼？
クラリス,Ｐ様は私に一体どのような印象を抱いているのですか！？
Ｐ,いや腹ペコシスターしてるのは相変わらずみたいだし。募金は偉いと思うけど自分の食費くらい残しなさいな
クラリス,申し訳ありません…
Ｐ,献身と自己犠牲は別物でごぜーますよ。まぁ偉そうにお説教する気は無いけど。ただでさえウチは細すぎる娘が多いんだし沢山食べてる姿見せてくれるとオッサンも安心できるのさね
クラリス,…先週のビュッヘでは食べすぎだとお叱りになられたのに
Ｐ,クラリスさんの皿がフライ一色すぎるからだよ！
クラリス,油で揚げることによって清められていますのでカロリーゼロになると教えて頂いたので
Ｐ,頭の中に１０万３０００冊の魔導書とか記憶してませんよね本当に
クラリス,ちょっと何言っているのかわからないんだよ！
Ｐ,嘘つけ絶対ネタ知ってるだろ！。ええい勝手にスタミナロースカルビ丼にしてやる！
クラリス,ああっそのようなカロリーの権化を…何と罪深い。主よ、この者の心の内の咎の闇をお救いください…あと大盛りでお願いします…
Ｐ,神様がリアクションに困るような祈りを捧げるんじゃないよ
みく,いつものくださいにゃ
Ｐ,和風？洋風？
みく,うーんとね…今日はさっぱり食べたいから和風！
Ｐ,はいよ
みく,～♪
Ｐ,しかしお前と蘭子は本当に毎回毎回ハンバーグで飽きたりしないん？別にいいけどさ
みく,乙女はハンバーグと甘いものだけ別腹なの！
Ｐ,甘いものは聞いたことあるけど。これが巷に聞く肉食系女子か…
みく,昨日も一昨日もハンバーグだったけど全然いけるにゃ！むしろ明日もハンバーグでもいいくらいだし
Ｐ,ハハッ、そのうちＣＭオファー来たりして。はいよ和風おろしポン酢ハンバーグ
みく,待ってました！いっただきまーす。はふっんぐ……うん美味しいにゃ。この凝った感じで色々小細工してる味
Ｐ,褒めてる？ディスってる？
みく,李衣菜チャンのハンバーグはね、タマネギ大き目で何て言うかホッとする味にゃ。響子チャンのはね、甘いソースでお母さんがたまにご馳走作ってくれる感にゃ
Ｐ,で、俺のハンバーグは？
みく,お家で出されたらああ、だから結婚出来ないんだこのオッサン
Ｐ,オマエ、ツギノシゴト、ツキジツアー
みく,ふっふーん。Ｐチャンが本気でそういうことしないの知ってるもんねー
Ｐ,夢見と千夜で新ユニット組ませてやる
みく,問題児押し付けるのやめろォ！
Ｐ,ユニット名はにゃん・ザコ・僕だな
みく,語呂の悪さがエグい
留美,今夜はここにいる日なのね
Ｐ,いらっしゃい
留美,たまにはみんなの飲み会に顔見せてあげればいいのに…
Ｐ,ハハッ、この前川島さんにも同じ事言われたんで久しぶりに参加してみたんですよ
留美,あら珍しい。私も参加したかったわ。楓さんとか早苗さんとか大喜びだったでしょ
Ｐ,スウィーティーとユッキはしばらく許さん
留美,…何があったのかは聞かないでおくわね
Ｐ,ありがとうございます。あ、今日は活きのいい牡蠣が入ってますよ。どうです？
留美,いいわね。じゃあお任せでいいかしら
Ｐ,はいよっ
留美,それにしても、事務所の中にこんなお店がある芸能プロダクションなんて、きっとうちくらいのものよね
Ｐ,そうですか？
留美,動物が喋ったり女の子が空に浮いたりする事に比べたら大した事じゃないかもしれないけど
Ｐ,この業界ある意味非常識でナンボみたいなところもありますし。本当に非常識なのはアレですけど。はいカキフライ
留美,１つ１つが随分大きいのね。これ高かったんじゃない？
Ｐ,いや、巴の実家から差し入れで貰ったんですよ。気を使わないでくれって言ってるんですけどねぇ
留美,それって今朝事務所の前に止まってた黒塗りの高級車の行列？
Ｐ,はいカキグラタンお待ち。今炊き込みご飯も作ってますから
留美,凄いわ…あっという間にカキ尽くしになっちゃったわぷしゅ！
Ｐ,だ、大丈夫ですか？ティッシュ、ティッシュは
ペロ,磯の香りに誘われたんだけど
Ｐ,猫に貝は駄目だってば。ああ和久井さんの顔がえげつない事に
留美,へぷしっ！へきちっ！みくっ！
ペロ,なんかゴメン
ちひろ,繁盛してます？
Ｐ,ショバ代なら払わんぞ！
ちひろ,まだ要求してませんよ
Ｐ,みかじめ料も渡さないからな！
ちひろ,私だってたまには仕事上がりに軽く一杯ひっかけたくなる日もあるんですよ！と言う訳で何かお薦めありますか？
Ｐ,揚げたてのフライドポテトとコーラなんてどうでしょう？
ちひろ,マック行くわい
Ｐ,チキンとビスケットもありますよ
ちひろ,ケンタ行くわい
Ｐ,七海と幸子がそれぞれロケで取ってきた本マグロとフグ鯨くらいしかありませんけど
ちひろ,十分すぎます。それください。あとそれに合うお酒も
Ｐ,はいよ
芳乃,ほー？
Ｐ,うん
ちひろ,どうかしたんですか？
Ｐ,いえ、冷蔵庫の中が自宅と繋がっていたので
ちひろ,ちょっと何言ってるのかわからないんですけど
Ｐ,待ってくださいね、今用意しますから
芳乃,お帰りでしてー
Ｐ,冷蔵庫の中に引きずり込まれる恐怖！
ちひろ,芳乃ちゃーん。せめて私の注文出させてから回収してくださいよー
アッキー,終わりだ
ペロ,牡蠣食べたかった
