菅原礼二郎,６３
菅原,だが、俺がこうなったのは元はと言えば……。俺の今までの生き方が招いた結果……
喪黒,世間一般でのヤクザのイメージは最悪ですからねぇ……。しかも、暴力団が様々な犯罪行為を行ってきたことも事実……
菅原,そうだよ……。ヤクザ自体が反社会的な存在だから……。俺は元ヤクザというだけで、今も社会の嫌われ者ってことだ
喪黒,よろしかったら、私があなたのために何とかしましょうか？
菅原,えっ！？
喪黒,元ヤクザのあなたが、まともに収入を稼げて、その上社会に貢献できる……。そんな仕事を紹介しますよ
菅原,一体何ですか……、それは……？
喪黒,例えば……。NPO法人に所属して、世のため人のために活動をすることとか……
菅原,確かに……
喪黒,そこでです……。NPO法人の代表になって、社会に貢献してみませんか？
菅原,な、何だと！？
喪黒,あなたがNPOの代表になって、貧困層やホームレスの支援をするんですよ
菅原,じゃ、じゃあ……
喪黒,菅原さんはその団体の名目的な代表になり、組織の運営はメンバーの人たちが行います
菅原,うーーーん……
喪黒,元ヤクザから立派に更生し、社会に貢献していると世間の人々はあなたを見てくれるでしょう……
菅原,そうか……。じゃあ、やる価値は大いにあるな……
テロップ,NPO法人いきいき会
喪黒,今日から、この団体の代表に就任することになった菅原礼二郎さんです
菅原,よ、よろしくお願いします……
喪黒,私たちはこれから、山谷の玉姫公園に行きます
菅原,ドヤ街で有名な山谷か……。確か、玉姫公園はホームレスが多いことで知られる場所なんだよな……
喪黒,そうです。私たちは、これからホームレスや貧困層向けの炊き出しを行います。菅原さん、あなた料理作れますか？
菅原,もちろん……。離婚前の俺は、マンションに妻名義で住みながら料理担当をしていたんだ
喪黒,それは、ちょうどよかったですねぇ
ホームレス,あ、ありがとう……。あんたたちのような、心の温かい人たちに出会えて……
菅原,俺が……。心の温かい人だと……！？。心の温かい人……。俺の人生で、そんな人間は今までいたのか！？それとも俺はそうだったのか！？いや、違う……。心の温かい人……か……。誰かのためになることをやるのは、気持ちいいもんだな……。この団体は、炊き出し以外でどんな仕事をしているんだ？
NPOメンバーA,そうですね……。ホームレスがまともな生活をできるように支援をするのが、いきいき会の活動の中心です
菅原,それは一体、どういうことなんだ！？
NPOメンバーB,ホームレスの人たちに、ちゃんとした住居を紹介したり、きちんとした手続きで生活保護を受給させるのが……
喪黒,住居の紹介や、生活保護申請のアドバイスによるサポート代によって、この団体は成り立っているのです
菅原,なるほど……。社会貢献を仕事にして、飯を食っているということか……
喪黒,あなたは、社会貢献をするための団体の代表を務めているのですよ。菅原さん
菅原,そうだったのか……。俺に課せられた責任はかなり重いようだな……
テレビ,今日の特集は……。ホームレスや貧困層の支援のあり方についてです……。ホームレスの支援を行うNPO団体いきいき会です……
BAR,魔の巣
喪黒,菅原さん……。いきいき会の活動がテレビのニュースで扱われていましたよ
菅原,いやぁ……。まさか、俺がこんな形でテレビで放送されるとは……。何だか、恥ずかしいな……
喪黒,恥ずかしくなんかありません。これはむしろ、誇るべきことなのです
菅原,そ、そうなのか……
喪黒,元ヤクザから更生して、ちゃんとしたカタギの人間になることができた……と
菅原,言われてみれば、そうかもしれんな……
喪黒,菅原さん。あなたは、反社会的な存在で嫌われ者という今までの人生とは、もうおさらばしたのですよ
菅原,ああ……。言われなくても、承知しているよ
喪黒,だから、菅原さん……。あなたには、私と約束していただきたいことがあります
菅原,わ、分かったよ……。喪黒さん
組長,どうやら、菅原の奴……。NPO法人の代表になったらしいな……
組員A,はい……。菅原の兄貴が代表を務めるNPOは確か、ホームレスや貧困層の支援をしているそうです
組員B,ヤクザをやめた菅原さんが、こんなことをやっているとは本当に意外でしたよ
組員C,全く、ろくな金儲けにもならないのに……
組長,いや……。菅原のNPOは、やり方次第ではいいシノギになるぞ……
テロップ,竹内信柳沢健一哀川太一元近藤組組員
竹内・柳沢・哀川,俺たちもいきいき会に入れてくれ！菅原の兄貴の手助けがしたいんだ！
菅原,……分かった
組長,実はな……。今度、いきいき会に入った3人の元ヤクザは、うちの組を偽装破門した人間なんだよ……
組員A,なるほど……。組の息のかかった人間をNPOに送り込んで、組織を乗っ取るんですか……
組長,そういうことだ。いきいき会のNPOの収入は、ある程度近藤組が分捕る……
組員B,さすがは組長オヤジ
組長,今の時代、ヤクザの世界で生きていくために必要なものは……。やっぱり、これなんだよ！これ！
竹内,これからは、俺たちがNPOを好きなように運営してやるからよぉ！！分かったか！！
柳沢,俺たちにはケツ持ちがあるんだよ！！だから、くれぐれも俺たちに逆らうんじゃねぇぞ！！
哀川,もしも、お前らが俺たちに逆らったなら、夜道を安心して歩くこともできなくなるからなぁ！！
菅原,お前たち、何てことをしてくれたんだ！！
竹内,俺は菅原の兄貴のためを思ってやったまでのことですよ
柳沢,兄貴も、元は近藤組のヤクザでしょう？だから、いきいき会を近藤組のための組織にして何が悪いんですか？
哀川,そうそう。俺たちはヤクザとして、いろいろシノギを行ってきたおかげで……。世間というものを知っていますから……
菅原,うーーーーん……
竹内,だとしたら、やるべきことはこれしかないでしょう！！
菅原,これというのは……
柳沢,貧困ビジネスに決まってるじゃないですか！NPO活動は、やり方次第ではボロ儲けができますよ！
菅原,なっ……！？
哀川,ホームレスをタコ部屋に閉じ込めて、生活保護費をピンはねしてやるんですよ！！あと、それと……
竹内,貧困ビジネスに手を染めたおかげで、こうやって夜の街で遊ぶ金もできた！！貧困ビジネス万々歳だ！！
菅原,さすがはお前たちだ……。俺にも、お前たちのような知恵があればヤクザを続けられたのかもしれんな……
柳沢,なぁに、NPO代表は菅原の兄貴ですし、うちの組織のケツ持ちは今や近藤組ですから……
菅原,やぁ、喪黒さん……。久しぶりだな……
喪黒,菅原礼二郎さん……。あなた約束を破りましたね
菅原,なっ……！？
喪黒,私はあなたに忠告したはずです。あなたの私利私欲や、反社会的な活動のためにNPOを悪用してはいけない……と
竹内,おい、おっさん！俺たちは貧困ビジネスなんかやってねぇよ！！
柳沢,そうだ！！くだらん言いがかりはよせ！！
喪黒,確か……。あなたたちは生活保護のピンはねや、向精神薬の違法売買を行っていましたねぇ。証拠も私は掴んでいますよ
菅原,くっ……！！
哀川,そこまで知ってるのなら、おっさん……。近藤組の事務所まで、俺たちがお前を連れて行ってやるよ……
喪黒,仕方ありません……。あなたたちにはそれ相応の罰を受けて貰いましょう！！。ドーーーーーーーーーーーン！！！
菅原・竹内・柳沢・哀川,ギャアアアアアアアアア！！！
テレビ,NPO法人いきいき会が、ホームレスの支援を利用して生活保護費を騙し取っていたことが明らかとなりました……
菅原,全国のニュースで報道されている……。このままでは、俺たちは警察の捜査を受けるのも時間の問題だ……
ホームレス,菅原さん……。あの炊き出しの日以来、俺はあんたのことをずっと信じていたんだ……。それなのにあんたは……
喪黒,そもそも……。世の中には光の面だけでなく影の面もありますし、人間社会は常に矛盾を抱えているものです
