●全20レス,予定
黒木,だからわたし、教えてあげたんです。岡田さんに。根元さんが、声優を目指してるって言えなかった理由
加藤,イヤホン？
黒木,聞いてください
加藤,う、うん。えっ？？？
黒木,・・・知ってます、よね
加藤,あ、うん。でも・・・
黒木,今度はこっちを
加藤,！・・・・・・・・・・・・
黒木,・・・
加藤,・・・・・・な・・・・・
黒木,・・・
加藤,・・・なに・・・これ・・・なに・・・
黒木,同じ人です
加藤,・・・・・・・・え・・・・・・・・
黒木,同じ人の声なんです。わかりませんか
加藤,・・・うそ・・・そんな、まさか・・・・。・・・・う・・・そ・・・・。・・・・
黒木,・・・・
加藤,うん、完璧
黒木,・・・そう、かな
加藤,もうわたしは、黒木さんに教えなくって大丈夫だね
黒木,そっか・・・
加藤,・・・でも
黒木,・・・・・・・・・・・・
加藤,約束通り。誰にも言ってないよ。茜にだって、根元さんにだって。・・・・・わあ・・・・・・
黒木,・・・・・・・
加藤,これ、なんて、言うの？
黒木,・・・百合、です
加藤,・・・百合？女の子同士のことを、そういうの？
黒木,男同士は薔薇っていってて、そこからきたみたいです・・・
加藤,・・・・・すごい・・・・・。・・・・・・・・
黒木,・・・・・・・・
加藤,わあ。こんなことまで・・・
黒木,・・・近い！近いよ！！
加藤,・・・・・・・・・
黒木,あ、あとちょっと！あとちょっと下！！。さわっちゃう？さわってもいいのかな？！。いいよね？！女の子同士なんだし！ちょっとだけなら！！
加藤,黒木さん
黒木,は、はいいいっ！？
加藤,大きい声出したら聞こえちゃうよ、もう。・・・こないだのも、見せて
黒木,・・・こないだ？あ・・・
加藤,うん。おねショタだっけ？お姉さんと、男の子の
黒木,は、はい
加藤,・・・・・・・・・・・
黒木,・・・えっと・・・
加藤,・・・きれい。黒木さん。あなた、さっき、見てたよね？。わたしのここ、じーっと。ふふふ・・・。黒木さんって、そう言う趣味なのかもね。内さんも、そう言ってたし。今日は香水変えてみたんだけど、気づいてくれたかな？ふふふふっ
黒木,待ってて。待って、あとちょっと・・・
加藤,とがったあご、細い首。小さな肩、まっすぐな手足。まるで・・・
黒木,・・・・・・・・・・・
加藤,いやがらなかった、よね。黒木さん、何しても。手をさわっても、顔いじっても・・・・
黒木,よっしゃ。はい、加藤さん
加藤,きゃわあ？！
黒木,きゃわ？！
加藤,あっ、あ、あ・・・・
黒木,か、加藤さん？
加藤,な、なんでもない。なんでもないの・・・
黒木,・・・？？まあ、これ、こないだの・・・
加藤,・・・あ、ありがとう、ね。黒木さん・・・
