智絵里,前回までのお話し。私のせいで、Ｐさんは理由あって女装をして事務所でお仕事をしています。みんながＰさんのことを女の人だと思っているある日、紗枝ちゃんがＰさんの匂いに夢中になりました。最初は隠れてＰさんのスーツやコートの匂いを嗅いでいるだけだったけど……最近は直接匂いを嗅いだりしています。私の出番はこれでおしまいみたいです。あと短いです
奈緒,あ、ああ、昨日は晶葉から借りたゲームやっててつい……って、他人の尻の臭いで生活事情を把握しようとするなよ！！
紗枝,逃がしまへん。あとほんのちょっと……
ちひろ,……
Ｐ,……
ちひろ,……あれ、ほっといていいんですか？
Ｐ,まあ……いいかな
ちひろ,いや、止めましょうよ
Ｐ,ほら、紗枝が奈緒に絡んでればこっちの仕事も邪魔してこないし……
ちひろ,でもアレ、外でやられたらちょっと大変ですよ？
Ｐ,まあほら、２人ともまだ若いから
紗枝,何言うてはるの、Ｐはん？
Ｐ,わっ！？ちょ、ちょっと紗枝！あなた奈緒のお尻の臭い嗅いでたんでしょ！
紗枝,奈緒はんのお尻の匂いとＰはんの匂いは別ものどす。うちにとってはＰはんの匂いは一番大事やから……
Ｐ,もー、せっかく髪の毛直したのに……ちょっと奈緒、紗枝引き取って頂戴
奈緒,あ、あたしだってやだよ！！誰が嬉しくて尻の臭い嗅がせたりするんだよぉ！！
紗枝,はぁ……どっちもええ匂いどすなぁ……
