ミカサ・アッカーマン。彼女は,逸材
エレン,こいつ図太いようで、意外とプレッシャーに弱いんだよな。すぐ泣くし。ほら、泣くな。俺の肉食っていいから
夜、食堂にて、ため息をつく三人である。無理もない、,自由の翼
エレン,あ、ほらミカサ。あそこにいるのモブリットさんじゃねえ？お前あの人格好いいって言ってたじゃねーか、顔拭け
ミカサ,言ってないけど拭く…
アルミン,こんばんは、モブリットさん。今からお食事ですか？遅いですね
モブリット,うん、ハンジ分隊長に付き合ってね。お邪魔でなければここ、いいかい？
モブ,ノルマ？うち、ほぼ達成したよ
アルミン,あ、あの…壁外調査一回とトロスト区防衛・奪還作戦だけでどうやって、通常種10の奇行種2を達成できたのか、お聞きしてもよろしいですか？
モブ,いやあ、簡単だよ。だってうち、分隊長があの人だもん
あの人…三人の中に、時折異臭を放つメガネの女性が思い浮かぶ。ハンジ分隊長、生粋の巨人好き。,生来の変人
モブ,とにかく捕まえようとするでしょ、んで殺しちゃう。ソニーとビーンみたいに捕まえられても、最終的にはやっぱり殺しちゃうから。研究を目的にしているから、自己目標自体が低いし、別枠評価もつく。だからこその裏技だけどねー。とにかく、ノルマは達成しました
エレン,実はリヴァイ班も、合計して目標自体は達成しているみたいです。それ以外に別枠評価として、俺の護衛と討伐体数による歩合がつくと
ミカサ,！エレン、目標達成していたの！？ずるい！
モブ,まあまあ落ち着いて。今日ね、実は団長会議で、そこのエレンの評価をどうするか決めるらしいよ。それにハンジ分隊長も出席してるんだ
エレン,死んでたら何点、うなじごと切り取られてたら何点とか…嫌だなあ
ミカサ,いいなあ、ハンジ班。私もそっちに行きたい…精鋭とかいらない
アルミン,ところでモブリットさん、巨人殺害にノルマがあって、なおかつ別枠で捕獲を行ったということは、班の人数はいかほど減って
ミカサ,牧場www
アルミン,それが、あの人のウォール・マリアを取り戻す目的なんだw
エレン,まあ、土地が戻って来たら牧場でも何でもやればいいけどww似合わないなあ、牧場と兵長w
エレン・アルミン,おー
モブリット,その心意気！
リヴァイ,…うるせえぞハンジ
ミケ,レポートは勘弁してやれハンジ…大丈夫ですか、団長。水、貰ってきましたよ
エルヴィン,す、すまない…うぉえっぷ
ハンジ,もう全部出しちゃったほうがいいですよー。下手に残ってると馬車の中でまた吐きますよ
リヴァイ,勘弁して欲しいところだな…ほれ、ハンジ、おがくず。ミケはちりとりだ
ハンジ,ちょっと！何で箒まで持たせる？リヴァイは何をやんのさ
リヴァイ,応援
ハンジ,しろよ！しろよ応援？待ってるからな！。無茶な飲み方して…今回の会議で揉めたの、例の兵器の件だけでしょう
ミケ,だけって、兵士の共済金を担保にして商会から金を引き出したんだぞ。十分なタフ・ネゴシエイターぶりだったろう。フン、ゲロも吐くってものさ
リヴァイ,秘密兵器…採算が合わなかったら各社で株主総会だ、うちも下手すりゃ王会だ。ゲロで済んでるうちがめっけもんだ…
エルヴィン,君ら、ゲロゲロ言わないでくれ…まだ胃がムカムカする
リヴァイ,吐くなら外だ。ミケ、窓開けとけ
ハンジ,マジ思いやりのかけらもないな、私たちの希望に向かって
リヴァイ,…ところでエルヴィン、俺、最近いい馬買ってだな…交配させたいんだがなかなか高価で、あのガキの世話して特別作戦班とかやってたら全然歩合が上乗せにならなくてだな
ハンジ,あ、私も！最近研究成果が超役立ってるし、ゴーグル新調しなきゃだしで大変なんですよ団長。捕獲の評価別枠にするのやめてもらえません？可能ならば特殊評価がいいなあ～、奇行種倒すともらえるやつ！
ミケ,思いやり…
サシャ,うう…緊張する。外には巨人がうじゃうじゃいるんだよね…
班長,おう、サシャか。おはよう
サシャ,お、おはようございます…緊張しますね。は、はい！？
班長,答えろ！全員で何体の通常種と何体の奇行種を討伐する必要がある？
サシャ,はい…今回の調査は９月なので半期の決算が終わってしまいます、よって残数分すべて、2体の通常種と1体の奇行種を討伐する必要が…あります
班長,準備は？できてるんだろうな
サシャ,はい！馬の手入れも、立体機動装置の準備も済んでおります
班長,目標数はどうやって達成するつもりだ？索敵の取りこぼしを待つか
サシャ,積極的に向かいたいと思います！
サシャｶﾞｸﾌﾞﾙ,…営業マン？
ミカサ,…
先輩４,な、なあアッカーマン…一人で倒すのもいいけど、目標ってのはみんなで達成するもんで、ああ赤い煙弾…行っちゃった
コニー,とりあえず中期目標は達成しましたよね。ここから先、一体も巨人通ってないもん
先輩５,なー。コニー、アッカーマン、やっぱ怒ってるんだと思う～？
先輩４,最初すげえ目標増えてビビったもんなー。逸材ってもどんだけのもんかわからなかったし。それはそれで
先輩５,来期の目標が増えるだけ…
先輩４,倒せば倒すほど増えるノルマ…
先輩４・５,はははははははははは
コニー,は、ハハハ…
ジャン,なるほどね、これがノルマ制の弊害ってわけか…
先輩１,いーって、いーって！あれは奇行種だったことにしようぜ！
先輩２,なるほど、ま、そう見えなくもなかったかなーw
先輩３,ついでに十メートル級だったことにしちゃえw
先輩方のしていることに積極的に加わるつもりも無いが、あまり見ていて気分のいいものでもない。つまり、,ノルマの底上げ
ジャン,出て行く時に今日はカラアゲにしちまおうって言ってたのはこの隠語だったわけね
ユミル,ふーん、突っ立って待ってるだけね…危険はなくていいわな。クリスタどこだろ～
ベルトルト,こんなふうに突っ立って待ってるだけなんて…
ユミル,ん？どうした？
ベルトルト,ノルマが…ノルマが消化できないじゃないかあああああ！！！
ユミル,マジでw！？。いや、いのちをだいじに…。あっぶねーwww誰か！止めてあそこのバカ止めてw
ナナバさんは泣いた、血の涙が出る程泣いた。目標達成率70％。ここで通常種を二体倒せば、二体倒せば、でも命令があああああああ,※ナナバさんは例の作戦を知っている…よね？
クリスタ,はっ…！煙弾上がってます、撤退ですよ撤退！
ナナバ,撤退…総員退避！馬に乗って森の中へ、走って行った通常種を二体くらい逃がすなっ！
クリスタ,命令がおかしなことになってますw！！
ハンジ,あーこりゃ失敗だね。向こうが一枚上手だったわ
エルヴィン,
リヴァイ,てめえ…何てツラだ、そりゃあ…
エルヴィン,今期の目標達成を諦めたツラでありなおかつ王会でボコられるツラ
リヴァイ,泣くな…とりあえず泣くな
【調査兵団,エレン
【女型の巨人,アニ・レオンハート
エルヴィン,一人残らず追いつめましょう。壁の中に潜む敵を、すべて…
憲兵団,ふむ…つまりそれが来期の、調査兵団における大目標なわけだな
教会の皆さん,では、四月決算に向けた目標は、おおむねそういうことで
憲兵団,壁外調査の結果も出してもらわないと困りますな。目標達成率が低くてどうしようもない…まあ、何のせいとは言いませんがw
エルヴィン,胃がシクッと痛む
エレン・ミカサ・アルミン・その他諸々,これは…
コニー,何か団長、目が血走ってねえ？
サシャ,シッ！あれは追いつめられた獣の目…
ベルトルト,ヒャッハー！
リヴァイ,あいつ…キャラ間違ってないか
ハンジ,商会と教会にずいぶん絞られたみたいだからねえ…ウォール・シーナの中ぶっ壊しちゃったし。追いつめられてるんでしょ
エルヴィン,君たちは…ノルマを達成したくないのか？営業マンとして、兵士として、優秀になりたいと思わないのか
エレン・ミカサ・アルミン・その他諸々,お、思います！営業マン！？
エルヴィン,では…これが本当の敬礼だ。心臓を捧げよ！
