※このSSは公式アンケート、オリジナルユニットの項目にあった,いちにのさん(志希・飛鳥・紗南)
飛鳥,まぁ一般的なレベルでね。ゲームの世界はボクのセカイを広めるものも多いし
志希,確かにこの辺のパッケージは飛鳥ちゃん好きそうカモー
飛鳥,うっ……確かにそれはだいぶやりこんだシリーズだね……
紗南,ホント！？これって結構難しいやつなのに！……じゃーこれは？
飛鳥,それは……あぁできる。さすがに大会ではすぐ負けてしまったけどね
紗南,まさかの大会勢！勝負しよう！アタシこれ結構いけるんだよね！
志希,えー、志希ちゃんおいてけぼりー？さーびーしーいー
紗南,う。つ、つい対戦相手見つけてヒートアップしちゃった。ごめんね、志希さん
飛鳥,まぁゲームをするという選択肢は悪くない。事務所でやるゲーム、なんて中々に非日常だ
紗南,え？アタシいつもやってるよ？事務所のテレビにゲーム機つないだりしてるし！
志希,紗南ちゃんも割と自由人だよねー。事務所のテレビはダメじゃない？
P,別にいいんじゃねーかな。俺もやるし
飛鳥,仕事……しないのかい？
P,たまにちひろさんも普通に混じってるからセーフ
飛鳥,この事務所大丈夫なんだろうか……
志希,んー、あれだっけ？パーティゲーム？やってみたいカモ？
紗南,そっか、そういえばLiPPSのみんなに貸したことあったっけ！
飛鳥,紗南、キミはゲームをどれだけ持ち歩いてるんだい？
紗南,え？事務所にある程度のジャンルは網羅してるよ？ほら、みんなでやりたいし！
志希,この前、美嘉ちゃんが借りてきたーって持ってきてさー。……ゲーム機
飛鳥,ゲーム機ごと貸したのかい？
紗南,もちろん！パーティゲームって据置機が多いし？
P,ちひろさんパワーで事務所である程度管理してるしなぁ
志希,にゃははー、地味ーに感染させてるんだねーゲーム病！
飛鳥,まぁゲームにハマるという意味では病気に相違ないとは思うけどね……
志希,デリシャス～
飛鳥,志希。両手に持ってお菓子を食べるのは行儀が悪くないかい？
志希,えー、これって一緒に食べると美味しいんだよー？ほーら、試してみなー？
飛鳥,食べ合わせ、というやつかな？持ってるのを突き付けないでくれないか。自分で自分の分は取るから
紗南,志希さんの場合、化学反応とかって浮かんじゃうなぁ。ほら、おいしさのー
志希,宝石箱やー！
飛鳥,……そこは化学反応じゃないのかい？あ、ホントだ。美味しい
志希,でしょー？志希ちゃんオリジナル！メーカー違うから自分で買わないとできないんだよねー
P,だから買ってきた。ほれ、崇めろ志希
志希,さっすがプロデューサー！いえーい、ハグー！ハスハスー！
紗南,おぉ、大胆。イベントCGっぽい！……って
飛鳥,……志希、離れるんだ。位置がまずい
志希,一(之瀬)が悪いー？
飛鳥,ほ、ほら、Pは立っているから……座っている志希が抱きつくとその……
志希,えー？志希ちゃんわかんなーい
飛鳥,腰というか……その……
紗南,エロゲーの
P,おいこら14歳。お前やってねぇよな？エロゲーやってねぇよな！？
紗南,し、してないよ！さすがにしてないよ！比奈さんとかに怒られるし！
志希,で？飛鳥ちゃんはそのエロゲーみたいのが浮かんだのかにゃー？
飛鳥,……あぁ、あぁ浮かんだとも！そ、それが何が悪いというんだい？
志希,別にー？飛鳥ちゃん思春期だし？リビドー抑えるのは無理だし？ハスハスー
紗南,で、でもそこでハスハスはやっぱよくないんじゃないかな？ほら、Pさんクビになりそう
志希,えっ、むー。プロデューサーがいなくなるのは嫌だなー不便だし
P,物かよ俺は。まぁ、いい加減離れとけよ。俺そろそろ仕事に戻るから
紗南,えー！？Pさんいなくなるの！？パーティゲームっていえば4人対戦でしょ？
P,しゃーねーだろ。ちひろさんのオーラが漏れてきてるんだよ。圧力すごいわ
飛鳥,言い知れぬ圧力、か、さすがはちひろさんだ
P,いやあれは自分が混ざりたいって感じのオーラだ
紗南,オーラつながって？
志希,まるでにーじーのネックレス～
3人,まばゆいきずーなー！
P,ノリいいなぁお前ら
紗南,へへっ……つい？
飛鳥,……何故だろうね、合わせた方がいい気がしたのさ
志希,ユニットの結束確認できちゃったかにゃー？。むぅ……行っちゃったかー
紗南,残念だけど……3人でやろっかー
飛鳥,何、あの二人のことだ、さっさと終わらせてこっちにくるんじゃないか？それまで楽しんでればいいさ
志希,そうだねー。よっし紗南ちゃん。ゲームスタートだー！
紗南,まっかせてー！ゲームスタート！
飛鳥,ふふっ、久しぶりの実戦だ……腕が鳴るね。というわけなのさ
P,全くわかんねぇけど！？
志希,いいから、次。負けないから
P,ガチトーンじゃん。マジじゃん。スゲージャン
紗南,なんだかんだで負けず嫌いなのかな……？
P,いや、お前ら手加減してやれよ……
紗南,飛鳥ちゃんが予想以上に強いから白熱しちゃって……
飛鳥,紗南がここまでやるとは思わなくてね……力を解放してしまったのさ
志希,二人は悪くないよー。次は勝てるから
紗南,いやー、ここまで本気でハマってくれると嬉しいよね！
飛鳥,現実逃避はよくないと思うよ紗南
P,安心しろ志希。次からは俺も参戦する
志希,…………え？プロデューサーが？上手いの？
紗南,そりゃ上手いよ。アタシ、Pさんに負けたからスカウトされたんだし！
飛鳥,そうなのかい？ふふっこれは白熱しそうだ
紗南,4人になれば協力プレイも熱いからね！2vs2とかもできるよ！
P,ま、せっかくだし、最初は……じゃんけんか？
志希,いやー。それならプロデューサーと組みたいにゃー？ほら、二人は同い年だし？
飛鳥,……確かに。まぁ紗南と組むのは初めてだし。ユニットの予行演習にいいだろうね
紗南,了解！中二パワー、見せつけよう！飛鳥ちゃん！
飛鳥,いや、それは語感的にちょっと……遠慮したいかな
志希,と、いうことでよろしくね？プロデューサー？
P,よろしくな。二人であのゲーマーっぽい二人で倒すぞ
飛鳥,ボクは別にゲーマーじゃ……
P,紗南とまともに勝負できてる時点でゲーマーもゲーマーだってーの
志希,んじゃあードーン！
P,あぁ膝に乗るな志希。お前は隣。紗南、飛鳥。お前らも適当に座っとけ
志希,やだー！ノリ悪いー！
紗南,…………あれ？
飛鳥,…………(あちゃーという顔
P,ん？どうした紗南？飛鳥も、なんだよその顔
紗南,なんか距離近いんだなーって。親愛度じゃなくて好感度？
志希,気にしない気にしない！ほら、続き。今度は負けないからねー
飛鳥,紗南、気にしないことだ。ほら、彼女はCuだからね
紗南,そっか、Cuだったね志希ちゃん
P,その納得の仕方はあんまりじゃないか？
紗南,うっわ！志希ちゃん上手い！？
志希,にゃははー！このゲーム、覚えたよ！これをこうすれば有利になれるわけねー？
飛鳥,さすがの理解力だね……だけどそれはまだ入口に到達したに過ぎないのさ……
P,いいぞー志希。そのままぶっとばせー。俺はポイントを稼ぐ
志希,ふふふー、自由に動いていいならしきにゃんの独壇場なのだー！。ここもしかして……こう？
紗南,ちょっ！？何さらっと壁抜けやってんの！？
志希,なんかできそうだなーって
P,あー、確かにできそうだわこれ。ナイスだ志希
志希,ふふふー、天才志希ちゃんに不可能はないからねー？
飛鳥,これは……まずいね。紗南、リミッターを外そう
紗南,そうだね、個人プレーじゃ勝てないかも！超協力プレーで倒しにいくよ！。よっし勝利！あっぶなかったー！
飛鳥,まさか辛勝とはね……つい熱くなってしまったよ
P,お前ら協力プレーというかガチで俺を囲みに来てんじゃねーよ！もはやリンチだろ！
志希,しきちゃんちょっとさびしかったかなー
紗南,大丈夫だよ！次はアタシと組もう志希さん！協力プレーだよ！
志希,えー？紗南ちゃんに志希ちゃんを捕まえられるかにゃー？
P,紗南は森久保捕まえるくらいのことはできるぞー？
飛鳥,なるほど……手馴れているんだね。……ありがたいな(ﾎﾞｿｯ
志希,飛鳥ちゃーん？なんかホッとしてない？
紗南,ま、志希ちゃんが失踪しようとしてもゲームの世界なら逃がさないよ！
飛鳥,ちひろさん……強いんだね？
ちひろ,ボードゲームは得意なんですよ
紗南,うあー！ちひろさん独走じゃん！出ろ―！銀二でろー！
飛鳥,紗南、運命というものは自分の手で切り開くものだろ？
志希,ロボット工場なんてあったかにゃー？……あった気がする
飛鳥,あったのかい！？志希それはどの辺に
志希,話してもいいけどー、飛鳥ちゃん色んなインボーに巻き込まれちゃうよ？
紗南,ロボティクスだったりゲートだったり？
飛鳥,ふふ、それは望むところだね……手が届くところに非日常があるのなら、ボクは手を伸ばすさ
ちひろ,アイドル業に影響出そうなので却下でーす。行きたいなら私に勝ってくださいね？
飛鳥,なるほど、これが先へ進む試練だというのなら……乗ってやろうじゃないか。……銀二出ろ
紗南,そこ自分の手で切り開くんじゃないんだ……
志希,ゲームも悪くないねー。ま、せっかくのユニットだし？またやろっか？
紗南,うん、うん！やっぱゲームは楽しいよね！今度はもっといいやつ持ってくるからさ！
飛鳥,対戦ゲームも悪くないけれど、せっかくのユニットだ。今度はレッスンになりそうかな
志希,真面目な意見はノー！飛鳥ちゃん、ここは次の遊びを考えないと空気読めないちゃんだよー？
飛鳥,うっ……。ならもう少し親交を深めるべきかもしれないね。互いを共感できるように
志希,ならー。今度しきちゃんのラボに遊びに来る？ケミカルな体験、させてあ、げ、る！
紗南,ホント！？志希さんのラボ、気になってたんだよね！ほら、錬金術師みたいな！
飛鳥,体に悪い薬とかないだろうね？
志希,悪い薬なんてないない！ほら、志希ちゃん、こんな健康ボディーだし？
飛鳥,……確かにそうだね
紗南,あはは、アタシはあんまり気にしてないけど
志希,何ー？成長促進剤とかほしい？アポトキ的な？
紗南,それって縮む方じゃない？
志希,にゃははーしきちゃんなら逆も作れるかもよ？
飛鳥,……作れるのかい？
紗南,ガチトーンやめよ？ほら、飛鳥ちゃんの見た目にも需要ってあるし！
志希,そーそー。急に変わったらアイドルできないでしょ？
飛鳥,まぁ、せっかくユニットを組んだんだ。暫くはこの姿のままでいるとするかな
紗南,飛鳥ちゃん変身主人公みたいなこと言ってる……
志希,そうなると私は変身アイテム作る博士かにゃー？
飛鳥,なら紗南は……なんだろう？今度光に相談してみようか
紗南,えー！そこは二人でカスタマイズしてよ！せっかく纏まりそうだったのに！
志希,んーそっかー。じゃあ保留、かな？ほら、ユニットとして活動したら見えてくるかもだし？
飛鳥,確かに、ここで適当に決めた役割よりは、いい回答が出そうだ
紗南,そっか、なら楽しみにしてるよ！じゃ、明日からも頑張っていこう！
P,まぁ何の仕事も持ってきてねぇけどな？
飛鳥,そこは仕事を持ってくると意気込んでほしかったかな……
