大石泉,こんにちは、秋休み子ども科学電話相談、司会と進行の大石泉です。慣れない役割だけど……全力で頑張ります。私にも答えられるものがあれば答えたいな。2人とも、よろしくお願いします
晶葉,それを敏感に感じ取れるのが足の裏だ。かかとに体重がかかれば重心を前に移動させようとするし、右足で立ってたとして内側に力が入っていれば、重心を右に移動させなければいけない。ロボットも同じだ。足の裏にセンサーをつけて、どこに自重がかかっていて、どちらに重心をずらせばいいのか、瞬時に判断するんだ。まあ、それとは別に、傾きを感知するジャイロセンサーなども搭載しているが……それも人間でいう三半規管の役割だから、やはりヒトと同じだな
志希,ウサちゃんロボ、それで説明つかないレベルでぬるぬる動くけどにゃー？
晶葉,納得したか？。それはよかった
泉,それじゃあ……
晶葉,む？
泉,何か気になる事があった？
晶葉,ワハハ、そう恐縮するものでもない。なんでも答えようじゃないか！。すまん電波が悪いようだ！！！！！
泉,切った！！！。ちょっ……何してるの！
晶葉,いや……あのままだと菜々にまで被害が……そもそも千枝の中での”ロボット”の定義の確認とかから入らないといけない気がして……危険だと……
志希,にゃはははは！！！流石の危機管理能力♪
晶葉,わ、笑い事じゃないぞ！
泉,千枝ちゃんには後で謝っとかないとね
晶葉,逆に菜々には感謝してもらいたいくらいだ……。つ、次に行こう！
泉,はいはい……じゃあ、次の子とはもう電話が繋がってるみたい。こんにちは。お名前をどうぞ
晶葉,無理があるだろう！！！。タイトルを10回読み直してこい！子どもって書いてあるだろ！！！
泉,ゴリ押しね……
晶葉,そもそもさっきから身内しか来ないじゃないか！どうなってるんだ！？
泉,え？だってこれ、事務所の内線だもん
晶葉,内線！？
泉,そもそも生放送でもないし
晶葉,はぁ！？し、志希は知ってたのか！？
志希,もちろん！生放送なら怖くてシキちゃん使われないし！
晶葉,自分で言うな！。くそ……頭痛が……
志希,ま、乗りかかった船なんだからさ〜
晶葉,……それもそうだな。進めてくれ
泉,それじゃあ、のあさ……ごめんなさい、便宜上、ノアちゃんって呼ばせてもらいます。ノアちゃんの相談は何かな？
晶葉,もはや子どもでもなければ科学でもないし相談でもない
泉,コンセプト総崩れね……
晶葉,うるさいな。あー、志希、どう思う？
志希,んー？……何もないよ
晶葉,……言い切るんだな
志希,きっと、死んだ瞬間が永遠になるだけ。ハッピーに死んだら永遠にハッピー。トラジカルに死んだら悲しみだけ。わかんないけどね。意味だってなんだって死んじゃったらわかんないもん。周りの人たちがご勝手に値踏みするんじゃないの？それは死んだ本人には何の価値もないし
晶葉,”死後評価された画家は幸せか”という命題もあるな
志希,本当にそうならこんなお仕事はやってないにゃ〜
晶葉,アイドルになる以前は？
志希,……にゃふふ
泉,急に真剣な空気で何も言えません……大石泉です……助けて……
晶葉,これ以上思考の迷宮を招かないでくれると助かるが……
志希,なんでもござれ〜
泉,はい、ノアちゃん、ありがとうございました
晶葉,容赦ない
泉,きっとのあさんなりに、場を和ませようとしてくれたんですね
晶葉,慈悲なく電話を切ったやつのセリフか？
志希,みんなお茶目さんだね〜
泉,時間もないので、次にいきましょうか。あ、次がラストみたいですね
晶葉,はぁ……まあ、最後まで付き合おう
志希,いけいけ〜
泉,では早速、電話が繋がっているようです。えっと……え？……ふ、フレデリカちゃーん
晶葉,結局過半数が大人じゃないか！
志希,おー！フレちゃんやっほー♪。美味しかった〜！……ってかな子ちゃんが言ってたよん？。なーんて、ちゃんと食べたよー。でも志希ちゃんにはちょーっと甘かったかにゃー。あはは〜フレちゃんおもしろい〜。にゃはは〜
晶葉,相談は！！！！！！。相談！！！！！は！！！！！
泉,晶葉、落ち着いて。はい、それでは以上をもちまして、秋休み子ども科学電話相談を終わりにしたいと思います。2人とも、お疲れ様
晶葉,ああ、なんだかんだ、楽しかったよ
志希,シキちゃんも面白かったよ〜
晶葉,自然に混ざるな
泉,最後しかいなかったじゃないですか……。……え？。！？
晶葉,！？
泉,なんなの！！！
晶葉,なんなんだ！！！
志希,まったね〜
