的場梨沙,む～
さっちゃん,頼んだぞー
結衣,それじゃ別の場所行こうか
桃華,わかりましたわ
梨沙,オッケー！
さっちゃん,飽きたー
結衣,早ッ！
琴葉,そりゃあ道ゆくスーツの男に誰彼構わず声かけてたらね
さっちゃん,こうなったら・・・
ありす,何か手があるんですか？
さっちゃん,一旦アジト帰ろう
梨沙,え、アジトあるの？
さっちゃん,ここだ！
梨沙,おお！
ありす,意外と本格的ですね・・・
桃華,こういうのも中々味がありますわね
結衣,じゃあ早速中に・・・
琴葉,・・・待って
結衣,どうしたの？
琴葉,・・・中に誰かいる
結衣,え・・・
さっちゃん,カラーズのアジトに忍び込むとはふてーやつだ！
梨沙,え、何？どうしたの？
桃華,何やら大変なことになってるようですわね・・・
ありす,それで、どうするんですか
さっちゃん,勿論、６人で突っ込む！
梨沙,ええ～
桃華,野蛮ですわね
さっちゃん,カラーズのアジトに忍び込んだ事を公開させてやる！
結衣,だ、大丈夫かな・・・
琴葉,・・・・・踏みつけてやる
さっちゃん,よっしゃいくぞー！
結衣,う、うおおおおおおおお！！！！！
琴葉,・・・・・
梨沙,ま、待って～
桃華,もう、仕方ないですわね！
ありす,ハァ・・・何でこんなことに・・・
？？,な、何だ！？
６人,うおりゃあああああああああああああああ！！！！！！
？？,ぐわああああああああああああああああああああああああああああああああ！！！！！！！！！！
さっちゃん,ハァハァ・・・どうだまいったか！
桃華,って、この方は・・・
結衣,え、知り合い？
ありす,間違いありません・・・
琴葉,まさか・・・
梨沙,Pだ！！！
モバP,うう・・・
結衣,か、顔がPの形に・・・
さっちゃん,めっちゃ特徴あるじゃん！
琴葉,・・・面白い
モバP,あの、頭踏まないでもらえますか・・・
梨沙,あ！P興奮してる！ヘンタイ！
モバP,いや違・・・
ありす,そもそもなんでここにいるんですか・・・
モバP,お前らを探してたら疲れてさ、丁度いい所に小屋があったから休んでたんだ
桃華,そうだったんですの・・・
さっちゃん,まったく・・・ここは私らの基地だっての！
モバP,スミマセン・・・でもお蔭で皆に会えたし
結衣,お役に立てて何よりです
モバP,さて、それじゃ帰るか
梨沙,はーい！
桃華,皆さん、どうもお世話になりましたわ
結衣,いえいえそんな大したことは・・・
さっちゃん,これもカラーズの仕事だからな！
ありす,あ、そうだ、お礼にこれを・・・
琴葉,タッパー？なにこれ
ありす,私のお昼ごはんの残りですが・・・よかったらどうぞ
さっちゃん,おーサンキュー！
結衣,ありがたくいただくよ
モバP,それじゃ行くぞ
桃華,ご機嫌よう
梨沙,また会おうね！今度は他の友達も一緒に・・・
ありす,それでは・・・
カラーズ３人,ばいばーい！！！
結衣,行っちゃったね
さっちゃん,結局なんだったんだあいつら・・・
琴葉,さぁね、それよりこれ・・・
さっちゃん,おお！ナポリターン！
結衣,パスタでしょ
琴葉,どっちにしろ変な色・・・
さっちゃん,まぁ食べられるでしょ、それじゃ・・・
カラーズ３人,いただきまーす！！！
結衣,うっ・・・
琴葉,これって・・・
さっちゃん,すげーまずい！
