星輝子,フフフ……
美由紀,ど、どうしたの茜さん。くすぐったいよ～
奈緒,なんだこの光景
美由紀,あっ、奈緒さんもおかえりなさい！ところで茜さんは何があったの？
奈緒,えーっと……情熱が有り余ってるのかな。悪いけどもう少しだけそのままでいてもらえる？
美由紀,？？よく分からないけど、楽しいからいいよっ！
茜,ふぅ……すっきりしました！！！
奈緒,お疲れさん、美由紀ちゃん
美由紀,えへへ、奈緒さんにも撫でられたかったな♪
奈緒,いや、アタシは別の方法で美由紀ちゃんを喜ばせるよ。という訳でちょっと行きたいところがあるんだけどいいかな？
茜,どこにいくんですか？
奈緒,ゲームセンター。美由紀ちゃんってぬいぐるみとか好きだったよね？
美由紀,うんっ！みゆき、ぬいぐるみ集めるのが好きなんだ！
奈緒,せっかくだし、買うのもいいけど自分で取ってプレゼントしたいからさ。ああいうのはあんまり得意じゃないけど、アタシとクレーンで直球勝負だ！
茜,おぉ！！いいガッツです奈緒ちゃん！！それじゃあ皆で向かいましょう！！
美由紀,おー！
高峯のあ,にゃん・にゃん・にゃんに続く新しいユニットを考えたわ
兵藤レナ,あら、どんなユニットなのかしら
のあ,このフリップを見てのお楽しみ……
難波笑美,のあはん、準備ええなー
のあ,昨日……徹夜で考えたわ
レナ,いや、ちゃんと寝ておかないとダメよ……
のあ,最初のユニットはこちら。ちゅん・ちゅん・ちゅん
レナ,うーん、名前だけだとピンとこないわね
のあ,メンバーは鷹富士茄子、鷺沢文香、松尾千鶴の三人よ
笑美,敬称略って書いてある辺り地味に細かいなー
レナ,あ、名前に鳥の漢字繋がりってことかしら。でもそのユニット名だと雀が必要じゃない？
のあ,……。次に行くわ
笑美,のあはん！？
のあ,続いてはこちら。らん・らん・らん
笑美,あ、これはわかりやすいな！走るのランやろ？
のあ,その通りよ……メンバーは北川真尋、相馬夏美、真鍋いつきの三人
レナ,走るのが好きなメンバーってことね
笑美,いやー、それにしても……
レナ,どうしたの笑美ちゃん？
笑美,割とまともに来られるとツッコミ甲斐ないなー……って
レナ,そ、そういうもの？
のあ,そしてえん・えん・えんよ……
レナ,泣き虫なメンバーって感じかしら。泣き虫とはちょっと違うかもしれないけど、歌鈴ちゃんや琴歌ちゃんって所？
のあ,メンバーはこちら……
笑美,千川ちひろと土屋亜子……ってえんってその円かい！！あとちひろはんアイドル違う！
レナ,笑美ちゃん、水を得た魚のように活き活きとしてるわね
のあ,ふっ……
レナ,貴女もなにしてやったりみたいな顔してるの
笑美,あれ、このユニット二人だけって、もう一人はおらへんの？
のあ,……。And……You！
レナ,私達も巻き込まれるの！？
のあ,最後にこちら。……ふぁん・ふぁん・ふぁんよ
レナ,これは……？
のあ,ふぁんはファンの事……そしてメンバーはアイドルの皆。私達全員の力でファンをもっと熱くする様な大きな風を送り込む……そういう意味合いが込められているわ……
レナ,のあちゃん……
のあ,…………ふふっ
笑美,……唐突なええ話で終わろうとしてるけど、のあはん途中で飽きて寝たんちゃう？
のあ,……どういうことかしら
笑美,フリップ、よだれ付いてるで
のあ,…………。…………………………にゃん
笑美,投げっぱなしかい！
