藤居朋,２人とも、おはよー
智絵里,“プリウスの運転手はマナーが悪いかもしれない”とか
朋,ただの偏見だからね！？
ほたる,あと、車を運転する前には、絶対にしてはいけないことがあります
朋,そうそう、これをしちゃうと、ふらふらして、意識がはっきりしなくなっちゃうのよね
智絵里,担当ガチャで爆死？
朋,確かに意識が危うくはなるけども！！
ほたる,結果はどうであれ、引くという意志を見せた自分を誇りましょう。アイドルが見たいのは、みなさんの傷ついた顔ではないですよ。前を向きましょうね
朋,さすがのメンタル……
智絵里,限定アイドルは今だけ！
朋,智絵里ちゃん！！！。ってか話がズレちゃってるわよ！飲酒運転のことでしょ！？
ほたる,そうです、お酒を飲んだら、絶対に運転してはいけません
朋,事故を起こしてからじゃ遅いからね！
ほたる,私も飲酒運転の車には38回ほど撥ねられたことがありますが
朋,さらりと言うわよね
智絵里,ほたるちゃんを轢いてもどうせ無傷だから、轢いた人は罪にならなくてラッキーだねっ
朋,智絵里ちゃん
ほたる,私……、誰かをラッキーにしてあげられたんでしょうか……！
朋,なんでちょっと嬉しがってるの！目を覚まして！！！
智絵里,続いて自転車です
朋,最近、自転車の事故も多いみたいだからね
ほたる,自転車も立派な乗り物です。ぶつかったりしたら私以外の一般人のみなさんは
朋,行間
ほたる,まず、イヤホンをつけながら自転車に乗るのはいけません
朋,そういえばこの前、イヤホンつけて片手でスマホを弄りながら自転車に乗ってる人がいて、飽きれちゃったわ……
智絵里,サーカスから猿が逃げてきたのかと思いますよねっ
朋,それは常人の発想ではないからね
智絵里,2人乗りもルール違反ですからね！
朋,ようやくまともなことを言ってくれた
ほたる,私も2人乗りの自転車には52回ほど撥ねられたことがありますが
朋,さっきからどれだけの事故に関わってるの！？
智絵里,相手の人たちにケガはなかった？
朋,ほたるちゃんの心配をしよう！？
ほたる,五体満足ではありましたよ
朋,言い方が意味深。最後に歩行者！やっぱり、一番弱い立場なのは歩いてる人だものね
智絵里,そうですねっ。例えば事故にあっても無傷な人や、轢かれるのなんて日常茶飯事みたいな変人でもない限り、気をつけて歩かないといけません！
朋,真横のほたるちゃんにブーメランを突き刺すのはやめてあげて
ほたる,ははは
朋,怖い怖い怖い！！！
ほたる,やっぱり、道路を渡る時は“右見て左見て”をしなきゃダメですね
朋,小学校で習うようなことなんだけどねー、自分のためには大切よね
智絵里,では、ここでほたるちゃんに実演をしてもらいましょう！
ほたる,はい。そこの広場に、白線で道路が再現されていますので、それを渡りたいと思います。ちゃんと車も用意してあるので、しっかり確認してからの横断が大事ですね
朋,大丈夫かな……
智絵里,ちゃんと5トントラックが用意されてますねっ
朋,なんで！？“危険じゃない車”って話だったわよね！？
智絵里,ほたるちゃんにとっては
朋,意思疎通が全然できない！！！
智絵里,では、スタンバイできたみたいですねっ
朋,えっと……、じ、じゃあほたるちゃん、よろしく……
ほたる,はいっ。まずは左を見て……、次に右を見て……、あ、右からトラックが来てますね。少し待ちましょう
朋,よかった……、無事に通過したわね
ほたる,はい、では渡ります。これでだいじょ
智絵里,逆車線から10トントラックが！！！
朋,ほたるちゃん！！！
ほたる,よっと！
智絵里,バックステップで避けましたっ！
朋,すごい！！！
ほたる,では渡り切りまし
智絵里,さっきの5トントラックがバックで戻ってきましたっ！
朋,ほたるちゃん！！！！！。なんでそうなっちゃうの！？
智絵里,もうオチかと思っちゃいましたよねっ！
朋,そういうこと言わないの！！！
ほたる,はい、このように、いくら気をつけても轢かれる時は轢かれます
朋,結論が元も子もない！！！
～午前・交通安全,？
朋,みなさんこんにちは！
ほたる,今日は、みなさんが詐欺にあわないために、一緒に勉強していきましょうね
朋,す、すごい声援……！。あ、あたしたちのこと、テレビとかで見たことあるよーって人ー！。ちょっと泣きそう……
智絵里,わたしたちのこと、お笑い芸人だと思ってた人ー？
朋,智絵里ちゃん。みんな！？
ほたる,では、本題に入りましょう。身近な詐欺についてですね
朋,うん。まずはこれ！。みんな、スマホとかパソコンとか、よく使うでしょ？そこで引っかかる人が多いのがこのワンクリック詐欺なの
ほたる,サイトにアクセスしただけで、“登録が完了しました。○○円支払ってください”って出てきてしまうんですよね
智絵里,わたしもこの前、スマホを使ってたら“ジュエルが足りません。購入しますか？”って言いながら黄緑の女の人が画面に出てきて……
朋,それは詐欺じゃないわ
智絵里,合法だから詐欺よりもタチが悪いですよねっ
朋,そんなにケンカを売りたいの！？。つ、次！またネット関係のやつなんだけど
智絵里,現役アイドルだけど何か質問ある？
朋,そっちの釣りではなくって！
ほたる,それを本物のアイドルがやっても詐欺にはならないんじゃ……
朋,フィッシング詐欺は、架空のサイトに誘導して、個人情報を入れさせる詐欺のことだからね
ほたる,みなさんも、知っている企業だからと安心してはいけません
智絵里,全部詐欺です！
朋,そこまで排他的にならなくても
ほたる,信じる者がすくわれるのは足だけですからね
朋,ホントにほたるちゃん13歳！？。最後に紹介するのは、みんなよりも、みんなのおじいちゃん、おばあちゃんに気をつけてほしい詐欺なの
智絵里,最近、本当によく聞きますよね……
朋,家族を想う気持ちを逆手に取った、本当に許せない手口よね……！
ほたる,実家の母が言うには、これまで私は629回ほど、事故にあってお金を要求しているらしいですよ
朋,そんなに標的に！？
ほたる,毎回、“治療費が必要”って時点で、私ではないと気づくみたいですけどね
朋,見切るタイミング早っ
ほたる,では、私が詐欺師役で、智絵里さんがお母さん役の実演をやってみましょう
朋,大丈夫かな……
智絵里,準備できたよ！いつでもどうぞ！
ほたる,では、始めますね
朋,しょっぱなからコミュニケーションが危うい！。智絵里ちゃん！！！。FPSめっちゃ上手い人みたいになってる！！！。値切るの！？！？！？。詐欺師はそれでいいの！？
智絵里,このように、最悪でも値切りましょう！
朋,支払う前提で進めないで！！！
智絵里,逆に、詐欺師の人は、譲歩の姿勢を見せることで、支払ってもらえる確率が上がりますっ
朋,そっち目線のアドバイスはいらないから！！！
智絵里,まあ結婚して子供ができなければ一生関係ないですけどね笑
朋,煽る必要はあったの！？
～午後・詐欺被害撲滅,？
朋,ふぅ……、疲れたわね……
ほたる,あとは街を歩きつつ、パトロールをするだけですね
智絵里,もうひと踏ん張りですよっ
朋,あれ？疲れてるのあたしだけ？？？
智絵里,いったい誰のせいなんでしょうか……
朋,わざと？ねえわざとなの？
智絵里,まあパトロールと言っても、そうそう犯罪なんて起きないですよねっ
朋,なんでフラグを立てちゃうかなあ。フラグ回収早いわね！？ってうわ！こっち来る！。きゃっ！
智絵里＆ほたる,朋さん！！！！！
朋,あ、あたしは平気だから、ひったくりを―――
智絵里＆ほたる,――――“許さない”――――
朋,～っ！？
ほたる,座標は
智絵里,北北東100～150
ほたる,風は
智絵里,南向き3.1～3.4
ほたる,ありがとうございます
智絵里,やっちゃって
ほたる,落ちろ“植木鉢”
朋,なんかBLEACHみたいなこと言い出した！？。マジで！？！？！？
ほたる,朋さん！
智絵里,大丈夫ですかっ！？
朋,う、うん、あたしは平気だけど……
智絵里,よかったです……
ほたる,はい……
朋,ほ、ほたるちゃん、あんなことできるの！？
ほたる,はい。でも、ちゃんと副作用があって……
朋,え？
智絵里,誰かに当てたら、同じ分だけほたるちゃんも当たらなきゃいけないんだよねっ
朋,ええ！？ってことは……。ほたるちゃん！！！！！
