※前作有吉,マツコさん戦車道やるの！？
杏,アレをあてがわれるのだけは勘弁だから今のうちに良さげなのに当たっておこう
ダージリン,試合の督戦にアフタヌーンティーなどご一緒にいかがかしら？
ロビンマスク,うむ、ご相伴にあずかろう
杏,
桃,ふむ、そういうことなら・・・ロビンマスクだな。沈着冷静にして豊富な知見、まるで自分を見ているようだ
柚子,沈着冷静？撃てー！とにかく撃てー！もっと撃てー！！。豊富な知見？うぇ～～ん！どうじよう柚子ちゃ～～んﾋﾞｴｰﾝ
桃,ん？なんだ
柚子,別に
杏,むう先を越された、ならば次は
ケイ,ハーイ、ＢＢＱはいかが？もちろんテキサススタイルよ
テリーマン,ほー、ソイツはいい
杏,
梓,私はテリーマンさんかなぁ
あゆみ,やっぱり引き分け職人的な？
あや,でもでも超人の試合と戦車道の試合は違うよ？
優季,気の持ち方の話よー、ホントバカだなーあやはー
あや,優季ちゃんにバカってに言われたー！
紗希,・・・重戦車軍団を相手にここはウサギチームに任せてアンコウは先に進んでくださいと言って引き分けに持ち込むの、やってみたい・・・
桂利奈,ソレ凄くイイ！
杏,うう、またしても、ここは特に人気の高い
ノンナ,ウラルの峰々よりも鋭い技のキレを持つ超人！
カチューシャ,同志ウォーズマン、我々は貴方を歓迎します！
ウォーズマン,コーホー
杏,
ナカジマ,レオポン的にはウォーズマンかな
ホシノ,生身と機械のハイブリッド超人！
スズキ,ちょっと中を覗いてみたいよな
ツチヤ,やーん、エッチィ！
自動車部,アハハハハ
杏,だったらここは隠れイケメンの
まほ,是非とも我々に闘いに赴く者の心構えをご教授ください
ブロッケンＪｒ,教えるにもお前さんたちは戦車道の名門だろう？
エリカ,ご謙遜を、代々の軍人家系と聞き及んでおります
杏,
そど子,風紀の乱れがちな大洗にこそブロッケンＪｒさんが相応しいわ！。あのストイックな生き方は見習うべきよ
杏,やはりここは渋目に
アンチョビ,あなたは中華が得意と聞いている、しかし我がアンツィオのイタリアンも負けては、いや、美味いぞ！！
カルパッチョ,そういう問題ではないですよ
ラーメンマン,試合後に料理を振る舞うのが流儀だそうだな、是非とも手合わせ願おうか
杏,
カエサル,歴女としてはラーメンマンは外せないな
左衛門佐,うむ、まさに山本勘助
エルヴィン,いや、マンシュタインだろう
おりょう,否、松平春嶽だ
カエサル,ベリサリウスに決まっている
優花里,普通に諸葛孔明じゃダメでありますか？
カバさん,それだ！！
杏,もう選んでいられない
福田,ローラースケートの予選のデジタル版を反転させる作戦、感服いたしました
西,おい福田、いきなり失礼だぞ
リキシマン,アレを卑怯と思わないのか？
福田,卑怯とは試合の外で策を弄する事と考えるであります、あの行為は立派な駆け引きであります
リキシマン,嬉しいこと言ってくれる
杏,
典子,バレー部は断然リキシマンだ！。あのルービックキューブ張り手などまさにほんのちょっぴり頭を使って大部分は根性を表している
妙子あけび忍,ハイ！キャプテン！！
杏,そうだ、実質１番人気の
ミカ,やぁそこの大男さん、なんのもてなしもできないけどウチに来てくれないかな
バッファローマン,悪魔だった俺が怖くはないのか
ミカ,人は流れゆく雲を見てどこから来たのではなくどこへ行くのかに想いをはせるものさ
バッファローマン,・・・世話になるぜ
アキ,ミカ、どこにも行くなとは言わないけどせめて行先ぐらいは知らせて
ミカ,雲はただ風に乗るだけさ
バッファローマン,おもしろい嬢ちゃんだな
杏,
ぴよたん,マッチョ揃いの超人の中で
ももがー,バッファローマンは別格ナリ
ねこにゃー,ぶっちゃけそそりますな～
杏,ああ、もう残っているのは・・・
みほ,・・・・・・。・・・・・・。キン肉マンさんよろしくお願いします
キン肉マン,うんヨロシクね～わーい、カワイイ女子高生♪
ミート,王子！デレデレしないでください
杏,
優花里,まあ誰が来るにしてもあの超人でさえなければ
沙織,服のセンスとかねー
麻子,うるさくて眠れなさそう
華,自分のならともかく他の方のニンニク臭は我慢できません
ハラボテ,ん、なんじゃ既に決めておったか
理事,こちらの決めた案はいかがしますかな
みほ,コレでいいです！コレがいいです！超人の方々も私たちも納得してます！！
理事ハラボテ,
まほ,みほ、いったいどうしたというんだ
エリカ,きっとアレですよ、お気に入りのクマのキャラクターとキン肉マンを重ねてるんですよ
まほ,ああ、ボコられのアレか
理事,対戦の組み合わせはどうしましょうか
ハラボテ,そんなもんテキトーでええじゃろ
理事,まあ、超人の方々は見てるだけですからね
ハラボテ,超人のタッグパートナーでカードを組むぞい
みほ,みんな、ただいま～
梓,西住隊長、お帰りなさい
みほ,うん梓さん。みんな聞いてー！！大洗の担当にキン肉マンさんが決まったよー
全員,えっ！？
みほ,候補生の人たちの都合が悪いからって一流の正義超人が来てくれたの。それで明日の試合だけど、梓さん
梓,は、はい！？
みほ,私はキン肉マンさんと試合を見守るから隊長の全ての権限を委譲します！
梓,え！？そんな急に・・・
全員,丸投げだー！！
ねこにゃー,会長さん、これはいったいどうゆうこと？
そど子,納得のいく説明を得られるんでしょうね？
典子,他の学園にイイ超人を取られたってことですよね？
杏,うーるーさーいー！！全部西住ちゃんが決めた事！文句をゆー者は隊長反逆罪でしゅくせーだー！！
全員,・・・
梓,試合に先立って乗員の入れ替えを行います。指揮・フラッグはＭ３とします。Ⅳ号の車長に西住隊長に代わって秋山先輩
みほ,ｷﾝﾆｸﾏﾝｻﾝ♪
梓ｲﾗｯ,・・・秋山先輩には通信手も兼ねていただきます
麻子,沙織、お前はアンコウに要らない子みたいだぞ
沙織,えー、そんなぁ
梓,冷泉先輩！茶化さないでください、武部先輩はアンコウはおろか大洗全体に必要なんです！！
麻子,お、おう悪かった
華,ダメですよ麻子さん
優花里,澤殿は相当テンパっているご様子
梓,武部先輩にはフラッグで全体との通信を受け持ってもらいます
あゆみ桂利奈あや,わーい、沙織ママと一緒だー
優季,あれっわたしは？
梓,優季には３７㎜の装填手を、武部先輩を間近で見てしっかり学んでね。紗希、カモさんチームで装填手よろしくね
紗希,・・・
梓,変更は以上です
そど子,人手が増えるのは大歓迎よ
紗希,・・・
そど子,ちょっと、なにか言いなさいよ
紗希,・・・ルノーの中で冷泉先輩トークしたい・・・
そど子,っ！？なに言い出すのよ
パゾ美ゴモヨ,それは２人だけでやってね
そど子,あなたたち！？
紗希,・・・ちゃんと前髪切りますから・・・
そど子,別におかっぱがルノーに乗る条件じゃないんだから！
梓,相手はサンダース、シャーマン２０両・・・。試合フィールドは一切の遮蔽物が無い平原地帯のみ・・・。頼みの西住隊長は・・・
ミート,大会決勝見ましたよ、凄かったです
キン肉マン,いよっ！ラスト５両の逆転ファイター！！
みほ,ヤダモー、キン肉マンさんたら～
梓,・・・なんか腹が立ってきた
沙織,えーと、指示どうしよっか？
梓,アヒルさんに後ろの小高い丘から相手の配置を探るように伝えてください
沙織,左右真ん中に各５両づつ、その後方にファイアフライ５両・・・だって
梓,アンコウチームには向かって右集団を受け持ってもらいます。カバさんレオポンには左を
麻子,試合に無関心な西住さんに対する連帯責任の懲罰か？
優花里,冷泉殿言い過ぎです
梓,撃破は求めません、大洗のⅣ号なら相手が喰い付くでしょうからそのまま引き付けて離れていただければ
華,本当に引き離せば撃破しなくてもよいのですね？
梓,？、ええ。敵の狙いは明らかに包囲殲滅にある。これに対し我が方はウサギ・カモ・アリクイ・アヒルを本隊として敵前衛中央集団に吶喊をかけ突破を計る！。これに先んじてカメは単身で突入して撹乱をかけよ！
杏,なにその作戦！？
柚子,囮どころか捨て石！？
梓,先程の冷泉先輩の言葉を借りればカメは懲罰部隊として扱う、河嶋・小山両先輩にも連座してもらう
桃,澤、貴様なんの権限で
梓,・・・
杏桃柚子,わーっ！？
沙織,大洗女子学園救世主西住みほ隊長より全権を預かる澤隊長代理にあらせられるぞ！
一年生,隊長代理反逆罪はしゅくせーだー！！
杏桃柚子,
紗希,梓、それはいけない・・・
杏,そうだ丸山ちゃんもっと言ったってー
紗希,捨て駒に３人はもったいない・・・
杏,
紗希,装填手にもう一人、河嶋先輩が欲しい・・・
桃,ああ行くとも！
紗希,前髪切ってもらいますよ・・・
桃,なんならカリアゲるぞ！
そど子,必要ないから！
ねこにゃー,そういうことならアリクイは小山先輩を所望
ぴよたん,専属砲手がいれば連射が捗るっちゃ
柚子,では会長これにて
桃,ご武運を
杏,お前たちーーー！！
梓,本隊の砲、６門とも照準ヘッツァー！妙な動きをすれば撃て
あゆみ,撃破した敵車両に攻撃は禁止されてるが
あや,味方に対してはそんなルール無いんだぜェ
優季,タヒねば楽になれると思うなよォ
桂利奈,オラオラ早く行かないと追いついちまうぞォ
杏,
梓,ヒャッハァーフォー！！。どうやって勝ったって？聞きますか？ええ簡単な理由ですよ相手が弱かったただそれだけです。相手の砲撃が極めて拙いうえに最初の一当たりで半数撃破、まだ生きてたヘッツァーでファイアフライにムダ弾撃たせてそのままフラッグを、ね。相手の監視席を見て弱い理由は一目瞭然でした、サンダース生が百人以上テリーマンさんの周りを囲んでたんですよ、ケイさんやナオミさんも。ウチの隊長とおんなじですよ。女の私が見ても一人の男にビッチどもが群がる光景、中々に圧巻でした。アリサさんが足りない乗員を補給班や輸送班整備班からも掻き集めてもまだ足りず一部車両には装填手すらいなかったみたいで、それじゃあ相手になりません。アリサさん、世間では粘着ストーカー扱いされてますが私は恋にも戦車道にも一途な女と認めてますよ・・・テリーマン、予選の新幹線の押し出し競技で子犬を助けて失格になったのを見て感動したけど、今にして思えば・・・アレ、ナンパの仕込みでしょ？それとあと一つ・・・婚約者に刺されればいいのに。他の試合結果が気になりますか？いいですよ、隠すものでもないですから。高原戦の聖グロ対プラウダ、これは中々に良い内容だったようです。ダージリンさんの提案で３年生抜きでの試合、個の練度に勝るプラウダと連携に優れる聖グロ。一進一退の攻防の末に僅差で聖グロが勝ちました。おそらくは優れた指導者に依存するリスクをダージリンさんがカチューシャさんに教えたかったのでしょう、西住隊長がこの人に勝てないのはこのあたりにあるのかもしれません。市街地戦の黒森峰対知波単、表向きはいい試合だったようですが黒森峰側がｇｄｇｄでした。ブロッケンＪｒさんに見られていて変に意識したんでしょうね、なんというか大人しいというかおしとやかというか・・・オマエラ王者の試合を見せてやるとか言って相手を罵りながら偉そうにするのがデフォだろーが！カマトトぶってんじゃねーぞ！！それでもって知波単、福田さんが試合前に熱心にリキシマンさんから話を聞いていたようで試合開始直後からまるで相撲の立ち合い変化の如くとにかく意表を突いて相手を翻弄、黒森峰の不調もあってフラッグ小隊を孤立させることに成功、からの全車突撃。しかし重戦車の装甲を破ることができずにあえなく敗退。終始有利な試合運びに突撃もできて凄くいい笑顔でした。それにしてもアヒルさん、あなた達はとんでもないバケモノを目覚めさせてくれたものだ。森林戦のアンツィオ対継続、なぜかアンツィオ対ラーメンマンさんの料理対決になっていました。そしてミカさん対バッファローマンさんの大食い対決も。・・・五十鈴先輩、なぜ試合中のあなたがそこにいるのですか？しかも二人を制して
理事ハラボテ,・・・ダメだこりゃ
島田千代,愛里寿さん、我が島田流は西住流に先んじて戦車の専門家超人をお招きしました
レオパルドン,どーも
愛里寿,チェンジ
レオパルドン,
紗希,・・・重戦車軍団を相手にここはウサギチームに任せてアンコウは先に進んでくださいと言って引き分けに持ち込むの、やってみたい・・・
あゆみ,前方にカール発見！
優季,えっ！？嘘・・・１，２，３、総数６両！！
優花里,これは・・・アダム・エーファ・ロキ・ツィウ・トール・オーディン・・・カールシリーズです！
みほ,そんな、フラッグは目の前だというのに・・・
梓,・・・
優季あゆみ沙希あや桂利奈,・・・・・・
梓,西住隊長、アンコウは先に行ってください！ここはウサギチームが引き受けます
みほ,ダメです、無謀です！
梓,任せてください私たちにはあの技がありますから
あゆみ桂利奈あや優季,沙織ママ、成長した私たちの姿を見てください！
沙織,あなた達・・・
紗希,冷泉先輩の進む道、誰にも邪魔はさせません
麻子,紗希、あなた・・・
紗希,初めて名前で呼んでくださいましたね、麻子お姉さま
麻子,・・・行こう、西住さん
沙織,大丈夫、あの子達は強いから
梓,さあみんな気合入れていくよーっ！！
桂利奈,小口径二砲流
優季あゆみ沙希あや梓,旋回弾舞六連・真打！！
ナレーション,ＣＶ飛田展男
？？？,よくもカール達ををやってくださいましたわね。大洗女子、まったくもって忌々しいですわ。なれどお父様のご無念ここで晴らさせていただきますわ
辻廉子,お父様に遺していただいたこの陸上巡洋艦ラントクロイツァーP1500モンスターにてお相手いたしますわ
梓,モンスター、西住隊長の所に行かせちゃいけない！
優季あゆみ沙希あや桂利奈,うん！
梓,こんなところで躓いていられない
梓優季あゆみ沙希あや桂利奈,私達の戦車道はまだ始まったばかりなのだから
桂利奈,ソレ凄くイイ！
あや,カメさんもうすぐ相手の射程にはいるよー
あゆみ,援護射撃とかどうする？
梓,もちろんやるよ、本隊全車全砲ヘッツァーの前に着弾させるように砲撃。会長を隠すように弾幕を展開、当てないでね。それとお二方
柚子桃,！
梓,視られていることをお忘れなく
沙希ももがー,・・・
柚子桃,
沙織,だそうです会長、安心して突撃してください
杏,
ミート,王子と大洗の組み合わせは当然ですよね
キン肉マン,なんたって超人チャンプと大会優勝校だからな
みほ,私、キン肉マンさんが強いからファンなわけではありません！。どんなに強い相手でも、どんなに傷つき倒れてもそれでも必ず立ち上がる・・・そんなキン肉マンさんだから好きなんです！！
キン肉マン,・・・
ミート,王子、本気にならないでくださいよ。えーっと、みほさんは王子のどの試合が印象に残っていますか？
みほ,キン肉マンさんの試合はどれもステキですがあえて言えば
キン肉マン,うんうん
みほ,ハリケーンミキサーで空中でゴミのように無抵抗にボコられるのが、いやいやパロスペシャルでボロ雑巾のように締め上げられるのも・・・。どれも苦痛に歪む表情がステキすぎてやっぱり選べません♪
キン肉マンミート,
