本田未央,おつかれさま～。いやあ、最近冷えてきたね～
未央,自信ないけどなあ……
凛,NEWGAMEを選んで……名前はどうする？
未央,あー、でも、主人公は男の子だよね？本田……どうしようかな
凛,ちなみにこのゲーム、ミドルネームが3つまで設定できるよ
未央,うん、どうでもいい
凛,さっき、渋谷・アイオライト・サファイア・ロドリゲス・凛で始めたらね、転校生の女の子があー！あんたは今朝のロドリゲス！とか言い出して、10分くらい笑っちゃった
未央,ちょっと面白いのが腹立つな……！。それはギャルゲの楽しみ方とは違う気がするけど……
凛,名前は決まった？
未央,でもしぶりんは男にもありそうな名前だからいいよね……。あ、じゃあ”本田凛”にしておこうかな？なんて
凛,こっ子供は何人ほしい！？！？！？
未央,想像の100倍は酷いリアクションだ。まあ、本田ミオでいいかな。ミオくんとかはちょっと恥ずかしいけど……
凛,わかった。次に、身長と体重を入力して
未央,え？こういうゲームって、そんなの入れるんだっけ？
凛,卯月の説明だと、身長が低いと高身長のヒロインに頭を撫でられたり、身長が高いと荷物を取ってあげたり、イベントが増えるみたい
未央,へえ、こだわってるんだね。体重も？
凛,うん、体重が重いとキャッチャーにコンバートされたり、体重が軽いとトラックに轢かれた時に吹っ飛びやすくなったりするよ
未央,何の話？
凛,入力は終わった？
未央,終わったけど……
凛,じゃあ、冒険に出る前に最初のポケモンを選んで
未央,これホントにギャルゲ？？？
凛,冗談だよ。はい、それじゃあ始めようか
未央,不安だなあ……。いきなりクズ！！！
凛,これは数パーセントの確率で起きるイベントだね
未央,運悪いな！どういう効果があるの？
凛,うん、新学期の初めから遅刻するような人間に女の子を落とせるはずもなく、卒業まで異性と言葉を交わすことなくエンディングを迎えるみたい
未央,詰んだ！？！？
凛,リセットするしかないね
未央,面倒なの引いちゃったなあ……。ここまで一緒なの、心臓に悪いんだけど
凛,流石に連続はないんじゃないかな
未央,こいつなんなんだ！！！！！
凛,コーヒーの熱さ程度で心が折れる人間に女の子を落とせるはずもなく、卒業まで
未央,詰んだのはわかったからもういいよ！せめて家から出させてよ！！！。家から出ることを主題にしろとは言ってないよ！！！！！
凛,落ち着いて
未央,まだ女の子の1人にも出会えてないのおかしいでしょ！？
凛,私の時はすぐだったんだけどな……
未央,ようやく登校してくれそうだよ……。あ！もしかして
凛,うん、ヒロイン候補だね。家の前では”幼馴染”ポジションの娘と会えるの
未央,長かったよ……。こういうのって、まずはストーリーを進めてヒロインの紹介とか導入を一通り見て、そこから個別のルートに入るんだよね？
凛,うん、そんな感じだと思うよ
未央,……あれ？こ、このキャラデザイン……も、もしや
ミオ,こいつは幼馴染の尾形チエリだ
未央,いやいやいやいや、見覚えしかない名前と顔なんだけど！？。セリフも見覚えある……
凛,あれ？言ってなかったっけ？
未央,な、何が？
凛,このゲーム、ヒロインはウチの事務所のアイドルをモデルにしてるんだって
未央,ええ！？
凛,データを作る度に、それぞれのポジションにランダムでアイドルが配役されるみたい
未央,そういうシステム！？ってか売りなよ！絶対売れるよ！
凛,未央はお金儲けのことばっかり……そんなんじゃ卒業まで異性と言葉を交わすことなく
未央,その脅し文句はもういいから！
凛,それじゃあ、ゲームに戻ろうか。ほら、選択肢出てるよ
未央,いいけど……ちえりん落とすの難しそうだなあ……
３：,無視する
未央,なんかパリピ混じってない！？
凛,どうする？
未央,３と４は流石に論外でしょ……無難に１でいいや……
ミオ,チエリのチョップだ！コマンド入力で避けろ！
未央,え？ええ！？
凛,ほら！画面のコマンドを入れて！
未央,そ、そんなこと急に言われても！！！。え？ど、どうなるの！？。詰むのかよ！！！！！
凛,残念だったね……
未央,いや無理でしょ急にあんなの！
凛,でも大丈夫。このゲームには”巻き戻し”機能があるんだ
未央,巻き戻し？
凛,うん、任意のところまで時を戻せるの。デバッグ機能に近いかな
未央,それは助かるけど……
凛,卯月は今の世代はこういう機能がないとすぐにゲームを投げちゃいますからね！甘やかす機能も必要です！って
未央,いちいち煽るよね
凛,巻き戻しで、チョップ避けゲームから再開しようか
未央,まあ、クリアできたルートを見たいし……
凛,じゃ、やってみて
ミオ,チエリのチョップだ！コマンド入力で避けろ！
未央,落ち着け……！落ち着けばこれくらいは……！。よし！
ミオ,そう言ってチエリは去って行った……恐らく、もう会うことはないだろう……
未央,……
凛,……
未央,……
凛,おめでとう
未央,おかしくない！？！？！？。初手で褒めたらもう詰みじゃん！！！どうすればいいのさ！
凛,巻き戻しで、他の選択肢を選んでみようか
ミオ,チエリのチョップだ！コマンド入力で避けろ！
未央,結局チョップが飛んでくるんだけど！？！？
凛,いっそ無視するのは？
ミオ……,無視
ミオ,チエリのチョップだ！コマンド入力で避けろ！
未央,ほらもう無理だよ！！！！！
凛,まだパリピがあるよ！
未央,パリピでどうにかなる女の子を攻略したくないよ！！！！！
凛,セーフだったね！
未央,ドン引きだったじゃん！一般的にはアウトだよ！！！
ミオ,チエリの好感度が20下がった。知力が20下がった。常識力が20下がった
未央,ほらステータスもダダ下がりじゃん！！！
ミオ,統率が20下がった。武勇が20下がった。政治が20下がった
未央,そんでこの信長の野望みたいなステータスはいつ使うの！？
凛,学校が落城して野武士になった時とかに大切だよ
未央,2018年のギャルゲに必要な想定じゃないよね！？
凛,じゃ、進めようか
未央,1人目で既に疲れたよ……。交差点……もしかして
凛,うん、ここもポイントだね。確か、転校生だったかな？
未央,まあ、定番だよね。……え？自分がぶつかったんじゃないの？。ほたるん！！！！！
凛,落ち着いて未央。まだほたると決まったわけじゃないでしょ？
未央,ほたるん以外なら死んでるに決まってるじゃん！
凛,トラックに轢かれて生還する勘定ができるアイドルもどうなの……？
ミオ,思わず駆け寄る
未央,なにこの二択！？
凛,首の骨がどうなってるんだろ……
未央,さ、流石に選ぶ度胸はないよ……！
ミオ,薄れゆく意識の中で俺が見たのは……恥じらう女の子の表情と……植木鉢の欠片だった……
未央,どうすりゃいいんだ！！！！！
凛,ってことは、首の骨が正解だね
未央,怖いよ……聞きたくないよ……。ほらもう人体からは発生しえない音が鳴ったもん……！
ミオ,そう言うと、少女は走っていった。？？？の好感度が10上がった。度胸が2上がった。不眠症になった
未央,ちょっと体調崩してるじゃん。ようやく登校できたよ……
凛,大冒険だったね
未央,学校ではまず、誰が出てくるの？
凛,まずは……先生かな
未央,マトモな人だといいんだけど
凛,ランダムだからね
ミオ,俺は始業のチャイムギリギリで席に着くことができた。何人かの友人に笑われてる気もするが、まあ気にしないでおこう
未央,お！茄子さん！
凛,年齢的にも悪くないね
未央,うんうん
凛,ちなみにさっき私は遊田コズエ先生を引いて、攻略しようとしたら通報されて終わったよ
未央,挑むなよ
ミオ,先生の突然の発言に、クラスが心なしかざわつく。……ま、あんまり興味ないけど。突然のかこほたにクラスは大盛り上がりだ！
未央,……
凛,……
未央,……
凛,おめでとう
未央,なんなの！？！？！？
凛,特定のコンビが登場人物に含まれると、強制的に百合ルートに入るんだって。配慮が行き届いてるね。流石は卯月
未央,それで救われる人はそもそもギャルゲを買うなよ！！！
凛,次は自由行動だね。中庭で後輩キャラ、生徒会室で先輩キャラ、屋上で留学生キャラと会えるよ
未央,もうなんでもいいよ……適当に中庭に……
ミオ,中庭にいくと、ベンチに女の子が座っていた。その横にはフランスパンが空高く積み上がっている。……みるみるうちにパンが減っていく。すごい、なんだあれは。ブラックホールか
未央,はい退散！！！生徒会室行こう！
凛,せめて話しかけてあげなよ
未央,お金がいくらあっても足りないよ。ゲームオーバーが目に見えてるよ
ミオ,せっかくの学生生活だし、生徒会に入るのもいいかもしれないな
未央,も、もしかして……！。かみやん～～～～！！！！
凛,うわ、びっくりした……！
未央,決めた！私はかみやん……もとい、かじやんを落とすよ……！！！
凛,……未央
未央,へ？
凛,その書記のキャラは攻略対象じゃないんだ
未央,ええ！？じゃあ攻略対象は……。リセッッッッッッット！！！！！
凛,未央、いきなりのリセットは感心しないよ
未央,むしろあの人が後輩で出ることもありえるんだよね！？怖っっっ！！！
凛,念のため、屋上も行っておこう？
未央,どうせろくでもない人選でしょ……？
ミオ,屋上で黄昏れていると、いきなり誰かに話しかけられた
未央,あー、なるほどね。でもなんかフレちゃんは安心できるなあ……。……あれ？。り、留学生枠は2人なんだ。珍し……。待って待って多い多い！！！
凛,外国人受け入れ政策の結果かもね……！
未央,そんな社会風刺をギャルゲに！？。台東区は国内だろ！！！！！
卯月,私のゲームはどうですか未央ちゃん！
未央,ゲームが悪いのか私の運が悪いのか判断しかねてるよ
凛,急に現れた卯月にはノータッチなんだね
未央,慣れてきたからね
卯月,おかしいですね……
未央,しまむーの頭が？
凛,今日の未央、ちょっと攻撃的だね
卯月,いえ！私のテストプレイの時は、最初の会話で全員を落とせたんですが……
未央,ギャルゲにあってはならないバグでしょ。ちなみにこれって、しまむーも出るの？
卯月,はい！もちろんです！
未央,まあ、しまむーを落とすって……見当もつかないけど
卯月,そんなことないですよ？でも、そう簡単には
凛,ううん、名前を”渋谷凛”にするだけで落とせるよ
未央,いやいやそんなわけ……
卯月,……り、凛ちゃん、試したんですか？
未央,あれ？
凛,いや、カマかけただけだけど……図星みたいだね
卯月,ええっ！？り、凛ちゃんのいじわる～
凛,ふふっ、痛いよ卯月。全治10か月になっちゃうから
未央,なんでイチャイチャしてるの……。ってか無敵に見えるけど、しまむーの弱点はしぶりんなのかもね
凛,未央、落ち込まないで。私の予想が正しければ”本田未央”でも落とせるよ
卯月,凛ちゃん～！！！
凛,痛いってば……
未央,いや太鼓の達人みたいなコンボ数積み上がってるけどしぶりん大丈夫？
卯月,みねうちです～！！！
未央,いや素手じゃん。ちなみにしぶりん、自分のデータでは誰を攻略したの？
凛,1回目は幼馴染の未央と後輩の乃々が同時に出てきちゃって、選べなくて泣きながらリセットした
未央,感情を入れ込みすぎだよ……嬉しいけど……
凛,2回目は玄関出たら幼馴染の拓海が立ってて、”殺られる！！！”って思ってリセットした
未央,そこは頑張ろうよ
凛,3回目はコーヒーが熱くてゲームオーバー
未央,あれしぶりんも当たってたんかい！！！
卯月,このゲーム、売れるでしょうか……？
未央,節々にある理不尽をなくせば絶対売れるよ
凛,というか売るつもりはあるんだ
卯月,理不尽なんてありましたか？
未央,急にチョップ避けアクションゲームが始まることを理不尽と呼ばないなら、この世に理不尽なんて存在しないね
卯月,なるほど！急じゃなければいいんですね！
未央,……はい？
発案者の本田、共同開発者,見てただけ
卯月,ぶいっ！
未央,もうどうでもいいよ……
