速水奏,17
P,うーん………映画とか本を通じて………いや、でも……
奏,Pさん、おはよう
P,そういや明後日のレッスンの夕枠に………よし、それで……
奏,………………。………………
P,あ。っぷはっ、おいこら奏！
奏,挨拶はちゃんとしないとだめよ？。ね？。あ、ちひろさんこの間の………
P,………で、演技レッスンでだな
ゆかり,いえ、もう結構です。また何かあれば聞きますので
P,………………
小梅,それで………後ろから…………ネズミが……………
薫,
珠美,
P,ちびっこ怪談会……怯える幼女………。いいゾー、これ。………うーん、何か企画に………。っ！？。く、首筋に……。か、奏か？というか奏しかありえん！。ひゃっ！？。み、耳！？
薫,せ、せんせぇ？どうしたの？
P,あ、いや、なんでもないぞ、ははは。っ。っ、く、暗くて見えない……ど、どこだ？。いや、そんなに早く動けるわけじゃない。感触があったらすぐ振り向けば………。今だ！。…………………
奏,……………
P,あっ
奏,あら、いい男
P,お、おい、やめ
奏,ふふっ、終わってから言われてもねー♪
P,お、おい！！
薫,ひゃっ！？せ、せんせぇ？
P,あ……ご、ごめんな、続けてくれ
珠美,は、はわ、はわわわわわわわわわわわ
