昨夜は風呂に入らなかったし、寝間着のままだ,フリースの上に着る毛布
アンチョビに,今日は帰れそうにないので動画の投稿よろしく。夕飯も一人でどうぞ
アンチョビからの,大丈夫か？今日は帰ってくるよな？
俺は,これから帰る
単刀直入に申し上げますが、動画内の,冬季無限軌道杯
俺はアンチョビの書いた内容を確認,ネタバレのオンパレードだ。辛い
つきましては、一度、直接お話をうかがいたいのですが、ご都合いかがでしょうか,とはいえこちらの予定を鑑みると、12月10日以降とさせていただきたく
アンチョビがぐいぐいと肘でつくので、,やめてやめて
アンチョビに,そうはいかないぞ
終電で家に帰り、アンチョビと一緒に夕食,もはや夜食だが
仕事が忙しい,忙しいという概念で済まされるのか
アンチョビには,なあ、本当に大丈夫なのか!?
一度,私に出来ることなら何でもするぞ！
移動中も飯を食っている間も仕事とアンチョビ,の動画
ユーチューブでの彼女の活躍を知る者も少なくないのだろう、アンチョビの姿に,え、あれ本物？
狭い映画館で目立つのもなんなので、,あ、たぶん人違いだと思いますよ？
そこまで言って、彼は,あぁ……でも監督なら喜んで会うって言いそうだな
禅僧のような精神で黙々と取り組んでいると、14時を前にしてリーダーが,一旦チケット投げるのやめろ！
スタッフ全員の視線を集めると、リーダーは,おらおらいくぜえ！
やはり作業は深夜まで及び、そこでようやく,みんな疲れてるだろうから今日はもう解散だ！
ふらふらの状態で家へ帰るとアンチョビに,死にそうだぞ戸庭！風呂かご飯か！
俺はその両方を終えると、アンチョビへ,寝る
そこでようやく,あれ？これまずいのでは？
やがて寝室の扉をノックする音と,戸庭？
そこで俺が再び,アンチョビさん
そう言うアンチョビに、俺はおかしいと思い,会社に行く
次に,戸庭っ
勢いよく病室を出て行くアンチョビに、俺は,元気だなあ
医者が去って俺が,アンチョビさんは関係ないですよ
……俺の,大丈夫
そして少し間を置いて,んう～～～～
俺が言うと,なんだと！
ぐだぐだ根掘り葉掘り訊かれそうでしんどかったので、俺は,詳しくはメールします
俺はアンチョビが,もうやめてくれえ！
タブレットでVtuberの動画を眺めているとアンチョビが,おはよーうっ！
りんごを食べながら5分ほど交渉したところで、アンチョビは,じゃあ明日だ。明日からな
アンチョビへ電話でそのことを話すと、彼女にも,安静にしてなきゃ駄目って言っただろ！
最後の診察で医者には,次また過労で入院したら治療費倍額請求するぞ
俺は,二度と来るか
数分間、アンチョビは,うーん
うどんを平らげ、食後のお冷やを飲んでいると、アンチョビが,そういえば
俺は,監督と会うのに酒飲んだりなんかしないよ
店に辿り着き、中へ入ると、カウンターに立つおばちゃんに,いらっしゃい
おばちゃんに、店内の左手に位置する階段を案内され、,ありがとうございます
そしてこちらを向き直り、,はじめまして、ガールズ＆パンツァーで脚本を担当しています――
監督はそう言うと、ふすまを開き、階下へ,すみませーん
枝豆と豆腐でちびちびやり出したところで、監督が,さて
監督に促され、アンチョビは,ああ！
アンチョビが,以上！
俺が愕然としていると、脚本が,少し訂正しておくと
脚本はそんな彼女を見て,私が言うのもおかしな話かもしれませんけどね
続けて脚本の差し出したそれも、,どうも
何を当たり前のことを、と思ったが、とりあえず俺は,こちらこそよろしく
アンチョビの働く店に行こうとも誘ったのだが、またも,今日は駄目だ！
赤ワインは追加のクリスマスプレゼントだそうで、,すぐ飲みたい
ふー、とため息をつき、,いつやめるの？
淡々と言う上司に,はぁまぁそうですね
長田は,じゃあ明後日、俺の戦利品買うの手伝って
そこまでアンチョビが言ったところで、館内に入った俺たちの耳に,おぉお～～、お久しぶりです～～
1時間ほどであらかたの戦利品を手にし、キミドリ氏のサークルへ戻ると、アンチョビが忙しそうに本,健全本だ
コスプレ広場にて、アンチョビが,はあっ
その口で図々しくも,夕飯食ってくわ
長田の,俺の戦利品買うの手伝って
ちなみに、当初、長田は,アンチョビさん18歳だし大丈夫でしょ
疲れた顔で現れたアンチョビは、,ここは、すごい場所だな……
母からのメールにも,帰らない
我が家には珍しく日本食だったので、酒も日本酒,新政
アンチョビは,そうだなあ
続けて何か言うかと思えば、そのまま黙ったままだったので、俺は,アンチョビさん？
アンチョビと顔を合わせ,あけましておめでとう
絞り出すように,なんで？
アンチョビは,そうだなあ。まぁ、考えてみてくれっ
それをそっくりそのまま彼女へ伝えたところ、,じゃあ、仮に私にしたいことがなかったら、どうするんだ？
どうしてだろうと俺は疑問に思ったのだが、,この世界へ残る
店長は,はっはっは、売り上げが上がってこっちは助かってるけど、アンチョビさんは大変だよね
直接アンチョビへ訊いてみると,まだ決めてないなあ
ガルパンの公式アカウントへも質問リプライが飛んでいるのを見て、アンチョビは,質問はそっちじゃなくて私宛にくれえええっ！
ありがたくも,こちらで対応するのでそちらのアカウントではノーコメントで通すことにしましょう
アンチョビはそっくりそのまま,ノーコメントだ！
アンチョビにも,ちゃんと考えて、慎重に選ぶんだぞ！絶対に妥協しちゃ駄目だっ！
しかし俺も代表もアンチョビも、,信じられないでしょうけどアンチョビです
念のためアンチョビに確認をとると,当然おーけーだ！
アンチョビと二人、商店街でみつだんごを食べたりなどしつつホテルへと向かった,途中、通りすがりのおじさんお姉さんに何度も声をかけられた
アンチョビの部屋へ顔を出し、,少し飲んでくるけどアンチョビさんどうする？
そう言うと、周囲で,とにー!?
エレベーターで階を上がり、目的の部屋の扉をノックすると、中から,あぁ、いま開けますね
柿葉さんが,あ、挨拶っ！
彼女はそれを楽しそうに眺め、,アンチョビ。口に出してみると良い
アンチョビの言葉に、彼女は,正解
代表は,後は4人で
すっかり出来上がってしまった俺はアンチョビに,戸庭！部屋に戻るぞ！
中から現れたアンチョビは,遅いぞ戸庭っ！
代表は,そりゃそうですよ
テントへ戻るとガルパンのキャストが勢揃いしていて、アンチョビを目にすると,アンチョビさんだっ！
彼女らは,お会いしたかったんです～
アンチョビも嬉しそうに,こちらこそよろしく！
与えられた時間の半分以上を過ぎたところでカンペを見て,おお、もうそんなに経ってるのか
俺も感情が爆発して,ううあああああ
アンチョビには,どこ行ってたんだ？
アンチョビは,ぐ、く
それを見たミカは,柿葉
柿葉さんから最終章第1話のBlu-rayを受け取る,我が家にもあるが
4人でリビングへ腰を下ろしたが、直後、ミカが今度は,アンチョビ
ミカに呼ばれたアンチョビが,わかってるっ！
ミカが,それで良いのかい
俺も手伝おうかと提案したのだが,大洗の人が手伝ってくれるから大丈夫だ！
俺は,それでも寂しいもんは寂しいんだ
キミドリ氏が終業後に俺を飲みに誘う,たぶんアンチョビがいなくなって寂しかろうと心配しているんだと思う
と、彼女には声をかけられたが、俺は突然すぎて何のリアクションもできず、挙動不審に,あ、お、う
アンチョビは,何を緊張しているんだ
キミドリ氏に相談したら,だったらうちに誘いましょう
花澤にそう言ってみると、彼は,仏やろ
当然のごとく無茶苦茶面白かったので、監督へ,無茶苦茶面白かったです！
彼女にかつてアイドルを勧めた際は,それはない
と、考えたところで、そういえば彼女はアイドルにならない理由として,今のような生活を続けられなくなるから
最終章第2話のBlu-rayが発売されたので、俺の家に集まって4人,花澤、長田、柿葉さん
なんと今回はアンチョビ,よく知ってる方ね
最終章3話の公開を控える監督は,少しだけ休憩です
そして、その翌日、アヒルさんチームの磯辺典子,キャプテンだ
ファンは,むしろ今まで国民じゃなかったのかよ
アンチョビはステージの上から,あはは、一緒に喜んでくれるのは嬉しいが、みんな静かになー？
俺も付いていきます、と彼に言ったのだが、キミドリ氏は,付き合わせるのも悪いです。まぁ会社が落ち着いたらまた誘いますよ
花澤は最後の飲み会で,あ、俺も会社が落ち着いたらそっち行きますわ。給料たくさんくださいね
俺は,ついにか
そう言ってアンチョビはグラスの残りを飲み干し,もう一杯くれえ
手元のウイスキーをぐいと飲み干し、アンチョビを,自分の言葉を思い返してみろ！
ミカの言葉に、アンチョビは,どういう意味だ！
俺はどういう意味かがわかってしまって、気恥ずかしさを誤魔化すべく,パンツァーフォーっ！
