サイコミで連載されている,アイドルマスターシンデレラガールズU149
晴,そうだなぁ。バックダンサーの仕事のときに色々やってくれたからな。そのときのことを書こうって思う
梨沙,あぁ、あれね。あの時のプロデューサーのスカート姿はひどかったわね
晴,ぶはっ！やべ、思い出したら笑いが……
梨沙,まあでもそうね。早く莉嘉やメアリーに追いつかなきゃならないんだしもっと仕事をよこすように書いてやろうかしら
晴,梨沙は素直じゃねえなあ
千佳,仁奈ちゃん達はなんて書くの？
薫,かおるは青空クッキングしたときのこと書くよ！
仁奈,仁奈はですねー。みんなでぴーあーる動画を作ったときのことを書くですよ！。プロデューサーはすげーです！プロデューサーがいるだけでみんなが笑顔になるですよ！
薫,そうだよね、かおるもプロデューサーさんがいると安心！
千佳,早く元気になって一緒に遊びたいね！
小春,千枝ちゃんはなんて書くんですかー？
千枝,千枝はオープニングアクトでリーダーを任されたときのことを書こうと思うの。リーダーをやったとき、千枝怖かったの。みんなに置いてかれちゃうと思って
小春,千枝ちゃん……
千枝,でもプロデューサーさんは千枝を信じて背中を押してくれて、そのおかげで自分に自信を持ってステージに立つことが出来たから
小春,千枝ちゃんすごいかっこよかったですー
千枝,あの時は小春ちゃんもありがとうね
舞,プロデューサーのために手紙ってみりあちゃんは優しいね
みりあ,だってプロデューサー本当に悲しそうな顔してたんだもん。プロデューサーはいつもみりあ達のために頑張ってくれてるから、プロデューサーも元気でいなくちゃやだよ
舞,……そうだよね。プロデューサーさんが元気なかったら私たちが元気づけてあげないとね
みりあ,うん！プロデューサー喜んでくれるかなあ？。みんな書いた？
薫,書いたよー！
ありす,書きました
桃華,ありすさんったら、ただ手紙を書くだけですのにまるで小説のようで
ありす,桃華さん！そういうことは言わなくてもいいんですよ！
小春,あとはプロデューサーさんに渡すだけですねー
梨沙,あいつ遅いわね
晴,もう帰ってきてもいいはずだよな
P,ただいまー
薫,あ、帰ってきた！おかえりなさーい！
舞,お疲れ様です。プロデューサーさん
P,おお、お疲れー。みんな揃ってどうしたんだ？
仁奈,みんなでプロデューサーを待ってたんでごぜーますよ！
千枝,私たちプロデューサーさんに渡したいものがあるんです
P,オレに？なになに？
みりあ,えっとね。みんなでプロデューサーにお手紙を書いたんだよ！
P,ただいまー
薫,あ、帰ってきた！おかえりなさーい！
舞,お疲れ様です。プロデューサーさん
P,おお、お疲れー。みんな揃ってどうしたんだ？
仁奈,みんなでプロデューサーを待ってたんでごぜーますよ！
千枝,私たちプロデューサーさんに渡したいものがあるんです
P,オレに？なになに？
みりあ,えっとね。みんなでプロデューサーにお手紙を書いたんだよ！
P,手紙？
みりあ,いつもみりあ達のためにありがとう、プロデューサー！
仁奈,ありがとー！
薫,ありがとうございまー！
千佳,ありがとう！
ありす,その……ありがとうございます
晴,まあ毎日頑張ってくれてんだからね
梨沙,そのお礼くらいちゃんとするわよ
桃華,わたくしのプロデューサーなのですからいつまでも暗い顔をしてはいけなくてよ
小春,心をこめて書きましたー
舞,元気になってくれると嬉しいです
千枝,これからも千枝たちをよろしくお願いします！
P,うぅ……
みりあ,プロデューサー？どうしたの？
P,み、みんな……ありがとう……
みりあ,あ、プロデューサー泣いてるー！
晴,本当すぐ泣くよなー
梨沙,情けないわねー、男ならビシッとしてなさいよ
P,だ、だって……こんなことされて……泣かないわけ無いだろ……あの橘さんでさえ書いてくれるなんて……
ありす,ちょっと！どういう意味ですかそれ！
桃華,ふふっ、そんなに泣かれるなんて心をこめて書いたかいがありましたわ
P,でもどうして急に手紙なんか書いてくれたんだ？
みりあ,だってこの間ラブレターをもらったことがないか聞いたとき、プロデューサーすっごい変な顔してたんだもん
P,ああ、あの時の……
ありす,ラブレターをもらった経験がないことを気にするなんてプロデューサーはまだまだ子供ですね
晴,いまどきラブレター書くやつなんていないから気にすんなって
P,いやぁ……まあそうだよな。ゴメンなみんな、心配かけたみたいで。そんなみんなにいい知らせがあるぞー！
千佳,いい知らせ！なになに？
舞,新しいお仕事ですか？
P,ふっふっふ……みんなにこんなものが届いてるんだ！
小春,これは……お手紙？
薫,これってもしかして……
仁奈,ファンレターでごぜーますか？
P,そうだ！PR動画を見てくれた人が送ってくれたんだぞ！
千枝,私たち宛のファンレター……
梨沙,まあ、当然来るわよね。むしろ遅い位ね
晴,本当にアイドルになったんだな……
ありす,こうファンレターをいただくと改めてアイドルであることを実感しますね
桃華,そうですわね。これからも頑張ろうと身が引き締まりますわね
みりあ,……
P,どうしたの、赤城さん？
みりあ,この中にファンの人たちの気持ちがいーっぱいつまってるんだよね
P,もちろん
みりあ,みりあたちを見て笑顔になったんだよね？
P,ああ
みりあ,なんだろう、みりあすっごくどきどきしてる。ファンの人たちの応援ってこんなにあたたかいんだね。プロデューサー、本当にありがとうね！
P,ああ！よし、みんなこれからも頑張っていくぞー！
