モバＰ(以後Ｐ表記),凄いレトロなデザインですね…５０年ぐらい前のマンガにある未来銃
Ｐ,そうか、慰謝料に何モバコイン請求されるか分かったもんじゃねぇ
晶葉,しかし、当の本人はどこに行ったというのだ？光線に当たったのではないのか
Ｐ,いや、晶葉が来たら挨拶ぐらいは絶対するだろうから？？？れ、本当にどこにもいねぇ。…原子分解されたか？
晶葉,い、いやそこまでのテクノロジーは無いはずなのだが…
Ｐ,まさか、異世界に飛ばされて今頃チート無双をしているとか
晶葉,彼女ならどんな世界でもやりそうで恐いが…
Ｐ,超電磁砲とか平気でブッ放せそうだもんなあ、ちひろさん。しっかし本当にどこに…って…
晶葉,どうした助手？
Ｐ,いや、何かに袖を引っ張られてるよう、な…
ちっひ,ｶｷｰﾝ
Ｐ,…
晶葉,…
ちっひ,ｶｷｰﾝ、ｶﾞﾁｬｰ、ｶｷｰﾝ
Ｐ晶葉,ぷちになっとる！！
Ｐ,うわぁ～…マグカップサイズのちひろさんだ
ちっひ,ｶｷｰﾝ
Ｐ,…鳴き声は不吉だけど
晶葉,やはり光線が当たってしまったようだな
Ｐ,どういう事だ？ちひろさんはクリープが混ざると縮むのか？
晶葉,クリープ混入光線ではない！使い道が限定的過ぎるだろ！。あの光線銃はな、名付けるのならば特異点崩壊光線銃
Ｐ,…
晶葉,どうした？
Ｐ,日本語でオナシャス
晶葉,…噛み砕いて言うと、何が起こるかわからない光線銃
Ｐ,パルプンテ光線か
晶葉,やめろ。まるで頭の悪いウルト○マンの必殺技のような名前をつけるのは
ちっひ,ｶﾞﾁｬｰ､ｶﾞﾁｬｰ
Ｐ,で、どうすれば元に戻るんだ？時間経過か？
晶葉,いや、このままではずっと元には戻らない
Ｐ,時間制限無しかよ。え、じゃあずっとこのちひろさん？
ちっひ,ｶｷｰﾝ？
Ｐ,…別にいいか
晶葉,落ち着け。当然元に戻す方法はある
Ｐ,戻さなくても…
ちっひ,ﾓﾊﾞｺｲｰﾝ
晶葉,気持ちはわからなくもないが聞け。手の平に載せるな堪能するな。元に戻す方法は簡単だ。この光線銃のエネルギーを使い切ればいい
Ｐ,おお、なんだ簡単じゃないか
晶葉,最後まで聞け
ちっひ,ｶﾞﾁｬｰ
晶葉,使い切るだけと言ったが無機物を対象にしてもほとんど残量は減らないんだ。どうも生物、特に人体相手でなければろくにエネルギーを消費しないようだな
Ｐ,とことん人に優しくないな、お前の発明って
ちっひ,ﾓﾊﾞｹﾞﾊｲｼﾞｰﾝ
晶葉,五月蝿い！…要するに、だ。この銃の効力を元に戻す方法は只１つ
Ｐ,もっともっと人に撃ちまくって犠牲者を増やす、か…。矛盾してるけど、仕方ないのかな
晶葉,科学に犠牲は付き物だ。止むを得んだろう
ちっひ,ｽﾀﾄﾞﾘｴﾅﾄﾞﾘｰ
Ｐ,何人ぐらいに撃てばいいんだ？
晶葉,銃の横にゲージがあるだろう？コーヒーとちひろさんに１発撃ったがどれぐらい減っている？
Ｐ,んー…、あんまり減ってないな
晶葉,だとすると、それなりの人数に撃つ必要があるな…。ちなみに同じ相手には効果がないからな
Ｐ,なるほど…せちがらいな
晶葉,まあ、そう上手くいかないものさ…っと、何故こちらに銃口を向けているのだ助手よ！
Ｐ,いや、取りあえず製作者が責任取ろうぜ
ちっひ,ｴﾅﾄﾞﾘﾁｬｰｼﾞ!
晶葉,ま、待て助手よ！私の優秀な頭脳を消し去ってはならない！
ちっひ,ｲｯﾃｲｰﾖ!
Ｐ,いっていい、ってさ
晶葉,ま、待て！待つのだ助手…っ！あばばばばばばばば
Ｐ,お、確かにちょっと残量が減ったぞ
ちっひ,ｶｷﾝﾊｻｰﾝ
晶葉,うぅ…何の躊躇も無く自分のアイドルを撃つとは…
Ｐ,おお、無事か晶葉！
晶葉,どの口が言うか！
Ｐ,…あれ、晶葉には何の変化も無いのか？
晶葉,うむ？…そう言われれば、特に何も変化は感じられないな…
Ｐ,年齢制限でもあるのかな、コレ
晶葉,うむ、そうかもしれんな
Ｐ,もしくはメガネには効かないとか
晶葉,ありえるな
Ｐ,…精霊ルヒタニ様を信仰していない異教徒は対象外だとか
晶葉,十分に考えられるな
Ｐ,…取りあえずコレのエネルギー使い切ればいいんだよな。暇そうな奴に片っ端から使っていくしかないか…
晶葉,ああ、そうだ。エネルギーって言葉の意味はわからんがじゃんじゃん使うといい
Ｐ,被害者は増えるだろうが、大勢に使えばその分早くこのヘンテコ発明の効果が切れるんだし、仕方ないよね
晶葉,そうだな、助手は実に頭がいいな。きっと３桁の足し算もできるのだろう
ちっひ,ｶﾞﾁｬｰ
Ｐ,よーし、じゃあちょっくら行って来る。晶葉はここでお留守番だ。待ってられるか？
晶葉,分かった。助手に任せて私は大人しくここで舞っていよう
Ｐ,お、おう。じゃあ行って来るからな…
ちっひ,ｶｷｰﾝ!
Ｐ,うぉっ！やっべ、頭の上に乗せたままだったか。おーい、晶葉と一緒に舞って…待っててくれよぷちひろさん
ちっひ,ｴﾅﾄﾞﾘｰ
Ｐ,痛い！髪を掴まないで頭皮を掴まないでハゲてしまいます！。…仕方ない。連れて行くか…
ちっひ,ﾛｸﾞｲﾝﾎﾞｰﾅｽｰ!
Ｐ,さて、誰かいないかなっと…
ちっひ,ｶｷﾝｰ、ｶｷｰﾝ
Ｐ,んっ？あれは…
美穂,…あ、プロデューサーっ
Ｐ,闇に飲まれよ！
美穂,やっ、闇に…って、だからそれは熊本の一般的な挨拶じゃないんですってば！
Ｐ,すまん、つい…。おはよう美穂。レッスン上がりか？
美穂,はいっ
Ｐ,そっか、お疲れ様。この後は何か予定あるのか？
美穂,…？いえ、特にはありませんけど…どうしてですか？
Ｐ,いや、この後も仕事が入っていたりしたら可哀想だな、って
ちっひ,ｶﾞﾁｬﾏﾜｾｰ
美穂,…え？あ、そう言えばその頭の上の…
Ｐ,てやっ
美穂,小さなちひろさんみたいなななななななななななななっ。うぅ～…な、なんですか今の…びりびり来ましたよぉ…
Ｐ,ああ、ごめんごめん。晶葉の最新作、疲労回復光線銃
美穂,晶葉ちゃん凄い…。あ、本当に体が楽になったような気がします
ちっひ,ﾓﾊﾞｺｲﾝｰ
Ｐ,撃っておいてなんだが大丈夫か美穂。どこか体に違和感は無いか？縮んでないか？クリープついてないか？
美穂,えっ？いえ…別に特に何も無いと思いますけど…？
ちっひ,ｶｷｰﾝ､ﾛｰﾝ、ﾊｻｰﾝ
美穂,そう言えば、こうしてプロデューサーとお話するのも久しぶりな気がします
Ｐ,そうだっけ？まあ、俺も色んな娘見てるし美穂も今じゃ人気アイドルで忙しいもんなぁ
美穂,そ、そんな…わたしなんてまだ全然…
Ｐ,…ん？
美穂,どうしました？プロデューサー
Ｐ,すまん。ちょっと触るぞ
美穂,えっ…っ？わっ、わわっ！ち、近…ひゃぅ！。ぷ、プロデューサー…？
ちっひ,ﾂﾗﾚﾅｲｸﾏｰ
美穂,あっ、あの、ぷ、プロデューサー？…んっ。ちょっ、な、にを…んっ！あぅっ…！。ひゃんっ！んっ！んんっ…！んくっ、んっ…んぅ～…！
Ｐ,…っと、ごめんごめん。ついベタベタ触っちゃったな。…美穂？
美穂,…はぁ、はぁ…。…っ！
Ｐ,…
美穂,…っ！～～っ！！。～っ！？んんっ！むぐぅっ！～～っ！！
ちっひ,ﾚｱﾒﾀﾞﾙｰ
Ｐ,…はっ！俺は一体何を…。すまん美穂。つい理性が…、美穂？
美穂,
Ｐ,だ、大丈夫か？ああほら、涎出て…
美穂,ぁう……ぁ…
Ｐ,…やりすぎた。すまん、つい夢中になってしまった…
美穂,…ら、らい、りょうぶ、れす…
ちっひ,ｼﾞｮｼﾘｮｳｰ
Ｐ,そ、そうだな。こんな姿の美穂をこのままにしてたら通りすがりに薄い本展開されてしまう。美穂、寮まで送っていくぞ。ちょっと我慢してくれな
美穂,んっ！…ぁっ…
ちっひ,ｴﾅﾝｻﾞﾑｰ
Ｐ,ふぅ…なんとか無事に部屋に送り届けられたぞ
ちっひ,ｶﾞﾁｬｰ、ｶｷﾝｰ
Ｐ,ああ、はいはい。さっさと残量使いにいけって？。ぷちひろになっても可愛げが無い…
ちっひ,ﾚｱﾒﾀﾞﾙｺｳｶｰﾝ
Ｐ,前髪抜くなぁ！！。痛てて…あやうくハゲてしまうところだった…パッションＰになってしまうところだった…。…おや、あそこにいるのは…
夏樹,ん？プロデューサーじゃないか。お疲れ様
Ｐ,おぅお疲れさん。今日はもう仕事上がりか？
夏樹,ああ。そういうアンタはまだまだ仕事？大変だねぇ
Ｐ,ま、プロデューサーだからな
夏樹,ハハッ、いつもアタシ達の為に頑張ってくれて感謝してるみょみょみょみょょみょみょみょ
Ｐ,そうやってストレートに感謝の言葉をかけられると流石に照れるな
ちっひ,ｹﾞﾝﾃｲｶﾞﾁｬｰ
夏樹,うぅ…照れながら何すんだにぃプロデューサー…
Ｐ,すまんすまん、つい照れ隠しで
夏樹,ったく…いきなりビックリしたにぃ……って
Ｐ,oh…、こうきたか
夏樹,に、にょわっ！？な、何、何これどういうことだにぃっ！？
Ｐ,夏樹の場合は口調変化か…ホントに何が起こるか分かんねぇな、コレ
夏樹,Ｐちゃんのせいなのー？何てことするのー！うきゃーっ☆
Ｐ,本当に何てことをしてしまったんだ
ちっひ,ｶｷﾝｯ､ｶｷﾝｯ
夏樹,お口が勝手に動いちゃうーっ☆Ｐちゃんどうすればいいんだにぃ！？
Ｐ,…すまん、元に戻すにはまだ時間がかかりそうなんだ…
夏樹,
Ｐ,…そうか、相手によってはとんでもない事になるんだな…コレ
ちっひ,ﾓﾊﾞｺｲﾝｰ、ｶｷﾝｰ
Ｐ,あ、でも残量減ってる。誰にどんな効果が出るのかが全然分からないっていうのが厄介だよなぁ…。人間相手じゃないとエネルギーが減らないっていうのも面倒だし。ていっ
ドラム缶,なんでや
晴,何ブツブツ言ってんだ？Ｐ
Ｐ,うぉっ、…何だ晴か。脅かすなよ
晴,アンタがボーッとしてただけだろ？一体何やってｴﾞｴﾞｴﾞｴﾞｴﾞｴﾞ
Ｐ,いかん、条件反射でブッ放しちまった
ちっひ,ﾊﾙﾁｰﾝ、ﾊﾟﾗｶﾞｽ
Ｐ,やめなさい
晴,な、何だ今のっ！ビビッたじゃねーか！
Ｐ,すまんすまん、晶葉の怪しい発明品だから心配するな
晴,どこにも心配しなくていい要素がねーよ！。ったく…Ｐも晶葉もロクなことしないよな…
Ｐ,だから悪かったって。今度またラージャン狩り手伝ってやるから
晴,いーよ！どうせまたオレを大タルで爆破するだけだろ！
Ｐ,ハッハッハッ…あ、ところで晴
晴,なんだよ
Ｐ,背、伸びた？
晴(18),…え？。な、なんだこりゃああ！！。はぁ！？何だコレ！おいＰっ、一体何したんだよ！
Ｐ,当たると何が起こるか分からない光線銃を撃っただけだ
ちっひ,ﾎﾃﾙｰ、ﾊﾙﾁｰﾝ
晴(18),何してくれてんだよ！
Ｐ,ｻｰｾﾝ
晴(18),な、何だよ…目線の高さが全然違うし…それに
Ｐ,…立派になったな
晴(18),しみじみとドコ見て言ってんだヘンタイ！
Ｐ,痛っ！成長してるから筋力が強い！
晴(18),早く戻せよっ！
Ｐ,戻せないんだよ。後個人的に戻したくない
晴(18),もーどーせーよー！
Ｐ,ぐぇぇっ…だ、だから戻したくても戻せないんだって…！ってか当たってる、デカいのが当たってる！
晴(18),…っ！。ロリコンッ！ロリコンッ！
Ｐ,今のお前相手じゃロリコンにはならないだろって痛い痛い痛い痛ぇ！
晴(1888-57-88),うぅ…何でなんだよ、よりによって何でこんな体に…
Ｐ,将来性を約束されたな、晴
晴,黙れ！
ちっひ,sﾚｱｰ
晴(18),ハァ…、要するに、そのオモチャみたいな銃を使い切らないとみんな元に戻らないのかよ
Ｐ,その通りでございます
ちっひ,ｽﾀﾄﾞﾘｰ、ｴﾅﾄﾞﾘｰ
晴(18),その頭の上のマスコットも幻覚じゃなくてちひろさんなのかよ…何でもアリすぎだろ
Ｐ,…っつー訳で、俺はまだまだ他のアイドルを撃たねばならないんだ。もうしばらく我慢してくれ
晴(18),事情は分かったけどよ…出来るだけ早くしてくれよな
Ｐ,…折角だし今の姿で写真でも取っておくか？
晴(18),ヘンタイっ！
Ｐ,だから強い痛い！。あいたた…晴は成長しても変わらないのな
晴(18),中身は変わってないからな。って言っても外見だってデカくなっただけだろ？………特に一部が
Ｐ,んー…そうでもないぞ？
晴(18),そうか？
Ｐ,何というかな、晴って成長するとこういう感じになるんだなーって。意外にカワイイっていうより綺麗って感じになるのかってさ
晴(18),んなっ…！カワっ…きれっ…！？
ちっひ,ｶｷﾝｰ､ｶｷﾝｰ!
Ｐ,あいたた…悪い、ぷちひろが急かすからもう行く。その姿じゃレッスンは無理だろうし今日はもう寮に帰っていいからな
晴(18),あ、おいちょっと…！
Ｐ,もうちょっとだけ辛抱しててくれよー
晴(18),行っちまった…好き勝手な事言いやがって…。…。…そっか、これだとロリコンじゃあないのか…。………
Ｐ,パターンが全然読めん…マジで何が起こるか分かんねえ…。キュート、クール、パッション特に法則性も無いみたいだし…どんな事になるか予想が全く出来ないのが恐いな。…まぁ、かと言って
ウサミンロボ,ｳｻｻｻｻｯ
Ｐ,…うん、やっぱエネルギー減らねぇや。もうちょいでようやく半分、ってところか。一応撃つ相手も吟味しないとな…。これから仕事の予定が入ってなくて、多少の無茶が効くような…
心,フンフンフフンフーン、スウィーティー♪
Ｐ,あれでいいや
常務,…何？事務所の前で巨大なウサギロボが暴れている？そんな馬鹿な話があるか、仕事に戻れ。…みんな疲れているのか？
Ｐ,おーい、心さーん
心,んー？あー、プロデューサーおつかれっしたばばばばばばばばばばばばばばばば
ちっひ,ｼｭｶﾞｰ、ｷﾞﾘｷﾞﾘｰ
Ｐ,お疲れ様っス心さん。大丈夫スか？
心,あだだ…、てんめーｗｗ挨拶と同時に変な光線撃ったろ今ｗｗ
Ｐ,サーセン、マジサーセン。のっぴきならない事情があるんス、ウス
心,やめろｗｗなんではぁとだけ部活の先輩みたいなノリで接するんだよｗｗ
ちっひ,ｼｮｳﾐｷｹﾞﾝｰ、ｷﾞﾘｷﾞﾘｰ、ｱｳﾄｰ
心,ちょっｗｗ頭の上のスウィーティーな妖精さんは何だよｗｗ
Ｐ,課金の精霊です。気にしないで下さい
ちっひ,ｼｭｶﾞｰ､ｷﾞﾘｷﾞﾘｰ
心,さっきから気になって仕方ない鳴き声ばっかりなんだけど。説明しろコラｗｗ
Ｐ,俺もさっきから気になって仕方ないんスけど
心,え？何がだよｗｗ
Ｐ,…地味だな
心,ちょっｗｗ
Ｐ,ようやく残り半分ぐらいか…
ちっひ,ｶｷﾝｰ、ｶﾞﾁｬｶﾞﾁｬｰ
Ｐ,もう、後は誰彼構わず撃ちまくっちまうかな…。とは言え、見ず知らずの人を撃つのはやはり気が引けるし…やっぱり自分が知ってる相手じゃないと…
時子,ちょっと、道の真ん中に突っ立ってるんじゃないわよ邪魔よ豚
Ｐ,うぉっ！ビックリした…
時子,アァン？何よその態度。相変わらず生意気な豚ね
Ｐ,あぁ悪い悪い。でも喰らえぃ
時子,ふにゃにゃにゃにゃにゃにゃにゃにゃにゃにゃにゃ
Ｐ,…あれ？時子が消えた
ちっひ,ｽﾀｰｴﾝﾞﾚﾑｰ
Ｐ,おーい時子ー、どこだー？縮んだのかー？
？,ちょっと！
Ｐ,あいたっ！
ときこ,どこをみているのよ、このぶた！
Ｐ,……
ときこ,ぶたのぶんざいでごしゅじんさまにむかってなめたことしてくれるじゃない。かくごはできてるんでしょうねぇ？
Ｐ,…また縮んどる。しかもぷち化じゃなくて幼児化しとる
ちっひ,ﾛﾘｺﾝ、ﾉｰﾀｯﾁ
ときこ,みくだしてるんじゃないわよぶたぁ！
Ｐ,痛っ！…ああ、でも大した威力じゃねぇや
ときこ,たいどだけじゃなくて、ずうたいまでおおきくなったわねぇ
Ｐ,お前が縮んだんだろうが
ときこ,だからわたしをみくだすんじゃないわよっ！
ちっひ,ﾌﾟﾁﾃﾞﾚﾗｺﾚｸｼｮｰﾝ
ときこ,ぶたのくせに、げすいしせんでひとのことをみおろして…ゆるされるとおもってるのかしら
ちっひ,ﾌﾟﾛﾀﾞｸｼｮﾝﾏｯﾁｰ
Ｐ,頭の上も足元からも騒々しいわ
ときこ,みおろすんじゃないわよっ、ぶた！。み、みくだすんじゃ、ないわよ…
Ｐ,…あ
ちっひ,ｲﾍﾞﾝﾄｰ、ﾄﾞﾘﾝｸﾀﾘﾅｰｲ
ときこ,うぅぅぅ～…
Ｐ,な、泣くな泣くな！見下ろしてないっ！ほら、見下してないぞー
ときこ,あわれむんじゃないわよ！
Ｐ,流石に目潰しは通じる！
ちっひ,ﾊﾞﾙｽｯ
Ｐ,あいたたた…あやうくロリ時子に眼魂持っていかれるところだったわ…。試しにスタドリ垂らしたら目も治ったし
ちっひ,ｶﾞﾁｬｰ
Ｐ,ロリ時子も小一時間高い高いしてようやく満足してくれたし…何だかどんどん放っておいたらいけない状態の連中が増えてるな
ちっひ,ﾓﾊﾞｺｲﾝｰ
Ｐ,そうだな、頑張ろう。次だ次！
藍子,あ、こんにちはプロデューサーさん
Ｐ,おぅ、お疲れ様藍子。調子はどうだ？
藍子,はい、ラジオも順調です。あ、今度新しいコーナーがはじまややややややややややややや。はうっ。あぅぅ…な、何ですか今の…
Ｐ,晶葉特性の疲労回復光線だ。いきなりやって悪かったな
藍子,あ、そうなんですか。いえいえ、ちょっとびっくりしましたけど、お気遣いありがとうございます
Ｐ,悪いけどちょっと急いでるからまた今度ゆっくり話そうな。ラジオ頑張れよー
藍子,あ、はい。お疲れ様です。…あれ？頭の上にお花が…いつの間に？
Ｐ,…
ちっひ,ｱｲｺｰ､ﾄﾞﾗﾑｶ
Ｐ,それ以上はいけない
ちっひ,ﾓｶﾞｰ
Ｐ,…うん、気にしないようにしよう。よーし、この調子でガンガンいこうぜー
ちっひ,ｱｲﾄﾞﾙﾌｪｽｰ
Ｐ,さぁ、次の獲物は…っと
乃々,…
Ｐ,ターゲットはっけーん
ちっひ,ﾓﾘｸﾎﾞｫー
Ｐ,おーい森久保ー
乃々,っ！ひぃっ…！み、見つかったんですけど…早く隠れないとなんですけど…！
Ｐ,…おーい、目の前でデスクの下に逃げ込んでも意味無いぞ？
乃々,ほ、放っておいてほしいんですけど…もりくぼはこのまま静かに机の下で余生を過ごしたいんですけど…
Ｐ,後５０年以上机の下で暮らす気なんかい
ちっひ,ﾎﾞﾉﾉｰ、ﾎﾞｰﾉｰ
Ｐ,相変わらず森久保はビビりだなぁ。ペットショップから買われて初日のシマリスみたいだな
乃々,な、なんですか、なんなんですかそのピンポイントな例えはわはわはわわわわわわわわわわわ
Ｐ,ほら、出て来な森久保。別に虐めたりしないって。今は
乃々,うぅ…たった今いぢめられたんですけど…何かよくわからないビーム撃たれたんですけど…
ちっひ,ﾎﾞﾉﾉｰ、ﾎﾞﾉﾎﾞﾉｰ､ｼﾏﾘｽｸｰﾝ
乃々,ぼ、ぼののです…ぼのぼのじゃないです、いがらしみきお先生関係ないです………ぼののでもないですもりくぼです…
Ｐ,そうだよ、森久保はぼのぼのじゃないぞ。だって白目あるし
乃々,相違点そこだけなんですか…いぢめですね、いぢめなんですね…
Ｐ,ところで森久保。何か変わったところは無いか？
乃々,もりくぼは何もかわりません…不変不動の森久保ですから
Ｐ,何その異名。ちょっと格好いい
ちっひ,ﾌｪｲﾌｪｲｰ、ﾚｱﾒﾀﾞﾙｰ
乃々,な、なんですか、なんでそんなジーッと見つめてるんですか…。あ、あんまりジロジロ見つめないで欲しいんですけど…ドキドキするからやめてほしいんですけど…
ちっひ,ｶﾞﾁｬｰ、ｹｲﾄｰ、ｼﾎｰ
Ｐ,…ん？ああ、すまん。本当に森久保はビビりだよなぁ
乃々,うぅ…いいんです、どうせ…森久保はプロデューサーがこうして構ってくれれば…
Ｐ,…うん？
乃々,…。…っ！？
ちっひ,ﾄｰｸﾊﾞﾄﾙｰ、ｱｲﾄﾞﾙﾁｬﾚﾝｼﾞｰ
Ｐ,も、森久保…？
乃々,なっ、何でもないんですけどっ！？別に普段から思ってる事を言ってるだけなんですけど！？。！？！？
Ｐ,もしかして…。…なぁ乃々。俺の事嫌いか？
乃々,…っ！
Ｐ,いや、いつもいぢめ…って言うか弄ってばっかりいるから。乃々はそういうキャラだから、頃この底から本気で嫌がられていたら流石に可哀想だな、って思ってさ…
ちっひ,ｵﾆｰ､ｱｸﾏｰ、ﾌﾟﾛﾃﾞｭｰｻｰ
乃々,うぅ…べ、別に…本気で嫌という訳じゃあ、ないです…。プロデューサーさんに構って貰えるのは、すごく嬉しいですし…。プロデューサーさんのデスクの下も、プロデューサーさんを近くに感じられるみたいで居心地が良いから………って…
Ｐ,乃々…
乃々,…な、な…っ
Ｐ,そっか…良かった、嫌われてる訳じゃないんだな…ごめんな、もっともっと構ってやるからなぁ
乃々,な、何ですか、なんなんですかコレもりくぼの口から心の声がダダ漏れしてるんですけどぉ！？
Ｐ,乃々に光線を当てるとどうやら嘘がつけない
乃々,……
Ｐ,…乃々？
乃々,むぅううーーーーーーーーーーーーーーーーーーりぃーーーーーーーーーーーーーーーーーーーーーーーーっ！！！！
Ｐ,…茜も真っ青の速度で走り去ってしまった…。うん、今度から変なちょっかいかけずに普通に構うことにしよう
ちっひ,ﾄｰｸﾊﾞﾄﾙｰ、ﾌｪｽﾃｨﾊﾞﾙｰ
Ｐ,思わぬところで乃々の本心が聞けたな…今度手羽先でも食べに連れて行くか
ちっひ,ﾗｲﾌﾞﾊﾞﾄﾙｰ
Ｐ,さてさて次のターゲットは…そろそろ幸子とかみくとか幸子あたりに会えないかな…
ちっひ,ｶｷﾝｶｷｰﾝ
優,あっ、Ｐくんっ♪
Ｐ,おぅ優にアッキー。お疲れさま
優,はぁいお疲れさまー☆ねぇねぇ、そう言えばアッキーﾜﾌｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩ
Ｐ,やべっ、アッキーに当たっちまった
ちっひ,ﾆｬﾝﾄﾜﾝﾀﾞﾌﾙｰ
優,あ、アッキー！？一体どどどどどどどどどどどどど
Ｐ,アッキーを介して優までビリビリしてしまってる…
優,う～…、今の何なのー？痺れたよぉ
アッキー,突然驚いたぞ
Ｐ,ごめんごめん。晶葉作のアッキーモフモフ光線銃
優,もう～、そんなの使わなくてもアッキーはレノア使っているのかと疑われるぐらいモフモフのフワフワだよ？ねぇ☆
アッキー,モフモフの毛皮で人間を癒すのが飼い犬のルールではないのか
Ｐ,それもそうだ。いきなりビックリさせて悪かったな
アッキー,気にするな
Ｐ,うーん…アッキー越しだから優には特に影響無いみたいだな。…あ、でもちゃんと残量減ってら
ちっひ,ｼｸﾞﾅﾙﾊﾞｲｸｯ
Ｐ,そう言えばさっき何か言いかけてなかったか？
優,あ、そうそう。さっき幸子ちゃんがＰくんのこと探してたよ？何か用があるんじゃない？
アッキー,アイドルの世話をするのがプロデューサーの使命だろう
Ｐ,幸子が？…どうせまた何かワガママ言ってくるだけな気がするけど…
ちっひ,ｽｶｲﾀﾞｲﾋﾞﾝｸﾞｰ
優,まだ向こうにいると思うからちゃんと構ってあげなよー♪
Ｐ,分かった。じゃあちょっくら行ってくるよ
優,行ってらっしゃーい☆
アッキー,ｲｯﾃｲｰﾖ!
ちっひ,ｲｯﾃｸﾙﾖ
Ｐ,幸子が俺に何の用だろうなぁ…最近は紐無しバンジーも秘境探索もやらせてないから不満は無いと思うんだけど
ちっひ,ｻﾁｺｰ、ｲﾓﾄｰ
Ｐ,…お、噂をすればあの横跳ね頭の後姿は…
幸子,まったく、プロデューサーさんはどこをほっつき歩いてるんでしょうね…
Ｐ,おーい幸子ー
幸子,えっ？あ、いましたねプロデューサーさん！一体どこにはみゃみゃみゃみゃみゃみゃみゃみゃみゃみゃ
Ｐ,何か俺に用があるのか？優からお前が探してたって聞いてさ
幸子,みゃみゃみゃみゃみゃみゃゃややややややややややややややややややや
Ｐ,何か仕事に不満か？ここのところは特に変な仕事は入れてないと思うんだが…
幸子,あややややややややややややややややややややややややややややや
Ｐ,あ、また買い物に付き合えとかか？オフの日ぐらい友達と過ごせよ。こんなオッサンと休日まで顔を合わせることもないだろうに
幸子,はわわわわわわわわわわわわわわわわわわわわわわわわわわわわわわわわわわわ
ちっひ,ｵｰﾊﾞｰｷﾙｰ
Ｐ,…はっ、ついトリガー引きっぱなしにしてしまった！
ちっひ,ｻｯﾁｰ､ﾓﾝｾﾞﾂｰ
幸子,…ぁ、…ぅぁ…
Ｐ,やりすぎた…床の上でビクビク痙攣しとる。ごめんごめん。大丈夫か？
幸子,…ひぃっ！
Ｐ,うおっ！？
幸子,…な、なにを、したん、ですかぁ…
Ｐ,いや、晶葉の新発明カワイイ成分増幅光線。手を掴んだだけで体が跳ね上がった…どんな効果なんだよ
幸子,そ、そんなモノに頼らなくても…んっ…！ぼ、ボクは十分最高にカワイイじゃないですかぁ…
Ｐ,お、おい大丈夫か？フラフラじゃないか
