ビスマルク,……いや、そうじゃないわ
赤城,落ち着きましたか？
グラ,……あぁ
赤城,１２月の海に飛び込むなんて、あなた勇気があるわ
グラ,……
赤城,……私は赤城といいます
グラ,アカギ……どこかで聞いたことが……
赤城,ふふっ……あなたのお名前は？
グラ,……私は……
提督,おぉ、いたいた
グラ,！
赤城,あ、提督……御風邪はもう？
提督,いや、移しにきた
赤城,イ、イヤーーーーーー！
龍驤,赤城、嘘やで……
提督,……冗談ジョーダン、風邪ひいてない
赤城,……
提督,……で、君の名前は？
グラ,……。……私は、グラーフ・ツェッペリン
提督,グラーフ・ツェペペリン
グラ,……違う
提督,噛んだんだよ……
赤城,うぅん……言いにくいですね
龍驤,せやなぁ……
提督,“グラーフ”なら言えるな
グラ,……それでもかまわない
提督,じゃあ……グラーフっ
赤城,グラーフさん……
龍驤,グラやん！
グラ,……グラやん？
提督,俺はさっきも言ったけど、ここの提督ね。
グラ,……これはなんだ？
提督,握手だよ。君の国でもやるだろ？
グラ,……。
提督,よろしくっ
グラ,……あぁ。それからというもの……祖国と連絡の取れなくなった私は。この日本という極東の地に身を寄せることとなった。深海棲艦の侵攻以前まで、我が国との深い交流もあった国だ。士官学校で学んだこともあり、拙いながらも日本語を話せることが幸いした。生き恥を晒してでも、生き続けることが義務だとあの男は言った。だから私は傷を癒しつつ、ベッドの上で情報を仕入れることにしたのだ。……祖国に還るために……。……貴官の名は？
龍驤,ん？ウチか？。ウチは軽空母の龍驤や、よろしゅうなっ
グラ,ケイクウボ……
龍驤,まぁ軽空母っちゅーのは、ウチらがそう言っとるだけ。実際の所はあんまぎょーさん艦載機を乗せられんだけで。ウチもあんたと同じ、れっきとした空母なんや
グラ,…………。リュウ……ジョー？
龍驤,ん？
グラ,貴官の話し方は。少々癖があると思う
龍驤,ん、あぁ～……ウチの喋り方やろ？。ちょっち分かりにくいな、かんにんやで。まぁいわゆる地方の言葉ってやつやな……。あんたらの国にもあるやろ？そういうの
グラ,……あぁ、あるな。私が今居るこの施設はチンジュフというらしい。同様の施設は我が祖国にも存在するため、これはほどなくして理解した。そしてあの男は海軍の少将で、やはりこの艦隊の指揮官であった。だが、こちらは一つ理解できない点がある
提督,漫画の帯ってさー。捨てていいよね
巻雲,いけませぇん、それだけはー！
グラ,あまりにもらしくないのだ。アカギ……と言ったな？
赤城,。ふへ？
グラ,この国の人は……ベッドのそばで間食を取るのか？
赤城,。そ……そうです。に、握り食らわば狭き蔵とは、昔からある言葉なんですよ(大嘘)
グラ,なるほど、興味深い。それからしばらくして、私の身体は快方へと向かいつつあった。そのため、私がチンジュフの中を自由に歩くための許可はあっさりと下りた。……実に用心に欠ける。だが、技術上の問題から艤装の修理は当分長引くとも聞いた。そのため、私はこの国ではカンムスと呼ばれる彼女達の。演習風景を遠くから見ているしかなかった……
阿武隈,みなさん、あたしの指示に従ってください……。従ってくださーい！
グラ,これは私の主観だが。この国の艤装……つまり艦砲やレーダーの技術は、未だ未熟だと言わざるを得ない。だが、それを補って余り得る練度もまた認めざるを得ないだろう。一見演習中にふざけているように見える者はいるが……。陣形の形成、目視による戦闘……いずれも実戦経験がものを言う動きと称するべきか。……賞賛に値する
赤城,第一航空隊！発艦してください！
グラ,……中でも、この国の空母の働きは他の追随を許さないだろう。彼女達の駆る艦載機は空冷エンジンを用いた機体がほぼ全てだ。我が国のFW190もA型に関しては同様であるが、馬力には大きな開きがあるように感じる。……この国ではそんな軽量性を逆手にとって、軽快な格闘戦を持ち味としているのだ。チョウノヨウニマイ、ハチノヨウニサス……。研ぎ澄まされたカタナのようとは、まさにこの様を言うのだろう。見ていて惚れ惚れする……それが素直な感想だ。それ以上に、我が国の艦載機という分野の水準の低さを痛感する。私はそれを悔しいとも思った
提督,……
グラ,私も……あんな機体を飛ばしてみたい
提督,そうか
グラ,！？。…………。いつからそこにいた？
提督,ついさっきだよ、うん
グラ,この男は、たまにこうやって話しかけてくる。食えない男だ……だが。あの海で感じた威厳は確かなものだった。……。……この国の空母は、なぜこんなに発達できた？。よければ……教えてほしい
提督,え、うん。いいよ
グラ,なるほど……。その由来は、過去の戦争でこの国が太平洋やカレー洋。多くの海域を又にかけて活動する際。各海域での制空権を取るために多数の空母を建造したことに由来するそうだ。通商破壊の枠組みで設計された私とは運用思想が少し違うという。島国である日本らしい理由だ
提督,……
グラ,……彼女達がうらやましいよ
提督,ん、そうなの？
グラ,……あぁ。私は……我が国で唯一の空母。だが、特に期待もされていなかった。現地の兵の多くは潜水艦を望んでいたからな
提督,そうなんだ
グラ,あぁ。実際、私のような空母が一隻いたところで……なにもできやしなかった。それが先日の情けない戦闘だ。敵は新型の艦載機を乗せていたが……それ以上に場数の違いだ。持ち前の速度を活かすことを忘れ、うまく格闘戦に持ち込まれてしまった。……そうしている間に、味方は敵の潜水艦に次々食われていった。……本当にだめだな。これでは……私はなんのために生まれてきたのか……。……わからない
提督,うーん……分からんな
グラ,……
提督,いや、そうじゃなくて。昨日もそうだったけど、君はこの戦争がおわった後のこと。何も考えてないだろ？
グラ,……どういうことだ
提督,なんか戦うことありきで考えてるというか……。君の仲間を助けられなかったことは、心の底から申し訳ないと思っている。……本当に、すまなかった
グラ,いや……。全ては私が戦線を維持できなかったことが原因だ。貴官が詫びる義理は無い
提督,いや、義理も道理もあるね。その上で、ひとつ言わせていただくと。今は戦争が終わった後にしたいこと、考えておきなよ
グラ,……
提督,今できなかったこと、それは仕方のないことだよ。それを悔いる……まさに今の君の状態だ。そして、そう感じる事もまた“生”なんだ
グラ,しかし、私は兵器だ。深海棲艦と戦うために生まれ変わった……兵器だ
提督,こんなクヨクヨした兵器なんかあるもんか
グラ,……！
提督,生まれ変わったっていったって……。少しばかり艤装が馴染みやすい体になっただけだろ
グラ,だが、深海棲艦を倒せねば……。それこそ生まれ変わった意味すらない
提督,あぁ、もし本当に君たちを生み出した奴らがそんな考えならな。でも……それほど悩めるだけの心を宿した生身の人が、こうやって前線に出る理由。君は考えたことあるか？
グラ,……いや
提督,あくまで俺の考えなんだけど……それは。同じく生身の相手と直接分かり合うためなんじゃないかって思うんだ
グラ,分かり合う……ため？
提督,うん。艤装の装備はあくまで手段のひとつ、その究極は……。“距離”を作り上げること。そして、“対話”すること。そこにあるんだって……俺はそう思うね
グラ,……！
提督,だから、ただの兵器だなんて……哀しいことは言わないでくれ。仮に兵器と呼ばれても、心ある限りはそれで終わることはないんだ。君が生まれた理由なんてまた後で分かることなんだよ。艦娘としてだめだったら、次は一人の女性として精一杯生きる。だから今のうちに、いつかしたいことを考えておけ。……言いたいこと、以上っ！
グラ,……アトミラール……
提督,あ！
グラ,。な、なんだ
提督,嘘、それともうひとつ……。君の艤装、すごくかっこいいな！
グラ,へ……私の艤装？
提督,うん！。エッチングみたいなのがパキパキって勝手に組み立てられて。あのくっそでかい甲板から、うちのより強力なカタパルトでそいつを撃ち出すんだ！。男の子はあぁいうのが大好きなんだよ！
グラ,……。そうなのか
提督,あぁ。あと、そうやってクヨクヨしたり微笑んだりできる。そんな君の人間くさいところも大好きだよ
グラ,！？
提督,クールそうに見えて、まる分かりなんだよね。そいじゃ、頑張って考えておけよ。さらばだーっ
グラ,ま、待て！今のはどういう……！。ちょ、っと！まって……くれ……。……うぅ。……Dankeありがとう。admiral.。……あれから私は一生懸命考えた。これからしたいこと。生まれた意味を知るための準備……。ある時、それはイッチョウイッセキで決められることではないと悟った。だからせめて。私は今感じることのできる小さな幸せ。少しずつでもいいから、それを見つけてゆく事から始めたのだ。親愛なるビスマルク。私は今……分からないことばかりだ。初めて来た国、初めて聞く言葉。……初めて出会えた考え方。ここには、分からないことを教えてくれる人がたくさんいる。私にはまだ、ここで学びたいことがたくさんある。私が本当にしたいことを見つけたその時……。もう一度貴女に会えるよう、私は祈ろう
赤城,グラーフさん、お箸の使い方が上手になりましたね
グラ,ん……本当か？
龍驤,ホンマや！。ウチらの指導のおかげやなーっ
グラ,あぁ、君たちには本当に感謝しているよ。おかげで、この国の食事を存分に楽しむことができる
龍驤,……
グラ,……どうしたリュウジョー？。私の口もとに……何かついているのか？
龍驤,うん、ついとるで。……米粒が
グラ,うっ。……お恥ずかしい限りだ……
龍驤,はははっ
赤城,うふふっ。グラーフさんって。本当に幸せそうに食べるわね
