モバP(以下P),そんなわけで新しい属性を追加しようと思う
凛,確かにメンバーもそれっぽい人選だね。でも、留美さんはセクシーってよりはクールって感じがするんだけど
P,ん？ああ、すまん。間違った留美さんはセクシーじゃなかった。留美さんは新属性のゼクシィだったよ
未央,ゼクシィ！
P,属性名が似ているから紛らわしいんだよな。まだ仮称段階だから名称は募集中だぞ。なんかいい名前はないか？
未央,いや、無いかって言われても婚活とか？
凛,アイドルが婚活ってどうなのよ
卯月,いきおくれやお局様とかどうでしょう
凛・未央,！？
P,おお！なかなかいいな。今度会議でＮＧからの提案だってことで報告しておくよ
未央,それはやめて！
Ｐ,さあ、次の属性はこれまた定番スポーティ。参加メンバーは有香、晴、茜とかだな
未央,ポジパの3人が全部違う属性になっちゃったよ
卯月,友紀さんもやっぱりスポーティなんでしょうか？
Ｐ,友紀は違うぞ、趣味が野球観戦であってプレイする側じゃないし
凛,じゃあ、パッションのままなんだ
Ｐ,いや新属性合法ロリだな
凛,酷い属性が来たよ！
Ｐ,参加メンバーは早苗さん、楓さん、若葉とかだな
未央,ウサミンは合法ロリにはなれなかったのか・・・
Ｐ,菜々さんはなぁ・・・。最初はバラエティじゃなくて合法ロリの予定だったんだよ。でも、会議中に常務が自称とは言え、17歳を合法と扱うのは会社として問題がある
凛,まあ確かに17歳を合法化しちゃうのはどうかと思うし
Ｐ,さらに常務がむしろ脱法ＢＢＡで充分だろ、あんな老骨
未央,こうして聞いてみると、バラエティでもかなりマシだったんだ
卯月,あの、美波さんはセクシーなんでしょうか？それともスポーティなんでしょうか？
Ｐ,ああ、やっぱり美波はそのどっちかだって思うよな。俺も最初は美波はセクシーにしようと思ってたんだ
凛,プロデューサーの中で美波はスポーティじゃなくてセクシー寄りなんだ
Ｐ,会議でも参加者の大半が美波＝セクシーって事で決まりそうだったんだけどな
未央,だけど？
Ｐ,常務がな君たち、よく新田美波の写真を見てみたまえ。彼女はセクシーなんじゃない。どスケベだろう
凛,常務なに言ってるの！
Ｐ,新田美波を見てどスケベだと思わない者だけが反論するといい
凛,サイテーだね、プロデューサー
未央,流石にどうかと思うよ
卯月,事案です！
Ｐ,新田美波を見てどスケベだと思わない者だけが反論しなさい
三人,・・・・・・・・・・・
Ｐ,気を取り直して新属性。その名もロック。参加メンバーは夏樹、涼、拓海他数名
卯月,はいプロデューサー！やっぱり李衣菜ちゃんは居ないんですか？
Ｐ,言われると思ってたぞ。李衣菜の属性はな・・・ろっくだ
未央,おお！初めて今回の企画でよかったと言える采配だ
凛,正直言って李衣菜はあえて外されるんじゃないかと思ってた
Ｐ,口頭だと間違えると思うけど、ひらがなでろっくだからな。正確にはろっく☆
未央,え？それってさっきのロックとは別属性なの？
Ｐ,本当はキュート属性にする予定だったんだけど、常務が彼女の可愛さはキュートなどと言ったありきたりな属性ではあらわせない！
卯月,ありきたりな属性・・・・
Ｐ,片仮名のロックだと格好良すぎる！平仮名でろっくと書けば、なんともにわかかわいい彼女らしいだろ。それと彼女から伝わるパッションを表現するために星マークをつけるんだ！クール？そんなものカケラもない！。そんな感じで熱弁を奮って周りの参加者全員が軽く引いてたよ
未央,常務のほうがよっぽどロックだよ
Ｐ,李衣菜専用属性のため、当然李衣菜のみがメンバーだ。常務は口頭で李衣菜の新属性はろっく☆だぞ
凛,常務は本当になにやってるの！
Ｐ,さあ、次の属性は母性
凛,もう嫌な予感しかしないよ！
Ｐ,メンバーはみりあ、桃華、薫とかだ！
未央,流石にこれはダメでしょう・・・
Ｐ,いや正直な、この属性に関しては会議でメンバー決めてないんだよ
凛,そうなの？
Ｐ,さすがにいい年した大人が母性を感じる女性って言われてもピンとこなくてな。仕方ないから外部から、母性研究家のＭＪさんって人を呼んでその人に決めて貰ったんだよ
卯月,すっごい頭がピンク色してそうな人ですね
未央,いやでもさ、普通に母性を感じるアイドルって言ったら三船さんとかいるじゃん。まさかのどスケベ二人目！
凛,いくらなんでも三船さんが可哀相だよ
Ｐ,彼女を見てあ、昼下がりの未亡人だと思わなかった者だけが反論しなさい
3人,・・・・・・・・・
Ｐ,そろそろ残りもあと少し。次は特殊性癖
卯月,もう完全にアイドルの属性とは別物です
Ｐ,該当人物は女の子のお山が大好きな愛海、死後三週間が経過したゾンビが好みのタイプな小梅
未央,微妙に納得できる人選なのが嫌だ！
Ｐ,さらに幼女に母性を感じるカリスマ変態の美嘉
凛,さっきその人に母性メンバー決めてもらってなかった？
Ｐ,このメンバー選んでる時、アイドルってなんだろうってずっと考えてたよ。残す追加属性もあと二つ。その名もインドア
凛,充分おかしいハズなのにまともな属性に思えてきた
Ｐ,参加メンバーは乃々、杏、比奈と言った引き篭もり連中だ！
卯月,久しぶりに納得できる人選です
未央,嫌な予感しかしないんだけど文香さんは・・・・。やっぱりもういいです！
Ｐ,まあ、そんなわけで文香はどスケベだ。さあ、いよいよ最後の追加属性。トリを勤めるのは危険人物
未央,絶対アイドルの属性じゃない！
Ｐ,容疑者はメカトラブル池袋博士、ケミカルテロしきにゃん、サイキック暴走ゆっこ、他多数だ
未央,メンバーから容疑者になってる
卯月,危険人物が多数いるアイドル事務所って凄いです
凛,この事務所、よく今まで潰れなかったね
Ｐ,従来のキュート、クール、パッションにこれらの属性が加わり全15属性になる訳だ
キュートクールパッションバラエティセクシーいきおくれ,ＮＧ命名
Ｐ,まだ、属性の決まってないメンバーはろっく☆を除いたそれぞれの属性に割り当てる予定だ
未央,まともな属性の方が少ないってどうなんだろ？
凛,バラエティとか全然マシだったね
Ｐ,来週にはそれぞれの代表を集めて新ニュージェネレーション仮
3人,はい！
1週間後量産型ニュージェネレーション,インコム装備型
卯月,結局ろくでもない名前になりましたね
凛,インコム装備型ってなんなの？あ、みくも来てたんだ
みく,なんでこうなったにゃ？
未央,やっぱりバラエティの代表はみくにゃんだったか
凛,うわぁ・・・。まさか菜々さんも？
みく,菜々ちゃんはただのぎっくり腰だにゃ
凛,あ、はい
みく,みくはキュートな猫アイドルになりたかったのに、どうしてバラエティに・・・・
未央,ま、まあ、他にもっと酷い属性の子もいるんだし、マシな方だったと思って
みく,・・・あとでＰチャンはしばくとして、まだマシな方だった事に感謝するにゃ
Ｐ,よーし、そろそろ決起会始めるぞ！。それじゃあ、各代表を呼んでいくから返事をしてくれ。バラエティ代表、前川みく
みく,・・・にゃ
Ｐ,セクシー代表、藤本里奈
里奈,超ウケる！
Ｐ,スポーティ代表、中野有香
有香,押忍！
Ｐ,合法ロリ代表、日下部若葉
若葉,ロリじゃないですよぉ
Ｐ,インドア代表、森久保ォ！
乃々,むーりぃー
Ｐ,ロック代表、木村夏樹
夏樹,はいよ
Ｐ,ろっく☆代表、多田李衣菜
李衣菜,はい！あれ？なんでなつきちも？
Ｐ,いきおくれＮＧ命名
留美,・・・はい
Ｐ,母性代表、赤木みりあ
みりあ,はーい！
Ｐ,キュート代表、村松さくら
さくら,は、はい！
Ｐ,クール代表、大石泉
泉,はい！
Ｐ,パッション代表、土屋亜子
亜子,まいど！
Ｐ,特殊性癖代表、渋谷凛
凛,クンカー
Ｐ,どスケベ代表、本田未央
未央,どスケベボディ
Ｐ,危険人物代表、島村卯月
卯月,サイコパス
Ｐ,よし！じゃあ、このメンバーで頑張っていくぞ！
