前川みく,15
みく,にゃらばこちらも……にゃんこ隊！一斉に行けにゃ！！
猫's,ﾆｬｰ!!
みく,そしてみくも……とつげきにゃー！！
Ｐ,ふははははははははぁぁぁぁあああああ！？
カメラマン,セット散らかすのはやりすぎじゃないですかねぇ……
Ｐ,あ、はい、申し訳ありません
カメラマン,まぁみくちゃんも疲れなんて吹っ飛んで楽しそうに後半の撮影できたからいいですけど
Ｐ,すいません……以後このようなことはしませんのでどうか……
カメラマン,とりあえず、ちょっと中盤アレでしたけど一応無事終了ということで
Ｐ,はい、その、ありがとうございます
カメラマン,はいはい、できた写真は後日事務所へ送りますんで、今日はこれで
Ｐ,はい、ありがとうございました！
みく,……Ｐチャン怒られた？
Ｐ,ん……ちょっとだけ、な。みくが後半頑張ってくれたからそれで帳消しって感じにな
みく,ちょっとみくも反省にゃ、ごめんねＰチャン
Ｐ,いやぁ構わんさ、仕事としては成功だしな。今日はこの後お祝いに猫カフェでもいこうか！
みく,にゃ！？いくいく！……でもＰチャン今度はちゃんとみくに構ってね？
Ｐ,……へいへい、みくは猫と遊べ。俺はみくで遊ぶ
みく,みくでってどういうことかにゃ！？みくおもちゃにされるの！？
Ｐ,猫と遊ぶのも楽しいけどみくで遊ぶのが一番だからなぁ、ふはは
みく,うにゃー！！
