ちょっとアレなＰ,以降Ｐ表記
晶葉,おい、何故二度も言った？
Ｐ凛,ディケイドのパクリだけど！
晶葉,３回も言ったな！？
Ｐ凛,んで、凛のカードは他にどんなのがあるんだ？
晶葉,切り替え早っ！
Ｐ凛,どれどれ…ニュージェネやアニバーサリーの時の衣装もあるのか…あれ、これって本人に使わせたら衣装代いらなくね？。後はアタックライド………おい晶葉さんや
晶葉,なんだ助手よ
Ｐ凛,このクンカー
晶葉,助手の臭いに敏感になるぞ
Ｐ凛,俺が俺の臭いに敏感になってどうするよ…えっ？自分のシャツをクンクンするの？精神的に死ぬんですけど
晶葉,ハハッ、まぁ助手自身が変身してしまっては使い道のないカードもあるという訳だな
Ｐ凛,他は全部衣装カード……おっ？いいモノはっけーん。ちょっとくすぐったいぞー？
晶葉,自分で言うのか
Ｐ凛,とあっ！。……どこか変わった？
晶葉,ほら鏡、鏡
Ｐ凛,どれどれ…。…うん、耳と尻尾が生えただけか。しぶにゃんか
晶葉,ガッカリしながら自撮りするな
Ｐ凛,個人的にはハナコにでもなるのかと期待してたのに
晶葉,助手はそれでよかったのか！？
Ｐ凛,使いかたも大体わかった。晶葉曰くデータが欲しいから少し使ってみてくれ。これは使わないといけないよね。仕方ないよね、データを取らなきゃいけないんだから
卯月,何が仕方ないんですか？
Ｐ凛,うぉうっ！。おお…ビックリした。おはよう卯月。今日もガンバリウム全開だな
卯月,えっ…どうしたんですか凛ちゃん？
Ｐ凛,あ、やっべ。今の俺凛の姿なんだっけ。ううん、何でもないよ。ちょっとプロデューサーの意識が混線しただけだから
卯月,あっ、そうなんですか。よかった、まるでプロデューサーさんが凛ちゃんになっちゃったのかと思っちゃいましたよ
Ｐ凛,鋭っ！！。何それ、私は私だよ。346の蒼、渋谷の凛だよ
卯月,はいっ、いつも通りの凛ちゃんです！
Ｐ凛,ふぅ…危ない危ない。とりあえず凛は蒼
卯月,…あれ、でも凛ちゃん
Ｐ凛,えっ？どうした蒼？
卯月,凛ちゃん、さっきお昼ご飯買いに外に行きませんでした？
Ｐ凛,えっ？…ああ、ちょっと忘れ物しちゃった蒼。そういう卯月は？
卯月,はいっ！私は子の前エアコン壊しちゃった件で今からお説教だそうです！
Ｐ凛,…ああ、未央ブン投げてエアコンにブッ刺したアレか
卯月,はいっ、ではいってきます！じゃあ凛ちゃんまた後でっ
Ｐ凛,…
Ｐ,そうか、みんなは事情を知らないんだから迂闊に使うと大変なことになるんだな…。これは困ったぞ…下手に悪用したらとんでもないことになるじゃないか…よく考えて使わないと…。間違っても興味本位や悪戯心で利用するのはひかえないとな
Ｐみく,なんてＰは自分を曲げないよ！。おー、これがみくの体か…。凛の時も思ったけど、どうして女の子って良い匂いするんだろうな………レノア使ってるのか？。しかし、みくボディは凛とは決定的に違う点がある…。……。…流石に触りませんよ？どこぞの棟方愛海じゃあるまいしね。そうだ、みくのカードは他になにがあるんだろな。うーん、フォームライドはやっぱステージ衣装ばっかりだな………ん、何だこれ。…。…。眼鏡かけただけじゃねーかっ！。まったく…失望しました、みくのファンやめて芳乃教作ります
Ｐ,さてと、次はどのカードを…。んっ？
みく,
Ｐ,
みく,
Ｐ,…見てた？
みく,
凛,あれ、何かネコキャラの悲鳴みたいなの聞こえない？
未央,えっ、そう？きっとしまむーあたりがまたみくにゃんに襲い掛かってるんじゃない？
Ｐ,ええい、騒ぐな！騒ぐんじゃねぇっ！
みく,離すにゃあ！みくがＰチャンになってＰチャンがみくになったにゃあ！
Ｐ,落ち着けぃ！いいから話を聞けっ！事情を話すから
みく,Ｐチャンは実はみくだったのにゃっ！じゃあみくは一体どのみくなのっ！？
Ｐ,だから落ち着け前川ぁ！揉むぞ！
みく,はい、すいません
Ｐ,よし。かくかくしかじか
みく,めらっさめらっさ
Ｐ,と、言う訳だ
みく,要はまた安直な晶葉ちゃんの発明でドタバタネタなのにゃ
Ｐ,返す言葉がございません
みく,しかも思い切りディケイドさんパクッてるにゃ…こういうのどうなの？
Ｐ,申し訳ございません
みく,しかも本人の許可もなくみくに変身したりデリカシー無さすぎでしょ。みくはヘソを曲げたよ！
Ｐみく,どうもすいませんでしたにゃ
みく,言ってるそばから肖像権侵害すんにゃあ！
Ｐみく,あはは、みくがみくに怒られてやんの。何この光景めっちゃウケる
みく,ふかーっ！声までみくにゃ！みくの顔と声でその煽っていくスタイルやめぃ！
Ｐみく,ごめんにゃ
みく,みくのっ！アイデンティティがっ！デストローイにゃあ！！
Ｐみく,このベルトとカード量産したら前川軍団作れそうだな
みく,オリジナルの存在意義が薄氷の如くになるからやめぃ！。あとその姿もやめてよ！
Ｐ未央,まぁまぁ、そうカッカしてるとお肌が荒れちゃいますぞー？みくにゃん
みく,再現率が無駄にクオリティ高いのが益々ムカつくにゃあ！！
Ｐ未央,色々データが取りたいらしいし、こっちもやむを得ずこんなことをしているんですよ…分かってくれるかい？みくにゃんさんや
みく,うっわ、まんま未央チャンにゃ。そのカードの力なのかＰチャンの演技力なのかどっちなの
Ｐ未央,プロデューサーたるもの、担当アイドルの模写ぐらい出来るのがルールだろう
みく,そんなプロデューサーこの世にお前だけにゃあ。あとイキナリ未央チャンの顔と声でいつものＰチャンになるのやめて。違和感で胃がおかしくなりそう
Ｐ未央,えー、面白いのに…
みく,うん、事情を聞いても目の前で未央チャンがＰチャンになる光景すっげぇ気持ち悪いにゃ
Ｐ,こっちもまだ慣れないな。いきなり目線が変わるし普段の自分と歩幅とか全然違うからなぁ。もう少し練習が必要だな。どれ、今度はもう少し若い娘になってみるか
みく,何をそんなコンビニでオヤツを選ぶような感覚で
Ｐ,よーし、次はコレだぁ！
みく,嫌にゃあ…目の前でそこそこ良い歳したオッサンが幼女に変身する光景なんて嫌にゃあ…
Ｐ,変身っ！
みく,イケメンボイスでポーズ決めてるけど変身後の姿考えてよ
Ｐ乃々,俺、参上！
みく,本人をどれだけ壊しても狂わせても行き着かなさそうな姿が出来上がっちゃったにゃあ！
Ｐ乃々,おぉ、また一段と目線が低い。これが森久保の普段見ている世界か…体も軽いし、もうちょい食わせんといかんなアイツめ
みく,飛び跳ねる乃々チャンとか斬新な光景にゃ…こらこらシャドーボクシングとかやめるにゃ、宙返りするにゃブレイクダンスとかやめぃ！。調子乗んにゃあ！アイドルの姿で遊びすぎにゃ！あとそれは乃々チャンの潜在能力なのかＰチャンの特技なの！？
Ｐ乃々,ハハッ、意外と身体能力高いんですけどっ
みく,ステップ踏むにゃ、本当に意外なぐらいキレッキレにゃ……ほら、もう気が済んだでしょ、戻って戻って
Ｐ乃々,むぅーりぃー
みく,イラッとするにゃあ……姿はともかく中身はＰチャンだし、シバいていいよね
ありす,何を騒いでるんですか
みく,あっ、ありすチャン
ありす,橘です。ギャレンの人と同じ漢字で橘です
Ｐ乃々,こ、こんにちは…
みく,うっわ！コイツ完全に乃々チャン演じてるにゃ！
ありす,乃々さんもこんにちは。珍しい組み合わせですね、このお２人とは
みく,えっ？あ、ちょっと事情が…にゃ？
Ｐ乃々,うぅ…みくさんに無理やり…
みく,ちょっ、おまっ！
Ｐ乃々,もりくぼは、静かに机の下でゆっくりほのぼのぼののしていたかっただけなんですけど…。そんなささやかな願いさえも奪われてしまうんですね…芸能界って怖いです…鉄壁の縦社会です…眼魔の世界より怖いです…
ありす,みくさん、一体何をしたんですか？
みく,誤解にゃあ！みくは何もしてないよ！？
ありす,だったら、どうしてこんなに乃々が脅えてるんですか！
Ｐ乃々,あぅぅ…い、いぢめないでください、許してくださいごめんなさいもりくぼなんか食べても美味しくないです、筋と骨ばかりですお肉ついてないです…だからと言ってダシガラに使うのもやめてください熱いのは嫌ですごめんなさい
ありす,み、みくさんって…そんな猟奇的なご趣味が？
みく,んな訳あるかなんですけどにゃあ！違うにゃ誤解にゃ！そもそもその乃々チャンは乃々チャンの姿はしてても乃々チャンでは無くて…
ありす,言ってる意味が分かりません！簡潔に要点をまとめてください！
Ｐ乃々,実はもりくぼはＰなのでごぜーますよ
ありす,簡潔で分かりやすいですね。そうですか、この乃々さんはプロデューサーさん……。…はい？
Ｐ乃々,つまりこういう事なのさね
Ｐ,はいっ
ありす,
みく,ああ、やっぱそういうリアクションだよね
Ｐ,おーい橘さーん。橘さーん？もしもーし……やっべ、黒目が消えてら。かくかくしかじか
ありす,らんらんあすあす
Ｐ,…と言う訳だよ
ありす,ハァ…、また晶葉さんの珍発明シリーズですか…ありきたりですね
Ｐ,返す言葉もございません
ありす,発想が安易といいますか
Ｐ,努力致します
ありす,…それで、私のカードもあるんですか？
Ｐ,えっ？
ありす,ですから、その珍妙な発明品は、私のカードもあるのかと聞いてるんです
Ｐ,えっと…たぶんあると思うぞ？
ありす,…使ったんですか？
Ｐ,いや、まだ変身してないな
ありす,そうですか、私のことはまだ使ってないんですね
Ｐ,その言い方、事情を知らない人に聞かれたら絶対誤解されるからやめてください
みく,むしろワザと言ってる気がするにゃ、ありすチャンの事だから
ありす,橘です
Ｐ,あ、ほらあったぞ橘さん。橘さんカードだ！
ありす,ありすです
みく,どっちなのさ
ありす,プロデューサーさんからはありすと呼んで欲しい橘です！
みく,めんどくせぇにゃあ…
Ｐ,間をとってたちばにゃんとでも呼ぶか
みく,何となにの間をとったらそうなるの。そしてみくのアイデンティティを脅かすし！
ありす,たちばにゃん、ですか……
みく,ほらソッチもアリかも、みたいな顔しない！
ありす,しかし興味深いですね…色んなアイドルに変身できるカードですか…
Ｐ,いや、カードっていうかベルトの力な気がする。どこからどう見ても世界の破壊者さんのベルトだし
ありす,プロデューサーさん、試しに変身してみせてくれませんか？
Ｐ,珍しいな、橘さんの事だからてっきりこんな素っ頓狂なガラクタ今すぐスクラップにしちゃるけん！
みく,誰だ、それ誰だにゃ
ありす,頭ごなしに否定するほど子供じゃありません。たとえどんなに怪しげな代物だろうとこの目で実際に確認してみないことには
みく,で、本音は？
ありす,面白そうです
Ｐ,うん、子供は素直が一番だ。んじゃ、適当に変身すっぞー
みく,おーい、せめて誰のカード引いたかぐらい確認しろにゃあ
Ｐ,変身っ！
みく,そしてその無駄なイケメンボイスと決めポーズもやめぃ。良い歳こいたオッサンなのに
ありす,格好いい…
Ｐ文香,ちょやさっ
みく,よりにもよって！
ありす,ライダーポーズとってる文香さんとか地球史上初の光景でしょうね
みく,いや、多分今後も一生ありえないにゃ
Ｐ文香,おー、これがふみふみボディか…ハハッ、視界超悪ぃ。おや、でもしかし………。うん、みくより上だわ
みく,どこ比べたにゃ、どこを！
Ｐ文香,すいません…何を仰っているのかお話が呑み込めないのですが…
みく,だから模写のクオリティが高ぇ！
ありす,天地魔闘の構えじゃなかったら完璧なんですけどね
みく,根本的な質問なんだけど、こんなモン一体何の役に立つの？イタズラにしか使えそうにないんだけど
Ｐ文香,突然の病気やトラブルで仕事に穴をあけそうなときに代役に？
ありす,誰が代わりを演じるんですか？
みく,Ｐチャンばりの演技力がないと無理にゃ。っていうかこの事務所で一番演技上手いのもしかしてＰチャンじゃない？
ありす,何気に歌も踊りも出来ますしね
Ｐ文香,いやいや、普通だよ。俺は至って普通の社畜ですよ
みく,文香チャンの姿でその口調は頭おかしくなりそうになるにゃあ
ありす,そうです。アイドルの代役はプロデューサーさんがやればいいのでは？
Ｐ文香,そしたらブロデューサーは誰がやるのさ
ありす,プロデューサーのカードはないんですか？
Ｐ文香,これ、アイドルに変身するカード
ありす,ちょっと見せてください
P文香,あっコラ。勝手にホルダーを漁るな橘さん
ありす,ありすです。あっ、やっぱりありましたよ。アイドル以外の方のカード
みく,ちひろさんってオチじゃないの？
ありす,違います。これです
Ｐ文香,だから勝手に橘さん？
ありす,ありすですっ
Ｐ文香,ゴーカイチェンジ！
みく,それやめぃ！
Ｐアッキー,わふんっ
みく,確かにアイドル以外だけれども！
ありす,ある意味事務所のアイドルではありますが
Ｐアッキー,まさか犬になる日が来ようとは流石に思わなかったぜ
みく,うわー！Ｐチャンが文香チャンになってアッキーになったにゃあ！
ありす,それだけ聞くと頭がおかしくなったんですか？としか思えませんね
Ｐアッキー,うわあ、俺すげぇモコモコしてる。ほら凄いモコモコだぞコレ。レノア使ってそうなぐらい！
ありす,プロデューサーさんはしゃぎすぎです。良い大人なのに
みく,はい本音
ありす,可愛い
Ｐアッキー,おいおい…よく見たら他にもヒョウ君とかブリッツェンとかチェイスとかわんことかのカードもあるぞ
ありす,ちいさな肉球でカード広げてるプロデューサーさん可愛いです
Ｐアッキー,うわっ！いきなり抱き上げるな怖い怖い！
みく,あー、そりゃ自分よりずっと大きな生き物に突然持ち上げられたらビックリするにゃあ
ありす,では
みく,ちょいちょいちょーい！
Ｐアッキー,では、じゃねーよ！どこに行く気だよ！
ありす,？今日はこの後スケジュールも空いていますし、部屋に戻ろうかと
Ｐアッキー,何故俺を連れていく！？
ありす,仕方ないじゃないですか。自室でもなければ思う存分こんな姿のプロデューサーさんをもふもふくんすかできません
みく,Ｐチャンこの娘目がマジにゃ！さっさと元に戻るにゃ！
Ｐアッキー,応っ！。…むむっ
みく,どうしたにゃ
Ｐアッキー,アッキーの姿だからベルトもカードも一切扱えねぇや
ありす,ふふふ、今頃気が付いたのですか。今のプロデューサーは何をされても抵抗する手段がありませんよ
Ｐアッキー,なんてこった…ここまで読んでいたというのか橘さん…怖ろしい子！
みく,いやぁ、多分だけど偶然じゃないの？
ありす,ではみくさん、私達はそろそろ失礼しますね
Ｐアッキー,達って何だ、降ろしてくれぇ橘さんや！
ありす,ありすです。そんな心配しなくても部屋に戻ったらちゃんと元の姿に戻しますよ。流石に犬の姿ではアレやコレやと出来ませんし
みく,ＰチャンＰチャン、ありすチャンが怖いにゃ
Ｐアッキー,怖がってないで助けてくれよ前川ァ！
ありす,はいはい、暴れないでくださいモコモコ毛皮が柔らか気持ちいいだけですよ
Ｐアッキー,イーヤァー！誰か、誰かぁー！攫われるー連れてかれるー襲われるー！
ありす,ふっふっふっ、いくら騒いでも無駄ですよ。さぁ私達の部屋に戻りま。はにゃんっ
みく,あわわっ、ありすチャンが突然倒れたにゃ！？
Ｐアッキー,危うく押し潰されるところだった…って、この橘さんの首筋に刺さってる吹き矢、見覚えありまくりなんだが…
あやめ,危機一髪でしたな、Ｐ殿
Ｐアッキー,やっぱりお前かい。いや助かったけど
みく,あやめチャンにゃ、やっはろー
あやめ,はい、おはらっきーです、みく殿
Ｐアッキー,どういう挨拶交わしてんの。しかし良いタイミングだったな
あやめ,はい、天井裏にてずっとＰ殿を観察…警護しておりましたゆえ
みく,聞き間違いじゃないよね、今の
Ｐアッキー,まぁ助けてくれたからチャラにしておこう。…一体いつから見てたんだよ
あやめ,そうですね…。Ｐ殿が朝食のトーストにメロンジャムを塗り始めたあたりでしょうか
Ｐアッキー,その光景は俺の自宅でしか目撃できない筈なんですけど！？
あやめ,と言う訳で、わたくしは事情は全て把握しておりますのでご安心をＰ殿
Ｐアッキー,フリル付きの白か…
みく,と言うか、とりあえず元に戻すにゃＰチャン。痛みは一瞬にゃ
Ｐアッキー,こっちは黒レース…流石前川さんあざとい
みく,Ｐチャン？
Ｐ,んっ？ああ聞いてる聞いてる。別にアッキー目線で見えちゃっただけで悪気はないぞ？
みく,何をのたまってるのにゃ、よくわかんない事言うのは今に始まったことじゃないけど
あやめ,ではＰ殿、みく殿。わたくしはこれにて。ニンッ！
みく,あっ、行っちゃったにゃ
Ｐ,うん、でも天井の空いたパネルから一生懸命よじ登ってるのが丸見えだけど
あやめ,うんしょ、よいしょっ…！
みく,あやめチャーン、早く登らないとぶっちゃけパンツ丸見えにゃー
あやめ,ニニンッ！？
Ｐ,あ、すげぇ勢いで戻ってった
みく,さてと、これからどうするつもり？まだソレで悪ふざけ続ける気にゃ？
Ｐ,うーん…でも、とりあえずは。橘さんをどうにかしないとな
ありす,うーん…ダメでよぉＰさぁん…あと４年、４年待ってくださぃ…
みく,よだれ垂れ流して何の夢見てるんだにゃ
Ｐ,しゃーない、休憩室で寝かせてくるか
Ｐきらり,じゃあ、ちょちょいと運搬してくるにぃ☆
みく,うぉい、めっちゃ使いこなしてるにゃあ
Ｐきらり,橘さんを休憩室に放り込んできたにぃ☆
みく,口調と見た目は完全にきらりチャンまんまなんだけど中身がＰチャンだと思うと頭がパーンしそうになるからそろそろ戻って？
Ｐきらり,にょわーっ♪
みく,元に戻れって言ってるのに何で別のカード入れてんだにゃあ！
Ｐ,超変身っ☆
Ｐ菜々,何で菜々さんだけウサミンなんだろ
みく,おおぅ…きらりチャンからナナチャン…チョイスが濃ゆいにゃあ
Ｐ菜々,みくちゃんも大概だと思いますよー？キャハッ☆
みく,見た目も声もナナチャンだけど殴っていいよね
Ｐ菜々,ハハッ、勘弁してくださいー変身した途端謎の腰痛肩こり目の疲れ膝の痛みに襲われてる真っ最中なんで
みく,おい待てやめろにゃ
Ｐ菜々,恐るべしウサミン…日頃からこんな過負荷に耐えてアイドル活動をしていたとは…これが年の功か
みく,とんでもない風評被害にゃ…ナナチャンはピッチピチの１７歳でしょっ！
Ｐ,ハイ、ソウデスネー
みく,こんなに心のこもっていない返事生まれて初めて聞いたにゃ！。もう気が済んだでしょ！もうそのベルトとカード渡すにゃ！こんな危険なモノみくがブッ壊してやるにゃ！
Ｐ,おいおい物騒だな。ただアイドルに変身できるだけの玩具じゃないか
みく,使い方によってはとんでもない事出来る超危険アイテムだよ！
Ｐ,？
みく,何でそこで首を傾げるの！例えばこれ使ったら更衣室とかトイレとか寮とか潜り込み放題覗き放題だしセクハラだって出来ちゃうにゃ！
Ｐ,おまっ…よくもまぁそんな発想が思いつくよな…最近の若い娘怖っ…
みく,引くにゃぁああ！普通に考え付くでしょ！これぐらいっ
Ｐ,？
みく,うわぁ何て汚れのない澄んだ瞳にゃ…
Ｐ,でも晶葉が折角作ってくれたものだし、まだまだ試してないカードあるし…
みく,もはやＰチャンが好奇心でやってるだけだよね。もうデータ集めとか関係なくなってるよね？
Ｐ,否定はしない
みく,ほら言ってる傍から！
Ｐ,すまんなみく。俺はもうちょい遊び…データ集めがしたいんだよ
みく,今遊び足りないって言いかけたにゃ！絶対遊び足りないって言いかけたにゃ！…って、うにゃにゃにゃっ！？
Ｐまゆ,うふ…少しの間おとなしくしていてくださいねぇ…
みく,り、リボンが巻き付いて動けにゃい…そんでもって相変わらず模写が無駄に上手いっ！
Ｐまゆ,それじゃあ、Ｐはもうちょっと遊んできますねぇ？
みく,うにゃーっ！解くにゃあー！鬼っ悪魔っ財布の破壊者千川ぁー！
Ｐまゆ,ほほう…これがまゆボディのスペックか…こうして実際なってみると、やっぱ背ぇ低いなぁ…細すぎだし。…ん？あれは…
幸子,だからボクはその時ハッキリと言ってあげたんです！ボクと揚げ出し豆腐、どっちが大事なんですか！
まゆ,あぁ、よくある場面ですよねぇ
幸子,そしたらプロデューサーさん、２.３分ぐらい考えてから安心しろ、幸子も十分とろみ餡が似合うと思うぞ
まゆ,羨ましいですねぇ……って…
幸子,どうしたんですか？……えっ
Ｐまゆ,うふ、こんにちはぁ
まゆ,
幸子,えっ、えっ？ま、まゆさんが…２人？
まゆ,
Ｐまゆ,私が本物ですよぉ？幸子ちゃん
まゆ,…ハッ！。ど、どこのどちら様でしょう…？本物も何も、まゆがまゆですよぉ？
Ｐまゆ,まゆはまゆの方ですよぉ
幸子,えっ、はい？何これドッキリですか？…カメラは？
まゆ,本物はこっちですよぉ…！
Ｐまゆ,こっちが本物ですよぉ、証拠はあるんですか証拠は
まゆ,そっちこそ証拠でもあるんですか
まゆＰまゆ,ぐぎぎぎぎぎ…
幸子,な、何がどうなってるんですか…
まゆ,…っ。Ｐさんの今朝の朝ご飯！
Ｐまゆ,メロンジャムたっぷりトーストとリプトンのミルクティー！
まゆ,むぅぅ…正解です
Ｐまゆ,何で知ってるんだってばよ。Ｐさんが最近やらかした失敗談！
まゆ,録画失敗してジュウオウジャーを見逃したこと！
Ｐまゆ,くっ…正解。だから何で知ってるのさね…
まゆ,Ｐさんの今日の下着！
Ｐまゆ,ユニクロのトランクス！。Ｐさんの今の待ち受け画像！
まゆ,あくびしてる瞬間のアッキー！。まゆが最近Ｐさんに褒められたこと！
Ｐまゆ,机の下に潜り込む事をシフト制にしたこと！。まゆの今日の下着の色！
まゆ,朱のレース！
まゆＰまゆ,むぐぐぐぐぐ…
幸子,帰っていいですか？
まゆ,困りますよ幸子ちゃん！
Ｐまゆ,幸子ちゃんにはどっちが本物のまゆか判定してもらいます！
まゆＰまゆ,さぁ、本物はどっち！？
幸子,打ち合わせでもしたのかってぐらい息ピッタリにポーズ取らないで下さい！判別つきませんよ！
まゆ,むぐぐぐ…
Ｐまゆ,むぎぎぎぎ…
芳乃,…ほー？
幸子,何でしょう、これを言っちゃあお仕舞なんでしょうけど…もうどっちでもいいじゃないですか？
まゆ,そんなぁ…
Ｐまゆ,幸子ちゃんあんまりです…次のロケはパラシュート無しダイビングです
幸子,流石に怪我しますよ！。…うん？
芳乃,そなたー、そなたー、ここにおりましてー
Ｐまゆ,んあ？
芳乃,先程ー、美波殿が探しておりましてー
Ｐまゆ,美波が？珍しいな…。ありがと、後で顔出してみるわ
芳乃,はいー、お伝えしましたー。ではではー、お戯れも程々にー
Ｐまゆ,おー、ありがとなー。何だろうな…この前の例のプール
まゆ,…
幸子,…
Ｐまゆ,あれ？
幸子,説明
まゆ,していただけますかぁ…？
Ｐまゆ,何故バレたし…。かくかくしかじか
まゆ,まゆまゆ
幸子,ボクカワ
Ｐまゆ,と、言う訳であります
幸子,また晶葉さんですか…信じがたい話ですけど晶葉さんじゃあ仕方ないですね
Ｐまゆ,ああ、ちかたないね
幸子,…プロデューサーさんなんですね、本当に
Ｐまゆ,うふっ
幸子,中身が分かった後だとひたすら気持ち悪いです
Ｐまゆ,俺もそう思う
まゆ,ＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆにＰさんがまゆに
Ｐまゆ,まゆ怖い、怖い怖い
幸子,途中から声に出ちゃってますよ！ああもう、ほら涎拭いてっ
まゆ,ハッ…！……こほん、お見苦しいところをお見せしてしまいましたぁ
幸子,とりあえず元の姿に戻ってくださいよプロデューサーさん。まゆさんの姿でいつものプロデューサーさんの癖の強い口調だと違和感凄すぎて頭パーンしそうなんですけど
Ｐまゆ,はいよ。あと癖強いとか言うな、実はちょっぴり無駄にキャラ濃いの気にしてるんだぞ？
幸子,なら改善しましょうよ…
まゆ,ああ、まゆなＰさんもうちょっと見ていたかったのに…
Ｐまゆ,変身っ！
幸子,何ですかその無駄にキレッキレなポーズとイケメンボイスは
まゆ,格好いい…
Ｐまゆ,とうっ
Ｐ時子,これでどうだ
幸子,違和感がっ！凄すぎるって！言ったのに、言ったのに！
まゆ,違和感が益々フルスロットルしましたねぇ…
Ｐ時子,我が呪法に捕らわれし哀れな生贄達よ！もちろんワザとです確信犯です！。んじゃ、美波が呼んでるらしいからちょっくら行ってくらぁ
幸子,くれぐれも、絶対そのままの姿で行かないでくださいね！？
まゆ,流石の美波さんも頭パーンしちゃいそうですねぇ
Ｐ時子,理解の範疇を超える事態に遭遇してパニックになる美波を見てみたいという衝動に勝てそうにない
幸子,そこは勝ってくださいよ！あと時子さんの姿で荒ぶるポーズとかやめてください本人に見られたらチャーシューにされますよ
Ｐ時子,範馬勇次郎の型のつもりなんだが
まゆ,この上なくどうでもいい気がしますねぇ
Ｐ時子,まぁいいや。あ、２人ともくれぐれもこの事は内密になー
幸子,…
まゆ,…
幸子,お昼でも食べにいきます？
まゆ,ですねぇ
Ｐ時子,課金課金って何だ振り向かないことさー♪
法子,あ、時子さんだ。おはようございまーす
Ｐ時子,おはヨークシャーテリア。ガチャって何だ躊躇わないこーとーさー♪
法子,。パイセンが壊れた！？
Ｐ時子,さてと、今の時間ならまだレッスンルームにいるはずだな。…あれ？さっきドーナツに声かけられたような……まぁいいか
Ｐ,おっと、時子のままで行ったら美波の頭がパーンするんだったっけ。…やってみたいけど担当アイドルの精神がクラッシュするのは卯月だけで沢山だし、自重しよう
美波,ふぅ…結構汗かいちゃった…先にシャワー浴びてきちゃおうかな。あとでプロデューサーさんも探さないといけないし…
Ｐアナスタシア,コンニチワ、ミナミ
美波,あれ、アーニャちゃんどうしたの？
Ｐアナスタシア,ミナミの匂いがしたので来ちゃいました
美波,なにそれ、凛ちゃんみたい
Ｐアナスタシア,あ、俺を探してたのに変身したら意味ねぇって今気が付いたわ
美波,どうしたの？鳩がダブルラリアットされたような顔して
Ｐアナスタシア,えっ？い、いえ別に何でも無いでごぜーますよ？
美波,ごぜーます？
Ｐアナスタシア,もひとつしまった！そういえば俺ロシア語ってピロシキ
美波,何だか今日のアーニャちゃんいつもと違うね…どうかしたの？
Ｐアナスタシア,いかん疑われ始めとる…よし、ここはロシアイドルらしくビシッと流暢なロシア語でアーニャアピールを…
